# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.432
metadata : {}


# id : NWRW1800000038.432.1.1
김정은, 장성택이 틀어쥔 '비자금' 회수 노려

김정은,	김정은/NNP+,/SP
장성택이	장성택/NNP+이/JKS
틀어쥔	틀어쥐/VV+ㄴ/ETM
'비자금'	'/SS+비자금/NNG+'/SS
회수	회수/NNG
노려	노리/VV+어/EC


# id : NWRW1800000038.432.2.1
張과 측근들 '딴주머니' 찬 듯…김정은 해외 비자금 40억달러

張과	張/SH+과/JC
측근들	측근/NNG+들/XSN
'딴주머니'	'/SS+딴주머니/NNG+'/SS
찬	차/VV+ㄴ/ETM
듯…김정은	듯/NNB+…/SE+김정은/NNP
해외	해외/NNG
비자금	비자금/NNG
40억달러	40/SN+억/NR+달러/NNB


# id : NWRW1800000038.432.3.1
북한 김정은 노동당 제1비서의 장성택 숙청은 그가 쥐고 있던 '권력'뿐 아니라 '돈줄'을 회수하기 위한 작업이라는 분석이 나오고 있다.

북한	북한/NNP
김정은	김정은/NNP
노동당	노동당/NNP
제1비서의	제/XPN+1/SN+비서/NNG+의/JKG
장성택	장성택/NNP
숙청은	숙청/NNG+은/JX
그가	그/NP+가/JKS
쥐고	쥐/VV+고/EC
있던	있/VX+던/ETM
'권력'뿐	'/SS+권력/NNG+'/SS+뿐/JX
아니라	아니/VCN+라/EC
'돈줄'을	'/SS+돈줄/NNG+'/SS+을/JKO
회수하기	회수/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
작업이라는	작업/NNG+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.432.3.2
장성택과 그의 측근들은 김정일과 김정은 부자의 해외 비자금 상당 부분을 관리해 온 것으로 알려졌다.

장성택과	장성택/NNP+과/JC
그의	그/NP+의/JKG
측근들은	측근/NNG+들/XSN+은/JX
김정일과	김정일/NNP+과/JC
김정은	김정은/NNP
부자의	부자/NNG+의/JKG
해외	해외/NNG
비자금	비자금/NNG
상당	상당/NNG
부분을	부분/NNG+을/JKO
관리해	관리/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.432.4.1
◇中·유럽 등에 차명 계좌 최소 200개

◇中·유럽	◇/SW+中/SH+·/SP+유럽/NNP
등에	등/NNB+에/JKB
차명	차명/NNG
계좌	계좌/NNG
최소	최소/NNG
200개	200/SN+개/NNB


# id : NWRW1800000038.432.5.1
김정은의 해외 비자금 규모는 총 40억달러 정도로 알려져 있다.

김정은의	김정은/NNP+의/JKG
해외	해외/NNG
비자금	비자금/NNG
규모는	규모/NNG+는/JX
총	총/MMA
40억달러	40/SN+억/NR+달러/NNB
정도로	정도/NNG+로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.432.5.2
북한 경제 소식통은 "김정일 통치 시절엔 항상 이 정도 비자금은 유지했다"며 "돈을 쓰게 되면 다시 채워서 일정 규모를 유지하는 방식"이라고 했다.

북한	북한/NNP
경제	경제/NNG
소식통은	소식통/NNG+은/JX
"김정일	"/SS+김정일/NNP
통치	통치/NNG
시절엔	시절/NNG+에/JKB+ㄴ/JX
항상	항상/MAG
이	이/MMD
정도	정도/NNG
비자금은	비자금/NNG+은/JX
유지했다"며	유지/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"돈을	"/SS+돈/NNG+을/JKO
쓰게	쓰/VV+게/EC
되면	되/VV+면/EC
다시	다시/MAG
채워서	채우/VV+어서/EC
일정	일정/NNG
규모를	규모/NNG+를/JKO
유지하는	유지/NNG+하/XSV+는/ETM
방식"이라고	방식/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.432.6.1
그러나 공식적으로 드러난 것은 2005년 마카오의 방코델타아시아에 예치돼 있던 2500만달러가 거의 전부다.

그러나	그러나/MAJ
공식적으로	공식/NNG+적/XSN+으로/JKB
드러난	드러나/VV+ㄴ/ETM
것은	것/NNB+은/JX
2005년	2005/SN+년/NNB
마카오의	마카오/NNP+의/JKG
방코델타아시아에	방코델타아시아/NNP+에/JKB
예치돼	예치/NNG+되/XSV+어/EC
있던	있/VX+던/ETM
2500만달러가	2500/SN+만/NR+달러/NNB+가/JKS
거의	거의/MAG
전부다.	전부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.432.6.2
서울의 한 외교 소식통은 "당시 북한에서는 자기들도 몰랐던 계좌라며 내심 고마워했다는 얘기도 있다"며 "여러 팀이 비자금을 은밀하게 관리하다 보니 관리자가 갑자기 죽거나 숙청되면 그 돈이 얼마나 불어나고 있었는지 모른 채 사라지는 경우도 있다"고 전했다.

서울의	서울/NNP+의/JKG
한	한/MMN
외교	외교/NNG
소식통은	소식통/NNG+은/JX
"당시	"/SS+당시/NNG
북한에서는	북한/NNP+에서/JKB+는/JX
자기들도	자기/NNG+들/XSN+도/JX
몰랐던	모르/VV+았/EP+던/ETM
계좌라며	계좌/NNG+이/VCP+라며/EC
내심	내심/NNG
고마워했다는	고마워하/VV+았/EP+다는/ETM
얘기도	얘기/NNG+도/JX
있다"며	있/VA+다/EF+"/SS+며/EC
"여러	"/SS+여러/MMN
팀이	팀/NNG+이/JKS
비자금을	비자금/NNG+을/JKO
은밀하게	은밀하/VA+게/EC
관리하다	관리/NNG+하/XSV+다/EC
보니	보/VX+니/EC
관리자가	관리자/NNG+가/JKS
갑자기	갑자기/MAG
죽거나	죽/VV+거나/EC
숙청되면	숙청/NNG+되/XSV+면/EC
그	그/MMD
돈이	돈/NNG+이/JKS
얼마나	얼마나/MAG
불어나고	불어나/VV+고/EC
있었는지	있/VX+었/EP+는지/EC
모른	모르/VV+ㄴ/ETM
채	채/NNB
사라지는	사라지/VV+는/ETM
경우도	경우/NNG+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.432.7.1
한·미 양국은 2006년 유엔 안보리의 대북 제재 이후 본격적으로 북한 김씨 일가의 비자금 추적에 들어간 것으로 알려졌다.

한·미	한·미/NNP
양국은	양국/NNG+은/JX
2006년	2006/SN+년/NNB
유엔	유엔/NNP
안보리의	안보리/NNG+의/JKG
대북	대북/NNG
제재	제재/NNG
이후	이후/NNG
본격적으로	본격/NNG+적/XSN+으로/JKB
북한	북한/NNP
김씨	김/NNP+씨/NNB
일가의	일가/NNG+의/JKG
비자금	비자금/NNG
추적에	추적/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.432.7.2
그 결과 중국 러시아 싱가포르 스위스 오스트리아 룩셈부르크 리히텐슈타인을 비롯한 전 세계 수십 개 나라 은행의 차명 계좌 200개 이상에 혐의를 두고 있는 것으로 알려졌다.

그	그/MMD
결과	결과/NNG
중국	중국/NNP
러시아	러시아/NNP
싱가포르	싱가포르/NNP
스위스	스위스/NNP
오스트리아	오스트리아/NNP
룩셈부르크	룩셈부르크/NNP
리히텐슈타인을	리히텐슈타인/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
전	전/MMN
세계	세계/NNG
수십	수십/NR
개	개/NNB
나라	나라/NNG
은행의	은행/NNG+의/JKG
차명	차명/NNG
계좌	계좌/NNG
200개	200/SN+개/NNB
이상에	이상/NNG+에/JKB
혐의를	혐의/NNG+를/JKO
두고	두/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.432.8.1
◇張 측근들 비자금 빼돌렸을 가능성

◇張	◇/SW+張/SH
측근들	측근/NNG+들/XSN
비자금	비자금/NNG
빼돌렸을	빼돌리/VV+었/EP+을/ETM
가능성	가능/NNG+성/XSN


# id : NWRW1800000038.432.9.1
장성택은 김정은 집권 이후 북한의 외화벌이와 경제 개혁·개방 작업을 책임졌다.

장성택은	장성택/NNP+은/JX
김정은	김정은/NNP
집권	집권/NNG
이후	이후/NNG
북한의	북한/NNP+의/JKG
외화벌이와	외화벌이/NNG+와/JC
경제	경제/NNG
개혁·개방	개혁/NNG+·/SP+개방/NNG
작업을	작업/NNG+을/JKO
책임졌다.	책임지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.432.9.2
북한 소식통은 "김정일 생존 당시부터 궁정 경제에 깊이 관여해온 장성택과 그 측근들은 김정은 집권 후에도 김씨 일가의 비자금을 계속 관리했을 가능성이 크다"고 했다.

북한	북한/NNP
소식통은	소식통/NNG+은/JX
"김정일	"/SS+김정일/NNP
생존	생존/NNG
당시부터	당시/NNG+부터/JX
궁정	궁정/NNG
경제에	경제/NNG+에/JKB
깊이	깊이/MAG
관여해온	관여/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
장성택과	장성택/NNP+과/JC
그	그/MMD
측근들은	측근/NNG+들/XSN+은/JX
김정은	김정은/NNP
집권	집권/NNG
후에도	후/NNG+에/JKB+도/JX
김씨	김/NNP+씨/NNB
일가의	일가/NNG+의/JKG
비자금을	비자금/NNG+을/JKO
계속	계속/MAG
관리했을	관리/NNG+하/XSV+았/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다"고	크/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.432.9.3
장성택의 최측근 중 한 명인 리수용 노동당 부부장(전 스위스 대사)은 1980년부터 2010년까지 무려 30년간 스위스·리히텐슈타인·네덜란드 등 김씨 일가가 비자금을 은닉했을 것으로 추정되는 곳에서 공사·대사로 근무했다.

장성택의	장성택/NNP+의/JKG
최측근	최/XPN+측근/NNG
중	중/NNB
한	한/MMN
명인	명/NNB+이/VCP+ㄴ/ETM
리수용	리수용/NNP
노동당	노동당/NNP
부부장(전	부부장/NNG+(/SS+전/MMD
스위스	스위스/NNP
대사)은	대사/NNG+)/SS+은/JX
1980년부터	1980/SN+년/NNB+부터/JX
2010년까지	2010/SN+년/NNB+까지/JX
무려	무려/MAG
30년간	30/SN+년/NNB+간/XSN
스위스·리히텐슈타인·네덜란드	스위스/NNP+·/SP+리히텐슈타인/NNP+·/SP+네덜란드/NNP
등	등/NNB
김씨	김/NNP+씨/NNB
일가가	일가/NNG+가/JKS
비자금을	비자금/NNG+을/JKO
은닉했을	은닉/NNG+하/XSV+았/EP+을/ETM
것으로	것/NNB+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
곳에서	곳/NNG+에서/JKB
공사·대사로	공사/NNG+·/SP+대사/NNG+로/JKB
근무했다.	근무/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.432.10.1
정부 소식통은 "54국을 맡고 있던 장수길을 처형한 것은 김정은 비자금 횡령과 관련이 있을 가능성이 있다"고 했다.

정부	정부/NNG
소식통은	소식통/NNG+은/JX
"54국을	"/SS+54/SN+국/NNG+을/JKO
맡고	맡/VV+고/EC
있던	있/VX+던/ETM
장수길을	장수길/NNP+을/JKO
처형한	처형/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
김정은	김정은/NNP
비자금	비자금/NNG
횡령과	횡령/NNG+과/JKB
관련이	관련/NNG+이/JKS
있을	있/VA+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.432.10.2
장성택과 그 측근들이 외화벌이 등으로 번 돈을 김정은 비자금 계좌로 입금하지 않았거나, 기존 비자금 중 일부를 횡령했다가 적발됐을 가능성이 있다는 것이다.

장성택과	장성택/NNP+과/JC
그	그/MMD
측근들이	측근/NNG+들/XSN+이/JKS
외화벌이	외화벌이/NNG
등으로	등/NNB+으로/JKB
번	벌/VV+ㄴ/ETM
돈을	돈/NNG+을/JKO
김정은	김정은/NNP
비자금	비자금/NNG
계좌로	계좌/NNG+로/JKB
입금하지	입금/NNG+하/XSV+지/EC
않았거나,	않/VX+았/EP+거나/EC+,/SP
기존	기존/NNG
중	중/NNB
일부를	일부/NNG+를/JKO
횡령했다가	횡령/NNG+하/XSV+았/EP+다가/EC
적발됐을	적발/NNG+되/XSV+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.432.11.1
◇해마다 2억~3억달러 비자금 조성

◇해마다	◇/SW+해마다/MAG
2억~3억달러	2/SN+억/NR+~/SO+3/SN+억/NR+달러/NNB
비자금	비자금/NNG
조성	조성/NNG


# id : NWRW1800000038.432.12.1
정부 당국은 국제사회의 대북 제재가 본격화되기 전까지 북한이 제3경제를 통해 매년 2억~3억달러의 수입을 올린 것으로 파악하고 있다.

정부	정부/NNG
당국은	당국/NNG+은/JX
국제사회의	국제/NNG+사회/NNG+의/JKG
대북	대북/NNG
제재가	제재/NNG+가/JKS
본격화되기	본격/NNG+화/XSN+되/XSV+기/ETN
전까지	전/NNG+까지/JX
북한이	북한/NNP+이/JKS
제3경제를	제/XPN+3/SN+경제/NNG+를/JKO
통해	통하/VV+아/EC
매년	매년/MAG
2억~3억달러의	2/SN+억/NR+~/SO+3/SN+억/NR+달러/NNB+의/JKG
수입을	수입/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
파악하고	파악/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.432.13.1
북한 경제는 크게 세 분야로 나뉘어 있다.

북한	북한/NNP
경제는	경제/NNG+는/JX
크게	크/VA+게/EC
세	세/MMN
분야로	분야/NNG+로/JKB
나뉘어	나뉘/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.432.13.2
제1경제는 내각이 관리하는 공식 경제이고, 제2경제는 군수 물자 조달 부분이다.

제1경제는	제/XPN+1/SN+경제/NNG+는/JX
내각이	내각/NNG+이/JKS
관리하는	관리/NNG+하/XSV+는/ETM
공식	공식/NNG
경제이고,	경제/NNG+이/VCP+고/EC+,/SP
제2경제는	제/XPN+2/SN+경제/NNG+는/JX
군수	군수/NNG
물자	물자/NNG
조달	조달/NNG
부분이다.	부분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.432.13.3
김정은의 비자금은 제3경제 부문에서 조성·관리된다.

김정은의	김정은/NNP+의/JKG
비자금은	비자금/NNG+은/JX
제3경제	제/XPN+3/SN+경제/NNG
부문에서	부문/NNG+에서/JKB
조성·관리된다.	조성/NNG+·/SP+관리/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.432.13.4
당과 군의 각 분야에서 외화벌이를 통해 벌어들인 돈은 대부분 이곳으로 들어간다.

당과	당/NNG+과/JC
군의	군/NNG+의/JKG
각	각/MMD
분야에서	분야/NNG+에서/JKB
외화벌이를	외화벌이/NNG+를/JKO
통해	통하/VV+아/EC
벌어들인	벌어들이/VV+ㄴ/ETM
돈은	돈/NNG+은/JX
대부분	대/XPN+부분/NNG
이곳으로	이곳/NP+으로/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.432.13.5
자금 조달원은 금·송이버섯 독점 거래에서부터 광물·농수산물 수출, 마약 제조 및 판매, 위조지폐 제작·유통, 무기 밀매까지 다양하다.

자금	자금/NNG
조달원은	조달원/NNG+은/JX
금·송이버섯	금/NNG+·/SP+송이버섯/NNG
독점	독점/NNG
거래에서부터	거래/NNG+에서부터/JKB
광물·농수산물	광물/NNG+·/SP+농수산물/NNG
수출,	수출/NNG+,/SP
마약	마약/NNG
제조	제조/NNG
및	및/MAG
판매,	판매/NNG+,/SP
위조지폐	위조지폐/NNG
제작·유통,	제작/NNG+·/SP+유통/NNG+,/SP
무기	무기/NNG
밀매까지	밀매/NNG+까지/JX
다양하다.	다양/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000038.432.14.1
북한 소식통은 "몇 달 전부터 북한이 38호실에서 독점 거래하는 금마저 내다 팔고 있다는 얘기가 나온다"면서 "김정은이 금을 팔고 있다는 것은 비자금이 부족하다는 증거"라고 말했다.

북한	북한/NNP
소식통은	소식통/NNG+은/JX
"몇	"/SS+몇/NR
달	달/NNB
전부터	전/NNG+부터/JX
북한이	북한/NNP+이/JKS
38호실에서	38/SN+호실/NNG+에서/JKB
독점	독점/NNG
거래하는	거래/NNG+하/XSV+는/ETM
금마저	금/NNG+마저/JX
내다	내/VV+어다/EC
팔고	팔/VV+고/EC
있다는	있/VX+다는/ETM
얘기가	얘기/NNG+가/JKS
나온다"면서	나오/VV+ㄴ다/EF+"/SS+면서/EC
"김정은이	"/SS+김정은/NNP+이/JKS
금을	금/NNG+을/JKO
것은	것/NNB+은/JX
비자금이	비자금/NNG+이/JKS
부족하다는	부족/NNG+하/XSA+다는/ETM
증거"라고	증거/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.432.14.2
현재 북한의 금 매장량은 2000t(시가 80억달러)가량으로 알려져 있다.

현재	현재/MAG
북한의	북한/NNP+의/JKG
금	금/NNG
매장량은	매장량/NNG+은/JX
2000t(시가	2000/SN+t/SW+(/SS+시가/NNG
80억달러)가량으로	80/SN+억/NR+달러/NNB+)/SS+가량/XSN+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.432.15.1
