# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.78
metadata : {}


# id : NWRW1800000048.78.1.1
미국도 지지…세계 5대 통화로 위안 수요 늘고 가치 올라갈 듯

미국도	미국/NNP+도/JX
지지…세계	지지/NNG+…/SE+세계/NNG
5대	5/SN+대/NNG
통화로	통화/NNG+로/JKB
위안	위안/NNG
수요	수요/NNG
늘고	늘/VV+고/EC
가치	가치/NNG
올라갈	올라가/VV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000048.78.2.1
중국 위안화, 특별인출권 편입되면…

중국	중국/NNP
위안화,	위안화/NNG+,/SP
특별인출권	특별/NNG+인출/NNG+권/XSN
편입되면…	편입/NNG+되/XSV+면/EC+…/SE


# id : NWRW1800000048.78.3.1
경제대국 걸맞은 기축통화 위상

경제대국	경제/NNG+대국/NNG
걸맞은	걸맞/VA+은/ETM
기축통화	기축/NNG+통화/NNG
위상	위상/NNG


# id : NWRW1800000048.78.4.1
한국 중장기 영향…전망은 엇갈려

한국	한국/NNP
중장기	중장기/NNG
영향…전망은	영향/NNG+…/SE+전망/NNG+은/JX
엇갈려	엇갈리/VV+어/EF


# id : NWRW1800000048.78.5.1
제이컵 루 미국 재무부 장관이 15일 중국 위안화가 국제통화기금(IMF)의 특별인출권(SDR) 구성 통화 가운데 하나가 되는 것을 지지할 뜻을 밝혔다.

제이컵	제이컵/NNP
루	루/NNP
미국	미국/NNP
재무부	재무부/NNG
장관이	장관/NNG+이/JKS
15일	15/SN+일/NNB
중국	중국/NNP
위안화가	위안화/NNG+가/JKS
국제통화기금(IMF)의	국제통화기금/NNP+(/SS+IMF/SL+)/SS+의/JKG
특별인출권(SDR)	특별/NNG+인출/NNG+권/XSN+(/SS+SDR/SL+)/SS
구성	구성/NNG
통화	통화/NNG
가운데	가운데/NNG
하나가	하나/NR+가/JKC
되는	되/VV+는/ETM
것을	것/NNB+을/JKO
지지할	지지/NNG+하/XSV+ㄹ/ETM
뜻을	뜻/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.78.5.2
‘위안화가 국제통화기금의 기준을 충족할 경우’라는 단서가 붙기는 했지만 미국이 찬성 쪽으로 기울었음을 말해준다.

‘위안화가	‘/SS+위안화/NNG+가/JKS
국제통화기금의	국제통화기금/NNP+의/JKG
기준을	기준/NNG+을/JKO
충족할	충족/NNG+하/XSV+ㄹ/ETM
경우’라는	경우/NNG+’/SS+이/VCP+라는/ETM
단서가	단서/NNG+가/JKS
붙기는	붙/VV+기/ETN+는/JX
했지만	하/VX+았/EP+지만/EC
미국이	미국/NNP+이/JKS
찬성	찬성/NNG
쪽으로	쪽/NNB+으로/JKB
기울었음을	기울/VV+었/EP+음/ETN+을/JKO
말해준다.	말/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.78.5.3
미국의 영향력이 국제통화기금에서 막강한 점을 고려할 때 위안화가 기축통화로 ‘격상’하는 것은 시간 문제로 보인다.

미국의	미국/NNP+의/JKG
영향력이	영향력/NNG+이/JKS
국제통화기금에서	국제통화기금/NNP+에서/JKB
막강한	막강/NNG+하/XSA+ㄴ/ETM
점을	점/NNG+을/JKO
고려할	고려/NNG+하/XSV+ㄹ/ETM
때	때/NNG
위안화가	위안화/NNG+가/JKS
기축통화로	기축/NNG+통화/NNG+로/JKB
‘격상’하는	‘/SS+격상/NNG+’/SS+하/VV+는/ETM
것은	것/NNB+은/JX
시간	시간/NNG
문제로	문제/NNG+로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.78.5.4
앞서 국제통화기금은 13일 위안화가 특별인출권을 구성하는 통화군(바스켓)에 편입될 요건을 충족했다며, 관련 사안을 30일 열리는 집행이사회 안건으로 올리겠다고 발표했다.

앞서	앞서/MAG
국제통화기금은	국제통화기금/NNP+은/JX
13일	13/SN+일/NNB
위안화가	위안화/NNG+가/JKS
특별인출권을	특별/NNG+인출/NNG+권/XSN+을/JKO
구성하는	구성/NNG+하/XSV+는/ETM
통화군(바스켓)에	통화군/NNG+(/SS+바스켓/NNG+)/SS+에/JKB
편입될	편입/NNG+되/XSV+ㄹ/ETM
요건을	요건/NNG+을/JKO
충족했다며,	충족/NNG+하/XSV+았/EP+다며/EC+,/SP
관련	관련/NNG
사안을	사안/NNG+을/JKO
30일	30/SN+일/NNB
열리는	열리/VV+는/ETM
집행이사회	집행/NNG+이사회/NNG
안건으로	안건/NNG+으로/JKB
올리겠다고	올리/VV+겠/EP+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.78.6.1
위안의 특별인출권 편입이 지닌 의미는 작지 않다.

위안의	위안/NNG+의/JKG
특별인출권	특별/NNG+인출/NNG+권/XSN
편입이	편입/NNG+이/JKS
지닌	지니/VV+ㄴ/ETM
의미는	의미/NNG+는/JX
작지	작/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000048.78.6.2
위안이 미국 달러, 유로존 유로, 영국 파운드, 일본 엔에 이어 다섯번째 구성 통화가 되기 때문이다.

위안이	위안/NNG+이/JKS
미국	미국/NNP
달러,	달러/NNB+,/SP
유로존	유로존/NNG
유로,	유로/NNG+,/SP
영국	영국/NNP
파운드,	파운드/NNG+,/SP
일본	일본/NNP
엔에	엔/NNG+에/JKB
