# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.259
metadata : {}


# id : NWRW1800000052.259.1.1
피타고라스까지 끌어와 ‘살수 지침’ 지켰다는 경찰

피타고라스까지	피타고라스/NNP+까지/JX
끌어와	끌어오/VV+아/EC
‘살수	‘/SS+살수/NNG
지침’	지침/NNG+’/SS
지켰다는	지키/VV+었/EP+다는/ETM
경찰	경찰/NNG


# id : NWRW1800000052.259.2.1
[한겨레] 백남기 농민에게 행해진 살수가 규정을 어기지 않았다는 경찰 주장의 근거는 기원전 580년경 태어난 고대 그리스 수학자 피타고라스였다.

[한겨레]	[/SS+한겨레/NNP+]/SS
백남기	백남기/NNP
농민에게	농민/NNG+에게/JKB
행해진	행하/VV+아/EC+지/VX+ㄴ/ETM
살수가	살수/NNG+가/JKS
규정을	규정/NNG+을/JKO
어기지	어기/VV+지/EC
않았다는	않/VX+았/EP+다는/ETM
경찰	경찰/NNG
주장의	주장/NNG+의/JKG
근거는	근거/NNG+는/JX
기원전	기원전/NNG
580년경	580/SN+년/NNB+경/XSN
태어난	태어나/VV+ㄴ/ETM
고대	고대/NNG
그리스	그리스/NNP
수학자	수학자/NNG
피타고라스였다.	피타고라스/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.259.3.1
13일 경찰이 지난 5월 백씨의 유족이 국가를 상대로 제기한 민사소송 재판부(서울중앙지법 민사42부)에 제출한 ‘답변서’를 보면, 경찰은 지난해 민중총궐기 당시 ‘시위대가 20m 거리에 있는 경우 2000rpm(7bar) 내외의 물살 세기와 수압으로 살수해야 한다’는 규정을 어겼다는 유족 주장에 대해 “백씨와의 거리가 21m 이상이어서 규정을 어긴 것이 아니다”고 반박하고 있다.

13일	13/SN+일/NNB
경찰이	경찰/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
백씨의	백/NNP+씨/NNB+의/JKG
유족이	유족/NNG+이/JKS
국가를	국가/NNG+를/JKO
상대로	상대/NNG+로/JKB
제기한	제기/NNG+하/XSV+ㄴ/ETM
민사소송	민사/NNG+소송/NNG
재판부(서울중앙지법	재판부/NNG+(/SS+서울중앙지법/NNP
민사42부)에	민사/NNG+42부/NNG+)/SS+에/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
‘답변서’를	‘/SS+답변서/NNG+’/SS+를/JKO
보면,	보/VV+면/EC+,/SP
경찰은	경찰/NNG+은/JX
지난해	지난해/NNG
민중총궐기	민중/NNG+총궐기/NNG
당시	당시/NNG
‘시위대가	‘/SS+시위대/NNG+가/JKS
20m	20/SN+m/SW
거리에	거리/NNG+에/JKB
있는	있/VV+는/ETM
경우	경우/NNG
2000rpm(7bar)	2000/SN+rpm/SW+(/SS+7/SN+bar/SL+)/SS
내외의	내외/NNG+의/JKG
물살	물살/NNG
세기와	세기/NNG+와/JC
수압으로	수압/NNG+으로/JKB
살수해야	살수/NNG+하/XSV+아야/EC
한다’는	하/VX+ㄴ다/EF+’/SS+는/ETM
규정을	규정/NNG+을/JKO
어겼다는	어기/VV+었/EP+다는/ETM
유족	유족/NNG
주장에	주장/NNG+에/JKB
대해	대하/VV+아/EC
“백씨와의	“/SS+백/NNP+씨/NNB+와/JKB+의/JKG
거리가	거리/NNG+가/JKS
21m	21/SN+m/SW
이상이어서	이상/NNG+이/VCP+어서/EC
어긴	어기/VV+ㄴ/ETM
것이	것/NNB+이/JKC
아니다”고	아니/VCN+다/EF+”/SS+고/JKQ
반박하고	반박/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.259.4.1
경찰 주장의 근거는 살수구의 높이다.

경찰	경찰/NNG
주장의	주장/NNG+의/JKG
근거는	근거/NNG+는/JX
