# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.31
metadata : {}


# id : NWRW1800000054.31.1.1
러, 나토 코앞서 10만명 군사훈련

러,	러/NNP+,/SP
나토	나토/NNP
코앞서	코앞/NNG+서/JKB
10만명	10/SN+만/NR+명/NNB
군사훈련	군사/NNG+훈련/NNG


# id : NWRW1800000054.31.2.1
내달 폴란드 등 나토國 접경지서 美부통령 "러는 예측 불가능"… 동유럽에 MD 시스템 구축 추진

내달	내달/NNG
폴란드	폴란드/NNP
등	등/NNB
나토國	나토/NNP+國/SH
접경지서	접경지/NNG+서/JKB
美부통령	美/SH+부통령/NNG
"러는	"/SS+러/NNP+는/JX
예측	예측/NNG
불가능"…	불/XPN+가능/NNG+"/SS+…/SE
동유럽에	동유럽/NNP+에/JKB
MD	MD/SL
시스템	시스템/NNG
구축	구축/NNG
추진	추진/NNG


# id : NWRW1800000054.31.3.1
러시아가 폴란드 등 나토(NATO·북대서양조약기구) 소속 국가와 접경하고 있는 지역에서 10만여 명의 병력을 동원한 대규모 군사훈련을 계획 중이라고 뉴욕타임스(NYT)가 31일(현지 시각) 보도했다.

러시아가	러시아/NNP+가/JKS
폴란드	폴란드/NNP
등	등/NNB
나토(NATO·북대서양조약기구)	나토/NNP+(/SS+NATO/SL+·/SP+북대서양조약기구/NNP+)/SS
소속	소속/NNG
국가와	국가/NNG+와/JKB
접경하고	접경/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
지역에서	지역/NNG+에서/JKB
10만여	10/SN+만/NR+여/XSN
명의	명/NNB+의/JKG
병력을	병력/NNG+을/JKO
동원한	동원/NNG+하/XSV+ㄴ/ETM
대규모	대/XPN+규모/NNG
군사훈련을	군사/NNG+훈련/NNG+을/JKO
계획	계획/NNG
중이라고	중/NNB+이/VCP+라고/EC
뉴욕타임스(NYT)가	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS+가/JKS
31일(현지	31/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.31.4.1
이에 대해 동유럽을 순방 중인 마이크 펜스 미국 부통령은 러시아를 '예측 불가능한 국가'라며 비판했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
동유럽을	동유럽/NNP+을/JKO
순방	순방/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
마이크	마이크/NNP
펜스	펜스/NNP
미국	미국/NNP
부통령은	부통령/NNG+은/JX
러시아를	러시아/NNP+를/JKO
'예측	'/SS+예측/NNG
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
국가'라며	국가/NNG+'/SS+이/VCP+라며/EC
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.31.4.2
보도에 따르면 러시아군은 오는 9월 러시아 칼리닌그라드와 벨라루스 일대에서 '자파드(서쪽이라는 뜻의 러시아어)'라는 작전명의 훈련에 들어간다.

보도에	보도/NNG+에/JKB
따르면	따르/VV+면/EC
러시아군은	러시아군/NNG+은/JX
오는	오/VV+는/ETM
9월	9/SN+월/NNB
러시아	러시아/NNP
칼리닌그라드와	칼리닌그라드/NNP+와/JC
벨라루스	벨라루스/NNP
일대에서	일대/NNG+에서/JKB
'자파드(서쪽이라는	'/SS+자파드/NNG+(/SS+서쪽/NNG+이/VCP+라는/ETM
뜻의	뜻/NNG+의/JKG
러시아어)'라는	러시아어/NNP+)/SS+'/SS+이/VCP+라는/ETM
작전명의	작전명/NNG+의/JKG
훈련에	훈련/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.31.4.3
벨라루스는 러시아의 동맹국이다.

벨라루스는	벨라루스/NNP+는/JX
러시아의	러시아/NNP+의/JKG
동맹국이다.	동맹국/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.31.4.4
훈련은 나토 소속국인 폴란드, 라트비아, 리투아니아와 국경을 접하고 있는 지역 6곳에서 이뤄진다.

