# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.267
metadata : {}


# id : NWRW1800000038.267.1.1
"공에 살짝 선 그어놓으세요… 퍼팅할 때 도움됩니다"

"공에	"/SS+공/NNG+에/JKB
살짝	살짝/MAG
선	선/NNG
그어놓으세요…	긋/VV+어/EC+놓/VX+으시/EP+어요/EF+…/SE
퍼팅할	퍼팅/NNG+하/XSV+ㄹ/ETM
때	때/NNG
도움됩니다"	도움/NNG+되/XSV+ㅂ니다/EF+"/SS


# id : NWRW1800000038.267.2.1
이승현의 '퍼팅 1위' 비법

이승현의	이승현/NNP+의/JKG
'퍼팅	'/SS+퍼팅/NNG
1위'	1/SN+위/NNB+'/SS
비법	비법/NNG


# id : NWRW1800000038.267.3.1
통산 2승을 기록 중인 이승현(22)은 한국여자프로골프(KLPGA) 투어에서 가장 퍼팅을 잘하는 선수로 꼽힌다.

통산	통산/NNG
2승을	2/SN+승/NNB+을/JKO
기록	기록/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
이승현(22)은	이승현/NNP+(/SS+22/SN+)/SS+은/JX
한국여자프로골프(KLPGA)	한국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+KLPGA/SL+)/SS
투어에서	투어/NNG+에서/JKB
가장	가장/MAG
퍼팅을	퍼팅/NNG+을/JKO
잘하는	잘/MAG+하/XSV+는/ETM
선수로	선수/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.267.3.2
올 시즌 라운드당 평균 퍼트 수 1위(29.52개)를 달리고 있다.

올	올/NNG
시즌	시즌/NNG
라운드당	라운드/NNG+당/XSN
평균	평균/NNG
퍼트	퍼트/NNG
수	수/NNG
1위(29.52개)를	1/SN+위/NNB+(/SS+29/SN+./SP+52/SN+개/NNB+)/SS+를/JKO
달리고	달리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.267.3.3
4년 전 투어에 데뷔한 이후 퍼팅 부문에서 4위 밖으로 밀려난 적이 없다.

4년	4/SN+년/NNB
전	전/NNG
투어에	투어/NNG+에/JKB
데뷔한	데뷔/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
퍼팅	퍼팅/NNG
부문에서	부문/NNG+에서/JKB
4위	4/SN+위/NNB
밖으로	밖/NNG+으로/JKB
밀려난	밀려나/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000038.267.3.4
그녀의 데이터를 보면 '드라이버는 쇼, 퍼팅은 돈'이란 말이 실감 난다.

그녀의	그녀/NP+의/JKG
데이터를	데이터/NNG+를/JKO
보면	보/VV+면/EC
'드라이버는	'/SS+드라이버/NNG+는/JX
쇼,	쇼/NNG+,/SP
퍼팅은	퍼팅/NNG+은/JX
돈'이란	돈/NNG+'/SS+이/VCP+란/ETM
말이	말/NNG+이/JKS
실감	실감/NNG
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.267.4.1
올 시즌 드라이브샷 거리는 242.50 야드(94위), 그린 적중률은 65.53% (58위)로 중하위권이지만 평균 타수는 72.73(19위)으로 상위권이다.

올	올/NNG
시즌	시즌/NNG
드라이브샷	드라이브/NNG+샷/NNG
거리는	거리/NNG+는/JX
242.50	242/SN+./SP+50/SN
야드(94위),	야드/NNB+(/SS+94/SN+위/NNB+)/SS+,/SP
그린	그린/NNG
적중률은	적중/NNG+률/XSN+은/JX
65.53%	65/SN+./SP+53/SN+%/SW
(58위)로	(/SS+58/SN+위/NNB+)/SS+로/JKB
중하위권이지만	중하위/NNG+권/XSN+이/VCP+지만/EC
평균	평균/NNG
타수는	타수/NNG+는/JX
72.73(19위)으로	72/SN+./SP+73/SN+(/SS+19/SN+위/NNB+)/SS+으로/JKB
상위권이다.	상위/NNG+권/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000038.267.4.2
상금 순위는 7위(3억4300만원)다.

상금	상금/NNG
순위는	순위/NNG+는/JX
7위(3억4300만원)다.	7/SN+위/NNB+(/SS+3/SN+억/NR+4300/SN+만/NR+원/NNB+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000038.267.5.1
그녀는 어떻게 퍼팅을 잘하게 됐을까?

그녀는	그녀/NP+는/JX
어떻게	어떻/VA+게/EC
퍼팅을	퍼팅/NNG+을/JKO
잘하게	잘/MAG+하/XSV+게/EC
됐을까?	되/VV+었/EP+을까/EF+?/SF


# id : NWRW1800000038.267.5.2
14일 '2013 조선일보-포스코 챔피언십'을 하루 앞두고 순천의 승주 골프장에서 만난 이승현은 "초등학교 5학년 때 처음 골프를 배운 이후 퍼팅이 가장 재미있었다"고 했다.

14일	14/SN+일/NNB
'2013	'/SS+2013/SN
조선일보-포스코	조선일보/NNP+-/SO+포스코/NNP
챔피언십'을	챔피언십/NNG+'/SS+을/JKO
하루	하루/NNG
앞두고	앞두/VV+고/EC
순천의	순천/NNP+의/JKG
승주	승주/NNP
골프장에서	골프장/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
이승현은	이승현/NNP+은/JX
"초등학교	"/SS+초등학교/NNG
5학년	5/SN+학년/NNG
때	때/NNG
처음	처음/NNG
골프를	골프/NNG+를/JKO
배운	배우/VV+ㄴ/ETM
이후	이후/NNG
퍼팅이	퍼팅/NNG+이/JKS
가장	가장/MAG
재미있었다"고	재미있/VA+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.267.5.3
재미있다 보니 연습 시간도 가장 많았고 중학교 때는 매일 4~5시간 동안 퍼팅 연습만 한 적도 있다고 했다.

재미있다	재미있/VA+다/EC
보니	보/VX+니/EC
연습	연습/NNG
시간도	시간/NNG+도/JX
가장	가장/MAG
많았고	많/VA+았/EP+고/EC
중학교	중학교/NNG
때는	때/NNG+는/JX
매일	매일/MAG
4~5시간	4/SN+~/SO+5/SN+시간/NNB
동안	동안/NNG
퍼팅	퍼팅/NNG
연습만	연습/NNG+만/JX
