# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.393
metadata : {}


# id : NWRW1800000054.393.1.1
3野 "宋·趙 임명 강행? 인사청문회는 뭐하려고 하나"

3野	3/SN+野/SH
"宋·趙	"/SS+宋/SH+·/SP+趙/SH
임명	임명/NNG
강행?	강행/NNG+?/SF
인사청문회는	인사/NNG+청문회/NNG+는/JX
뭐하려고	뭐/NP+하/VV+려고/EC
하나"	하/VV+나/EF+"/SS


# id : NWRW1800000054.393.2.1
남은 장관청문회 보이콧 검토… "임명 찬성 여론 20%선 그쳐"

남은	남/VV+은/ETM
장관청문회	장관/NNG+청문회/NNG
보이콧	보이콧/NNG
검토…	검토/NNG+…/SE
"임명	"/SS+임명/NNG
찬성	찬성/NNG
여론	여론/NNG
20%선	20/SN+%/SW+선/NNG
그쳐"	그치/VV+어/EF+"/SS


# id : NWRW1800000054.393.3.1
야(野) 3당은 11일 송영무 국방장관, 조대엽 고용노동부 장관 후보자의 지명 철회를 거듭 요구했다.

야(野)	야/NNG+(/SS+野/SH+)/SS
3당은	3/SN+당/NNG+은/JX
11일	11/SN+일/NNB
송영무	송영무/NNP
국방장관,	국방/NNG+장관/NNG+,/SP
조대엽	조대엽/NNP
고용노동부	고용/NNG+노동부/NNG
장관	장관/NNG
후보자의	후보자/NNG+의/JKG
지명	지명/NNG
철회를	철회/NNG+를/JKO
거듭	거듭/MAG
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.393.3.2
이와 함께 문재인 대통령이 송·조 후보자 임명을 강행할 경우 더 이상의 인사청문회는 의미가 없다고 보고 남은 장관 후보자 인사청문회를 보이콧하는 방안을 검토 중이다.

이와	이/NP+와/JKB
함께	함께/MAG
문재인	문재인/NNP
대통령이	대통령/NNG+이/JKS
송·조	송/NNP+·/SP+조/NNP
후보자	후보자/NNG
임명을	임명/NNG+을/JKO
강행할	강행/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
더	더/MAG
이상의	이상/NNG+의/JKG
인사청문회는	인사/NNG+청문회/NNG+는/JX
의미가	의미/NNG+가/JKS
없다고	없/VA+다고/EC
보고	보/VV+고/EC
남은	남/VV+은/ETM
장관	장관/NNG
인사청문회를	인사/NNG+청문회/NNG+를/JKO
보이콧하는	보이콧/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토	검토/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.393.3.3
현재 인사청문회를 남겨둔 장관 후보자는 박상기 법무부(7월 13일), 박능후 보건복지부(7월 18일), 백운규 산업통상자원부(7월 19일) 장관 후보자 등 3명이다.

현재	현재/MAG
인사청문회를	인사/NNG+청문회/NNG+를/JKO
남겨둔	남기/VV+어/EC+두/VX+ㄴ/ETM
장관	장관/NNG
후보자는	후보자/NNG+는/JX
박상기	박상기/NNP
법무부(7월	법무부/NNG+(/SS+7/SN+월/NNB
13일),	13/SN+일/NNB+)/SS+,/SP
박능후	박능후/NNP
보건복지부(7월	보건/NNG+복지부/NNG+(/SS+7/SN+월/NNB
18일),	18/SN+일/NNB+)/SS+,/SP
백운규	백운규/NNP
산업통상자원부(7월	산업/NNG+통상/NNG+자원부/NNG+(/SS+7/SN+월/NNB
19일)	19/SN+일/NNB+)/SS
후보자	후보자/NNG
등	등/NNB
3명이다.	3/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.393.4.1
자유한국당 고위 관계자는 이날 본지 통화에서 "대통령이 야 3당이 일제히 '부적격' 판정을 내린 송·조 후보자 임명을 강행한다면 이는 인사청문회 필요성을 인정하지 않겠다는 뜻"이라며 "그럴 바엔 인사청문회를 뭣 하려 하나.

자유한국당	자유한국당/NNP
고위	고위/NNG
관계자는	관계자/NNG+는/JX
이날	이날/NNG
본지	본지/NNG
통화에서	통화/NNG+에서/JKB
"대통령이	"/SS+대통령/NNG+이/JKS
야	야/NNG
3당이	3/SN+당/NNG+이/JKS
일제히	일제히/MAG
'부적격'	'/SS+부/XPN+적격/NNG+'/SS
판정을	판정/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
송·조	송/NNP+·/SP+조/NNP
후보자	후보자/NNG
임명을	임명/NNG+을/JKO
