# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.53
metadata : {}


# id : NWRW1800000024.53.1.1
“믿을 건 금뿐”…온스당 1천달러 ‘눈앞’

“믿을	“/SS+믿/VV+을/ETM
건	거/NNB+ㄴ/JX
금뿐”…온스당	금/NNG+뿐/JX+”/SS+…/SE+온스/NNG+당/XSN
1천달러	1/SN+천/NR+달러/NNB
‘눈앞’	‘/SS+눈앞/NNG+’/SS


# id : NWRW1800000024.53.2.1
금융위기에 대한 우려가 다시 확산되면서 금 매매가 기록적으로 늘고 있다.

금융위기에	금융/NNG+위기/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우려가	우려/NNG+가/JKS
다시	다시/MAG
확산되면서	확산/NNG+되/XSV+면서/EC
금	금/NNG
매매가	매매/NNG+가/JKS
기록적으로	기록/NNG+적/XSN+으로/JKB
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.53.2.2
금값도 조만간 온스당 1천달러가 될 것으로 전망된다.

금값도	금값/NNG+도/JX
조만간	조만간/MAG
온스당	온스/NNB+당/XSN
1천달러가	1/SN+천/NR+달러/NNB+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.53.3.1
미국 재무부 산하 주화전문 조폐국은 지난 1월 한달 동안 미국인들에게 인기 있는 ‘아메리칸이글’ 금화 9만2천온스를 팔았다고 <파이낸셜 타임스>가 9일 보도했다.

미국	미국/NNP
재무부	재무부/NNG
산하	산하/NNG
주화전문	주화/NNG+전문/NNG
조폐국은	조폐국/NNG+은/JX
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
한달	한/MMN+달/NNB
동안	동안/NNG
미국인들에게	미국인/NNG+들/XSN+에게/JKB
인기	인기/NNG
있는	있/VA+는/ETM
‘아메리칸이글’	‘/SS+아메리칸이글/NNG+’/SS
금화	금화/NNG
9만2천온스를	9/SN+만/NR+2/SN+천/NR+온스/NNB+를/JKO
팔았다고	팔/VV+았/EP+다고/EC
<파이낸셜	</SS+파이낸셜/NNP
타임스>가	타임스/NNP+>/SS+가/JKS
9일	9/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.53.3.2
이는 1년 전과 비교해 4배나 뛴 수치이며, 2007년 상반기 전체 판매량보다도 많다.

이는	이/NP+는/JX
1년	1/SN+년/NNB
전과	전/NNG+과/JKB
비교해	비교/NNG+하/XSV+아/EC
4배나	4/SN+배/NNG+나/JX
뛴	뛰/VV+ㄴ/ETM
수치이며,	수치/NNG+이/VCP+며/EC+,/SP
2007년	2007/SN+년/NNB
상반기	상반기/NNG
전체	전체/NNG
판매량보다도	판매량/NNG+보다/JKB+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000024.53.3.3
다른 나라 조폐국들에서도 금 매매가 대량으로 이뤄졌다고 신문은 전했다.

다른	다른/MMD
나라	나라/NNG
조폐국들에서도	조폐국/NNG+들/XSN+에서/JKB+도/JX
금	금/NNG
매매가	매매/NNG+가/JKS
대량으로	대량/NNG+으로/JKB
이뤄졌다고	이뤄지/VV+었/EP+다고/EC
신문은	신문/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.53.4.1
스위스금융그룹 유비에스(UBS)의 귀금속 전문가 존 리아드는 “금 구매가 늘어난 것은 궁극적으로 안전자산 구매의 신호”라며 “2007년과 비교해 올해 금에 대한 투자 수요가 두 배로 늘어날 것으로 추산하고 있다”고 말했다.

스위스금융그룹	스위스/NNP+금융/NNG+그룹/NNG
유비에스(UBS)의	유비에스/NNP+(/SS+UBS/SL+)/SS+의/JKG
귀금속	귀금속/NNG
전문가	전문가/NNG
존	존/NNP
리아드는	리아드/NNP+는/JX
“금	“/SS+금/NNG
구매가	구매/NNG+가/JKS
늘어난	늘어나/VV+ㄴ/ETM
것은	것/NNB+은/JX
궁극적으로	궁극/NNG+적/XSN+으로/JKB
안전자산	안전/NNG+자산/NNG
구매의	구매/NNG+의/JKG
신호”라며	신호/NNG+”/SS+이/VCP+라며/EC
“2007년과	“/SS+2007/SN+년/NNB+과/JKB
비교해	비교/NNG+하/XSV+아/EC
올해	올해/NNG
금에	금/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
투자	투자/NNG
수요가	수요/NNG+가/JKS
두	두/MMN
배로	배/NNG+로/JKB
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
추산하고	추산/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.53.4.2
금 상장지수펀드의 금 보유량은 지난달 폭증해, 1317t까지 치솟았다.

금	금/NNG
상장지수펀드의	상장/NNG+지수/NNG+펀드/NNG+의/JKG
보유량은	보유량/NNG+은/JX
지난달	지난달/NNG
폭증해,	폭증/NNG+하/XSV+아/EC+,/SP
1317t까지	1317/SN+t/SW+까지/JX
치솟았다.	치솟/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.53.4.3
지난달 105t의 금괴가 펀드에 유입돼, 지난해 9월 기록(104t)을 갈아치웠다.

지난달	지난달/NNG
105t의	105/SN+t/SW+의/JKG
금괴가	금괴/NNG+가/JKS
펀드에	펀드/NNG+에/JKB
유입돼,	유입/NNG+되/XSV+어/EC+,/SP
지난해	지난해/NNG
9월	9/SN+월/NNB
기록(104t)을	기록/NNG+(/SS+104/SN+t/SW+)/SS+을/JKO
갈아치웠다.	갈/VV+아/EC+치우/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.53.4.4
투자회사 바클레이스 캐피털은 “지난 1월 전세계 금 생산의 절반가량이 펀드로 흡수된 것”이라고 분석했다.

투자회사	투자/NNG+회사/NNG
바클레이스	바클레이스/NNP
캐피털은	캐피털/NNP+은/JX
“지난	“/SS+지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
전세계	전/MMN+세계/NNG
금	금/NNG
생산의	생산/NNG+의/JKG
절반가량이	절반/NNG+가량/XSN+이/JKS
펀드로	펀드/NNG+로/JKB
흡수된	흡수/NNG+되/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.53.5.1
유비에스와 골드만삭스는 지난주 “투자자들의 수요가 금값을 온스당 1천달러 이상으로 끌어올리게 될 것”이라고 밝혔다.

유비에스와	유비에스/NNP+와/JC
골드만삭스는	골드만삭스/NNP+는/JX
지난주	지난주/NNG
“투자자들의	“/SS+투자자/NNG+들/XSN+의/JKG
수요가	수요/NNG+가/JKS
금값을	금값/NNG+을/JKO
온스당	온스/NNB+당/XSN
1천달러	1/SN+천/NR+달러/NNB
이상으로	이상/NNG+으로/JKB
끌어올리게	끌어올리/VV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.53.5.2
9일 기준으로 금값은 온스당 892달러다.

9일	9/SN+일/NNB
기준으로	기준/NNG+으로/JKB
금값은	금값/NNG+은/JX
온스당	온스/NNB+당/XSN
892달러다.	892/SN+달러/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.53.6.1
바클레이스 캐피털의 상품전문가 조너선 스팔은 “우리는 지난해 전체를 통틀어 받았던 것보다, 올해 한달여 동안 금 투자에 대한 문의를 더 많이 받았다”고 전했다.

바클레이스	바클레이스/NNP
캐피털의	캐피털/NNP+의/JKG
상품전문가	상품/NNG+전문가/NNG
조너선	조너선/NNP
스팔은	스팔/NNP+은/JX
“우리는	“/SS+우리/NP+는/JX
지난해	지난해/NNG
전체를	전체/NNG+를/JKO
통틀어	통틀어/MAG
받았던	받/VV+았/EP+던/ETM
것보다,	것/NNB+보다/JKB+,/SP
올해	올해/NNG
한달여	한/MMN+달/NNB+여/XSN
동안	동안/NNG
금	금/NNG
투자에	투자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
문의를	문의/NNG+를/JKO
더	더/MAG
많이	많이/MAG
받았다”고	받/VV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.53.6.2
귀금속 컨설팅업체 지에프엠에스(GFMS)의 필립 클랍위크 회장은 “(금융시스템에 대한 불안감이 여전한 탓에) 지금은 안전자산 구매의 새로운 라운드”라고 의미를 부여했다.

귀금속	귀금속/NNG
컨설팅업체	컨설팅/NNG+업체/NNG
지에프엠에스(GFMS)의	지에프엠에스/NNP+(/SS+GFMS/SL+)/SS+의/JKG
필립	필립/NNP
클랍위크	클랍위크/NNP
회장은	회장/NNG+은/JX
“(금융시스템에	“/SS+(/SS+금융/NNG+시스템/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불안감이	불안감/NNG+이/JKS
여전한	여전하/VA+ㄴ/ETM
탓에)	탓/NNG+에/JKB+)/SS
지금은	지금/NNG+은/JX
안전자산	안전/NNG+자산/NNG
구매의	구매/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
라운드”라고	라운드/NNG+”/SS+라고/JKQ
의미를	의미/NNG+를/JKO
부여했다.	부여/NNG+하/XSV+았/EP+다/EF+./SF


