# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.366
metadata : {}


# id : NWRW1800000022.366.1.1
[수도권Ⅰ] 전쟁과 이념 주제… DMZ 영화제 22일 개막

[수도권Ⅰ]	[/SS+수도/NNG+권/XSN+Ⅰ/SL+]/SS
전쟁과	전쟁/NNG+과/JC
이념	이념/NNG
주제…	주제/NNG+…/SE
DMZ	DMZ/SL
영화제	영화제/NNG
22일	22/SN+일/NNB
개막	개막/NNG


# id : NWRW1800000022.366.2.1
경기도 파주시 일대에서 전쟁과 이념갈등을 소재로 한 다큐멘터리를 상영하는 제1회 DMZ 다큐멘터리영화제가 22일부터 26일까지 열린다.

경기도	경기도/NNP
파주시	파주시/NNP
일대에서	일대/NNG+에서/JKB
전쟁과	전쟁/NNG+과/JC
이념갈등을	이념/NNG+갈등/NNG+을/JKO
소재로	소재/NNG+로/JKB
한	하/VV+ㄴ/ETM
다큐멘터리를	다큐멘터리/NNG+를/JKO
상영하는	상영/NNG+하/XSV+는/ETM
제1회	제/XPN+1/SN+회/NNB
DMZ	DMZ/SL
다큐멘터리영화제가	다큐멘터리/NNG+영화제/NNG+가/JKS
22일부터	22/SN+일/NNB+부터/JX
26일까지	26/SN+일/NNB+까지/JX
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.366.3.1
영화제에는 전 세계 33개국에서 출품된 61편의 다큐멘터리 영화가 '국제경쟁부문'과 'DMZ초이스' '글로벌 비전' '한국 스펙트럼' '스페셜 포커스' 등 8개 섹션을 통해 선보인다.

영화제에는	영화제/NNG+에/JKB+는/JX
전	전/MMN
세계	세계/NNG
33개국에서	33/SN+개국/NNB+에서/JKB
출품된	출품/NNG+되/XSV+ㄴ/ETM
61편의	61/SN+편/NNB+의/JKG
다큐멘터리	다큐멘터리/NNG
영화가	영화/NNG+가/JKS
'국제경쟁부문'과	'/SS+국제/NNG+경쟁/NNG+부문/NNG+'/SS+과/JC
'DMZ초이스'	'/SS+DMZ/SL+초이스/NNG+'/SS
'글로벌	'/SS+글로벌/NNG
비전'	비전/NNG+'/SS
'한국	'/SS+한국/NNP
스펙트럼'	스펙트럼/NNG+'/SS
'스페셜	'/SS+스페셜/NNG
