# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.103
metadata : {}


# id : NWRW1800000054.103.1.1
"매주 월요일, 가슴속 불덩어리 꺼냈죠"

"매주	"/SS+매주/MAG
월요일,	월요일/NNG+,/SP
가슴속	가슴속/NNG
불덩어리	불덩어리/NNG
꺼냈죠"	꺼내/VV+었/EP+죠/EF+"/SS


# id : NWRW1800000054.103.2.1
조근호 변호사, 9년 동안 띄운 '월요편지' 주제별로 엮은 책 내

조근호	조근호/NNP
변호사,	변호사/NNG+,/SP
9년	9/SN+년/NNB
동안	동안/NNG
띄운	띄우/VV+ㄴ/ETM
'월요편지'	'/SS+월요/NNG+편지/NNG+'/SS
주제별로	주제/NNG+별/XSN+로/JKB
엮은	엮/VV+은/ETM
책	책/NNG
내	내/VV+어/EF


# id : NWRW1800000054.103.3.1
"인생의 목표가 뭡니까?"

"인생의	"/SS+인생/NNG+의/JKG
목표가	목표/NNG+가/JKS
뭡니까?"	뭐/NP+이/VCP+ㅂ니까/EF+?/SF+"/SS


# id : NWRW1800000054.103.4.1
갑작스러운 질문에 답을 못 하자 조근호(58·사진) 변호사가 말을 이었다.

갑작스러운	갑작스럽/VA+ㄴ/ETM
질문에	질문/NNG+에/JKB
답을	답/NNG+을/JKO
못	못/MAG
하자	하/VV+자/EC
조근호(58·사진)	조근호/NNP+(/SS+58/SN+·/SP+사진/NNG+)/SS
변호사가	변호사/NNG+가/JKS
말을	말/NNG+을/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.103.4.2
"5초 안에 답하는 사람이 없어요.

"5초	"/SS+5/SN+초/NNB
안에	안/NNG+에/JKB
답하는	답/NNG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
없어요.	없/VA+어요/EF+./SF


# id : NWRW1800000054.103.4.3
올해 회사 목표, 부서 목표는 쉽게 말하면서 자기 인생 목표는 막막하죠.

올해	올해/NNG
회사	회사/NNG
목표,	목표/NNG+,/SP
부서	부서/NNG
목표는	목표/NNG+는/JX
쉽게	쉽/VA+게/EC
말하면서	말/NNG+하/XSV+면서/EC
자기	자기/NNG
인생	인생/NNG
막막하죠.	막막하/VA+죠/EF+./SF


# id : NWRW1800000054.103.4.4
이 책은 그 질문에 대한 제 답을 찾아나가는 과정입니다."

이	이/MMD
책은	책/NNG+은/JX
그	그/MMD
질문에	질문/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
제	저/NP+의/JKG
답을	답/NNG+을/JKO
찾아나가는	찾/VV+아/EC+나가/VX+는/ETM
과정입니다."	과정/NNG+이/VCP+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000054.103.5.1
최근 '당신과 행복을 이야기하고 싶습니다'(김영사)를 펴낸 조 변호사는 '월요편지'로 유명하다.

최근	최근/NNG
'당신과	'/SS+당신/NP+과/JKB
행복을	행복/NNG+을/JKO
이야기하고	이야기/NNG+하/XSV+고/EC
싶습니다'(김영사)를	싶/VX+습니다/EF+'/SS+(/SS+김영사/NNP+)/SS+를/JKO
펴낸	펴내/VV+ㄴ/ETM
조	조/NNP
변호사는	변호사/NNG+는/JX
'월요편지'로	'/SS+월요/NNG+편지/NNG+'/SS+로/JKB
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.103.5.2
2008년 대전지검장으로 재직하면서 부하 직원 250여 명에게 보내기 시작한 월요편지는 9년이 흘러 독자가 5000여 명으로 늘어났다.

2008년	2008/SN+년/NNB
대전지검장으로	대전지검장/NNG+으로/JKB
재직하면서	재직/NNG+하/XSV+면서/EC
부하	부하/NNG
직원	직원/NNG
250여	250/SN+여/XSN
명에게	명/NNB+에게/JKB
보내기	보내/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
월요편지는	월요/NNG+편지/NNG+는/JX
9년이	9/SN+년/NNB+이/JKS
흘러	흐르/VV+어/EC
독자가	독자/NNG+가/JKS
5000여	5000/SN+여/XSN
명으로	명/NNB+으로/JKB
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.103.5.3
화두도 조직 경영에서 인생 성찰로 바뀌었다.

화두도	화두/NNG+도/JX
조직	조직/NNG
경영에서	경영/NNG+에서/JKB
인생	인생/NNG
성찰로	성찰/NNG+로/JKB
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.103.5.4
이번 책은 2011년 검찰에서 나온 뒤 쓴 월요편지 280여 편을 주제별로 묶어 정리한 것이다.

이번	이번/NNG
책은	책/NNG+은/JX
2011년	2011/SN+년/NNB
검찰에서	검찰/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
뒤	뒤/NNG
쓴	쓰/VV+ㄴ/ETM
월요편지	월요/NNG+편지/NNG
280여	280/SN+여/XSN
편을	편/NNB+을/JKO
주제별로	주제/NNG+별/XSN+로/JKB
묶어	묶/VV+어/EC
정리한	정리/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.103.6.1
"부산고검장까지 지냈지만 사실 대단치 않은 사람이에요.

"부산고검장까지	"/SS+부산고검장/NNG+까지/JX
지냈지만	지내/VV+었/EP+지만/EC
사실	사실/MAG
대단치	대단하/VA+지/EC
않은	않/VX+은/ETM
사람이에요.	사람/NNG+이/VCP+에요/EF+./SF


# id : NWRW1800000054.103.6.2
실수하고 흔들리고 외로워하고 고민하는 것들을 털어놓습니다.

실수하고	실수/NNG+하/XSV+고/EC
흔들리고	흔들리/VV+고/EC
외로워하고	외롭/VA+어/EC+하/VX+고/EC
고민하는	고민/NNG+하/XSV+는/ETM
것들을	것/NNB+들/XSN+을/JKO
털어놓습니다.	털어놓/VV+습니다/EF+./SF


# id : NWRW1800000054.103.6.3
독자는 '나이 저 정도 먹고 고검장까지 했다는 사람도 저런 고민을 하고 저런 약점이 있구나' 생각하며 인생을 돌아볼 계기가 되겠죠.

독자는	독자/NNG+는/JX
'나이	'/SS+나이/NNG
저	저/MMD
정도	정도/NNG
먹고	먹/VV+고/EC
고검장까지	고검장/NNG+까지/JX
했다는	하/VV+았/EP+다는/ETM
사람도	사람/NNG+도/JX
저런	저런/MMD
고민을	고민/NNG+을/JKO
하고	하/VV+고/EC
약점이	약점/NNG+이/JKS
있구나'	있/VA+구나/EF+'/SS
생각하며	생각/NNG+하/XSV+며/EC
인생을	인생/NNG+을/JKO
돌아볼	돌아보/VV+ㄹ/ETM
계기가	계기/NNG+가/JKC
되겠죠.	되/VV+겠/EP+죠/EF+./SF


# id : NWRW1800000054.103.6.4
그렇지만 사실 자기를 극복하고 새로운 인간이 됐다는 일종의 증거를 남기기 위한 작업이기도 합니다."

그렇지만	그렇지만/MAJ
사실	사실/MAG
자기를	자기/NP+를/JKO
극복하고	극복/NNG+하/XSV+고/EC
새로운	새롭/VA+ㄴ/ETM
인간이	인간/NNG+이/JKC
됐다는	되/VV+었/EP+다는/ETM
일종의	일종/NNG+의/JKG
증거를	증거/NNG+를/JKO
남기기	남기/VV+기/ETN
위한	위하/VV+ㄴ/ETM
작업이기도	작업/NNG+이/VCP+기/ETN+도/JX
합니다."	하/VX+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000054.103.7.1
글은 가감 없다.

글은	글/NNG+은/JX
가감	가감/NNG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000054.103.7.2
20년 넘게 함께 산 아내가 좋아하는 음식을 몰라 관계가 어색해지고, 딸 인생에 훈수를 두다가 사이가 틀어지기도 한다.

20년	20/SN+년/NNB
넘게	넘/VV+게/EC
함께	함께/MAG
산	살/VV+ㄴ/ETM
아내가	아내/NNG+가/JKS
좋아하는	좋아하/VV+는/ETM
음식을	음식/NNG+을/JKO
몰라	모르/VV+아/EC
관계가	관계/NNG+가/JKS
어색해지고,	어색하/VA+아/EC+지/VX+고/EC+,/SP
딸	딸/NNG
인생에	인생/NNG+에/JKB
훈수를	훈수/NNG+를/JKO
두다가	두/VV+다가/EC
사이가	사이/NNG+가/JKS
틀어지기도	틀어지/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.103.7.3
문장은 화려하지 않지만 팩트가 탄탄하고 적재적소에 동서양 고전, 과학 논문을 인용해 흡인력을 만든다.

문장은	문장/NNG+은/JX
화려하지	화려하/VA+지/EC
않지만	않/VX+지만/EC
팩트가	팩트/NNG+가/JKS
탄탄하고	탄탄하/VA+고/EC
적재적소에	적재적소/NNG+에/JKB
동서양	동서양/NNG
고전,	고전/NNG+,/SP
과학	과학/NNG
논문을	논문/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
흡인력을	흡인력/NNG+을/JKO
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.103.7.4
남녀의 평균 걷기 속도 차이에서 부부관계를 성찰하는 식이다.

남녀의	남녀/NNG+의/JKG
평균	평균/NNG
걷기	걷기/NNG
속도	속도/NNG
차이에서	차이/NNG+에서/JKB
부부관계를	부부/NNG+관계/NNG+를/JKO
성찰하는	성찰/NNG+하/XSV+는/ETM
식이다.	식/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.103.8.1
바탕은 책.

바탕은	바탕/NNG+은/JX
책.	책/NNG+./SF


# id : NWRW1800000054.103.8.2
매일 아침 전날 읽은 책 분량을 기록한다.

매일	매일/MAG
아침	아침/NNG
전날	전날/NNG
읽은	읽/VV+은/ETM
책	책/NNG
분량을	분량/NNG+을/JKO
기록한다.	기록/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.103.8.3
지난달 그가 읽은 책은 총 1483쪽.

지난달	지난달/NNG
그가	그/NP+가/JKS
읽은	읽/VV+은/ETM
책은	책/NNG+은/JX
총	총/MMA
1483쪽.	1483/SN+쪽/NNG+./SF


# id : NWRW1800000054.103.8.4
작년 한 해 동안 1만3000쪽을 읽었다는 메모가 스마트폰에 남아 있다.

작년	작년/NNG
한	한/MMN
해	해/NNG
동안	동안/NNG
1만3000쪽을	1/SN+만/NR+3000/SN+쪽/NNG+을/JKO
읽었다는	읽/VV+었/EP+다는/ETM
메모가	메모/NNG+가/JKS
스마트폰에	스마트폰/NNG+에/JKB
남아	남/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.103.8.5
많이 읽어야 사소한 일상에서 삶의 의미를 찾을 수 있다는 게 그의 지론이다.

많이	많이/MAG
읽어야	읽/VV+어야/EC
사소한	사소하/VA+ㄴ/ETM
일상에서	일상/NNG+에서/JKB
삶의	삶/NNG+의/JKG
의미를	의미/NNG+를/JKO
찾을	찾/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
게	거/NNB+이/JKS
그의	그/NP+의/JKG
지론이다.	지론/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.103.8.6
조근호 변호사의 스마트폰 전자책 서가에는 '플루타르코스 영웅전'부터 유발 하라리의 '사피엔스'까지 다양했다.

조근호	조근호/NNP
변호사의	변호사/NNG+의/JKG
스마트폰	스마트폰/NNG
전자책	전자책/NNG
서가에는	서가/NNG+에/JKB+는/JX
'플루타르코스	'/SS+플루타르코스/NNP
영웅전'부터	영웅전/NNG+'/SS+부터/JX
유발	유발/NNP
하라리의	하라리/NNP+의/JKG
'사피엔스'까지	'/SS+사피엔스/NNG+'/SS+까지/JX
다양했다.	다양/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000054.103.9.1
지난 9년간 그는 매주 월요편지를 써왔다.

지난	지나/VV+ㄴ/ETM
9년간	9/SN+년/NNB+간/XSN
그는	그/NP+는/JX
매주	매주/MAG
월요편지를	월요/NNG+편지/NNG+를/JKO
써왔다.	쓰/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.103.9.2
워드프로세서로 A4 용지 3~4장 분량.

워드프로세서로	워드프로세서/NNG+로/JKB
A4	A/SL+4/SN
용지	용지/NNG
3~4장	3/SN+~/SO+4/SN+장/NNB
분량.	분량/NNG+./SF


# id : NWRW1800000054.103.9.3
월요일 오전 6시부터 8시 30분까지 쓴다.

월요일	월요일/NNG
오전	오전/NNG
6시부터	6/SN+시/NNB+부터/JX
8시	8/SN+시/NNB
30분까지	30/SN+분/NNB+까지/JX
쓴다.	쓰/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.103.9.4
"가슴속 불덩어리를 꺼내기 위해 글을 써요.

"가슴속	"/SS+가슴속/NNG
불덩어리를	불덩어리/NNG+를/JKO
꺼내기	꺼내/VV+기/ETN
위해	위하/VV+아/EC
글을	글/NNG+을/JKO
써요.	쓰/VV+어요/EF+./SF


# id : NWRW1800000054.103.9.5
불덩어리가 밖으로 나오면 독자에게는 따뜻한 손난로, 위안이 되더라고요.

불덩어리가	불덩어리/NNG+가/JKS
밖으로	밖/NNG+으로/JKB
나오면	나오/VV+면/EC
독자에게는	독자/NNG+에게/JKB+는/JX
따뜻한	따뜻하/VA+ㄴ/ETM
손난로,	손난로/NNG+,/SP
위안이	위안/NNG+이/JKC
되더라고요.	되/VV+더라고/EF+요/JX+./SF


# id : NWRW1800000054.103.9.6
열정적으로 살면 불덩어리가 생깁니다.

열정적으로	열정/NNG+적/XSN+으로/JKB
살면	살/VV+면/EC
불덩어리가	불덩어리/NNG+가/JKS
생깁니다.	생기/VV+ㅂ니다/EF+./SF


# id : NWRW1800000054.103.9.7
그게 있는 한 계속 씁니다."

그게	그거/NP+이/JKS
있는	있/VA+는/ETM
한	한/NNG
계속	계속/MAG
씁니다."	쓰/VV+ㅂ니다/EF+./SF+"/SS


