# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.359
metadata : {}


# id : NWRW1800000056.359.1.1
비검찰 출신 민정수석 ‘파격’…조국 “마음·어깨 많이 무겁다”

비검찰	비/XPN+검찰/NNG
출신	출신/NNG
민정수석	민정/NNG+수석/NNG
‘파격’…조국	‘/SS+파격/NNG+’/SS+…/SE+조국/NNP
“마음·어깨	“/SS+마음/NNG+·/SP+어깨/NNG
많이	많이/MAG
무겁다”	무겁/VA+다/EF+”/SS


# id : NWRW1800000056.359.2.1
공수처 설치·수사권 조정 등

공수처	공수처/NNG
설치·수사권	설치/NNG+·/SP+수사/NNG+권/XSN
조정	조정/NNG
등	등/NNB


# id : NWRW1800000056.359.3.1
검찰개혁 진두지휘할 듯

검찰개혁	검찰/NNG+개혁/NNG
진두지휘할	진두지휘/NNG+하/XSV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000056.359.4.1
문재인 대통령을 보좌할 청와대 민정수석비서관에 조국 서울대 법학전문대학원 교수가 내정된 것으로 10일 알려졌다.

문재인	문재인/NNP
대통령을	대통령/NNG+을/JKO
보좌할	보좌/NNG+하/XSV+ㄹ/ETM
청와대	청와대/NNP
민정수석비서관에	민정/NNG+수석/NNG+비서관/NNG+에/JKB
조국	조국/NNP
서울대	서울대/NNP
법학전문대학원	법학/NNG+전문/NNG+대학원/NNG
교수가	교수/NNG+가/JKS
내정된	내정/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
10일	10/SN+일/NNB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.359.4.2
조 교수는 문 대통령의 신임이 두터운 형법 전문가로, 신임 법무부 장관과 함께 검찰개혁 방안 마련에 착수할 것으로 보인다.

조	조/NNP
교수는	교수/NNG+는/JX
문	문/NNP
대통령의	대통령/NNG+의/JKG
신임이	신임/NNG+이/JKS
두터운	두텁/VA+ㄴ/ETM
형법	형법/NNG
전문가로,	전문가/NNG+로/JKB+,/SP
신임	신임/NNG
법무부	법무부/NNG
장관과	장관/NNG+과/JKB
함께	함께/MAG
검찰개혁	검찰/NNG+개혁/NNG
방안	방안/NNG
마련에	마련/NNG+에/JKB
착수할	착수/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.359.5.1
