# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.231
metadata : {}


# id : NWRW1800000045.231.1.1
금빛 화살 김종호… 3관왕 명중

금빛	금빛/NNG
화살	화살/NNG
김종호…	김종호/NNP+…/SE
3관왕	3관왕/NNG
명중	명중/NNG


# id : NWRW1800000045.231.2.1
양궁 컴파운드서 한국선수 첫 쾌거… 男 단체전, 혼성전, 개인전 휩쓸어

양궁	양궁/NNG
컴파운드서	컴파운드/NNG+서/JKB
한국선수	한국/NNP+선수/NNG
첫	첫/MMN
쾌거…	쾌거/NNG+…/SE
男	男/SH
단체전,	단체전/NNG+,/SP
혼성전,	혼성전/NNG+,/SP
개인전	개인전/NNG
휩쓸어	휩쓸/VV+어/EC


# id : NWRW1800000045.231.3.1
여자부에선 송윤수 2관왕 올라… 효자종목 유도-태권도 金5개 추가

여자부에선	여자부/NNG+에서/JKB+ㄴ/JX
송윤수	송윤수/NNP
2관왕	2관왕/NNG
올라…	오르/VV+아/EC+…/SE
효자종목	효자/NNG+종목/NNG
유도-태권도	유도/NNG+-/SO+태권도/NNG
金5개	金/SH+5/SN+개/NNB
추가	추가/NNG


# id : NWRW1800000045.231.4.1
양궁 컴파운드의 김종호(21·중원대)가 한국 대표팀 첫 3관왕에 올랐다.

양궁	양궁/NNG
컴파운드의	컴파운드/NNG+의/JKG
김종호(21·중원대)가	김종호/NNP+(/SS+21/SN+·/SP+중원대/NNP+)/SS+가/JKS
한국	한국/NNP
대표팀	대표/NNG+팀/NNG
첫	첫/MMN
3관왕에	3관왕/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.231.5.1
김종호는 7일 광주국제양궁장에서 열린 2015 광주 유니버시아드 남자 양궁 컴파운드 종목에서 단체전, 혼성전, 개인전 우승을 휩쓸며 금메달 3개를 목에 걸었다.

김종호는	김종호/NNP+는/JX
7일	7/SN+일/NNB
광주국제양궁장에서	광주국제양궁장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
2015	2015/SN
광주	광주/NNP
유니버시아드	유니버시아드/NNG
남자	남자/NNG
양궁	양궁/NNG
컴파운드	컴파운드/NNG
종목에서	종목/NNG+에서/JKB
단체전,	단체전/NNG+,/SP
혼성전,	혼성전/NNG+,/SP
개인전	개인전/NNG
우승을	우승/NNG+을/JKO
휩쓸며	휩쓸/VV+며/EC
금메달	금메달/NNG
3개를	3/SN+개/NNB+를/JKO
목에	목/NNG+에/JKB
걸었다.	걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.231.6.1
한국은 컴파운드 단체전에서 멕시코와 치열한 접전을 이어갔다.

한국은	한국/NNP+은/JX
컴파운드	컴파운드/NNG
단체전에서	단체전/NNG+에서/JKB
멕시코와	멕시코/NNP+와/JC
치열한	치열/NNG+하/XSA+ㄴ/ETM
접전을	접전/NNG+을/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.231.6.2
한국은 1점 차로 뒤진 채 맞은 마지막 순서에서 양영호(20·중원대)가 10점을 쏴 동점을 만들었고, 이어서 김종호의 10점으로 230-229의 1점 차 승리를 거뒀다.

한국은	한국/NNP+은/JX
1점	1/SN+점/NNB
차로	차/NNG+로/JKB
뒤진	뒤지/VV+ㄴ/ETM
채	채/NNB
맞은	맞/VV+은/ETM
마지막	마지막/NNG
순서에서	순서/NNG+에서/JKB
양영호(20·중원대)가	양영호/NNP+(/SS+20/SN+·/SP+중원대/NNP+)/SS+가/JKS
10점을	10/SN+점/NNB+을/JKO
쏴	쏘/VV+아/EC
동점을	동점/NNG+을/JKO
만들었고,	만들/VV+었/EP+고/EC+,/SP
이어서	잇/VV+어서/EC
김종호의	김종호/NNP+의/JKG
10점으로	10/SN+점/NNB+으로/JKB
230-229의	230/SN+-/SO+229/SN+의/JKG
차	차/NNG
승리를	승리/NNG+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.231.6.3
김종호는 이어 열린 혼성전에서 송윤수(20·현대모비스)와 짝을 이뤄 영국, 이탈리아, 이란을 차례로 꺾은 뒤 결승에서도 인도 팀을 157-150으로 눌렀다.

김종호는	김종호/NNP+는/JX
이어	이어/MAG
열린	열리/VV+ㄴ/ETM
혼성전에서	혼성전/NNG+에서/JKB
송윤수(20·현대모비스)와	송윤수/NNP+(/SS+20/SN+·/SP+현대모비스/NNP+)/SS+와/JKB
짝을	짝/NNG+을/JKO
이뤄	이루/VV+어/EC
영국,	영국/NNP+,/SP
이탈리아,	이탈리아/NNP+,/SP
이란을	이란/NNP+을/JKO
차례로	차례/NNG+로/JKB
꺾은	꺾/VV+은/ETM
뒤	뒤/NNG
결승에서도	결승/NNG+에서/JKB+도/JX
인도	인도/NNP
팀을	팀/NNG+을/JKO
157-150으로	157/SN+-/SO+150/SN+으로/JKB
눌렀다.	누르/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.231.6.4
김종호는 개인전에서 김태윤(22·현대제철)을 147-145로 누르고 3관왕을 확정했다.

김종호는	김종호/NNP+는/JX
개인전에서	개인전/NNG+에서/JKB
김태윤(22·현대제철)을	김태윤/NNP+(/SS+22/SN+·/SP+현대제철/NNP+)/SS+을/JKO
147-145로	147/SN+-/SO+145/SN+로/JKB
누르고	누르/VV+고/EC
3관왕을	3관왕/NNG+을/JKO
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.231.6.5
송윤수는 여자 개인전 결승에서 우승해 2관왕이 됐다.

송윤수는	송윤수/NNP+는/JX
여자	여자/NNG
개인전	개인전/NNG
결승에서	결승/NNG+에서/JKB
우승해	우승/NNG+하/XSV+아/EC
2관왕이	2관왕/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.231.7.1
도르래와 조준경 등 보조 장치가 달린 활을 사용하는 컴파운드는 올림픽 종목이 아니다.

도르래와	도르래/NNG+와/JC
조준경	조준경/NNG
등	등/NNB
보조	보조/NNG
장치가	장치/NNG+가/JKS
달린	달리/VV+ㄴ/ETM
활을	활/NNG+을/JKO
사용하는	사용/NNG+하/XSV+는/ETM
컴파운드는	컴파운드/NNG+는/JX
올림픽	올림픽/NNG
종목이	종목/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000045.231.7.2
이 때문에 같은 ‘양궁’이라도 리커브에 비해 주목받지 못했고 선수층도 얇다.

이	이/MMD
때문에	때문/NNB+에/JKB
같은	같/VA+은/ETM
‘양궁’이라도	‘/SS+양궁/NNG+’/SS+이/VCP+라도/EC
리커브에	리커브/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
주목받지	주목/NNG+받/XSV+지/EC
못했고	못하/VX+았/EP+고/EC
선수층도	선수/NNG+층/XSN+도/JX
얇다.	얇/VA+다/EF+./SF


# id : NWRW1800000045.231.7.3
초등학교 5학년 때 리커브 활을 처음 잡은 김종호는 충북체고 1학년 때 컴파운드로 종목을 바꿨다.

초등학교	초등학교/NNG
5학년	5/SN+학년/NNG
때	때/NNG
리커브	리커브/NNG
활을	활/NNG+을/JKO
처음	처음/NNG
잡은	잡/VV+은/ETM
김종호는	김종호/NNP+는/JX
충북체고	충북체고/NNP
1학년	1/SN+학년/NNG
컴파운드로	컴파운드/NNG+로/JKB
종목을	종목/NNG+을/JKO
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.231.7.4
대한양궁협회는 지난해 인천 아시아경기를 앞두고 동호회 수준이던 컴파운드를 집중 육성했다.

대한양궁협회는	대한양궁협회/NNP+는/JX
지난해	지난해/NNG
인천	인천/NNP
아시아경기를	아시아/NNP+경기/NNG+를/JKO
앞두고	앞두/VV+고/EC
동호회	동호회/NNG
수준이던	수준/NNG+이/VCP+던/ETM
컴파운드를	컴파운드/NNG+를/JKO
집중	집중/NNG
육성했다.	육성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.231.7.5
그 덕분에 인천 아시아경기에서 여자는 개인전과 단체전 금메달을 휩쓸었고 남자는 단체전 은메달을 땄다.

그	그/MMD
덕분에	덕분/NNG+에/JKB
인천	인천/NNP
아시아경기에서	아시아/NNP+경기/NNG+에서/JKB
여자는	여자/NNG+는/JX
개인전과	개인전/NNG+과/JC
단체전	단체전/NNG
금메달을	금메달/NNG+을/JKO
휩쓸었고	휩쓸/VV+었/EP+고/EC
남자는	남자/NNG+는/JX
은메달을	은메달/NNG+을/JKO
땄다.	따/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.231.7.6
하지만 김종호가 얻은 것은 개인전 7위라는 초라한 성적이었다.

하지만	하지만/MAJ
김종호가	김종호/NNP+가/JKS
얻은	얻/VV+은/ETM
것은	것/NNB+은/JX
개인전	개인전/NNG
7위라는	7/SN+위/NNB+이/VCP+라는/ETM
초라한	초라하/VA+ㄴ/ETM
성적이었다.	성적/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.231.7.7
“아시아경기가 끝난 뒤 마음을 독하게 먹었다.

“아시아경기가	“/SS+아시아/NNP+경기/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
마음을	마음/NNG+을/JKO
독하게	독/NNG+하/XSA+게/EC
먹었다.	먹/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.231.7.8
주말에도 화살을 닦고, 화살을 쏘고, 화살과 같이 놀았다”는 김종호는 결국 유니버시아드 사상 첫 정식 종목으로 채택된 광주 대회에서 한국 선수 중 첫 3관왕 영예를 안았다.

주말에도	주말/NNG+에/JKB+도/JX
화살을	화살/NNG+을/JKO
닦고,	닦/VV+고/EC+,/SP
쏘고,	쏘/VV+고/EC+,/SP
화살과	화살/NNG+과/JKB
같이	같이/MAG
놀았다”는	놀/VV+았/EP+다/EF+”/SS+는/ETM
김종호는	김종호/NNP+는/JX
결국	결국/MAG
유니버시아드	유니버시아드/NNG
사상	사상/NNG
첫	첫/MMN
정식	정식/NNG
종목으로	종목/NNG+으로/JKB
채택된	채택/NNG+되/XSV+ㄴ/ETM
광주	광주/NNP
대회에서	대회/NNG+에서/JKB
한국	한국/NNP
선수	선수/NNG
중	중/NNB
3관왕	3관왕/NNG
영예를	영예/NNG+를/JKO
안았다.	안/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.231.7.9
김종호는 “대한민국 양궁에는 리커브만 있는 게 아니라 컴파운드도 있다는 것을 알아주셨으면 좋겠다”고 말했다.

김종호는	김종호/NNP+는/JX
“대한민국	“/SS+대한민국/NNP
양궁에는	양궁/NNG+에/JKB+는/JX
리커브만	리커브/NNG+만/JX
있는	있/VA+는/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
컴파운드도	컴파운드/NNG+도/JX
있다는	있/VA+다는/ETM
것을	것/NNB+을/JKO
알아주셨으면	알아주/VV+시/EP+었/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.231.8.1
한편 전날까지 금메달 4개를 따내 한국의 중간 종합 순위 1위를 이끌었던 유도는 이날도 여자 48kg급의 정보경(24·안산시청)과 여자 무제한급의 김지윤(26·양주시청), 남자 60kg급의 김원진(23·양주시청)이 정상에 올라 금메달 3개를 추가했다.

한편	한편/MAG
전날까지	전날/NNG+까지/JX
금메달	금메달/NNG
4개를	4/SN+개/NNB+를/JKO
따내	따/VV+아/EC+내/VX+어/EC
한국의	한국/NNP+의/JKG
중간	중간/NNG
종합	종합/NNG
순위	순위/NNG
1위를	1/SN+위/NNB+를/JKO
이끌었던	이끌/VV+었/EP+던/ETM
유도는	유도/NNG+는/JX
이날도	이날/NNG+도/JX
여자	여자/NNG
48kg급의	48/SN+kg/SW+급/NNG+의/JKG
정보경(24·안산시청)과	정보경/NNP+(/SS+24/SN+·/SP+안산시청/NNP+)/SS+과/JC
무제한급의	무제한급/NNG+의/JKG
김지윤(26·양주시청),	김지윤/NNP+(/SS+26/SN+·/SP+양주시청/NNP+)/SS+,/SP
남자	남자/NNG
60kg급의	60/SN+kg/SW+급/NNG+의/JKG
김원진(23·양주시청)이	김원진/NNP+(/SS+23/SN+·/SP+양주시청/NNP+)/SS+이/JKS
정상에	정상/NNG+에/JKB
올라	오르/VV+아/EC
3개를	3/SN+개/NNB+를/JKO
추가했다.	추가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.231.8.2
한국 유도는 8일 남녀 단체전에서 추가 금메달을 기대하고 있다.

한국	한국/NNP
유도는	유도/NNG+는/JX
8일	8/SN+일/NNB
남녀	남녀/NNG
단체전에서	단체전/NNG+에서/JKB
추가	추가/NNG
금메달을	금메달/NNG+을/JKO
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.231.8.3
태권도 배종범(19·조선대)과 양한솔(21·한국체대)은 조선대 체육관에서 열린 품새 개인전 결승에서 각각 금메달을 땄다.

태권도	태권도/NNG
배종범(19·조선대)과	배종범/NNP+(/SS+19/SN+·/SP+조선대/NNP+)/SS+과/JC
양한솔(21·한국체대)은	양한솔/NNP+(/SS+21/SN+·/SP+한국체대/NNP+)/SS+은/JX
조선대	조선대/NNP
체육관에서	체육관/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
품새	품새/NNG
개인전	개인전/NNG
결승에서	결승/NNG+에서/JKB
각각	각각/MAG
금메달을	금메달/NNG+을/JKO
땄다.	따/VV+았/EP+다/EF+./SF


