# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.173
metadata : {}


# id : NWRW1800000054.173.1.1
16년간 먹던 백혈병 약, 바꿔야 하나요

16년간	16/SN+년/NNB+간/XSN
먹던	먹/VV+던/ETM
백혈병	백혈병/NNG
약,	약/NNG+,/SP
바꿔야	바꾸/VV+어야/EC
하나요	하/VX+나/EF+요/JX


# id : NWRW1800000054.173.2.1
'글리벡' 제약사 불법 리베이트 적발… 건보 정지 찬반 논란

'글리벡'	'/SS+글리벡/NNG+'/SS
제약사	제약사/NNG
불법	불법/NNG
리베이트	리베이트/NNG
적발…	적발/NNG+…/SE
건보	건보/NNG
정지	정지/NNG
찬반	찬반/NNG
논란	논란/NNG


# id : NWRW1800000054.173.3.1
만성 백혈병으로 투병 중인 최모(42)씨는 2주 전 평소 다니던 S대학병원 종양내과를 찾아 항암 치료제인 글리벡 3개월 치를 처방받았다.

만성	만성/NNG
백혈병으로	백혈병/NNG+으로/JKB
투병	투병/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
최모(42)씨는	최/NNP+모/NP+(/SS+42/SN+)/SS+씨/NNB+는/JX
2주	2/SN+주/NNB
전	전/NNG
평소	평소/NNG
다니던	다니/VV+던/ETM
S대학병원	S/SL+대학/NNG+병원/NNG
종양내과를	종양내과/NNG+를/JKO
찾아	찾/VV+아/EC
항암	항암/NNG
치료제인	치료제/NNG+이/VCP+ㄴ/ETM
글리벡	글리벡/NNG
3개월	3/SN+개월/NNB
치를	치/NNB+를/JKO
처방받았다.	처방/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.173.3.2
8년 전 백혈병이 발병한 이후 매일 먹던 항암제다.

8년	8/SN+년/NNB
전	전/NNG
백혈병이	백혈병/NNG+이/JKS
발병한	발병/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
매일	매일/MAG
먹던	먹/VV+던/ETM
항암제다.	항암제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.173.3.3
그런데 최씨는 지난 19일 다시 병원을 찾아가 "글리벡 1년 치를 처방해 달라"고 의료진에게 요구했다.

그런데	그런데/MAJ
최씨는	최/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
19일	19/SN+일/NNB
다시	다시/MAG
병원을	병원/NNG+을/JKO
찾아가	찾아가/VV+아/EC
"글리벡	"/SS+글리벡/NNG
1년	1/SN+년/NNB
치를	치/NNB+를/JKO
처방해	처방/NNG+하/XSV+아/EC
달라"고	달/VX+라/EF+"/SS+고/JKQ
의료진에게	의료진/NNG+에게/JKB
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.173.3.4
하지만 의료진은 3개월마다 경과를 보면서 처방해야 한다는 이유로 최씨의 요구를 거절했다.

하지만	하지만/MAJ
의료진은	의료진/NNG+은/JX
3개월마다	3/SN+개월/NNB+마다/JX
경과를	경과/NNG+를/JKO
보면서	보/VV+면서/EC
처방해야	처방/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
이유로	이유/NNG+로/JKB
최씨의	최/NNP+씨/NNB+의/JKG
요구를	요구/NNG+를/JKO
거절했다.	거절/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.173.3.5
최씨가 갑자기 글리벡 1년 치 처방을 요구한 것은 앞으로 글리벡을 못 먹을 수 있다는 우려 때문이다.

최씨가	최/NNP+씨/NNB+가/JKS
갑자기	갑자기/MAG
글리벡	글리벡/NNG
1년	1/SN+년/NNB
치	치/NNB
처방을	처방/NNG+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
앞으로	앞/NNG+으로/JKB
글리벡을	글리벡/NNG+을/JKO
못	못/MAG
먹을	먹/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려	우려/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.173.3.6
S병원 의료진은 "요즘 글리벡 장기 처방을 요구하는 환자가 부쩍 늘었다"고 전했다.

S병원	S/SL+병원/NNG
의료진은	의료진/NNG+은/JX
"요즘	"/SS+요즘/NNG
글리벡	글리벡/NNG
장기	장기/NNG
처방을	처방/NNG+을/JKO
