# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.323
metadata : {}


# id : NWRW1800000028.323.1.1
‘작고 가벼워진’ 블랙베리폰

‘작고	‘/SS+작/VA+고/EC
가벼워진’	가벼워지/VV+ㄴ/ETM+’/SS
블랙베리폰	블랙베리폰/NNP


# id : NWRW1800000028.323.2.1
남성 비즈니스맨의 중후한 이미지를 강조하던 ‘블랙베리’가 깜찍한 모양으로 변신했다.

남성	남성/NNG
비즈니스맨의	비즈니스맨/NNG+의/JKG
중후한	중후하/VA+ㄴ/ETM
이미지를	이미지/NNG+를/JKO
강조하던	강조/NNG+하/XSV+던/ETM
‘블랙베리’가	‘/SS+블랙베리/NNP+’/SS+가/JKS
깜찍한	깜찍하/VA+ㄴ/ETM
모양으로	모양/NNG+으로/JKB
변신했다.	변신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.323.3.1
블랙베리를 공급하는 캐나다의 림은 15일 서울 종로2가 탑클라우드에서 기자간담회를 열어 블랙베리 신제품 ‘블랙베리 펄 3지(G)’를 공개했다.

블랙베리를	블랙베리/NNP+를/JKO
공급하는	공급/NNG+하/XSV+는/ETM
캐나다의	캐나다/NNP+의/JKG
림은	림/NNP+은/JX
15일	15/SN+일/NNB
서울	서울/NNP
종로2가	종로2가/NNP
탑클라우드에서	탑클라우드/NNP+에서/JKB
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열어	열/VV+어/EC
블랙베리	블랙베리/NNP
신제품	신/XPN+제품/NNG
‘블랙베리	‘/SS+블랙베리/NNP
펄	펄/NNP
3지(G)’를	3지/NNP+(/SS+G/SL+)/SS+’/SS+를/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.323.3.2
림은 이 제품을 오는 10월부터 에스케이텔레콤(SKT) 가입자들에게 공급할 계획이다.

림은	림/NNP+은/JX
이	이/MMD
제품을	제품/NNG+을/JKO
오는	오/VV+는/ETM
10월부터	10/SN+월/NNB+부터/JX
에스케이텔레콤(SKT)	에스케이텔레콤/NNP+(/SS+SKT/SL+)/SS
가입자들에게	가입자/NNG+들/XSN+에게/JKB
공급할	공급/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.323.3.3
에스케이텔레콤은 “개인 사용자와 직장인 대상 중저가 스마트폰 시장을 여는 전략 제품으로 블랙베리 펄을 선정했다”며 “월 4만5000원 이상 스마트폰용 정액요금제 가입을 조건으로 5만~10만원에 공급할 계획”이라고 밝혔다.

에스케이텔레콤은	에스케이텔레콤/NNP+은/JX
“개인	“/SS+개인/NNG
사용자와	사용자/NNG+와/JC
직장인	직장인/NNG
대상	대상/NNG
중저가	중저가/NNG
스마트폰	스마트폰/NNG
시장을	시장/NNG+을/JKO
여는	열/VV+는/ETM
전략	전략/NNG
제품으로	제품/NNG+으로/JKB
블랙베리	블랙베리/NNP
펄을	펄/NNP+을/JKO
선정했다”며	선정/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“월	“/SS+월/NNG
4만5000원	4/SN+만/NR+5000/SN+원/NNB
이상	이상/NNG
스마트폰용	스마트폰/NNG+용/XSN
정액요금제	정액/NNG+요금/NNG+제/XSN
가입을	가입/NNG+을/JKO
조건으로	조건/NNG+으로/JKB
5만~10만원에	5/SN+만/NR+~/SO+10/SN+만/NR+원/NNB+에/JKB
공급할	공급/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.323.4.1
블랙베리 펄은 기존 블랙베리 기능을 그대로 갖고 있으면서 작고 가벼워진 게 특징이다.

블랙베리	블랙베리/NNP
펄은	펄/NNP+은/JX
기존	기존/NNG
기능을	기능/NNG+을/JKO
그대로	그대로/MAG
갖고	갖/VV+고/EC
있으면서	있/VX+으면서/EC
작고	작/VA+고/EC
가벼워진	가벼워지/VV+ㄴ/ETM
게	거/NNB+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.323.4.2
너비가 50㎜로 줄어들어 손에 쥐기 편하고, 무게도 93g으로 지금까지 나온 스마트폰 가운데 가장 가볍다.

너비가	너비/NNG+가/JKS
50㎜로	50/SN+㎜/SW+로/JKB
줄어들어	줄어들/VV+어/EC
손에	손/NNG+에/JKB
쥐기	쥐/VV+기/ETN
편하고,	편하/VA+고/EC+,/SP
무게도	무게/NNG+도/JX
93g으로	93/SN+g/SW+으로/JKB
지금까지	지금/NNG+까지/JX
나온	나오/VV+ㄴ/ETM
스마트폰	스마트폰/NNG
가운데	가운데/NNG
가장	가장/MAG
가볍다.	가볍/VA+다/EF+./SF


# id : NWRW1800000028.323.4.3
블랙·핑크·화이트 등 세 가지 색깔 제품이 함께 공급된다.

블랙·핑크·화이트	블랙/NNG+·/SP+핑크/NNG+·/SP+화이트/NNG
등	등/NNB
세	세/MMN
가지	가지/NNB
색깔	색깔/NNG
제품이	제품/NNG+이/JKS
함께	함께/MAG
공급된다.	공급/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.323.5.1
김순형 에스케이텔레콤 솔루션사업본부장은 “스마트폰 시장이 대중화 단계로 접어들면서 작고 가벼우며 자판 달린 것을 찾는 고객들이 늘고 있다”며 “스마트폰 기능을 활용하면서 쉽게 휴대할 수 있어 직장인뿐만 아니라 개인 사용자들에게도 인기를 끌 것으로 본다”고 말했다.

김순형	김순형/NNP
에스케이텔레콤	에스케이텔레콤/NNP
솔루션사업본부장은	솔루션/NNG+사업/NNG+본부장/NNG+은/JX
“스마트폰	“/SS+스마트폰/NNG
시장이	시장/NNG+이/JKS
대중화	대중/NNG+화/XSN
단계로	단계/NNG+로/JKB
접어들면서	접어들/VV+면서/EC
작고	작/VA+고/EC
가벼우며	가볍/VA+으며/EC
자판	자판/NNG
달린	달리/VV+ㄴ/ETM
것을	것/NNB+을/JKO
찾는	찾/VV+는/ETM
고객들이	고객/NNG+들/XSN+이/JKS
늘고	늘/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
기능을	기능/NNG+을/JKO
활용하면서	활용/NNG+하/XSV+면서/EC
쉽게	쉽/VA+게/EC
휴대할	휴대/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
직장인뿐만	직장인/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
개인	개인/NNG
사용자들에게도	사용자/NNG+들/XSN+에게/JKB+도/JX
인기를	인기/NNG+를/JKO
끌	끌/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
본다”고	보/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


