# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.267
metadata : {}


# id : NWRW1800000032.267.1.1
‘구제역 방제’ 과로끝 출근길 심근경색 사망법원 “축협 근로자 업무상 재해”

‘구제역	‘/SS+구제역/NNG
방제’	방제/NNG+’/SS
과로끝	과로/NNG+끝/NNG
출근길	출근길/NNG
심근경색	심근/NNG+경색/NNG
사망법원	사망/NNG+법원/NNG
“축협	“/SS+축협/NNP
근로자	근로자/NNG
업무상	업무/NNG+상/XSN
재해”	재해/NNG+”/SS


# id : NWRW1800000032.267.2.1
유족급여 지급 거부 ‘위법’ 판결

유족급여	유족/NNG+급여/NNG
지급	지급/NNG
거부	거부/NNG
‘위법’	‘/SS+위법/NNG+’/SS
판결	판결/NNG


# id : NWRW1800000032.267.3.1
법원이 지난해 구제역 발생 이후 방역작업에 동원돼 과로를 한 나머지 출근길에 숨진 축협 근로자의 업무상 재해를 인정해줘야 한다고 판결했다.

법원이	법원/NNG+이/JKS
지난해	지난해/NNG
구제역	구제역/NNG
발생	발생/NNG
이후	이후/NNG
방역작업에	방역/NNG+작업/NNG+에/JKB
동원돼	동원/NNG+되/XSV+어/EC
과로를	과로/NNG+를/JKO
한	하/VV+ㄴ/ETM
나머지	나머지/NNG
출근길에	출근길/NNG+에/JKB
숨진	숨지/VV+ㄴ/ETM
축협	축협/NNP
근로자의	근로자/NNG+의/JKG
업무상	업무/NNG+상/XSN
재해를	재해/NNG+를/JKO
인정해줘야	인정/NNG+하/XSV+아/EC+주/VX+어야/EC
한다고	하/VX+ㄴ다고/EC
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.267.4.1
2010년 11월 경북 안동에서 처음 발생한 구제역이 경기도 양주시까지 확산되자 양주축산업협동조합은 비상근무체제에 들어갔다.

2010년	2010/SN+년/NNB
11월	11/SN+월/NNB
경북	경북/NNP
안동에서	안동/NNP+에서/JKB
처음	처음/NNG
발생한	발생/NNG+하/XSV+ㄴ/ETM
구제역이	구제역/NNG+이/JKS
경기도	경기도/NNP
양주시까지	양주시/NNP+까지/JX
확산되자	확산/NNG+되/XSV+자/EC
양주축산업협동조합은	양주축산업협동조합/NNP+은/JX
비상근무체제에	비상근무/NNG+체제/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.267.4.2
양주축협 경제기획팀에 근무하던 민아무개(32)씨는 당시 고객관리 등 사무실에서 일하는 직원이었지만, 구제역 차단을 위해 평일과 주말에 방역작업에도 동원됐다.

양주축협	양주축협/NNP
경제기획팀에	경제/NNG+기획/NNG+팀/NNG+에/JKB
근무하던	근무/NNG+하/XSV+던/ETM
민아무개(32)씨는	민/NNP+아무개/NP+(/SS+32/SN+)/SS+씨/NNB+는/JX
당시	당시/NNG
고객관리	고객/NNG+관리/NNG
등	등/NNB
사무실에서	사무실/NNG+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
직원이었지만,	직원/NNG+이/VCP+었/EP+지만/EC+,/SP
구제역	구제역/NNG
차단을	차단/NNG+을/JKO
