# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.70
metadata : {}


# id : NWRW1800000022.70.1.1
산후풍이요?

산후풍이요?	산후풍/NNG+이요/JX+?/SF


# id : NWRW1800000022.70.1.2
'산후 갑상선염'입니다;몸 전체 붓고 팔다리 저려출산 3개월 후 증상 나타나

'산후	'/SS+산후/NNG
갑상선염'입니다;몸	갑상선염/NNG+'/SS+이/VCP+ㅂ니다/EF+;/SP+몸/NNG
전체	전체/NNG
붓고	붓/VV+고/EC
팔다리	팔다리/NNG
저려출산	저리/VA+어/EF+출산/NNG
3개월	3/SN+개월/NNB
후	후/NNG
증상	증상/NNG
나타나	나타나/VV+아/EF


# id : NWRW1800000022.70.2.1
김모(31)씨는 작년 7월에 아기를 낳고 석달쯤 지난 이후부터 가슴이 두근거리고 땀이 많이 나며 몸이 으슬으슬하게 춥고 나른한 증상을 겪고 있다.

김모(31)씨는	김/NNP+모/NP+(/SS+31/SN+)/SS+씨/NNB+는/JX
작년	작년/NNG
7월에	7/SN+월/NNB+에/JKB
아기를	아기/NNG+를/JKO
낳고	낳/VV+고/EC
석달쯤	석/MMN+달/NNB+쯤/XSN
지난	지나/VV+ㄴ/ETM
이후부터	이후/NNG+부터/JX
가슴이	가슴/NNG+이/JKS
두근거리고	두근거리/VV+고/EC
땀이	땀/NNG+이/JKS
많이	많이/MAG
나며	나/VV+며/EC
몸이	몸/NNG+이/JKS
으슬으슬하게	으슬으슬/MAG+하/XSA+게/EC
춥고	춥/VA+고/EC
나른한	나른하/VA+ㄴ/ETM
증상을	증상/NNG+을/JKO
겪고	겪/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.70.2.2
그러다가 어느 순간부터는 극심한 피로감에 몸이 붓고 관절통까지 심하게 나타났다.

그러다가	그러/VV+다가/EC
어느	어느/MMD
순간부터는	순간/NNG+부터/JX+는/JX
극심한	극심하/VA+ㄴ/ETM
피로감에	피로감/NNG+에/JKB
몸이	몸/NNG+이/JKS
붓고	붓/VV+고/EC
관절통까지	관절통/NNG+까지/JX
심하게	심하/VA+게/EC
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.70.3.1
처음에는 아기를 낳고 산후조리를 잘못 해서 그런가 싶었으나 대수롭지 않게 지냈다.

처음에는	처음/NNG+에/JKB+는/JX
아기를	아기/NNG+를/JKO
낳고	낳/VV+고/EC
산후조리를	산후조리/NNG+를/JKO
잘못	잘못/MAG
해서	하/VV+아서/EC
그런가	그렇/VA+ㄴ가/EF
싶었으나	싶/VX+었/EP+으나/EC
대수롭지	대수/NNG+롭/XSA+지/EC
않게	않/VX+게/EC
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.70.3.2
'산후풍'이 오면 그럴 수 있다는 주위 사람들의 말을 듣고 한약을 지어 먹기도 했으나 좋아지지 않아 병원에서 진료를 받았다.

'산후풍'이	'/SS+산후풍/NNG+'/SS+이/JKS
오면	오/VV+면/EC
그럴	그렇/VA+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
주위	주위/NNG
