# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.186
metadata : {}


# id : NWRW1800000029.186.1.1
[휴지통]CCTV에 찍힌 얼굴 지우겠다며… 모니터만 들고 도망간 컴맹도둑

[휴지통]CCTV에	[/SS+휴지통/NNG+]/SS+CCTV/SL+에/JKB
찍힌	찍히/VV+ㄴ/ETM
얼굴	얼굴/NNG
지우겠다며…	지우/VV+겠/EP+다며/EC+…/SE
모니터만	모니터/NNG+만/JX
들고	들/VV+고/EC
도망간	도망가/VV+ㄴ/ETM
컴맹도둑	컴맹/NNG+도둑/NNG


# id : NWRW1800000029.186.2.1
유유히 범행 현장을 빠져나오던 빈집털이범 문모 씨(50)는 순간 뒷걸음질쳤다.

유유히	유유히/MAG
범행	범행/NNG
현장을	현장/NNG+을/JKO
빠져나오던	빠져나오/VV+던/ETM
빈집털이범	빈집/NNG+털이범/NNG
문모	문/NNP+모/NP
씨(50)는	씨/NNB+(/SS+50/SN+)/SS+는/JX
순간	순간/NNG
뒷걸음질쳤다.	뒷걸음질치/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.186.2.2
건물 외벽에 작은 폐쇄회로(CC)TV 카메라가 문 씨를 노려보고 있었다.

건물	건물/NNG
외벽에	외벽/NNG+에/JKB
작은	작/VA+은/ETM
폐쇄회로(CC)TV	폐쇄/NNG+회로/NNG+(/SS+CC/SL+)/SS+TV/SL
카메라가	카메라/NNG+가/JKS
문	문/NNP
씨를	씨/NNB+를/JKO
노려보고	노려보/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.186.2.3
특수절도 20범으로 범행 현장에 지문 하나, 머리카락 한 올 남기지 않을 정도로 베테랑임을 자처하던 문 씨가 CCTV에 자신의 모습을 남길 수는 없었다.

특수절도	특수/NNG+절도/NNG
20범으로	20/SN+범/NNB+으로/JKB
범행	범행/NNG
현장에	현장/NNG+에/JKB
지문	지문/NNG
하나,	하나/NR+,/SP
머리카락	머리카락/NNG
한	한/MMN
올	올/NNG
남기지	남기/VV+지/EC
않을	않/VX+을/ETM
정도로	정도/NNG+로/JKB
베테랑임을	베테랑/NNG+이/VCP+ㅁ/ETN+을/JKO
자처하던	자처/NNG+하/XSV+던/ETM
문	문/NNP
씨가	씨/NNB+가/JKS
CCTV에	CCTV/SL+에/JKB
자신의	자신/NNG+의/JKG
모습을	모습/NNG+을/JKO
남길	남기/VV+ㄹ/ETM
수는	수/NNB+는/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.186.2.4
방금 빠져나온 2층 집 거실로 다시 침입한 문 씨는 건물 밖 모습을 생생하게 보여주고 있는 컴퓨터 모니터를 코드째 뽑아들고 나왔다.

방금	방금/MAG
빠져나온	빠져나오/VV+ㄴ/ETM
2층	2/SN+층/NNG
집	집/NNG
거실로	거실/NNG+로/JKB
다시	다시/MAG
침입한	침입/NNG+하/XSV+ㄴ/ETM
문	문/NNP
씨는	씨/NNB+는/JX
건물	건물/NNG
밖	밖/NNG
모습을	모습/NNG+을/JKO
생생하게	생생하/VA+게/EC
보여주고	보이/VV+어/EC+주/VX+고/EC
있는	있/VX+는/ETM
컴퓨터	컴퓨터/NNG
모니터를	모니터/NNG+를/JKO
코드째	코드/NNG+째/XSN
뽑아들고	뽑/VV+아/EC+들/VV+고/EC
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.186.2.5
CCTV는 이 집에 사는 건물주 김모 씨(39·여)가 집 앞에 몰래 쓰레기를 버리고 가는 얌체족을 잡아내기 위해 설치한 것이었다.

CCTV는	CCTV/SL+는/JX
이	이/MMD
집에	집/NNG+에/JKB
사는	살/VV+는/ETM
건물주	건물주/NNG
김모	김/NNP+모/NP
씨(39·여)가	씨/NNB+(/SS+39/SN+·/SP+여/NNG+)/SS+가/JKS
집	집/NNG
앞에	앞/NNG+에/JKB
몰래	몰래/MAG
쓰레기를	쓰레기/NNG+를/JKO
버리고	버리/VV+고/EC
가는	가/VX+는/ETM
얌체족을	얌체족/NNG+을/JKO
잡아내기	잡아내/VV+기/ETN
위해	위하/VV+아/EC
설치한	설치/NNG+하/XSV+ㄴ/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.186.3.1
그런데 증거 인멸을 위해서는 하드디스크가 담긴 본체를 들고 나와야 하는데, 그만 모니터만 챙기면서 문 씨의 범죄행각은 들통이 났다.

그런데	그런데/MAJ
증거	증거/NNG
인멸을	인멸/NNG+을/JKO
위해서는	위하/VV+아서/EC+는/JX
하드디스크가	하드/NNG+디스크/NNG+가/JKS
담긴	담기/VV+ㄴ/ETM
본체를	본체/NNG+를/JKO
들고	들/VV+고/EC
나와야	나오/VV+아야/EC
하는데,	하/VX+는데/EC+,/SP
그만	그만/MAG
모니터만	모니터/NNG+만/JX
챙기면서	챙기/VV+면서/EC
문	문/NNP
씨의	씨/NNB+의/JKG
범죄행각은	범죄/NNG+행각/NNG+은/JX
들통이	들통/NNG+이/JKS
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.186.3.2
경찰은 CCTV 기록을 바탕으로 1만2000여 명의 동일 수법 전과자 사진을 대조한 끝에 12일 오후 3시경 금천구 시흥동 자택을 나서던 문 씨를 붙잡았다.

경찰은	경찰/NNG+은/JX
CCTV	CCTV/SL
기록을	기록/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
1만2000여	1/SN+만/NR+2000/SN+여/XSN
명의	명/NNB+의/JKG
동일	동일/NNG
수법	수법/NNG
전과자	전과자/NNG
사진을	사진/NNG+을/JKO
대조한	대조/NNG+하/XSV+ㄴ/ETM
끝에	끝/NNG+에/JKB
12일	12/SN+일/NNB
오후	오후/NNG
3시경	3/SN+시/NNB+경/XSN
금천구	금천구/NNP
시흥동	시흥동/NNP
자택을	자택/NNG+을/JKO
나서던	나서/VV+던/ETM
문	문/NNP
씨를	씨/NNB+를/JKO
붙잡았다.	붙잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.186.3.3
서울 관악경찰서는 지난해 3월 23일 관악구 봉천동 김 씨 집에 침입해 150만 원 상당의 귀금속을 훔치고 증거를 인멸하려고 컴퓨터 모니터를 가지고 나온 혐의로 문 씨에 대해 구속영장을 신청했다고 14일 밝혔다.

서울	서울/NNP
관악경찰서는	관악경찰서/NNP+는/JX
지난해	지난해/NNG
3월	3/SN+월/NNB
23일	23/SN+일/NNB
관악구	관악구/NNP
봉천동	봉천동/NNP
김	김/NNP
씨	씨/NNB
집에	집/NNG+에/JKB
침입해	침입/NNG+하/XSV+아/EC
150만	150/SN+만/NR
원	원/NNB
상당의	상당/NNG+의/JKG
귀금속을	귀금속/NNG+을/JKO
훔치고	훔치/VV+고/EC
증거를	증거/NNG+를/JKO
인멸하려고	인멸/NNG+하/XSV+려고/EC
컴퓨터	컴퓨터/NNG
모니터를	모니터/NNG+를/JKO
가지고	가지/VV+고/EC
