# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.397
metadata : {}


# id : NWRW1800000024.397.1.1
국민참여재판 거부되고 변호인단 총사퇴

국민참여재판	국민/NNG+참여/NNG+재판/NNG
거부되고	거부/NNG+되/XSV+고/EC
변호인단	변호인단/NNG
총사퇴	총사퇴/NNG


# id : NWRW1800000024.397.2.1
‘용산 참사’ 공판은 검찰, 법원, 피고인들, 변호인단 사이의 날카로운 대립으로 점철됐고, 다른 재판에서 보기 어려운 갈등 양상들이 두드러졌다.

‘용산	‘/SS+용산/NNP
참사’	참사/NNG+’/SS
공판은	공판/NNG+은/JX
검찰,	검찰/NNG+,/SP
법원,	법원/NNG+,/SP
피고인들,	피고인/NNG+들/XSN+,/SP
변호인단	변호인단/NNG
사이의	사이/NNG+의/JKG
날카로운	날카롭/VA+ㄴ/ETM
대립으로	대립/NNG+으로/JKB
점철됐고,	점철/NNG+되/XSV+었/EP+고/EC+,/SP
다른	다른/MMD
재판에서	재판/NNG+에서/JKB
보기	보/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
갈등	갈등/NNG
양상들이	양상/NNG+들/XSN+이/JKS
두드러졌다.	두드러지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.397.3.1
검찰과 피고인들 사이의 실랑이는 정식 공판 전부터 벌어졌다.

검찰과	검찰/NNG+과/JC
피고인들	피고인/NNG+들/XSN
사이의	사이/NNG+의/JKG
실랑이는	실랑이/NNG+는/JX
정식	정식/NNG
공판	공판/NNG
전부터	전/NNG+부터/JX
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.397.3.2
검찰은 특수공무방해치사 혐의로 기소된 4명이 지난 2월 국민참여재판을 신청하자 경찰, 소방관, 용역 직원 등 60여명을 무더기로 증인 신청했다.

검찰은	검찰/NNG+은/JX
특수공무방해치사	특수/NNG+공무/NNG+방해/NNG+치사/NNG
혐의로	혐의/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
4명이	4/SN+명/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
국민참여재판을	국민/NNG+참여/NNG+재판/NNG+을/JKO
신청하자	신청/NNG+하/XSV+자/EC
경찰,	경찰/NNG+,/SP
소방관,	소방관/NNG+,/SP
용역	용역/NNG
직원	직원/NNG
등	등/NNB
60여명을	60/SN+여/XSN+명/NNB+을/JKO
무더기로	무더기/NNG+로/JKB
증인	증인/NNG
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.397.3.3
배심원들의 생업 등을 고려해 통상 1~2일 동안 열리는 참여재판의 특성상 증인 60여명을 신문하고, 증거조사까지 한다는 것은 사실상 불가능했다.

배심원들의	배심원/NNG+들/XSN+의/JKG
생업	생업/NNG
등을	등/NNB+을/JKO
고려해	고려/NNG+하/XSV+아/EC
통상	통상/MAG
1~2일	1/SN+~/SO+2/SN+일/NNB
동안	동안/NNG
열리는	열리/VV+는/ETM
참여재판의	참여/NNG+재판/NNG+의/JKG
특성상	특성/NNG+상/XSN
증인	증인/NNG
60여명을	60/SN+여/XSN+명/NNB+을/JKO
신문하고,	신문/NNG+하/XSV+고/EC+,/SP
증거조사까지	증거/NNG+조사/NNG+까지/JX
한다는	하/VV+ㄴ다는/ETM
것은	것/NNB+은/JX
사실상	사실상/MAG
불가능했다.	불/XPN+가능/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000024.397.3.4
변호인단은 “검찰이 중복적으로 증인을 신청해 참여재판을 방해한다”며 반발했지만, 법원은 “배심원단에게 부담을 줄 수 있다”며 사건을 국민참여재판으로 심리하지 않기로 했다.

변호인단은	변호인단/NNG+은/JX
“검찰이	“/SS+검찰/NNG+이/JKS
중복적으로	중복/NNG+적/XSN+으로/JKB
증인을	증인/NNG+을/JKO
신청해	신청/NNG+하/XSV+아/EC
참여재판을	참여/NNG+재판/NNG+을/JKO
방해한다”며	방해/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
반발했지만,	반발/NNG+하/XSV+았/EP+지만/EC+,/SP
법원은	법원/NNG+은/JX
“배심원단에게	“/SS+배심원단/NNG+에게/JKB
부담을	부담/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
사건을	사건/NNG+을/JKO
국민참여재판으로	국민/NNG+참여/NNG+재판/NNG+으로/JKB
심리하지	심리/NNG+하/XSV+지/EC
않기로	않/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.397.4.1
검찰이 법원의 공개 명령에도 미공개 수사기록 3000여쪽을 공개하지 않은 것은 특히 논란이 됐다.

검찰이	검찰/NNG+이/JKS
법원의	법원/NNG+의/JKG
공개	공개/NNG
명령에도	명령/NNG+에/JKB+도/JX
미공개	미/XPN+공개/NNG
수사기록	수사/NNG+기록/NNG
3000여쪽을	3000/SN+여/XSN+쪽/NNG+을/JKO
공개하지	공개/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
것은	것/NNB+은/JX
특히	특히/MAG
논란이	논란/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.397.4.2
변호인단은 검찰이 공개를 거부하면 수사기록을 압수해 달라고 재판부에 요구했지만 받아들여지지 않았다.

변호인단은	변호인단/NNG+은/JX
검찰이	검찰/NNG+이/JKS
공개를	공개/NNG+를/JKO
거부하면	거부/NNG+하/XSV+면/EC
수사기록을	수사/NNG+기록/NNG+을/JKO
압수해	압수/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
재판부에	재판부/NNG+에/JKB
요구했지만	요구/NNG+하/XSV+았/EP+지만/EC
받아들여지지	받아들이/VV+어/EC+지/VX+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.397.4.3
이에 변호인단은 법관기피신청을 냈지만 대법원까지 올라가 기각당했다.

이에	이/NP+에/JKB
변호인단은	변호인단/NNG+은/JX
법관기피신청을	법관/NNG+기피/NNG+신청/NNG+을/JKO
냈지만	내/VV+었/EP+지만/EC
대법원까지	대/XPN+법원/NNG+까지/JX
올라가	올라가/VV+아/EC
기각당했다.	기각/NNG+당하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.397.4.4
변호인단은 결국 지난 8월20일 공판에서 변론 거부를 선언했고, 얼마 뒤 “변호인들이 더 이상 할 수 있는 게 없다”며 사임계를 냈다.

변호인단은	변호인단/NNG+은/JX
결국	결국/MAG
지난	지나/VV+ㄴ/ETM
8월20일	8/SN+월/NNB+20/SN+일/NNB
공판에서	공판/NNG+에서/JKB
변론	변론/NNG
거부를	거부/NNG+를/JKO
선언했고,	선언/NNG+하/XSV+았/EP+고/EC+,/SP
얼마	얼마/NNG
뒤	뒤/NNG
“변호인들이	“/SS+변호인/NNG+들/XSN+이/JKS
더	더/MAG
이상	이상/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
게	거/NNB+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
사임계를	사임계/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.397.4.5
공방이 달아오르면서, 재판부도 강경한 태도를 보였다.

공방이	공방/NNG+이/JKS
달아오르면서,	달아오르/VV+면서/EC+,/SP
재판부도	재판부/NNG+도/JX
강경한	강경/NNG+하/XSA+ㄴ/ETM
태도를	태도/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.397.4.6
재판부는 지난달 8일 공판에서 피고인들과 변호인단에게 “외부 세력의 사주에 의해 재판을 지연하는 등 재판정을 정치적 논쟁의 장으로 만들지 말라”고 경고하기도 했다.

재판부는	재판부/NNG+는/JX
지난달	지난달/NNG
8일	8/SN+일/NNB
공판에서	공판/NNG+에서/JKB
피고인들과	피고인/NNG+들/XSN+과/JC
변호인단에게	변호인단/NNG+에게/JKB
“외부	“/SS+외부/NNG
세력의	세력/NNG+의/JKG
사주에	사주/NNG+에/JKB
의해	의하/VV+아/EC
재판을	재판/NNG+을/JKO
지연하는	지연/NNG+하/XSV+는/ETM
등	등/NNB
재판정을	재판정/NNG+을/JKO
정치적	정치/NNG+적/XSN
논쟁의	논쟁/NNG+의/JKG
장으로	장/NNG+으로/JKB
만들지	만들/VV+지/EC
말라”고	말/VX+라/EF+”/SS+고/JKQ
경고하기도	경고/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.397.4.7
재판 진행 방식에 항의하는 방청객들이 무더기로 감치당하기도 했다.

재판	재판/NNG
진행	진행/NNG
방식에	방식/NNG+에/JKB
항의하는	항의/NNG+하/XSV+는/ETM
방청객들이	방청객/NNG+들/XSN+이/JKS
무더기로	무더기/NNG+로/JKB
감치당하기도	감치/NNG+당하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.397.4.8
피고인들과 방청객들은 법정에서 침묵시위를 벌이거나 재판부에 등을 돌리기도 하는 등 용산 참사 재판은 내내 매끄럽게 진행되지 못했다.

피고인들과	피고인/NNG+들/XSN+과/JC
방청객들은	방청객/NNG+들/XSN+은/JX
법정에서	법정/NNG+에서/JKB
침묵시위를	침묵시위/NNG+를/JKO
벌이거나	벌이/VV+거나/EC
재판부에	재판부/NNG+에/JKB
등을	등/NNG+을/JKO
돌리기도	돌리/VV+기/ETN+도/JX
하는	하/VV+는/ETM
등	등/NNB
용산	용산/NNP
참사	참사/NNG
재판은	재판/NNG+은/JX
내내	내내/MAG
매끄럽게	매끄럽/VA+게/EC
진행되지	진행/NNG+되/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


