# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.7
metadata : {}


# id : NWRW1800000037.7.1.1
삼성전자, 예상대로 최대 실적 “올핸…”

삼성전자,	삼성전자/NNP+,/SP
예상대로	예상/NNG+대로/JX
최대	최대/NNG
실적	실적/NNG
“올핸…”	“/SS+올해/NNG+ㄴ/JX+…/SE+”/SS


# id : NWRW1800000037.7.2.1
2012년 4분기 반도체부문도 호전… 年매출 201조원-영업익 29조원 “환차손 올해 3조원 넘을수도”

2012년	2012/SN+년/NNB
4분기	4/SN+분기/NNG
반도체부문도	반도체/NNG+부문/NNG+도/JX
호전…	호전/NNG+…/SE
年매출	年/SH+매출/NNG
201조원-영업익	201/SN+조/NR+원/NNB+-/SO+영업익/NNG
29조원	29/SN+조/NR+원/NNB
“환차손	“/SS+환차손/NNG
올해	올해/NNG
3조원	3/SN+조/NR+원/NNB
넘을수도”	넘/VV+을/ETM+수/NNB+도/JX+”/SS


# id : NWRW1800000037.7.3.1
삼성전자는 지난해 4분기(10∼12월)에 매출 56조600억 원, 영업이익 8조8400억 원으로 사상 최대 실적을 올렸다고 25일 밝혔다.

삼성전자는	삼성전자/NNP+는/JX
지난해	지난해/NNG
4분기(10∼12월)에	4/SN+분기/NNG+(/SS+10/SN+∼/SO+12/SN+월/NNB+)/SS+에/JKB
매출	매출/NNG
56조600억	56/SN+조/NR+600/SN+억/NR
원,	원/NNB+,/SP
영업이익	영업/NNG+이익/NNG
8조8400억	8/SN+조/NR+8400/SN+억/NR
원으로	원/NNB+으로/JKB
사상	사상/NNG
최대	최대/NNG
실적을	실적/NNG+을/JKO
올렸다고	올리/VV+었/EP+다고/EC
25일	25/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.7.3.2
지난해 전체로는 매출 201조1000억 원, 영업이익 29조500억 원의 성적을 거둬 예상대로 국내 기업 가운데 처음으로 연매출 ‘200조 클럽’에 가입했다.

지난해	지난해/NNG
전체로는	전체/NNG+로/JKB+는/JX
매출	매출/NNG
201조1000억	201/SN+조/NR+1000/SN+억/NR
원,	원/NNB+,/SP
영업이익	영업/NNG+이익/NNG
29조500억	29/SN+조/NR+500/SN+억/NR
원의	원/NNB+의/JKG
성적을	성적/NNG+을/JKO
거둬	거두/VV+어/EC
예상대로	예상/NNG+대로/JX
국내	국내/NNG
기업	기업/NNG
가운데	가운데/NNG
처음으로	처음/NNG+으로/JKB
연매출	연/NNG+매출/NNG
‘200조	‘/SS+200/SN+조/NR
클럽’에	클럽/NNG+’/SS+에/JKB
가입했다.	가입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.7.4.1
그동안 고전했던 반도체 부문도 크게 호전됐다.

그동안	그동안/NNG
고전했던	고전/NNG+하/XSV+았/EP+던/ETM
반도체	반도체/NNG
부문도	부문/NNG+도/JX
크게	크/VA+게/EC
호전됐다.	호전/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.7.4.2
4분기 반도체 부문의 매출은 9조5900억 원으로 전 분기보다 10% 증가했고, 영업이익은 1조4200억 원으로 39% 늘었다.

4분기	4/SN+분기/NNG
반도체	반도체/NNG
부문의	부문/NNG+의/JKG
매출은	매출/NNG+은/JX
9조5900억	9/SN+조/NR+5900/SN+억/NR
원으로	원/NNB+으로/JKB
전	전/MMD
분기보다	분기/NNG+보다/JKB
10%	10/SN+%/SW
증가했고,	증가/NNG+하/XSV+았/EP+고/EC+,/SP
영업이익은	영업/NNG+이익/NNG+은/JX
1조4200억	1/SN+조/NR+4200/SN+억/NR
39%	39/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.7.4.3
이는 최근 모바일기기 보급이 확산되면서 반도체 수요가 늘어났기 때문으로 풀이된다.

이는	이/NP+는/JX
최근	최근/MAG
모바일기기	모바일/NNG+기기/NNG
보급이	보급/NNG+이/JKS
확산되면서	확산/NNG+되/XSV+면서/EC
반도체	반도체/NNG
수요가	수요/NNG+가/JKS
늘어났기	늘어나/VV+았/EP+기/ETN
때문으로	때문/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.7.4.4
노근창 HMC투자증권 애널리스트는 “특히 삼성전자 반도체를 쓰는 애플이 ‘아이폰5’와 ‘아이패드 미니’를 출시해 반도체 판매량이 늘었다”고 설명했다.

노근창	노근창/NNP
HMC투자증권	HMC투자증권/NNP
애널리스트는	애널리스트/NNG+는/JX
“특히	“/SS+특히/MAG
삼성전자	삼성전자/NNP
반도체를	반도체/NNG+를/JKO
쓰는	쓰/VV+는/ETM
애플이	애플/NNP+이/JKS
‘아이폰5’와	‘/SS+아이폰5/NNP+’/SS+와/JC
‘아이패드	‘/SS+아이패드/NNP
미니’를	미니/NNG+’/SS+를/JKO
출시해	출시/NNG+하/XSV+아/EC
반도체	반도체/NNG
판매량이	판매량/NNG+이/JKS
늘었다”고	늘/VV+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.7.5.1
이 같은 상승세가 지속될지는 불확실하다.

이	이/NP
같은	같/VA+은/ETM
상승세가	상승세/NNG+가/JKS
지속될지는	지속/NNG+되/XSV+ㄹ지/EF+는/JX
불확실하다.	불확실/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000037.7.5.2
시장의 전망처럼 애플의 스마트폰, 태블릿PC 출하량이 1분기(1∼3월) 27%가량 줄어들 경우 삼성전자 반도체 부문도 영향을 받을 수밖에 없다.

시장의	시장/NNG+의/JKG
전망처럼	전망/NNG+처럼/JKB
애플의	애플/NNP+의/JKG
스마트폰,	스마트폰/NNG+,/SP
태블릿PC	태블릿/NNG+PC/SL
출하량이	출하량/NNG+이/JKS
1분기(1∼3월)	1/SN+분기/NNG+(/SS+1/SN+∼/SO+3/SN+월/NNB+)/SS
27%가량	27/SN+%/SW+가량/XSN
줄어들	줄어들/VV+ㄹ/ETM
경우	경우/NNG
삼성전자	삼성전자/NNP
반도체	반도체/NNG
부문도	부문/NNG+도/JX
영향을	영향/NNG+을/JKO
받을	받/VV+을/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000037.7.5.3
