# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.166
metadata : {}


# id : NWRW1800000029.166.1.1
요즘 이분 때문에 극장가 배꼽 빠져요

요즘	요즘/NNG
이분	이분/NP
때문에	때문/NNB+에/JKB
극장가	극장가/NNG
배꼽	배꼽/NNG
빠져요	빠지/VV+어요/EF


# id : NWRW1800000029.166.2.1
■올 4편째 출연 배우 김수미

■올	■/SW+올/NNG
4편째	4/SN+편/NNB+째/XSN
출연	출연/NNG
배우	배우/NNG
김수미	김수미/NNP


# id : NWRW1800000029.166.3.1
코믹영화 ‘사랑이 무서워’에서 가장 눈에 띄는 배우는 주인공인 임창정, 김규리가 아니다.

코믹영화	코믹/NNG+영화/NNG
‘사랑이	‘/SS+사랑/NNG+이/JKS
무서워’에서	무섭/VA+어/EC+’/SS+에서/JKB
가장	가장/MAG
눈에	눈/NNG+에/JKB
띄는	띄/VV+는/ETM
배우는	배우/NNG+는/JX
주인공인	주인공/NNG+이/VCP+ㄴ/ETM
임창정,	임창정/NNP+,/SP
김규리가	김규리/NNP+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000029.166.3.2
잠깐 나왔다 들어가는 카메오 김수미(60·사진)다.

잠깐	잠깐/MAG
나왔다	나오/VV+았/EP+다/EC
들어가는	들어가/VV+는/ETM
카메오	카메오/NNG
김수미(60·사진)다.	김수미/NNP+(/SS+60/SN+·/SP+사진/NNG+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000029.166.4.1
‘야동’을 보며 김규리와 통화 중이던 아들 임창정의 방문을 갑자기 열어젖히며 “이런 썩을 ×, 또 그런 것 보냐”며 걸쭉한 입담을 과시하고, 임창정은 “아, (전화 저편에서) 다 들었잖아”라고 울부짖는다.

‘야동’을	‘/SS+야동/NNG+’/SS+을/JKO
보며	보/VV+며/EC
김규리와	김규리/NNP+와/JKB
통화	통화/NNG
중이던	중/NNB+이/VCP+던/ETM
아들	아들/NNG
임창정의	임창정/NNP+의/JKG
방문을	방문/NNG+을/JKO
갑자기	갑자기/MAG
열어젖히며	열어젖히/VV+며/EC
“이런	“/SS+이런/MMD
썩을	썩/VV+을/ETM
×,	×/SW+,/SP
또	또/MAG
그런	그런/MMD
것	것/NNB
보냐”며	보/VV+냐/EF+”/SS+며/EC
걸쭉한	걸쭉하/VA+ㄴ/ETM
입담을	입담/NNG+을/JKO
과시하고,	과시/NNG+하/XSV+고/EC+,/SP
임창정은	임창정/NNP+은/JX
“아,	“/SS+아/IC+,/SP
(전화	(/SS+전화/NNG
저편에서)	저편/NP+에서/JKB+)/SS
다	다/MAG
