# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.205
metadata : {}


# id : NWRW1800000038.205.1.1
금연단속 한달, 흡연 마케팅 펼치는 꼼수 가게들

금연단속	금연/NNG+단속/NNG
한달,	한/MMN+달/NNB+,/SP
흡연	흡연/NNG
마케팅	마케팅/NNG
펼치는	펼치/VV+는/ETM
꼼수	꼼수/NNG
가게들	가게/NNG+들/XSN


# id : NWRW1800000038.205.2.1
전국 곳곳 흡연 가능 간판 내건 업소 우후죽순 생겨나

전국	전국/NNG
곳곳	곳곳/NNG
흡연	흡연/NNG
가능	가능/NNG
간판	간판/NNG
내건	내걸/VV+ㄴ/ETM
업소	업소/NNG
우후죽순	우후죽순/NNG
생겨나	생겨나/VV+아/EF


# id : NWRW1800000038.205.3.1
5일 오후 서울 마포구에 있는 한 소형 주점.

5일	5/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
마포구에	마포구/NNP+에/JKB
있는	있/VA+는/ETM
한	한/MMN
소형	소형/NNG
주점.	주점/NNG+./SF


# id : NWRW1800000038.205.3.2
입구에서 '실내 흡연 가능'이라는 표지를 보고 한 손님이 "담배를 피울 수 있느냐"고 묻자 종업원은 "피울 수 있다"고 대답했다.

입구에서	입구/NNG+에서/JKB
'실내	'/SS+실내/NNG
흡연	흡연/NNG
가능'이라는	가능/NNG+'/SS+이/VCP+라는/ETM
표지를	표지/NNG+를/JKO
보고	보/VV+고/EC
한	한/MMN
손님이	손/NNG+님/XSN+이/JKS
"담배를	"/SS+담배/NNG+를/JKO
피울	피우/VV+ㄹ/ETM
수	수/NNB
있느냐"고	있/VA+느냐/EF+"/SS+고/JKQ
묻자	묻/VV+자/EC
종업원은	종업원/NNG+은/JX
"피울	"/SS+피우/VV+ㄹ/ETM
있다"고	있/VA+다/EF+"/SS+고/JKQ
대답했다.	대답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.205.3.3
이 주점 테이블에는 둘러앉아 담배를 피우며 술을 마시는 대학생들로 가득했다.

이	이/MMD
주점	주점/NNG
테이블에는	테이블/NNG+에/JKB+는/JX
둘러앉아	둘러앉/VV+아/EC
담배를	담배/NNG+를/JKO
피우며	피우/VV+며/EC
술을	술/NNG+을/JKO
마시는	마시/VV+는/ETM
대학생들로	대학/NNG+생/XSN+들/XSN+로/JKB
가득했다.	가득/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000038.205.3.4
여자 친구와 함께 이 주점에 들어오려던 한 대학생은 "주점은 전면 금연 아니었느냐"며 불쾌한 표정으로 발길을 돌렸다.

여자	여자/NNG
친구와	친구/NNG+와/JKB
함께	함께/MAG
이	이/MMD
주점에	주점/NNG+에/JKB
들어오려던	들어오/VV+려던/ETM
한	한/MMN
대학생은	대학/NNG+생/XSN+은/JX
"주점은	"/SS+주점/NNG+은/JX
전면	전면/NNG
금연	금연/NNG
아니었느냐"며	아니/VCN+었/EP+느냐/EF+"/SS+며/EC
불쾌한	불쾌/NNG+하/XSA+ㄴ/ETM
표정으로	표정/NNG+으로/JKB
발길을	발길/NNG+을/JKO
돌렸다.	돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.205.4.1
같은 날 서울 관악구의 작은 PC방에서는 밤이 되자 손님들이 담뱃재를 종이컵에 털기 시작했다.

같은	같/VA+은/ETM
날	날/NNG
서울	서울/NNP
관악구의	관악구/NNP+의/JKG
작은	작/VA+은/ETM
PC방에서는	PC/SL+방/NNG+에서/JKB+는/JX
밤이	밤/NNG+이/JKC
되자	되/VV+자/EC
손님들이	손/NNG+님/XSN+들/XSN+이/JKS
담뱃재를	담뱃재/NNG+를/JKO
종이컵에	종이컵/NNG+에/JKB
털기	털/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.205.4.2
연기가 자욱해지자 고등학생 동생과 함께 PC방에 있던 한 여성은 자리를 떴다.

연기가	연기/NNG+가/JKS
자욱해지자	자욱하/VA+아/EC+지/VX+자/EC
고등학생	고등학생/NNG
동생과	동생/NNG+과/JKB
함께	함께/MAG
PC방에	PC/SL+방/NNG+에/JKB
있던	있/VA+던/ETM
한	한/MMN
여성은	여성/NNG+은/JX
자리를	자리/NNG+를/JKO
떴다.	뜨/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.205.4.3
카운터에 앉은 종업원은 이를 못 본 척하고 있었다.

카운터에	카운터/NNG+에/JKB
앉은	앉/VV+은/ETM
종업원은	종업원/NNG+은/JX
이를	이/NP+를/JKO
못	못/MAG
본	보/VV+ㄴ/ETM
척하고	척/NNB+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.205.4.4
PC방에서 담배를 피우던 이모(31)씨는 "단골손님이 담배 피울 때 업주가 말리기는 어렵지 않으냐"면서 "다들 단속 때문에 눈치를 보다가도 한 사람이 피우면 다 같이 담배를 입에 문다"고 말했다.

PC방에서	PC/SL+방/NNG+에서/JKB
담배를	담배/NNG+를/JKO
피우던	피우/VV+던/ETM
이모(31)씨는	이/NNP+모/NP+(/SS+31/SN+)/SS+씨/NNB+는/JX
"단골손님이	"/SS+단골손님/NNG+이/JKS
담배	담배/NNG
피울	피우/VV+ㄹ/ETM
때	때/NNG
업주가	업주/NNG+가/JKS
말리기는	말리/VV+기/ETN+는/JX
어렵지	어렵/VA+지/EC
않으냐"면서	않/VX+으냐/EF+"/SS+면서/EC
"다들	"/SS+다/MAG+들/XSN
단속	단속/NNG
때문에	때문/NNB+에/JKB
눈치를	눈치/NNG+를/JKO
보다가도	보/VV+다가/EC+도/JX
한	한/MMN
사람이	사람/NNG+이/JKS
피우면	피우/VV+면/EC
다	다/MAG
같이	같이/MAG
입에	입/NNG+에/JKB
문다"고	물/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.205.5.1
올해부터 개정된 국민건강증진법에 따라 음식점과 주점 등이 실내 흡연 불가능 지역으로 지정됐지만 여전히 실내 흡연자들은 넘쳐나고 있다.

올해부터	올해/NNG+부터/JX
개정된	개정/NNG+되/XSV+ㄴ/ETM
국민건강증진법에	국민/NNG+건강/NNG+증진/NNG+법/NNG+에/JKB
따라	따르/VV+아/EC
음식점과	음식점/NNG+과/JC
주점	주점/NNG
등이	등/NNB+이/JKS
실내	실내/NNG
흡연	흡연/NNG
불가능	불/XPN+가능/NNG
지역으로	지역/NNG+으로/JKB
지정됐지만	지정/NNG+되/XSV+었/EP+지만/EC
여전히	여전히/MAG
흡연자들은	흡연자/NNG+들/XSN+은/JX
넘쳐나고	넘치/VV+어/EC+나/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.205.5.2
면적이 100m² 이상 150m² 미만인 소형 음식점·카페 등은 내년 초부터, 100m² 미만은 2015년 초부터 실내 흡연 단속을 실시하는 등 시기가 서로 다르다.

면적이	면적/NNG+이/JKS
100m²	100/SN+m²/SW
이상	이상/NNG
150m²	150/SN+m²/SW
미만인	미만/NNG+이/VCP+ㄴ/ETM
소형	소형/NNG
음식점·카페	음식점/NNG+·/SP+카페/NNG
등은	등/NNB+은/JX
내년	내년/NNG
초부터,	초/NNB+부터/JX+,/SP
미만은	미만/NNG+은/JX
2015년	2015/SN+년/NNB
초부터	초/NNB+부터/JX
실내	실내/NNG
흡연	흡연/NNG
단속을	단속/NNG+을/JKO
