# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.106
metadata : {}


# id : NWRW1800000025.106.1.1
대기업 사내소통 ‘누가누가 잘하나’

대기업	대/XPN+기업/NNG
사내소통	사내/NNG+소통/NNG
‘누가누가	‘/SS+누구/NP+가/JKS+누구/NP+가/JKS
잘하나’	잘/MAG+하/XSV+나/EF+’/SS


# id : NWRW1800000025.106.2.1
KT의 인터넷TV(IPTV)인 쿡TV에는 ‘KBN’이라는 아무나 볼 수 없는 채널이 있다.

KT의	KT/SL+의/JKG
인터넷TV(IPTV)인	인터넷/NNG+TV/SL+(/SS+IPTV/SL+)/SS+이/VCP+ㄴ/ETM
쿡TV에는	쿡/NNG+TV/SL+에/JKB+는/JX
‘KBN’이라는	‘/SS+KBN/SL+’/SS+이/VCP+라는/ETM
아무나	아무/NP+나/JX
볼	보/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
채널이	채널/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.106.2.2
KT 직원의 가족들만 시청할 수 있는 KT의 사내방송이다.

KT	KT/SL
직원의	직원/NNG+의/JKG
가족들만	가족/NNG+들/XSN+만/JX
시청할	시청/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
KT의	KT/SL+의/JKG
사내방송이다.	사내/NNG+방송/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.106.2.3
KT는 16일 일부 직원을 대상으로 ‘집으로 찾아가는 사내방송’ 시범 서비스를 시작했다.

KT는	KT/SL+는/JX
16일	16/SN+일/NNB
일부	일부/NNG
직원을	직원/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
‘집으로	‘/SS+집/NNG+으로/JKB
찾아가는	찾아가/VV+는/ETM
사내방송’	사내/NNG+방송/NNG+’/SS
시범	시범/NNG
서비스를	서비스/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.106.2.4
통신회사의 장점을 최대한 살려 IPTV를 가진 사원들의 가정에서 사내방송을 볼 수 있게 한 것.

통신회사의	통신/NNG+회사/NNG+의/JKG
장점을	장점/NNG+을/JKO
최대한	최대한/MAG
살려	살리/VV+어/EC
IPTV를	IPTV/SL+를/JKO
가진	가지/VV+ㄴ/ETM
사원들의	사원/NNG+들/XSN+의/JKG
가정에서	가정/NNG+에서/JKB
사내방송을	사내/NNG+방송/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
한	하/VX+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.106.2.5
가족들에게 회사 소식을 알리면서 직원과 가족들 간의 유대감을 강화하고 쌍방향 의사소통을 활성화하기 위한 것이라는 설명이다.

가족들에게	가족/NNG+들/XSN+에게/JKB
회사	회사/NNG
소식을	소식/NNG+을/JKO
알리면서	알리/VV+면서/EC
직원과	직원/NNG+과/JC
가족들	가족/NNG+들/XSN
간의	간/NNB+의/JKG
유대감을	유대감/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
쌍방향	쌍방향/NNG
의사소통을	의사소통/NNG+을/JKO
활성화하기	활성/NNG+화/XSN+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.106.2.6
KT는 6월 1일부터 전 직원의 가정을 대상으로 서비스를 확대할 계획이다.

KT는	KT/SL+는/JX
6월	6/SN+월/NNB
1일부터	1/SN+일/NNB+부터/JX
전	전/MMN
직원의	직원/NNG+의/JKG
가정을	가정/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
서비스를	서비스/NNG+를/JKO
확대할	확대/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.106.2.7
사내방송을 보면서 가족들은 방명록에 기록도 남기고 설문조사에도 참여할 수 있다.

사내방송을	사내/NNG+방송/NNG+을/JKO
보면서	보/VV+면서/EC
가족들은	가족/NNG+들/XSN+은/JX
