# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.218
metadata : {}


# id : NWRW1800000029.218.1.1
현대車 임단협 3년연속 무파업 타결 가능할까

현대車	현대車/NNP
임단협	임단협/NNG
3년연속	3/SN+년/NNB+연속/NNG
무파업	무/XPN+파업/NNG
타결	타결/NNG
가능할까	가능/NNG+하/XSA+ㄹ까/EF


# id : NWRW1800000029.218.2.1
타임오프-복수노조 맞물려… 10여차례 협상 난항 거듭

타임오프-복수노조	타임오프/NNG+-/SO+복수/NNG+노조/NNG
맞물려…	맞물리/VV+어/EF+…/SE
10여차례	10/SN+여/XSN+차례/NNG
협상	협상/NNG
난항	난항/NNG
거듭	거듭/MAG


# id : NWRW1800000029.218.3.1
지난해까지 2년 연속 무파업 타결을 이뤘던 현대자동차 임금 및 단체협상이 올해는 쉽지 않을 것이라는 전망이 나오고 있다.

지난해까지	지난해/NNG+까지/JX
2년	2/SN+년/NNB
연속	연속/NNG
무파업	무/XPN+파업/NNG
타결을	타결/NNG+을/JKO
이뤘던	이루/VV+었/EP+던/ETM
현대자동차	현대자동차/NNP
임금	임금/NNG
및	및/MAG
단체협상이	단체/NNG+협상/NNG+이/JKS
올해는	올해/NNG+는/JX
쉽지	쉽/VA+지/EC
않을	않/VX+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.218.3.2
현대차 노사가 여름휴가(30일) 전 타결을 목표로 지난달 8일 상견례를 시작으로 지금까지 10여 차례 협상을 벌였지만 유급근로시간면제제도(타임오프)와 복수노조 도입 등 외부 환경 변화 등으로 협상에 난항을 겪고 있기 때문이다.

현대차	현대차/NNP
노사가	노사/NNG+가/JKS
여름휴가(30일)	여름휴가/NNG+(/SS+30/SN+일/NNB+)/SS
전	전/NNG
타결을	타결/NNG+을/JKO
목표로	목표/NNG+로/JKB
지난달	지난달/NNG
8일	8/SN+일/NNB
상견례를	상견례/NNG+를/JKO
시작으로	시작/NNG+으로/JKB
지금까지	지금/NNG+까지/JX
10여	10/SN+여/XSN
차례	차례/NNG
협상을	협상/NNG+을/JKO
벌였지만	벌이/VV+었/EP+지만/EC
유급근로시간면제제도(타임오프)와	유급/NNG+근로/NNG+시간/NNG+면제/NNG+제도/NNG+(/SS+타임오프/NNG+)/SS+와/JC
복수노조	복수/NNG+노조/NNG
도입	도입/NNG
등	등/NNB
외부	외부/NNG
환경	환경/NNG
변화	변화/NNG
등으로	등/NNB+으로/JKB
협상에	협상/NNG+에/JKB
난항을	난항/NNG+을/JKO
겪고	겪/VV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.218.4.1
협상에서 가장 큰 걸림돌은 올 4월부터 노사관계에 파열음을 내게 한 타임오프.

협상에서	협상/NNG+에서/JKB
가장	가장/MAG
