# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.18
metadata : {}


# id : NWRW1800000048.18.1.1
자동차보험 ‘한정 특약’ 꼼꼼히 살펴보세요

자동차보험	자동차/NNG+보험/NNG
‘한정	‘/SS+한정/NNG
특약’	특약/NNG+’/SS
꼼꼼히	꼼꼼히/MAG
살펴보세요	살펴보/VV+시/EP+어요/EF


# id : NWRW1800000048.18.2.1
보장 대상·나이 제한 등 함정 많아

보장	보장/NNG
대상·나이	대상/NNG+·/SP+나이/NNG
제한	제한/NNG
등	등/NNB
함정	함정/NNG
많아	많/VA+아/EC


# id : NWRW1800000048.18.3.1
최근 3년 분쟁조정 신청 100건 넘어

최근	최근/MAG
3년	3/SN+년/NNB
분쟁조정	분쟁/NNG+조정/NNG
신청	신청/NNG
100건	100/SN+건/NNB
넘어	넘/VV+어/EC


# id : NWRW1800000048.18.4.1
ㄱ씨는 전화로 자동차보험에 가입하면서 ‘운전자 연령 만 48살 이상 부부 한정 특약’에 가입했다.

ㄱ씨는	ㄱ/NNG+씨/NNB+는/JX
전화로	전화/NNG+로/JKB
자동차보험에	자동차/NNG+보험/NNG+에/JKB
가입하면서	가입/NNG+하/XSV+면서/EC
‘운전자	‘/SS+운전자/NNG
연령	연령/NNG
만	만/MMA
48살	48/SN+살/NNB
이상	이상/NNG
부부	부부/NNG
한정	한정/NNG
특약’에	특약/NNG+’/SS+에/JKB
가입했다.	가입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.18.4.2
그러나 가입 직후 자동차 사고를 낸 부인이 보험사로부터 대물배상을 거부당했다.

그러나	그러나/MAJ
가입	가입/NNG
직후	직후/NNG
자동차	자동차/NNG
사고를	사고/NNG+를/JKO
낸	내/VV+ㄴ/ETM
부인이	부인/NNG+이/JKS
보험사로부터	보험사/NNG+로부터/JKB
대물배상을	대물/NNG+배상/NNG+을/JKO
거부당했다.	거부/NNG+당하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.18.4.3
가입 당시 부인의 실제 나이는 만 48살이었지만, 주민등록상에는 출생연도가 한해 늦게 올라 있어 만 47살이었기 때문이다.

가입	가입/NNG
당시	당시/NNG
부인의	부인/NNG+의/JKG
실제	실제/NNG
나이는	나이/NNG+는/JX
만	만/MMA
48살이었지만,	48/SN+살/NNB+이/VCP+었/EP+지만/EC+,/SP
주민등록상에는	주민/NNG+등록/NNG+상/XSN+에/JKB+는/JX
출생연도가	출생/NNG+연도/NNG+가/JKS
한해	한/MMN+해/NNB
늦게	늦/VA+게/EC
올라	오르/VV+아/EC
있어	있/VX+어/EC
47살이었기	47/SN+살/NNB+이/VCP+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.18.4.4
