# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.450
metadata : {}


# id : NWRW1800000024.450.1.1
“서울시, 신청사 문화재 발굴터 보존해야”

“서울시,	“/SS+서울시/NNP+,/SP
신청사	신/XPN+청사/NNG
문화재	문화재/NNG
발굴터	발굴/NNG+터/NNG
보존해야”	보존/NNG+하/XSV+아야/EC+”/SS


# id : NWRW1800000024.450.2.1
굴착기의 굉음, 끊임없이 흙을 퍼나르는 삽차, 유적지를 관통하고 있는 60여개의 철제 에이치(H)빔.

굴착기의	굴착기/NNG+의/JKG
굉음,	굉음/NNG+,/SP
끊임없이	끊임없이/MAG
흙을	흙/NNG+을/JKO
퍼나르는	푸/VV+어/EC+나르/VV+는/ETM
삽차,	삽차/NNG+,/SP
유적지를	유적지/NNG+를/JKO
관통하고	관통/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
60여개의	60/SN+여/XSN+개/NNB+의/JKG
철제	철제/NNG
에이치(H)빔.	에이치/NNG+(/SS+H/SL+)/SS+빔/NNG+./SF


# id : NWRW1800000024.450.2.2
2일 오후 2시 일반인들에게 공개된 서울 중구 태평로1가 서울 신청사 건립터 유적지 현장은 복잡하고 시끄러웠다.

2일	2/SN+일/NNB
오후	오후/NNG
2시	2/SN+시/NNB
일반인들에게	일반인/NNG+들/XSN+에게/JKB
공개된	공개/NNG+되/XSV+ㄴ/ETM
서울	서울/NNP
중구	중구/NNP
태평로1가	태평로1가/NNP
신청사	신/XPN+청사/NNG
건립터	건립/NNG+터/NNG
유적지	유적지/NNG
현장은	현장/NNG+은/JX
복잡하고	복잡하/VA+고/EC
시끄러웠다.	시끄럽/VA+었/EP+다/EF+./SF


# id : NWRW1800000024.450.3.1
“길, 담, 물길 등은 오래도록 변하지 않아 그걸 발굴하면 터의 위치를 쉽게 맞힐 수 있습니다.”

“길,	“/SS+길/NNG+,/SP
담,	담/NNG+,/SP
물길	물길/NNG
등은	등/NNB+은/JX
오래도록	오래도록/MAG
변하지	변하/VV+지/EC
않아	않/VX+아/EC
그걸	그거/NP+ㄹ/JKO
발굴하면	발굴/NNG+하/XSV+면/EC
터의	터/NNG+의/JKG
위치를	위치/NNG+를/JKO
쉽게	쉽/VA+게/EC
맞힐	맞히/VV+ㄹ/ETM
수	수/NNB
있습니다.”	있/VA+습니다/EF+./SF+”/SS


# id : NWRW1800000024.450.3.2
시청사 발굴조사단인 한강문화재연구원 연구원이 현장을 답사하는 시민들에게 설명했다.

시청사	시/NNG+청사/NNG
발굴조사단인	발굴/NNG+조사단/NNG+이/VCP+ㄴ/ETM
한강문화재연구원	한강문화재연구원/NNP
연구원이	연구원/NNG+이/JKS
현장을	현장/NNG+을/JKO
답사하는	답사/NNG+하/XSV+는/ETM
