# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.326
metadata : {}


# id : NWRW1800000033.326.1.1
소련, 北 1968년 美푸에블로호 나포후 ‘전쟁나면 개입해달라’는 北요청 거절

소련,	소련/NNP+,/SP
北	北/SH
1968년	1968/SN+년/NNB
美푸에블로호	美/SH+푸에블로호/NNP
나포후	나포/NNG+후/NNG
‘전쟁나면	‘/SS+전쟁/NNG+나/VV+면/EC
개입해달라’는	개입/NNG+하/XSV+아/EC+달/VX+라/EF+’/SS+는/ETM
北요청	北/SH+요청/NNG
거절	거절/NNG


# id : NWRW1800000033.326.2.1
우드로윌슨센터 외교전문 공개

우드로윌슨센터	우드로윌슨센터/NNP
외교전문	외교/NNG+전문/NNG
공개	공개/NNG


# id : NWRW1800000033.326.3.1
“소련 응했으면 전쟁 터졌을것”

“소련	“/SS+소련/NNP
응했으면	응하/VV+았/EP+으면/EC
전쟁	전쟁/NNG
터졌을것”	터지/VV+었/EP+을/ETM+것/NNB+”/SS


# id : NWRW1800000033.326.4.1
1968년 1월 23일 미국 정보수집함 푸에블로호(사진)를 나포한 직후 북한은 레오니트 브레즈네프 당시 소련 공산당 서기장에게 한반도 전쟁 발발 시 즉각 개입해달라고 요청했으나 브레즈네프 서기장은 이를 거절했던 것으로 드러났다.

1968년	1968/SN+년/NNB
1월	1/SN+월/NNB
23일	23/SN+일/NNB
미국	미국/NNP
정보수집함	정보/NNG+수집함/NNG
푸에블로호(사진)를	푸에블로호/NNP+(/SS+사진/NNG+)/SS+를/JKO
나포한	나포/NNG+하/XSV+ㄴ/ETM
직후	직후/NNG
북한은	북한/NNP+은/JX
레오니트	레오니트/NNP
브레즈네프	브레즈네프/NNP
당시	당시/NNG
소련	소련/NNP
공산당	공산당/NNP
서기장에게	서기장/NNG+에게/JKB
한반도	한반도/NNP
전쟁	전쟁/NNG
발발	발발/NNG
시	시/NNB
즉각	즉각/MAG
개입해달라고	개입/NNG+하/XSV+아/EC+달/VX+라고/EC
요청했으나	요청/NNG+하/XSV+았/EP+으나/EC
서기장은	서기장/NNG+은/JX
이를	이/NP+를/JKO
거절했던	거절/NNG+하/XSV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.326.4.2
미국 우드로윌슨센터 ‘북한국제문서연구사업(NKIDP)’ 팀은 24일 홈페이지에 공개한 옛 공산권 국가 외교전문을 통해 이 같은 사실을 밝혔다.

미국	미국/NNP
우드로윌슨센터	우드로윌슨센터/NNP
‘북한국제문서연구사업(NKIDP)’	‘/SS+북한/NNP+국제/NNG+문서/NNG+연구/NNG+사업/NNG+(/SS+NKIDP/SL+)/SS+’/SS
팀은	팀/NNG+은/JX
24일	24/SN+일/NNB
홈페이지에	홈페이지/NNG+에/JKB
공개한	공개/NNG+하/XSV+ㄴ/ETM
옛	옛/MMA
공산권	공산/NNG+권/XSN
국가	국가/NNG
외교전문을	외교/NNG+전문/NNG+을/JKO
통해	통하/VV+아/EC
이	이/NP
같은	같/VA+은/ETM
사실을	사실/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.326.5.1
