# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.242
metadata : {}


# id : NWRW1800000049.242.1.1
코트 신인왕 ‘최강 대결’

코트	코트/NNG
신인왕	신인왕/NNG
‘최강	‘/SS+최강/NNG
대결’	대결/NNG+’/SS


# id : NWRW1800000049.242.2.1
최고 신인 이종현 부상 아웃된 새… 2순위 최준용-3순위 강상재 두각 최, 6경기 평균 9.3점 신인 최고… 리바운드 평균11개 국내선수 1위 강, 7경기 평균 5.6점, 3.6리바운드 첫 맞대결선 최준용이 완승

최고	최고/NNG
신인	신인/NNG
이종현	이종현/NNP
부상	부상/NNG
아웃된	아웃/NNG+되/XSV+ㄴ/ETM
새…	새/NNG+…/SE
2순위	2/SN+순위/NNG
최준용-3순위	최준용/NNP+-/SO+3/SN+순위/NNG
강상재	강상재/NNP
두각	두각/NNG
최,	최/NNP+,/SP
6경기	6/SN+경기/NNG
평균	평균/NNG
9.3점	9/SN+./SP+3/SN+점/NNB
최고…	최고/NNG+…/SE
리바운드	리바운드/NNG
평균11개	평균/NNG+11/SN+개/NNB
국내선수	국내/NNG+선수/NNG
1위	1/SN+위/NNB
강,	강/NNP+,/SP
7경기	7/SN+경기/NNG
5.6점,	5/SN+./SP+6/SN+점/NNB+,/SP
3.6리바운드	3/SN+./SP+6/SN+리바운드/NNG
첫	첫/MMN
맞대결선	맞대결/NNG+서/JKB+ㄴ/JX
최준용이	최준용/NNP+이/JKS
완승	완승/NNG


# id : NWRW1800000049.242.3.1
최근 10년 동안의 신인상 수상자 가운데 7명은 신인 드래프트 전체 1순위 출신이다.

최근	최근/NNG
10년	10/SN+년/NNB
동안의	동안/NNG+의/JKG
신인상	신인상/NNG
수상자	수상자/NNG
가운데	가운데/NNG
7명은	7/SN+명/NNB+은/JX
신인	신인/NNG
드래프트	드래프트/NNG
전체	전체/NNG
1순위	1/SN+순위/NNG
출신이다.	출신/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.242.3.2
예외가 있긴 했지만 하승진(KCC), 오세근(KGC), 김종규(LG), 이승현(오리온) 등 이견 없이 1순위로 뽑혔던 선수들은 무난히 신인왕 타이틀을 거머쥐었다.

예외가	예외/NNG+가/JKS
있긴	있/VA+기/ETN+ㄴ/JX
했지만	하/VX+았/EP+지만/EC
하승진(KCC),	하승진/NNP+(/SS+KCC/SL+)/SS+,/SP
오세근(KGC),	오세근/NNP+(/SS+KGC/SL+)/SS+,/SP
김종규(LG),	김종규/NNP+(/SS+LG/SL+)/SS+,/SP
이승현(오리온)	이승현/NNP+(/SS+오리온/NNP+)/SS
등	등/NNB
이견	이견/NNG
없이	없이/MAG
1순위로	1/SN+순위/NNG+로/JKB
뽑혔던	뽑히/VV+었/EP+던/ETM
선수들은	선수/NNG+들/XSN+은/JX
무난히	무난히/MAG
신인왕	신인왕/NNG
타이틀을	타이틀/NNG+을/JKO
거머쥐었다.	거머쥐/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.242.4.1
이번 시즌에는 다를지 모른다.

이번	이번/NNG
시즌에는	시즌/NNG+에/JKB+는/JX
다를지	다르/VA+ㄹ지/EC
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.242.4.2
‘역대 최고 신인’으로 통하는 1순위 이종현(모비스·203cm)이 코트도 밟지 못하고 있기 때문이다.

‘역대	‘/SS+역대/NNG
최고	최고/NNG
신인’으로	신인/NNG+’/SS+으로/JKB
통하는	통하/VV+는/ETM
1순위	1/SN+순위/NNG
이종현(모비스·203cm)이	이종현/NNP+(/SS+모비스/NNP+·/SP+203/SN+cm/SW+)/SS+이/JKS
코트도	코트/NNG+도/JX
밟지	밟/VV+지/EC
못하고	못하/VX+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.242.4.3
자연스럽게 팬들의 관심은 이종현과 함께 ‘빅3’로 불린 2순위 최준용(SK·200cm)과 3순위 강상재(전자랜드·200cm)의 대결에 쏠리고 있다.

자연스럽게	자연/NNG+스럽/XSA+게/EC
팬들의	팬/NNG+들/XSN+의/JKG
관심은	관심/NNG+은/JX
이종현과	이종현/NNP+과/JKB
함께	함께/MAG
‘빅3’로	‘/SS+빅/NNG+3/SN+’/SS+로/JKB
불린	불리/VV+ㄴ/ETM
2순위	2/SN+순위/NNG
최준용(SK·200cm)과	최준용/NNP+(/SS+SK/SL+·/SP+200/SN+cm/SW+)/SS+과/JC
3순위	3/SN+순위/NNG
강상재(전자랜드·200cm)의	강상재/NNP+(/SS+전자랜드/NNP+·/SP+200/SN+cm/SW+)/SS+의/JKG
대결에	대결/NNG+에/JKB
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.242.5.1
최준용은 이미 주전으로 자리를 잡았다.

최준용은	최준용/NNP+은/JX
이미	이미/MAG
주전으로	주전/NNG+으로/JKB
자리를	자리/NNG+를/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.242.5.2
9일까지 6경기에 출전해 평균 34분 25초를 뛰었다.

9일까지	9/SN+일/NNB+까지/JX
6경기에	6/SN+경기/NNG+에/JKB
출전해	출전/NNG+하/XSV+아/EC
평균	평균/NNG
34분	34/SN+분/NNB
25초를	25/SN+초/NNB+를/JKO
뛰었다.	뛰/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.242.5.3
출전 시간은 팀의 간판스타 김선형(34분 55초)과 별 차이가 없다.

출전	출전/NNG
시간은	시간/NNG+은/JX
팀의	팀/NNG+의/JKG
간판스타	간판스타/NNG
김선형(34분	김선형/NNP+(/SS+34/SN+분/NNB
55초)과	55/SN+초/NNB+)/SS+과/JKB
별	별/MMA
차이가	차이/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000049.242.5.4
경기당 평균 득점도 9.3점으로 올 시즌 신인 가운데 최고다.

경기당	경기/NNG+당/XSN
평균	평균/NNG
득점도	득점/NNG+도/JX
9.3점으로	9/SN+./SP+3/SN+점/NNB+으로/JKB
올	올/NNG
시즌	시즌/NNG
신인	신인/NNG
가운데	가운데/NNG
최고다.	최고/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.242.5.5
무엇보다 최준용의 강점은 리바운드다.

무엇보다	무엇/NP+보다/JKB
최준용의	최준용/NNP+의/JKG
강점은	강점/NNG+은/JX
리바운드다.	리바운드/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.242.5.6
키가 큰 데다 위치 선정이 뛰어나고 몸싸움을 마다하지 않는다.

키가	키/NNG+가/JKS
큰	크/VA+ㄴ/ETM
데다	데/NNB+다/JX
위치	위치/NNG
선정이	선정/NNG+이/JKS
뛰어나고	뛰어나/VA+고/EC
몸싸움을	몸싸움/NNG+을/JKO
마다하지	마다하/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000049.242.5.7
경기당 평균 리바운드는 11개로 국내 선수 중 1위를 달리고 있다.

경기당	경기/NNG+당/XSN
평균	평균/NNG
리바운드는	리바운드/NNG+는/JX
11개로	11/SN+개/NNB+로/JKB
국내	국내/NNG
선수	선수/NNG
중	중/NNB
1위를	1/SN+위/NNB+를/JKO
달리고	달리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.242.5.8
2위 오세근(8.6개)보다 2개 이상 많다.

2위	2/SN+위/NNB
오세근(8.6개)보다	오세근/NNP+(/SS+8/SN+./SP+6/SN+개/NNB+)/SS+보다/JKB
2개	2/SN+개/NNB
이상	이상/NNG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000049.242.6.1
강상재도 준수한 활약을 보여주고 있다.

강상재도	강상재/NNP+도/JX
준수한	준수/NNG+하/XSV+ㄴ/ETM
활약을	활약/NNG+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.242.6.2
7경기에 출전해 평균 17분 37초를 뛰면서 경기당 평균 5.6득점(신인 2위), 3.6리바운드를 기록하고 있다.

7경기에	7/SN+경기/NNG+에/JKB
출전해	출전/NNG+하/XSV+아/EC
평균	평균/NNG
17분	17/SN+분/NNB
37초를	37/SN+초/NNB+를/JKO
뛰면서	뛰/VV+면서/EC
경기당	경기/NNG+당/XSN
5.6득점(신인	5/SN+./SP+6/SN+득점/NNG+(/SS+신인/NNG
2위),	2/SN+위/NNB+)/SS+,/SP
3.6리바운드를	3/SN+./SP+6/SN+리바운드/NNG+를/JKO
기록하고	기록/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.242.6.3
4일 삼성과의 경기에서는 자신의 올 시즌 최다인 27분 28초를 뛰며 14점을 올리는 활약을 했다.

4일	4/SN+일/NNB
삼성과의	삼성/NNP+과/JKB+의/JKG
경기에서는	경기/NNG+에서/JKB+는/JX
자신의	자신/NNG+의/JKG
올	올/NNG
시즌	시즌/NNG
최다인	최다/NNG+이/VCP+ㄴ/ETM
27분	27/SN+분/NNB
28초를	28/SN+초/NNB+를/JKO
뛰며	뛰/VV+며/EC
14점을	14/SN+점/NNB+을/JKO
올리는	올리/VV+는/ETM
활약을	활약/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.242.6.4
다만 아직까지 기복이 심하다는 게 단점으로 지적된다.

다만	다만/MAG
아직까지	아직/MAG+까지/JX
기복이	기복/NNG+이/JKS
심하다는	심하/VA+다는/ETM
게	거/NNB+이/JKS
단점으로	단점/NNG+으로/JKB
지적된다.	지적/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.242.6.5
유도훈 전자랜드 감독은 “현재로서는 출전 시간이 많은 최준용이 기록 면에서 앞선다. 하지만 근성과 배짱이 좋은 강상재가 1, 2라운드 정도 적응 기간을 거치면 최준용과 재미있는 경쟁을 할 수 있을 것”이라고 말했다.

유도훈	유도훈/NNP
전자랜드	전자랜드/NNP
감독은	감독/NNG+은/JX
“현재로서는	“/SS+현재/NNG+로서/JKB+는/JX
출전	출전/NNG
시간이	시간/NNG+이/JKS
많은	많/VA+은/ETM
최준용이	최준용/NNP+이/JKS
기록	기록/NNG
면에서	면/NNG+에서/JKB
앞선다.	앞서/VV+ㄴ다/EF+./SF
하지만	하지만/MAJ
근성과	근성/NNG+과/JC
배짱이	배짱/NNG+이/JKS
좋은	좋/VA+은/ETM
강상재가	강상재/NNP+가/JKS
1,	1/SN+,/SP
2라운드	2/SN+라운드/NNG
정도	정도/NNG
적응	적응/NNG
기간을	기간/NNG+을/JKO
거치면	거치/VV+면/EC
최준용과	최준용/NNP+과/JKB
재미있는	재미있/VA+는/ETM
경쟁을	경쟁/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.242.7.1
애초 12월 말쯤 데뷔할 것으로 예상됐던 이종현은 부상 회복이 더뎌 내년 1월 중순 이후에나 출전할 수 있을 것으로 보인다.

애초	애초/NNG
12월	12/SN+월/NNB
말쯤	말/NNB+쯤/XSN
데뷔할	데뷔/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상됐던	예상/NNG+되/XSV+었/EP+던/ETM
이종현은	이종현/NNP+은/JX
부상	부상/NNG
회복이	회복/NNG+이/JKS
더뎌	더디/VA+어/EC
내년	내년/NNG
1월	1/SN+월/NNB
중순	중순/NNG
이후에나	이후/NNG+에/JKB+나/JX
출전할	출전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.242.7.2
일정의 반이 넘게 지난 뒤라 신인왕 타이틀을 노리기에는 시간이 부족하다.

일정의	일정/NNG+의/JKG
반이	반/NNG+이/JKS
넘게	넘/VV+게/EC
지난	지나/VV+ㄴ/ETM
뒤라	뒤/NNG+이/VCP+라/EC
신인왕	신인왕/NNG
타이틀을	타이틀/NNG+을/JKO
노리기에는	노리/VV+기/ETN+에/JKB+는/JX
시간이	시간/NNG+이/JKS
부족하다.	부족/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000049.242.7.3
최준용(경복고-연세대)과 강상재(홍대부고-고려대)는 학창 시절부터 라이벌 관계를 이어 왔다.

최준용(경복고-연세대)과	최준용/NNP+(/SS+경복고/NNP+-/SO+연세대/NNP+)/SS+과/JC
강상재(홍대부고-고려대)는	강상재/NNP+(/SS+홍대부고/NNP+-/SO+고려대/NNP+)/SS+는/JX
학창	학창/NNG
시절부터	시절/NNG+부터/JX
라이벌	라이벌/NNG
관계를	관계/NNG+를/JKO
이어	잇/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.242.7.4
그리고 생애 한 번뿐인 신인상을 놓고 새로운 경쟁을 시작했다.

그리고	그리고/MAJ
생애	생애/NNG
한	한/MMN
번뿐인	번/NNB+뿐/JX+이/VCP+ㄴ/ETM
신인상을	신인상/NNG+을/JKO
놓고	놓/VV+고/EC
새로운	새롭/VA+ㄴ/ETM
경쟁을	경쟁/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.242.8.1
두 선수는 9일 인천 삼산월드체육관에서 열린 경기에서 나란히 선발로 나와 처음으로 맞대결을 펼쳤다.

두	두/MMN
선수는	선수/NNG+는/JX
9일	9/SN+일/NNB
인천	인천/NNP
삼산월드체육관에서	삼산월드체육관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
경기에서	경기/NNG+에서/JKB
나란히	나란히/MAG
선발로	선발/NNG+로/JKB
나와	나오/VV+아/EC
처음으로	처음/NNG+으로/JKB
맞대결을	맞대결/NNG+을/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.242.8.2
34분 49초를 뛰며 8점 14리바운드를 기록한 최준용이 19분 동안 2득점, 2리바운드에 그친 강상재를 압도했다.

34분	34/SN+분/NNB
49초를	49/SN+초/NNB+를/JKO
뛰며	뛰/VV+며/EC
8점	8/SN+점/NNB
14리바운드를	14/SN+리바운드/NNG+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
최준용이	최준용/NNP+이/JKS
19분	19/SN+분/NNB
동안	동안/NNG
2득점,	2/SN+득점/NNG+,/SP
2리바운드에	2/SN+리바운드/NNG+에/JKB
그친	그치/VV+ㄴ/ETM
강상재를	강상재/NNP+를/JKO
압도했다.	압도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.242.8.3
그러나 경기에서는 전자랜드가 91-82로 완승을 거뒀다.

그러나	그러나/MAJ
경기에서는	경기/NNG+에서/JKB+는/JX
전자랜드가	전자랜드/NNP+가/JKS
91-82로	91/SN+-/SO+82/SN+로/JKB
완승을	완승/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.242.9.1
한편 오리온은 LG를 84-83으로 힘겹게 눌렀다.

한편	한편/MAG
오리온은	오리온/NNP+은/JX
LG를	LG/SL+를/JKO
84-83으로	84/SN+-/SO+83/SN+으로/JKB
힘겹게	힘겹/VA+게/EC
눌렀다.	누르/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.242.9.2
3연승을 기록한 오리온은 6승 1패로 삼성과 공동 선두가 됐다.

3연승을	3/SN+연승/NNG+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
오리온은	오리온/NNP+은/JX
6승	6/SN+승/NNB
1패로	1/SN+패/NNB+로/JKB
삼성과	삼성/NNP+과/JKB
공동	공동/NNG
선두가	선두/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


