# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.169
metadata : {}


# id : NWRW1800000053.169.1.1
[단독]장시호 때문에… 대입서류 보관 10년으로 늘릴듯

[단독]장시호	[/SS+단독/NNG+]/SS+장시호/NNP
때문에…	때문/NNB+에/JKB+…/SE
대입서류	대입/NNG+서류/NNG
보관	보관/NNG
10년으로	10/SN+년/NNB+으로/JKB
늘릴듯	늘리/VV+ㄹ/ETM+듯/NNB


# id : NWRW1800000053.169.2.1
대입특혜의혹 서류 폐기돼 조사 못해… 대교협, 현행 4년서 대폭 연장 검토

대입특혜의혹	대입/NNG+특혜/NNG+의혹/NNG
서류	서류/NNG
폐기돼	폐기/NNG+되/XSV+어/EC
조사	조사/NNG
못해…	못/MAG+하/VV+아/EF+…/SE
대교협,	대교협/NNP+,/SP
현행	현행/NNG
4년서	4/SN+년/NNB+서/JKB
대폭	대폭/MAG
연장	연장/NNG
검토	검토/NNG


# id : NWRW1800000053.169.3.1
각종 생활쓰레기 위로 A 씨가 초중고교 12년 동안 흘린 땀과 눈물이 쏟아진다.

각종	각종/NNG
생활쓰레기	생활/NNG+쓰레기/NNG
위로	위/NNG+로/JKB
A	A/SL
씨가	씨/NNB+가/JKS
초중고교	초중고교/NNG
12년	12/SN+년/NNB
동안	동안/NNG
흘린	흘리/VV+ㄴ/ETM
땀과	땀/NNG+과/JC
눈물이	눈물/NNG+이/JKS
쏟아진다.	쏟아지/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.169.3.2
그의 꿈처럼 한양대 정치외교학과에서 새내기 생활을 즐기고 있을지, 내년을 기약하고 있을지는 알 수 없다.

그의	그/NP+의/JKG
꿈처럼	꿈/NNG+처럼/JKB
한양대	한양대/NNP
정치외교학과에서	정치/NNG+외교학과/NNG+에서/JKB
새내기	새내기/NNG
생활을	생활/NNG+을/JKO
즐기고	즐기/VV+고/EC
있을지,	있/VX+을지/EF+,/SP
내년을	내년/NNG+을/JKO
기약하고	기약/NNG+하/XSV+고/EC
있을지는	있/VX+을지/EF+는/JX
알	알/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000053.169.3.3
분명한 건 지난해 11월 19일 인생에서 제일 긴장하며 한 글자씩 써내려간 김 씨의 흔적이 1190도 화염 속에 없어져야 한다는 사실이다.

분명한	분명/MAG+하/XSA+ㄴ/ETM
건	거/NNB+ㄴ/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
19일	19/SN+일/NNB
인생에서	인생/NNG+에서/JKB
제일	제일/MAG
긴장하며	긴장/NNG+하/XSV+며/EC
한	한/MMN
글자씩	글자/NNG+씩/XSN
써내려간	쓰/VV+어/EC+내려가/VV+ㄴ/ETM
김	김/NNP
씨의	씨/NNB+의/JKG
흔적이	흔적/NNG+이/JKS
1190도	1190/SN+도/NNB
화염	화염/NNG
속에	속/NNG+에/JKB
없어져야	없어지/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.169.4.1
지난달 30일 경기 안산시의 한 폐기물 처리장 내 소각장.

지난달	지난달/NNG
30일	30/SN+일/NNB
경기	경기/NNP
안산시의	안산시/NNP+의/JKG
한	한/MMN
폐기물	폐기물/NNG
처리장	처리장/NNG
내	내/NNB
소각장.	소각장/NNG+./SF


# id : NWRW1800000053.169.4.2
집게차가 2017학년도 한양대 입시를 치른 학생들의 각종 ‘입시서류’를 소각로와 연결된 창고로 집어넣었다.

집게차가	집게/NNG+차/NNG+가/JKS
2017학년도	2017/SN+학년도/NNG
한양대	한양대/NNP
입시를	입시/NNG+를/JKO
치른	치르/VV+ㄴ/ETM
학생들의	학생/NNG+들/XSN+의/JKG
각종	각종/NNG
‘입시서류’를	‘/SS+입시/NNG+서류/NNG+’/SS+를/JKO
소각로와	소각로/NNG+와/JKB
연결된	연결/NNG+되/XSV+ㄴ/ETM
창고로	창고/NNG+로/JKB
집어넣었다.	집어넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.169.4.3
지난해 약 3만 명이 응시한 논술고사 문제지와 연습지, 감독관이 고사장에 들고 간 문제지 봉투, 미술 실기 응시자가 바꾼 켄트지, 교수들이 평가하며 끄적거린 메모지, 법학전문대학원·편입학 필기고사 문제지까지.

지난해	지난해/NNG
약	약/MMA
3만	3/SN+만/NR
명이	명/NNB+이/JKS
응시한	응시/NNG+하/XSV+ㄴ/ETM
논술고사	논술/NNG+고사/NNG
문제지와	문제지/NNG+와/JC
연습지,	연습지/NNG+,/SP
감독관이	감독관/NNG+이/JKS
고사장에	고사장/NNG+에/JKB
들고	들/VV+고/EC
간	가/VV+ㄴ/ETM
문제지	문제지/NNG
봉투,	봉투/NNG+,/SP
미술	미술/NNG
실기	실기/NNG
응시자가	응시자/NNG+가/JKS
바꾼	바꾸/VV+ㄴ/ETM
켄트지,	켄트지/NNG+,/SP
교수들이	교수/NNG+들/XSN+이/JKS
평가하며	평가/NNG+하/XSV+며/EC
끄적거린	끄적거리/VV+ㄴ/ETM
메모지,	메모지/NNG+,/SP
법학전문대학원·편입학	법학/NNG+전문/NNG+대학원/NNG+·/SP+편입학/NNG
필기고사	필기/NNG+고사/NNG
문제지까지.	문제지/NNG+까지/JX+./SF


# id : NWRW1800000053.169.4.4
15t을 넘었다.

15t을	15/SN+t/SW+을/JKO
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.169.5.1
한양대 창고에 보관돼 있던 서류들은 이날 오전 실려 왔다.

한양대	한양대/NNP
창고에	창고/NNG+에/JKB
보관돼	보관/NNG+되/XSV+어/EC
있던	있/VX+던/ETM
서류들은	서류/NNG+들/XSN+은/JX
이날	이날/NNG
오전	오전/NNG
실려	실리/VV+어/EC
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.169.5.2
지원자가 제출한 답안지 원본과 스캔본 외의 것은 모조리 소각한다.

지원자가	지원자/NNG+가/JKS
제출한	제출/NNG+하/XSV+ㄴ/ETM
답안지	답안지/NNG
원본과	원본/NNG+과/JC
스캔본	스캔본/NNG
외의	외/NNB+의/JKG
것은	것/NNB+은/JX
모조리	모조리/MAG
소각한다.	소각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.169.5.3
한양대 관계자는 “학생 이름과 수험번호가 쓰여 있어서 함부로 버리지 않고 소각한다”고 말했다.

한양대	한양대/NNP
관계자는	관계자/NNG+는/JX
“학생	“/SS+학생/NNG
이름과	이름/NNG+과/JC
수험번호가	수험/NNG+번호/NNG+가/JKS
쓰여	쓰이/VV+어/EC
있어서	있/VX+어서/EC
함부로	함부로/MAG
버리지	버리/VV+지/EC
않고	않/VX+고/EC
소각한다”고	소각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.169.6.1
평소 같았다면 2012학년도 수시모집 때 지원자들이 제출한 자기소개서와 학교생활기록부 같은 ‘입학서류’까지 소각장으로 왔을 것이다.

평소	평소/NNG
같았다면	같/VA+았/EP+다면/EC
2012학년도	2012/SN+학년도/NNG
수시모집	수시/NNG+모집/NNG
때	때/NNG
지원자들이	지원자/NNG+들/XSN+이/JKS
제출한	제출/NNG+하/XSV+ㄴ/ETM
자기소개서와	자기소개서/NNG+와/JC
학교생활기록부	학교생활/NNG+기록부/NNG
같은	같/VA+은/ETM
‘입학서류’까지	‘/SS+입학/NNG+서류/NNG+’/SS+까지/JX
소각장으로	소각장/NNG+으로/JKB
왔을	오/VV+았/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.169.6.2
