# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.228
metadata : {}


# id : NWRW1800000054.228.1.1
몸으로 수류탄 막은 한국계 병사, 평택 미군기지서 '부활'

몸으로	몸/NNG+으로/JKB
수류탄	수류탄/NNG
막은	막/VV+은/ETM
한국계	한국/NNP+계/XSN
병사,	병사/NNG+,/SP
평택	평택/NNP
미군기지서	미군/NNG+기지/NNG+서/JKB
'부활'	'/SS+부활/NNG+'/SS


# id : NWRW1800000054.228.2.1
김신우 병장 이름 딴 병원 개원… 전 세계 미군 시설 중 처음으로 한국계 병사의 이름 붙여

김신우	김신우/NNP
병장	병장/NNG
이름	이름/NNG
딴	따/VV+ㄴ/ETM
병원	병원/NNG
개원…	개원/NNG+…/SE
전	전/MMN
세계	세계/NNG
미군	미군/NNG
시설	시설/NNG
중	중/NNB
처음으로	처음/NNG+으로/JKB
한국계	한국/NNP+계/XSN
병사의	병사/NNG+의/JKG
붙여	붙이/VV+어/EF


# id : NWRW1800000054.228.3.1
2007년 6월 이라크에서 '테러와의 전쟁' 임무를 수행하던 미군 병력이 이동 중 적군의 매복 공격을 받았다.

2007년	2007/SN+년/NNB
6월	6/SN+월/NNB
이라크에서	이라크/NNP+에서/JKB
'테러와의	'/SS+테러/NNG+와/JKB+의/JKG
전쟁'	전쟁/NNG+'/SS
임무를	임무/NNG+를/JKO
수행하던	수행/NNG+하/XSV+던/ETM
미군	미군/NNG
병력이	병력/NNG+이/JKS
이동	이동/NNG
중	중/NNB
적군의	적군/NNG+의/JKG
매복	매복/NNG
공격을	공격/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.228.3.2
그때 의무병이었던 한국계 김신우(23) 병장이 부대원들에게 날아든 수류탄을 향해 몸을 던졌다.

그때	그때/NNG
의무병이었던	의무병/NNG+이/VCP+었/EP+던/ETM
한국계	한국/NNP+계/XSN
김신우(23)	김신우/NNP+(/SS+23/SN+)/SS
병장이	병장/NNG+이/JKS
부대원들에게	부대원/NNG+들/XSN+에게/JKB
날아든	날아들/VV+ㄴ/ETM
수류탄을	수류탄/NNG+을/JKO
향해	향하/VV+아/EC
몸을	몸/NNG+을/JKO
던졌다.	던지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.228.3.3
그는 산화(散華)하면서 전우 여러 명의 목숨을 지켰다.

그는	그/NP+는/JX
산화(散華)하면서	산화/NNG+(/SS+散華/SH+)/SS+하/XSV+면서/EC
전우	전우/NNG
여러	여러/MMN
명의	명/NNB+의/JKG
목숨을	목숨/NNG+을/JKO
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.228.4.1
그로부터 10년 뒤 그의 이름을 딴 병원이 경기도 평택 캠프 험프리스 미군기지에 문을 열었다.

그로부터	그/NP+로부터/JKB
10년	10/SN+년/NNB
뒤	뒤/NNG
그의	그/NP+의/JKG
이름을	이름/NNG+을/JKO
딴	따/VV+ㄴ/ETM
병원이	병원/NNG+이/JKS
경기도	경기도/NNP
평택	평택/NNP
캠프	캠프/NNG
험프리스	험프리스/NNP
미군기지에	미군/NNG+기지/NNG+에/JKB
문을	문/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.228.4.2
19일 개원식을 한 '김신우 병장 군 응급의료센터·치과 병원(SGT Shin Woo Kim Soldier Centered Medical Home and Dental Clinic)이다.

19일	19/SN+일/NNB
개원식을	개원식/NNG+을/JKO
한	하/VV+ㄴ/ETM
'김신우	'/SS+김신우/NNP
병장	병장/NNG
군	군/NNG
응급의료센터·치과	응급/NNG+의료/NNG+센터/NNG+·/SP+치과/NNG
병원(SGT	병원/NNG+(/SS+SGT/SL
Shin	Shin/SL
Woo	Woo/SL
Kim	Kim/SL
Soldier	Soldier/SL
Centered	Centered/SL
Medical	Medical/SL
Home	Home/SL
and	and/SL
Dental	Dental/SL
Clinic)이다.	Clinic/SL+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000054.228.5.1
주한미군 관계자는 "전 세계 미군 시설 중 처음으로 한국계 병사의 이름을 따서 명명했다"고 밝혔다.

주한미군	주한/NNG+미군/NNG
관계자는	관계자/NNG+는/JX
"전	"/SS+전/MMN
세계	세계/NNG
미군	미군/NNG
시설	시설/NNG
중	중/NNB
처음으로	처음/NNG+으로/JKB
한국계	한국/NNP+계/XSN
병사의	병사/NNG+의/JKG
이름을	이름/NNG+을/JKO
따서	따/VV+아서/EC
명명했다"고	명명/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.228.5.2
미 국방부는 김 병장이 의무병이었고 한국계라는 점 등을 고려해 이런 결정을 했다고 알려졌다.

미	미/NNP
국방부는	국방부/NNG+는/JX
김	김/NNP
병장이	병장/NNG+이/JKS
의무병이었고	의무병/NNG+이/VCP+었/EP+고/EC
한국계라는	한국/NNP+계/XSN+이/VCP+라는/ETM
점	점/NNG
등을	등/NNB+을/JKO
고려해	고려/NNG+하/XSV+아/EC
이런	이런/MMD
결정을	결정/NNG+을/JKO
했다고	하/VV+았/EP+다고/EC
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.228.5.3
이날 개원식엔 유족과 토머스 반달 주한 미8군 사령관 등 미군 고위 관계자들이 참석했다.

이날	이날/NNG
개원식엔	개원식/NNG+에/JKB+ㄴ/JX
유족과	유족/NNG+과/JC
토머스	토머스/NNP
반달	반달/NNP
주한	주한/NNG
미8군	미/NNP+8/SN+군/NNG
사령관	사령관/NNG
등	등/NNB
미군	미군/NNG
고위	고위/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.228.5.4
김 병장의 아버지 김유복(67)씨는 "아들의 희생이 결코 헛되지 않았음을 보여주는 뜻깊은 일"이라고 말했다.

김	김/NNP
병장의	병장/NNG+의/JKG
아버지	아버지/NNG
김유복(67)씨는	김유복/NNP+(/SS+67/SN+)/SS+씨/NNB+는/JX
"아들의	"/SS+아들/NNG+의/JKG
희생이	희생/NNG+이/JKS
결코	결코/MAG
