# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.281
metadata : {}


# id : NWRW1800000052.281.1.1
대한체육회, 8일 오전 박태환 이사회

대한체육회,	대한체육회/NNP+,/SP
8일	8/SN+일/NNB
오전	오전/NNG
박태환	박태환/NNP
이사회	이사회/NNG


# id : NWRW1800000052.281.2.1
[한겨레] 박태환 리우 수영대표 최종 결정할 듯

[한겨레]	[/SS+한겨레/NNP+]/SS
박태환	박태환/NNP
리우	리우/NNP
수영대표	수영/NNG+대표/NNG
최종	최종/NNG
결정할	결정/NNG+하/XSV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000052.281.3.1
대한체육회가 8일 오전 긴급 이사회를 열고 박태환(27)의 올림픽 출전 여부를 최종 결정한다.

대한체육회가	대한체육회/NNP+가/JKS
8일	8/SN+일/NNB
오전	오전/NNG
긴급	긴급/NNG
이사회를	이사회/NNG+를/JKO
열고	열/VV+고/EC
박태환(27)의	박태환/NNP+(/SS+27/SN+)/SS+의/JKG
올림픽	올림픽/NNG
출전	출전/NNG
여부를	여부/NNG+를/JKO
최종	최종/NNG
결정한다.	결정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.281.3.2
국내 법원이 박태환의 국가대표 지위를 인정했고, 국제 스포츠의 이중처벌 금지 등을 고려한 결정이 예상된다.

국내	국내/NNG
법원이	법원/NNG+이/JKS
박태환의	박태환/NNP+의/JKG
국가대표	국가/NNG+대표/NNG
지위를	지위/NNG+를/JKO
인정했고,	인정/NNG+하/XSV+았/EP+고/EC+,/SP
국제	국제/NNG
스포츠의	스포츠/NNG+의/JKG
이중처벌	이중/NNG+처벌/NNG
금지	금지/NNG
등을	등/NNB+을/JKO
고려한	고려/NNG+하/XSV+ㄴ/ETM
결정이	결정/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.281.3.3
이럴 경우 기존의 올림픽 출전 불가 방침에서 허용으로 방향을 바꿀 것으로 보인다.

이럴	이렇/VA+ㄹ/ETM
경우	경우/NNG
기존의	기존/NNG+의/JKG
올림픽	올림픽/NNG
출전	출전/NNG
불가	불가/NNG
방침에서	방침/NNG+에서/JKB
허용으로	허용/NNG+으로/JKB
방향을	방향/NNG+을/JKO
바꿀	바꾸/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.281.4.1
