# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.331
metadata : {}


# id : NWRW1800000046.331.1.1
[韓中日 외무회담] 中 '사드(美 주도 高고도미사일방어체계) 압박' 한발 물러서… 韓 "AIIB(中 주도 아시안인프라투자은행) 참여 곧 결정"

[韓中日	[/SS+韓中日/SH
외무회담]	외무/NNG+회담/NNG+]/SS
中	中/SH
'사드(美	'/SS+사드/NNG+(/SS+美/SH
주도	주도/NNG
高고도미사일방어체계)	高/SH+고도/NNG+미사일/NNG+방어/NNG+체계/NNG+)/SS
압박'	압박/NNG+'/SS
한발	한발/MAG
물러서…	물러서/VV+어/EF+…/SE
韓	韓/SH
"AIIB(中	"/SS+AIIB/SL+(/SS+中/SH
아시안인프라투자은행)	아시안인프라투자은행/NNP+)/SS
참여	참여/NNG
곧	곧/MAG
결정"	결정/NNG+"/SS


# id : NWRW1800000046.331.2.1
韓·中 외교장관 회담… 中, 사드 얘기 안 꺼내

韓·中	韓/SH+·/SP+中/SH
외교장관	외교/NNG+장관/NNG
회담…	회담/NNG+…/SE
中,	中/SH+,/SP
사드	사드/NNG
얘기	얘기/NNG
안	안/MAG
꺼내	꺼내/VV+어/EF


# id : NWRW1800000046.331.3.1
21일 열린 한·중 외교장관 회담은 '메인 이벤트'인 한·중·일 3국 외교장관 회의 못지않은 관심을 끌었다.

21일	21/SN+일/NNB
열린	열리/VV+ㄴ/ETM
한·중	한·중/NNP
외교장관	외교/NNG+장관/NNG
회담은	회담/NNG+은/JX
'메인	'/SS+메인/NNG
이벤트'인	이벤트/NNG+'/SS+이/VCP+ㄴ/ETM
한·중·일	한·중·일/NNP
3국	3국/NNG
회의	회의/NNG
못지않은	못지않/VA+은/ETM
관심을	관심/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.331.3.2
최근 미국 사드(THAAD·고고도미사일방어체계)의 한국 배치 문제, 중국이 주도하는 아시아인프라투자은행(AIIB)에 한국이 가입하는 문제 등 현안이 불거졌기 때문이다.

최근	최근/NNG
미국	미국/NNP
사드(THAAD·고고도미사일방어체계)의	사드/NNG+(/SS+THAAD/SL+·/SP+고/XPN+고도/NNG+미사일/NNG+방어/NNG+체계/NNG+)/SS+의/JKG
한국	한국/NNP
배치	배치/NNG
문제,	문제/NNG+,/SP
중국이	중국/NNP+이/JKS
주도하는	주도/NNG+하/XSV+는/ETM
아시아인프라투자은행(AIIB)에	아시아인프라투자은행/NNP+(/SS+AIIB/SL+)/SS+에/JKB
한국이	한국/NNP+이/JKS
가입하는	가입/NNG+하/XSV+는/ETM
문제	문제/NNG
등	등/NNB
현안이	현안/NNG+이/JKS
불거졌기	불거지/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.331.4.1
◇한·중 '사드 갈등' 잠복 국면

◇한·중	◇/SW+한·중/NNP
'사드	'/SS+사드/NNG
갈등'	갈등/NNG+'/SS
잠복	잠복/NNG
국면	국면/NNG


# id : NWRW1800000046.331.5.1
왕이(王毅) 중국 외교부장은 그러나 이날 회담에서 사드에 대해 특별한 언급을 하지 않은 것으로 전해졌다.

왕이(王毅)	왕이/NNP+(/SS+王毅/SH+)/SS
중국	중국/NNP
외교부장은	외교부장/NNG+은/JX
그러나	그러나/MAJ
이날	이날/NNG
회담에서	회담/NNG+에서/JKB
사드에	사드/NNG+에/JKB
대해	대하/VV+아/EC
특별한	특별/NNG+하/XSA+ㄴ/ETM
