# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.103
metadata : {}


# id : NWRW1800000037.103.1.1
“산학협력, 창조경제 중추적 역할 할 것”

“산학협력,	“/SS+산학/NNG+협력/NNG+,/SP
창조경제	창조/NNG+경제/NNG
중추적	중추/NNG+적/XSN
역할	역할/NNG
할	하/VV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000037.103.2.1
[2013 글로벌산학협력포럼] 한덕수 산학협동재단 이사장

[2013	[/SS+2013/SN
글로벌산학협력포럼]	글로벌/NNG+산학/NNG+협력/NNG+포럼/NNG+]/SS
한덕수	한덕수/NNP
산학협동재단	산학협동재단/NNP
이사장	이사장/NNG


# id : NWRW1800000037.103.3.1
“이제 산학협력은 기업과 대학 간의 긴밀한 협력을 통해 인재 양성과 기술 개발을 창의적으로 변모시켜야 새로운 국가성장동력을 발굴할 수 있고 창조경제에도 중추적 역할을 할 수 있습니다.”

“이제	“/SS+이제/MAG
산학협력은	산학/NNG+협력/NNG+은/JX
기업과	기업/NNG+과/JC
대학	대학/NNG
간의	간/NNB+의/JKG
긴밀한	긴밀하/VA+ㄴ/ETM
협력을	협력/NNG+을/JKO
통해	통하/VV+아/EC
인재	인재/NNG
양성과	양성/NNG+과/JC
기술	기술/NNG
개발을	개발/NNG+을/JKO
창의적으로	창의/NNG+적/XSN+으로/JKB
변모시켜야	변모/NNG+시키/XSV+어야/EC
새로운	새롭/VA+ㄴ/ETM
국가성장동력을	국가/NNG+성장/NNG+동력/NNG+을/JKO
발굴할	발굴/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
창조경제에도	창조/NNG+경제/NNG+에/JKB+도/JX
중추적	중추/NNG+적/XSN
역할을	역할/NNG+을/JKO
할	하/VV+ㄹ/ETM
있습니다.”	있/VA+습니다/EF+./SF+”/SS


# id : NWRW1800000037.103.4.1
글로벌산학협력포럼을 동아일보와 공동 주최한 한덕수 산학협동재단 이사장(64·사진)은 산학협력이 실질적인 상업화로 연결돼야 한다고 강조했다.

글로벌산학협력포럼을	글로벌/NNG+산학/NNG+협력/NNG+포럼/NNG+을/JKO
동아일보와	동아일보/NNP+와/JKB
공동	공동/NNG
주최한	주최/NNG+하/XSV+ㄴ/ETM
한덕수	한덕수/NNP
