# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.44
metadata : {}


# id : NWRW1800000028.44.1.1
대구시 식수원 취수장과 불과 몇㎞ /1980년대 심각했던 ‘오염’ 묻혀있어

대구시	대구시/NNP
식수원	식수원/NNG
취수장과	취수장/NNG+과/JKB
불과	불과/MAG
몇㎞	몇/NR+㎞/SW
/1980년대	//SP+1980/SN+년대/NNB
심각했던	심각하/VA+았/EP+던/ETM
‘오염’	‘/SS+오염/NNG+’/SS
묻혀있어	묻히/VV+어/EC+있/VX+어/EF


# id : NWRW1800000028.44.2.1
4대강 정비사업이 진행중인 낙동강 달성보 공사현장의 검은 퇴적층에서 맹독성 발암물질인 비소가 미국 환경보호청 기준치보다 높게 검출되면서 환경오염을 낳을 수 있다는 우려가 커지고 있다.

4대강	4/SN+대/NNG+강/NNG
정비사업이	정비/NNG+사업/NNG+이/JKS
진행중인	진행/NNG+중/NNB+이/VCP+ㄴ/ETM
낙동강	낙동강/NNP
달성보	달성보/NNP
공사현장의	공사/NNG+현장/NNG+의/JKG
검은	검/VA+은/ETM
퇴적층에서	퇴적/NNG+층/XSN+에서/JKB
맹독성	맹독/NNG+성/XSN
발암물질인	발암/NNG+물질/NNG+이/VCP+ㄴ/ETM
비소가	비소/NNG+가/JKS
미국	미국/NNP
환경보호청	환경/NNG+보호청/NNG
기준치보다	기준/NNG+치/XSN+보다/JKB
높게	높/VA+게/EC
검출되면서	검출/NNG+되/XSV+면서/EC
환경오염을	환경/NNG+오염/NNG+을/JKO
낳을	낳/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려가	우려/NNG+가/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.44.2.2
앞으로 준설 작업이 진행되면서 과거의 오염퇴적토가 더 발견될 가능성도 있어 이에 대한 정밀 조사 필요성도 제기된다.

앞으로	앞/NNG+으로/JKB
준설	준설/NNG
작업이	작업/NNG+이/JKS
진행되면서	진행/NNG+되/XSV+면서/EC
과거의	과거/NNG+의/JKG
오염퇴적토가	오염/NNG+퇴적토/NNG+가/JKS
더	더/MAG
발견될	발견/NNG+되/XSV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
있어	있/VA+어/EC
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
정밀	정밀/NNG
조사	조사/NNG
필요성도	필요/NNG+성/XSN+도/JX
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


