# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000042.142
metadata : {}


# id : NWRW1800000042.142.1.1
약사회, 법인약국 철회 요구 "동네 약국 다 문 닫게 될 것"

약사회,	약사회/NNP+,/SP
법인약국	법인/NNG+약국/NNG
철회	철회/NNG
요구	요구/NNG
"동네	"/SS+동네/NNG
약국	약국/NNG
다	다/MAG
문	문/NNG
닫게	닫/VV+게/EC
될	되/VV+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000042.142.2.1
"의료민영화 前단계" 반발에 복지부 "憲裁결정 따랐을뿐"

"의료민영화	"/SS+의료/NNG+민영/NNG+화/XSN
前단계"	前/SH+단계/NNG+"/SS
반발에	반발/NNG+에/JKB
복지부	복지부/NNG
"憲裁결정	"/SS+憲裁/SH+결정/NNG
따랐을뿐"	따르/VV+았/EP+을/ETM+뿐/NNB+"/SS


# id : NWRW1800000042.142.3.1
약사들이 정부의 법인약국 허용 방침에 반발하며 즉각 철회를 요구하고 나섰다.

약사들이	약사/NNG+들/XSN+이/JKS
정부의	정부/NNG+의/JKG
법인약국	법인/NNG+약국/NNG
허용	허용/NNG
방침에	방침/NNG+에/JKB
반발하며	반발/NNG+하/XSV+며/EC
즉각	즉각/MAG
철회를	철회/NNG+를/JKO
요구하고	요구/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.142.3.2
대한약사회는 5일 서울 약사회관에서 전국 시·군·구 약사회장 등 300여명이 모인 가운데 '영리법인 약국 저지 긴급 결의대회'를 열었다.

대한약사회는	대한약사회/NNP+는/JX
5일	5/SN+일/NNB
서울	서울/NNP
약사회관에서	약사/NNG+회관/NNG+에서/JKB
전국	전국/NNG
시·군·구	시·군·구/NNG
약사회장	약사회장/NNG
등	등/NNB
300여명이	300/SN+여/XSN+명/NNB+이/JKS
모인	모이/VV+ㄴ/ETM
가운데	가운데/NNG
'영리법인	'/SS+영리/NNG+법인/NNG
약국	약국/NNG
저지	저지/NNG
긴급	긴급/NNG
결의대회'를	결의/NNG+대회/NNG+'/SS+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.142.3.3
지난달 정부가 발표한 '투자 활성화 대책'의 하나로 나온 '법인약국 허용'이 의료 민영화로 가는 전 단계라며 강력 반발하고 나선 것이다.

지난달	지난달/NNG
정부가	정부/NNG+가/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
'투자	'/SS+투자/NNG
활성화	활성/NNG+화/XSN
대책'의	대책/NNG+'/SS+의/JKG
하나로	하나/NR+로/JKB
나온	나오/VV+ㄴ/ETM
'법인약국	'/SS+법인/NNG+약국/NNG
허용'이	허용/NNG+'/SS+이/JKS
의료	의료/NNG
민영화로	민영/NNG+화/XSN+로/JKB
가는	가/VV+는/ETM
전	전/MMD
단계라며	단계/NNG+이/VCP+라며/EC
강력	강력/NNG
반발하고	반발/NNG+하/XSV+고/EC
나선	나서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000042.142.4.1
정부는 약사들만 참여하는 유한책임회사(출자자들이 주식회사와 같이 유한한 책임을 지지만 공시 의무는 없는 회사) 형태로 약국 법인화를 추진한다는 방침이다.

정부는	정부/NNG+는/JX
약사들만	약사/NNG+들/XSN+만/JX
참여하는	참여/NNG+하/XSV+는/ETM
유한책임회사(출자자들이	유한/NNG+책임/NNG+회사/NNG+(/SS+출자자/NNG+들/XSN+이/JKS
주식회사와	주식회사/NNG+와/JKB
같이	같이/MAG
유한한	유한/NNG+하/XSA+ㄴ/ETM
책임을	책임/NNG+을/JKO
지지만	지/VV+지만/EC
공시	공시/NNG
의무는	의무/NNG+는/JX
없는	없/VA+는/ETM
회사)	회사/NNG+)/SS
형태로	형태/NNG+로/JKB
약국	약국/NNG
법인화를	법인/NNG+화/XSN+를/JKO
추진한다는	추진/NNG+하/XSV+ㄴ다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000042.142.4.2
법인약국이 생겨 투자 규모가 커지면 주말과 심야에도 문을 여는 약국이 생기는 등 서비스가 개선될 수 있다는 것이 정부 입장이다.

