# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.273
metadata : {}


# id : NWRW1800000024.273.1.1
피디협회장에 ‘한국방송’ 김덕재씨

피디협회장에	피디/NNG+협회장/NNG+에/JKB
‘한국방송’	‘/SS+한국방송/NNP+’/SS
김덕재씨	김덕재/NNP+씨/NNB


# id : NWRW1800000024.273.2.1
한국피디연합회는 28일 김덕재 <한국방송> 피디협회장을 제23대 피디연합회장으로 선출했다고 밝혔다.

한국피디연합회는	한국피디연합회/NNP+는/JX
28일	28/SN+일/NNB
김덕재	김덕재/NNP
<한국방송>	</SS+한국방송/NNP+>/SS
피디협회장을	피디/NNG+협회장/NNG+을/JKO
제23대	제/XPN+23/SN+대/NNB
피디연합회장으로	피디연합회장/NNG+으로/JKB
선출했다고	선출/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.273.3.1
김 당선자는 “방송 독립과 언론 자유는 질식 상태인 채 권력의 방송장악 시도와 산업논리만 횡행하고 있다”며 “가장 중요한 것은 이 시대의 소통”이라고 당선 소감을 피력했다.

김	김/NNP
당선자는	당선자/NNG+는/JX
“방송	“/SS+방송/NNG
독립과	독립/NNG+과/JC
언론	언론/NNG
자유는	자유/NNG+는/JX
질식	질식/NNG
상태인	상태/NNG+이/VCP+ㄴ/ETM
채	채/NNB
권력의	권력/NNG+의/JKG
방송장악	방송/NNG+장악/NNG
시도와	시도/NNG+와/JC
산업논리만	산업/NNG+논리/NNG+만/JX
횡행하고	횡행/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“가장	“/SS+가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
이	이/MMD
시대의	시대/NNG+의/JKG
소통”이라고	소통/NNG+”/SS+이라고/JKQ
당선	당선/NNG
소감을	소감/NNG+을/JKO
피력했다.	피력/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.273.3.2
그는 “장르와 각사 구분 없이 피디들 사이의 소통을 최우선으로 하면서 우리 사회와 시청자들과 소통할 수 있는 통로를 만들겠다”며 “양심적이고 민주적인 시민들과의 소통, 민주적 시민사회단체들과의 연대를 강화하겠다”고 포부를 밝혔다.

그는	그/NP+는/JX
“장르와	“/SS+장르/NNG+와/JC
각사	각/MMD+사/NNG
구분	구분/NNG
없이	없이/MAG
피디들	피디/NNG+들/XSN
사이의	사이/NNG+의/JKG
소통을	소통/NNG+을/JKO
최우선으로	최/XPN+우선/NNG+으로/JKB
하면서	하/VV+면서/EC
우리	우리/NP
사회와	사회/NNG+와/JC
시청자들과	시청자/NNG+들/XSN+과/JKB
소통할	소통/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
통로를	통로/NNG+를/JKO
만들겠다”며	만들/VV+겠/EP+다/EF+”/SS+며/EC
“양심적이고	“/SS+양심/NNG+적/XSN+이/VCP+고/EC
민주적인	민주/NNG+적/XSN+이/VCP+ㄴ/ETM
시민들과의	시민/NNG+들/XSN+과/JKB+의/JKG
소통,	소통/NNG+,/SP
민주적	민주/NNG+적/XSN
시민사회단체들과의	시민/NNG+사회단체/NNG+들/XSN+과/JKB+의/JKG
연대를	연대/NNG+를/JKO
강화하겠다”고	강화/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
포부를	포부/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.273.4.1
김 당선자는 1990년 <한국방송>에 입사해 ‘KBS스페셜’ ‘6시 내고향’ ‘추적 60분’ ’소비자고발’ 등의 프로그램을 연출했다.

김	김/NNP
당선자는	당선자/NNG+는/JX
1990년	1990/SN+년/NNB
<한국방송>에	</SS+한국방송/NNP+>/SS+에/JKB
입사해	입사/NNG+하/XSV+아/EC
‘KBS스페셜’	‘/SS+KBS/SL+스페셜/NNG+’/SS
‘6시	‘/SS+6/SN+시/NNB
내고향’	나/NP+의/JKG+고향/NNG+’/SS
‘추적	‘/SS+추적/NNG
60분’	60/SN+분/NNB+’/SS
’소비자고발’	’/SS+소비자/NNG+고발/NNG+’/SS
등의	등/NNB+의/JKG
프로그램을	프로그램/NNG+을/JKO
연출했다.	연출/NNG+하/XSV+았/EP+다/EF+./SF


