# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.221
metadata : {}


# id : NWRW1800000049.221.1.1
104점… 오리온 골잔치

104점…	104/SN+점/NNB+…/SE
오리온	오리온/NNP
골잔치	골/NNG+잔치/NNG


# id : NWRW1800000049.221.2.1
6강PO 1차전 동부에 26점차 대승… 1쿼터서 14점차 사실상 승부 갈라

6강PO	6/SN+강/NNB+PO/SL
1차전	1/SN+차전/NNB
동부에	동부/NNP+에/JKB
26점차	26/SN+점/NNB+차/NNG
대승…	대승/NNG+…/SE
1쿼터서	1/SN+쿼터/NNB+서/JKB
14점차	14/SN+점/NNB+차/NNG
사실상	사실/NNG+상/XSN
승부	승부/NNG
갈라	가르/VV+아/EF


# id : NWRW1800000049.221.3.1
‘득점 기계’ 애런 헤인즈와 ‘갓 잭슨’ 조 잭슨이 맹활약한 오리온이 6강 플레이오프(PO) 첫 경기에서 동부를 완파했다.

‘득점	‘/SS+득점/NNG
기계’	기계/NNG+’/SS
애런	애런/NNP
헤인즈와	헤인즈/NNP+와/JC
‘갓	‘/SS+갓/NNG
잭슨’	잭슨/NNP+’/SS
조	조/NNP
잭슨이	잭슨/NNP+이/JKS
맹활약한	맹활약/NNG+하/XSV+ㄴ/ETM
오리온이	오리온/NNP+이/JKS
6강	6/SN+강/NNB
플레이오프(PO)	플레이오프/NNG+(/SS+PO/SL+)/SS
첫	첫/MMN
경기에서	경기/NNG+에서/JKB
동부를	동부/NNP+를/JKO
완파했다.	완파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.221.4.1
오리온은 26일 안방인 고양체육관에서 열린 2015∼2016 KCC 프로농구 6강 PO(5전 3승제) 1차전에서 104-78로 대승을 거뒀다.

오리온은	오리온/NNP+은/JX
26일	26/SN+일/NNB
안방인	안방/NNG+이/VCP+ㄴ/ETM
고양체육관에서	고양체육관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
2015∼2016	2015/SN+∼/SO+2016/SN
KCC	KCC/SL
프로농구	프로/NNG+농구/NNG
6강	6/SN+강/NNB
PO(5전	PO/SL+(/SS+5/SN+전/NNB
3승제)	3/SN+승/NNB+제/XSN+)/SS
1차전에서	1/SN+차전/NNB+에서/JKB
