# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.339
metadata : {}


# id : NWRW1800000048.339.1.1
슈틸리케호 골문은 ‘철벽’

슈틸리케호	슈틸리케호/NNP
골문은	골문/NNG+은/JX
‘철벽’	‘/SS+철벽/NNG+’/SS


# id : NWRW1800000048.339.2.1
러시아월드컵 2차 예선

러시아월드컵	러시아/NNP+월드컵/NNG
2차	2/SN+차/NNB
예선	예선/NNG


# id : NWRW1800000048.339.3.1
구자철 헤딩골로 쿠웨이트 격파

구자철	구자철/NNP
헤딩골로	헤딩/NNG+골/NNG+로/JKB
쿠웨이트	쿠웨이트/NNP
격파	격파/NNG


# id : NWRW1800000048.339.4.1
무실점 4연승 파죽지세

무실점	무/XPN+실점/NNG
4연승	4/SN+연승/NNG
파죽지세	파죽지세/NNG


# id : NWRW1800000048.339.5.1
“한국 축구대표팀은 중동 원정에서 자기 경기력의 절반밖에 소화하지 못하는 징크스를 이번에도 털어냈다.

“한국	“/SS+한국/NNP
축구대표팀은	축구/NNG+대표/NNG+팀/NNG+은/JX
중동	중동/NNP
원정에서	원정/NNG+에서/JKB
자기	자기/NP
경기력의	경기력/NNG+의/JKG
절반밖에	절반/NNG+밖에/JX
소화하지	소화/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
징크스를	징크스/NNG+를/JKO
이번에도	이번/NNG+에/JKB+도/JX
털어냈다.	털/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000048.339.5.2
쿠웨이트전 승리로 2차 예선을 사실상 통과했다고 볼 수 있다.”(신문선 명지대 교수)

쿠웨이트전	쿠웨이트전/NNG
승리로	승리/NNG+로/JKB
2차	2/SN+차/NNB
예선을	예선/NNG+을/JKO
사실상	사실/NNG+상/XSN
통과했다고	통과/NNG+하/XSV+았/EP+다고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.”(신문선	있/VA+다/EF+./SF+”/SS+(/SS+신문선/NNP
명지대	명지대/NNP
교수)	교수/NNG+)/SS


# id : NWRW1800000048.339.6.1
‘슈틸리케호’가 쿠웨이트 원정에서 기분 좋은 승리를 거두면서 아시아 최종예선 진출에 매우 유리한 고지를 차지했다.

‘슈틸리케호’가	‘/SS+슈틸리케호/NNP+’/SS+가/JKS
쿠웨이트	쿠웨이트/NNP
원정에서	원정/NNG+에서/JKB
기분	기분/NNG
좋은	좋/VA+은/ETM
승리를	승리/NNG+를/JKO
거두면서	거두/VV+면서/EC
아시아	아시아/NNP
최종예선	최종/NNG+예선/NNG
진출에	진출/NNG+에/JKB
매우	매우/MAG
유리한	유리/NNG+하/XSA+ㄴ/ETM
고지를	고지/NNG+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.339.6.2
울리 슈틸리케 감독이 이끄는 축구대표팀은 지난 8일(현지시각) 쿠웨이트시티 국립경기장에서 열린 쿠웨이트와의 2018 러시아월드컵 아시아 2차 예선 G조 4차전에서 전반 12분 터진 구자철(26·아우크스부르크)의 천금 같은 헤딩골 덕분에 1-0으로 승리했다.

