# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.201
metadata : {}


# id : NWRW1800000056.201.1.1
세월호에서 발견된 뼛조각 7점, 사람 아닌 동물뼈

세월호에서	세월호/NNP+에서/JKB
발견된	발견/NNG+되/XSV+ㄴ/ETM
뼛조각	뼛조각/NNG
7점,	7/SN+점/NNB+,/SP
사람	사람/NNG
아닌	아니/VCN+ㄴ/ETM
동물뼈	동물/NNG+뼈/NNG


# id : NWRW1800000056.201.2.1
한때 미수습자 유골로 추정돼 긴장 고조

한때	한때/MAG
미수습자	미/XPN+수습자/NNG
유골로	유골/NNG+로/JKB
추정돼	추정/NNG+되/XSV+어/EC
긴장	긴장/NNG
고조	고조/NNG


# id : NWRW1800000056.201.3.1
세월호 선체 밖 반잠수식 선박 갑판에서 발견

세월호	세월호/NNP
선체	선체/NNG
밖	밖/NNG
반잠수식	반잠수식/NNG
선박	선박/NNG
갑판에서	갑판/NNG+에서/JKB
발견	발견/NNG


# id : NWRW1800000056.201.4.1
창문 등 막는 유실방지망 부실 우려

창문	창문/NNG
등	등/NNB
막는	막/VV+는/ETM
유실방지망	유실/NNG+방지망/NNG
부실	부실/NNG
우려	우려/NNG


# id : NWRW1800000056.201.5.1
세월호가 실린 반잠수식 선박 갑판에서 발견된 뼛조각은 사람이 아닌 동물의 것으로 밝혀졌다.

세월호가	세월호/NNP+가/JKS
실린	실리/VV+ㄴ/ETM
반잠수식	반잠수식/NNG
선박	선박/NNG
갑판에서	갑판/NNG+에서/JKB
발견된	발견/NNG+되/XSV+ㄴ/ETM
뼛조각은	뼛조각/NNG+은/JX
사람이	사람/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
동물의	동물/NNG+의/JKG
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.201.5.2
해양수산부는 28일 밤 “국립과학수사연구원의 현장 검증 결과 갑판 위에서 발견된 뼛조각 7점은 동물 뼈로 확인됐다”며 “돼지 뼈일 가능성이 있다” 밝혔다.

해양수산부는	해양/NNG+수산부/NNG+는/JX
28일	28/SN+일/NNB
밤	밤/NNG
“국립과학수사연구원의	“/SS+국립과학수사연구원/NNP+의/JKG
현장	현장/NNG
검증	검증/NNG
결과	결과/NNG
갑판	갑판/NNG
위에서	위/NNG+에서/JKB
발견된	발견/NNG+되/XSV+ㄴ/ETM
뼛조각	뼛조각/NNG
7점은	7/SN+점/NNB+은/JX
동물	동물/NNG
뼈로	뼈/NNG+로/JKB
확인됐다”며	확인/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
“돼지	“/SS+돼지/NNG
뼈일	뼈/NNG+이/VCP+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다”	있/VA+다/EF+”/SS
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.201.6.1
이번 뼛조각이 동물 뼈로 확인됐으나, 세월호 선체 밖인 반잠수식 선박 갑판에서 발견된 만큼 유실방지망이 제대로 설치되지 않았거나 훼손됐을 가능성이 높다.

이번	이번/NNG
뼛조각이	뼛조각/NNG+이/JKS
동물	동물/NNG
뼈로	뼈/NNG+로/JKB
확인됐으나,	확인/NNG+되/XSV+었/EP+으나/EC+,/SP
세월호	세월호/NNP
선체	선체/NNG
밖인	밖/NNG+이/VCP+ㄴ/ETM
반잠수식	반잠수식/NNG
선박	선박/NNG
갑판에서	갑판/NNG+에서/JKB
발견된	발견/NNG+되/XSV+ㄴ/ETM
만큼	만큼/NNB
유실방지망이	유실/NNG+방지망/NNG+이/JKS
제대로	제대로/MAG
설치되지	설치/NNG+되/XSV+지/EC
않았거나	않/VX+았/EP+거나/EC
훼손됐을	훼손/NNG+되/XSV+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000056.201.6.2
또 미수습자들의 유골도 세월호 선체 안에 남아있을 가능성을 보여주는 것이기도 하다.

또	또/MAG
미수습자들의	미/XPN+수습자/NNG+들/XSN+의/JKG
유골도	유골/NNG+도/JX
세월호	세월호/NNP
선체	선체/NNG
안에	안/NNG+에/JKB
남아있을	남/VV+아/EC+있/VX+을/ETM
가능성을	가능/NNG+성/XSN+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
것이기도	것/NNB+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000056.201.7.1
앞서 해수부는 이날 오후 긴급 브리핑에서 “목포신항으로 이동하기 위한 준비작업을 하던 중 현장근무 인력이 오전 11시25분께 세월호가 있는 반잠수식 선박 갑판 위에서 유골을 발견했다”고 밝혀, 미수습자의 뼛조각으로 추정됐다.

앞서	앞서/MAG
해수부는	해수부/NNG+는/JX
이날	이날/NNG
오후	오후/NNG
긴급	긴급/NNG
브리핑에서	브리핑/NNG+에서/JKB
“목포신항으로	“/SS+목포신항/NNP+으로/JKB
이동하기	이동/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
준비작업을	준비/NNG+작업/NNG+을/JKO
하던	하/VV+던/ETM
중	중/NNB
현장근무	현장/NNG+근무/NNG
인력이	인력/NNG+이/JKS
오전	오전/NNG
11시25분께	11/SN+시/NNB+25/SN+분/NNB+께/XSN
세월호가	세월호/NNP+가/JKS
있는	있/VA+는/ETM
반잠수식	반잠수식/NNG
선박	선박/NNG
갑판	갑판/NNG
위에서	위/NNG+에서/JKB
유골을	유골/NNG+을/JKO
발견했다”고	발견/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혀,	밝히/VV+어/EC+,/SP
미수습자의	미/XPN+수습자/NNG+의/JKG
뼛조각으로	뼛조각/NNG+으로/JKB
추정됐다.	추정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.201.7.2
크기가 4~18㎝가량인 이 뼛조각들은 세월호 뱃머리 객실(A데크) 아래 리프팅빔(받침대) 주변에서 발견됐다.

크기가	크기/NNG+가/JKS
4~18㎝가량인	4/SN+~/SO+18/SN+㎝/SW+가량/XSN+이/VCP+ㄴ/ETM
이	이/MMD
뼛조각들은	뼛조각/NNG+들/XSN+은/JX
세월호	세월호/NNP
뱃머리	뱃머리/NNG
객실(A데크)	객실/NNG+(/SS+A/SL+데크/NNG+)/SS
아래	아래/NNG
