# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.161
metadata : {}


# id : NWRW1800000033.161.1.1
[휴지통]“일감 끊겨 돈 없는데 안주까지 시키라니…”

[휴지통]“일감	[/SS+휴지통/NNG+]/SS+“/SS+일감/NNG
끊겨	끊기/VV+어/EC
돈	돈/NNG
없는데	없/VA+는데/EC
안주까지	안주/NNG+까지/JX
시키라니…”	시키/VV+라니/EF+…/SE+”/SS


# id : NWRW1800000033.161.2.1
60대, 콜라텍 종업원 폭행

60대,	60/SN+대/NNB+,/SP
콜라텍	콜라텍/NNG
종업원	종업원/NNG
폭행	폭행/NNG


# id : NWRW1800000033.161.3.1
불경기라 오늘도 일이 없었다.

불경기라	불/XPN+경기/NNG+이/VCP+라/EC
오늘도	오늘/NNG+도/JX
일이	일/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.161.3.2
엎친 데 덮친 격으로 며칠째 한파까지 이어지자 일이 뚝 끊겼다.

엎친	엎치/VV+ㄴ/ETM
데	데/NNB
덮친	덮치/VV+ㄴ/ETM
격으로	격/NNB+으로/JKB
며칠째	며칠/NNG+째/XSN
한파까지	한파/NNG+까지/JX
이어지자	이어지/VV+자/EC
일이	일/NNG+이/JKS
뚝	뚝/MAG
끊겼다.	끊기/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.161.3.3
홍모 씨(64)의 주머니 속에 있는 돈은 1만 원짜리 지폐 한 장뿐이었다.

홍모	홍/NNP+모/NP
씨(64)의	씨/NNB+(/SS+64/SN+)/SS+의/JKG
주머니	주머니/NNG
속에	속/NNG+에/JKB
있는	있/VA+는/ETM
돈은	돈/NNG+은/JX
1만	1/SN+만/NR
원짜리	원/NNB+짜리/XSN
지폐	지폐/NNG
한	한/MMN
장뿐이었다.	장/NNB+뿐/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.161.4.1
9일 밤 홍 씨는 술이라도 한잔 마시고 싶었다.

9일	9/SN+일/NNB
밤	밤/NNG
홍	홍/NNP
씨는	씨/NNB+는/JX
술이라도	술/NNG+이라도/JX
한잔	한잔/NNG
마시고	마시/VV+고/EC
싶었다.	싶/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.161.4.2
따로 안주를 시킬 돈이 없으니 집에서 라면으로 배를 채운 그는 울적한 마음을 달래려 서울 구로구 구로동의 한 콜라텍으로 향했다.

따로	따로/MAG
안주를	안주/NNG+를/JKO
시킬	시키/VV+ㄹ/ETM
돈이	돈/NNG+이/JKS
없으니	없/VA+으니/EC
집에서	집/NNG+에서/JKB
라면으로	라면/NNG+으로/JKB
배를	배/NNG+를/JKO
채운	채우/VV+ㄴ/ETM
그는	그/NP+는/JX
울적한	울적하/VA+ㄴ/ETM
마음을	마음/NNG+을/JKO
달래려	달래/VV+려/EC
서울	서울/NNP
구로구	구로구/NNP
구로동의	구로동/NNP+의/JKG
한	한/MMN
콜라텍으로	콜라텍/NNG+으로/JKB
향했다.	향하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.161.4.3
홍 씨가 리듬에 맞춰 몸을 흔드는 손님들 사이에 자리를 잡자 메뉴판을 든 종업원 방모 씨(44)가 다가왔다.

홍	홍/NNP
씨가	씨/NNB+가/JKS
리듬에	리듬/NNG+에/JKB
맞춰	맞추/VV+어/EC
몸을	몸/NNG+을/JKO
흔드는	흔들/VV+는/ETM
손님들	손/NNG+님/XSN+들/XSN
사이에	사이/NNG+에/JKB
자리를	자리/NNG+를/JKO
잡자	잡/VV+자/EC
메뉴판을	메뉴판/NNG+을/JKO
든	들/VV+ㄴ/ETM
종업원	종업원/NNG
방모	방/NNP+모/NP
씨(44)가	씨/NNB+(/SS+44/SN+)/SS+가/JKS
다가왔다.	다가오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.161.4.4
홍 씨는 3000원짜리 막걸리 두 병을 주문하기로 마음먹고 주문을 하려는데 방 씨가 “손님, 안주도 주문하셔야 합니다”라고 말했다.

홍	홍/NNP
씨는	씨/NNB+는/JX
3000원짜리	3000/SN+원/NNB+짜리/XSN
막걸리	막걸리/NNG
두	두/MMN
병을	병/NNG+을/JKO
주문하기로	주문/NNG+하/XSV+기/ETN+로/JKB
마음먹고	마음먹/VV+고/EC
주문을	주문/NNG+을/JKO
하려는데	하/VV+려는데/EC
방	방/NNP
씨가	씨/NNB+가/JKS
“손님,	“/SS+손/NNG+님/XSN+,/SP
안주도	안주/NNG+도/JX
주문하셔야	주문/NNG+하/XSV+시/EP+어야/EC
합니다”라고	하/VX+ㅂ니다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.161.5.1
당황한 홍 씨는 “제가 배가 불러서…”라며 말끝을 흐렸다.

당황한	당황/NNG+하/XSV+ㄴ/ETM
홍	홍/NNP
씨는	씨/NNB+는/JX
“제가	“/SS+제/NP+가/JKS
배가	배/NNG+가/JKS
불러서…”라며	부르/VV+어서/EC+…/SE+”/SS+이/VCP+라며/EC
말끝을	말끝/NNG+을/JKO
흐렸다.	흐리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.161.5.2
하지만 종업원은 “그래도 꼭 안주를 시켜야 합니다”라고 잘라 말했다.

하지만	하지만/MAJ
종업원은	종업원/NNG+은/JX
“그래도	“/SS+그러/VV+어도/EC
꼭	꼭/MAG
안주를	안주/NNG+를/JKO
시켜야	시키/VV+어야/EC
합니다”라고	하/VX+ㅂ니다/EF+”/SS+라고/JKQ
잘라	자르/VV+아/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.161.6.1
자신이 돈이 없어 보여 이런 말을 한다고 생각한 홍 씨는 화가 치밀었다.

자신이	자신/NNG+이/JKS
돈이	돈/NNG+이/JKS
없어	없/VA+어/EC
보여	보이/VV+어/EC
이런	이런/MMD
말을	말/NNG+을/JKO
한다고	하/VV+ㄴ다고/EC
생각한	생각/NNG+하/XSV+ㄴ/ETM
홍	홍/NNP
씨는	씨/NNB+는/JX
화가	화/NNG+가/JKS
치밀었다.	치밀/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.161.6.2
그는 “배부르다고! 내가 돈이 없어 보여!”라고 소리를 지르며 주먹으로 방 씨를 때렸다.

그는	그/NP+는/JX
“배부르다고!	“/SS+배부르/VA+다고/EF+!/SF
내가	내/NP+가/JKS
돈이	돈/NNG+이/JKS
없어	없/VA+어/EC
보여!”라고	보이/VV+어/EF+!/SF+”/SS+라고/JKQ
소리를	소리/NNG+를/JKO
지르며	지르/VV+며/EC
주먹으로	주먹/NNG+으로/JKB
방	방/NNP
씨를	씨/NNB+를/JKO
때렸다.	때리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.161.6.3
방 씨도 지지 않고 홍 씨를 때렸다.

방	방/NNP
씨도	씨/NNB+도/JX
지지	지/VV+지/EC
않고	않/VX+고/EC
홍	홍/NNP
씨를	씨/NNB+를/JKO
때렸다.	때리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.161.6.4
주방에 있던 콜라텍 사장 이모 씨(51) 역시 홍 씨가 돈을 내지 않고 도망가려는 것이라 착각해 싸움에 끼어들었다.

주방에	주방/NNG+에/JKB
있던	있/VA+던/ETM
콜라텍	콜라텍/NNG
사장	사장/NNG
이모	이/NNP+모/NP
씨(51)	씨/NNB+(/SS+51/SN+)/SS
역시	역시/MAG
홍	홍/NNP
씨가	씨/NNB+가/JKS
돈을	돈/NNG+을/JKO
내지	내/VV+지/EC
않고	않/VX+고/EC
도망가려는	도망가/VV+려는/ETM
것이라	것/NNB+이/VCP+라/EC
착각해	착각/NNG+하/XSV+아/EC
싸움에	싸움/NNG+에/JKB
끼어들었다.	끼어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.161.7.1
서울 구로경찰서는 10일 서로를 때린 혐의(쌍방폭행)로 홍 씨와 콜라텍 주인 이 씨, 종업원 방 씨를 불구속 입건했다.

서울	서울/NNP
구로경찰서는	구로경찰서/NNP+는/JX
10일	10/SN+일/NNB
서로를	서로/NNG+를/JKO
때린	때리/VV+ㄴ/ETM
혐의(쌍방폭행)로	혐의/NNG+(/SS+쌍방/NNG+폭행/NNG+)/SS+로/JKB
홍	홍/NNP
씨와	씨/NNB+와/JC
콜라텍	콜라텍/NNG
주인	주인/NNG
이	이/NNP
씨,	씨/NNB+,/SP
종업원	종업원/NNG
방	방/NNP
씨를	씨/NNB+를/JKO
불구속	불/XPN+구속/NNG
입건했다.	입건/NNG+하/XSV+았/EP+다/EF+./SF


