# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.226
metadata : {}


# id : NWRW1800000054.226.1.1
[사건 블랙박스] 과자 훔친 공시생들에 '합의금 장사'한 노량진 마트

[사건	[/SS+사건/NNG
블랙박스]	블랙박스/NNG+]/SS
과자	과자/NNG
훔친	훔치/VV+ㄴ/ETM
공시생들에	공시/NNG+생/XSN+들/XSN+에/JKB
'합의금	'/SS+합의금/NNG
장사'한	장사/NNG+'/SS+하/VV+ㄴ/ETM
노량진	노량진/NNP
마트	마트/NNG


# id : NWRW1800000054.226.2.1
"공무원 시험 못보게 경찰 신고" 29명에게 협박해 3000만원 뜯어

"공무원	"/SS+공무원/NNG
시험	시험/NNG
못보게	못/MAG+보/VV+게/EC
경찰	경찰/NNG
신고"	신고/NNG+"/SS
29명에게	29/SN+명/NNB+에게/JKB
협박해	협박/NNG+하/XSV+아/EC
3000만원	3000/SN+만/NR+원/NNB
뜯어	뜯/VV+어/EF


# id : NWRW1800000054.226.3.1
공무원 시험 준비생 박모(36)씨는 지난 9월 어느 날 밤 11시 30분쯤 서울 동작구 노량진동 한 마트에서 과자 몇 개를 주머니에 넣고 가게 문을 나섰다.

공무원	공무원/NNG
시험	시험/NNG
준비생	준비/NNG+생/XSN
박모(36)씨는	박/NNP+모/NP+(/SS+36/SN+)/SS+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
어느	어느/MMD
날	날/NNG
밤	밤/NNG
11시	11/SN+시/NNB
30분쯤	30/SN+분/NNB+쯤/XSN
서울	서울/NNP
동작구	동작구/NNP
노량진동	노량진동/NNP
한	한/MMN
마트에서	마트/NNG+에서/JKB
과자	과자/NNG
몇	몇/NR
개를	개/NNB+를/JKO
주머니에	주머니/NNG+에/JKB
넣고	넣/VV+고/EC
가게	가게/NNG
문을	문/NNG+을/JKO
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.226.4.1
CCTV를 지켜보고 있던 점장이 그를 붙잡아 "물건을 훔치려 했느냐"며 마트 뒤편 사무실로 끌고 들어갔다.

CCTV를	CCTV/SL+를/JKO
지켜보고	지켜보/VV+고/EC
있던	있/VX+던/ETM
점장이	점장/NNG+이/JKS
그를	그/NP+를/JKO
붙잡아	붙잡/VV+아/EC
"물건을	"/SS+물건/NNG+을/JKO
훔치려	훔치/VV+려/EC
했느냐"며	하/VX+았/EP+느냐/EF+"/SS+며/EC
마트	마트/NNG
뒤편	뒤편/NNG
사무실로	사무실/NNG+로/JKB
끌고	끌/VV+고/EC
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.226.4.2
그는 다른 직원 2명과 함께 "300만원을 내놓아라. 안 그러면 경찰에 신고해 공무원 시험을 보지 못하게 하겠다"고 협박했다.

그는	그/NP+는/JX
다른	다른/MMD
직원	직원/NNG
2명과	2/SN+명/NNB+과/JKB
함께	함께/MAG
"300만원을	"/SS+300/SN+만/NR+원/NNB+을/JKO
내놓아라.	내놓/VV+아라/EF+./SF
안	안/MAG
그러면	그러/VV+면/EC
경찰에	경찰/NNG+에/JKB
신고해	신고/NNG+하/XSV+아/EC
공무원	공무원/NNG
시험을	시험/NNG+을/JKO
보지	보/VV+지/EC
못하게	못하/VX+게/EC
하겠다"고	하/VX+겠/EP+다/EF+"/SS+고/JKQ
협박했다.	협박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.226.4.3
박씨가 가지고 나가려던 과자는 6000원어치 정도였다.

박씨가	박/NNP+씨/NNB+가/JKS
가지고	가지/VV+고/EC
나가려던	나가/VV+려던/ETM
과자는	과자/NNG+는/JX
6000원어치	6000/SN+원/NNB+어치/XSN
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.226.5.1
전과(前科)가 생기면 공무원 시험은 치기 어렵다.

전과(前科)가	전과/NNG+(/SS+前科/SH+)/SS+가/JKS
생기면	생기/VV+면/EC
공무원	공무원/NNG
시험은	시험/NNG+은/JX
치기	치/VV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000054.226.5.2
박씨는 가족에게 연락해 점장 등의 통장으로 300만원을 보내라고 했다.

박씨는	박/NNP+씨/NNB+는/JX
가족에게	가족/NNG+에게/JKB
연락해	연락/NNG+하/XSV+아/EC
점장	점장/NNG
등의	등/NNB+의/JKG
통장으로	통장/NNG+으로/JKB
300만원을	300/SN+만/NR+원/NNB+을/JKO
보내라고	보내/VV+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.226.5.3
그런 뒤 점장 등은 박씨를 놓아줬다.

그런	그러/VV+ㄴ/ETM
뒤	뒤/NNG
점장	점장/NNG
등은	등/NNB+은/JX
박씨를	박/NNP+씨/NNB+를/JKO
놓아줬다.	놓아주/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.226.6.1
이 마트는 노량진 학원가에 있다.

이	이/MMD
마트는	마트/NNG+는/JX
노량진	노량진/NNP
학원가에	학원가/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.226.6.2
공무원 시험 준비생과 취업 준비생들이 많이 이용하는 곳이다.

공무원	공무원/NNG
시험	시험/NNG
준비생과	준비/NNG+생/XSN+과/JC
취업	취업/NNG
준비생들이	준비/NNG+생/XSN+들/XSN+이/JKS
많이	많이/MAG
이용하는	이용/NNG+하/XSV+는/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.226.6.3
경찰에 붙잡힌 박모(여·73)씨와 그 아들 김모(48)씨는 물건값을 계산하지 않고 나가는 사람들에게 합의금 명목의 돈을 뜯었다고 한다.

경찰에	경찰/NNG+에/JKB
붙잡힌	붙잡히/VV+ㄴ/ETM
박모(여·73)씨와	박/NNP+모/NP+(/SS+여/NNG+·/SP+73/SN+)/SS+씨/NNB+와/JC
