# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.361
metadata : {}


# id : NWRW1800000024.361.1.1
법무장관 “나영이 성폭행 범인 가석방 없다”

법무장관	법무/NNG+장관/NNG
“나영이	“/SS+나영이/NNP
성폭행	성폭행/NNG
범인	범인/NNG
가석방	가/XPN+석방/NNG
없다”	없/VA+다/EF+”/SS


# id : NWRW1800000024.361.2.1
이귀남 법무부 장관은 30일 한 초등학교 여학생이 등굣길 성폭행으로 영구 신체 훼손을 당한 이른바 ‘나영이(가명) 사건’의 범인으로 최근 징역 12년형이 확정된 조아무개(57)씨에 대해 앞으로 가석방 없이 엄격하게 형을 집행하라고 지시했다.

이귀남	이귀남/NNP
법무부	법무부/NNG
장관은	장관/NNG+은/JX
30일	30/SN+일/NNB
한	한/MMN
초등학교	초등학교/NNG
여학생이	여학생/NNG+이/JKS
등굣길	등굣길/NNG
성폭행으로	성폭행/NNG+으로/JKB
영구	영구/NNG
신체	신체/NNG
훼손을	훼손/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
이른바	이른바/MAG
‘나영이(가명)	‘/SS+나영이/NNP+(/SS+가명/NNG+)/SS
사건’의	사건/NNG+’/SS+의/JKG
범인으로	범인/NNG+으로/JKB
최근	최근/MAG
징역	징역/NNG
12년형이	12/SN+년/NNB+형/NNG+이/JKS
확정된	확정/NNG+되/XSV+ㄴ/ETM
조아무개(57)씨에	조/NNP+아무개/NP+(/SS+57/SN+)/SS+씨/NNB+에/JKB
대해	대하/VV+아/EC
앞으로	앞/NNG+으로/JKB
가석방	가/XPN+석방/NNG
없이	없이/MAG
엄격하게	엄격/NNG+하/XSA+게/EC
형을	형/NNG+을/JKO
집행하라고	집행/NNG+하/XSV+라고/EC
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.361.2.2
법무부는 ‘아동 성범죄자의 형량이 가볍다’는 여론이 높아짐에 따라 이렇게 결정하고, 대법원 양형위원회에 이런 범죄의 양형기준 상향을 건의하기로 했다.

법무부는	법무부/NNG+는/JX
‘아동	‘/SS+아동/NNG
성범죄자의	성범죄자/NNG+의/JKG
형량이	형량/NNG+이/JKS
가볍다’는	가볍/VA+다/EF+’/SS+는/ETM
여론이	여론/NNG+이/JKS
높아짐에	높아지/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
이렇게	이렇/VA+게/EC
결정하고,	결정/NNG+하/XSV+고/EC+,/SP
대법원	대/XPN+법원/NNG
양형위원회에	양형/NNG+위원회/NNG+에/JKB
이런	이런/MMD
범죄의	범죄/NNG+의/JKG
양형기준	양형/NNG+기준/NNG
상향을	상향/NNG+을/JKO
건의하기로	건의/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.361.3.1
