# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.139
metadata : {}


# id : NWRW1800000048.139.1.1
“일본 안보법, 내년 3월29일 시행 방침”

“일본	“/SS+일본/NNP
안보법,	안보법/NNG+,/SP
내년	내년/NNG
3월29일	3/SN+월/NNB+29/SN+일/NNB
시행	시행/NNG
방침”	방침/NNG+”/SS


# id : NWRW1800000048.139.2.1
일본 마이니치신문 보도

일본	일본/NNP
마이니치신문	마이니치신문/NNP
보도	보도/NNG


# id : NWRW1800000048.139.3.1
집단적 자위권의 행사를 뼈대로 한 일본의 안보 관련법이 내년 3월29일 시행될 전망이다.

집단적	집단/NNG+적/XSN
자위권의	자위/NNG+권/XSN+의/JKG
행사를	행사/NNG+를/JKO
뼈대로	뼈대/NNG+로/JKB
한	하/VV+ㄴ/ETM
일본의	일본/NNP+의/JKG
안보	안보/NNG
관련법이	관련/NNG+법/NNG+이/JKS
내년	내년/NNG
3월29일	3/SN+월/NNB+29/SN+일/NNB
시행될	시행/NNG+되/XSV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.139.3.2
이 법의 적용 범위 등과 관련해 한-일 군사당국 간에 상당한 이견이 남아 있는 상태에서 법 시행이 코앞에 다가온 셈이다.

이	이/MMD
법의	법/NNG+의/JKG
적용	적용/NNG
범위	범위/NNG
등과	등/NNB+과/JKB
관련해	관련/NNG+하/XSV+아/EC
한-일	한-일/NNP
군사당국	군사/NNG+당국/NNG
간에	간/NNB+에/JKB
상당한	상당/NNG+하/XSA+ㄴ/ETM
이견이	이견/NNG+이/JKS
남아	남/VV+아/EC
있는	있/VX+는/ETM
상태에서	상태/NNG+에서/JKB
법	법/NNG
시행이	시행/NNG+이/JKS
코앞에	코앞/NNG+에/JKB
다가온	다가오/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.139.3.3
일본 <마이니치신문>은 5일(현지시각) 일본 정부가 지난 9월 통과된 안보 관련법을 내년 3월29일부터 시행하기로 방침을 굳혔다고 보도했다.

일본	일본/NNP
<마이니치신문>은	</SS+마이니치신문/NNP+>/SS+은/JX
5일(현지시각)	5/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
정부가	정부/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
통과된	통과/NNG+되/XSV+ㄴ/ETM
안보	안보/NNG
관련법을	관련/NNG+법/NNG+을/JKO
내년	내년/NNG
3월29일부터	3/SN+월/NNB+29/SN+일/NNB+부터/JX
시행하기로	시행/NNG+하/XSV+기/ETN+로/JKB
방침을	방침/NNG+을/JKO
굳혔다고	굳히/VV+었/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.139.3.4
법은 지난 9월30일 공포됐고 ‘공포 뒤 반년 뒤 시행된다’고 정해져 있어, 시행 시점은 내년 3월 말로 예상돼 왔었다.

법은	법/NNG+은/JX
지난	지나/VV+ㄴ/ETM
9월30일	9/SN+월/NNB+30/SN+일/NNB
공포됐고	공포/NNG+되/XSV+었/EP+고/EC
‘공포	‘/SS+공포/NNG
뒤	뒤/NNG
반년	반년/NNG
시행된다’고	시행/NNG+되/XSV+ㄴ다/EF+’/SS+고/JKQ
정해져	정하/VV+아/EC+지/VX+어/EC
있어,	있/VX+어/EC+,/SP
시행	시행/NNG
시점은	시점/NNG+은/JX
내년	내년/NNG
3월	3/SN+월/NNB
말로	말/NNB+로/JKB
예상돼	예상/NNG+되/XSV+어/EC
왔었다.	오/VX+았었/EP+다/EF+./SF


# id : NWRW1800000048.139.4.1
이 법이 시행되면 일본의 주변사태에 한정돼 있던 자위대의 활동 범위가 전 세계로 확장되고, 미국 등 밀접한 관계에 있는 타국이 공격받을 경우 무력행사를 할 수 있게 된다.

이	이/MMD
법이	법/NNG+이/JKS
시행되면	시행/NNG+되/XSV+면/EC
일본의	일본/NNP+의/JKG
주변사태에	주변/NNG+사태/NNG+에/JKB
한정돼	한정/NNG+되/XSV+어/EC
있던	있/VX+던/ETM
자위대의	자위대/NNG+의/JKG
활동	활동/NNG
범위가	범위/NNG+가/JKS
전	전/MMD
세계로	세계/NNG+로/JKB
확장되고,	확장/NNG+되/XSV+고/EC+,/SP
미국	미국/NNP
등	등/NNB
밀접한	밀접/NNG+하/XSA+ㄴ/ETM
관계에	관계/NNG+에/JKB
있는	있/VA+는/ETM
타국이	타국/NNG+이/JKS
공격받을	공격/NNG+받/XSV+을/ETM
경우	경우/NNG
무력행사를	무력행사/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.139.4.2
미군 등 타국 군을 대상으로 후방지원(병참) 활동도 할 수 있게 된다.

미군	미군/NNG
등	등/NNB
타국	타국/NNG
군을	군/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
후방지원(병참)	후방/NNG+지원/NNG+(/SS+병참/NNG+)/SS
활동도	활동/NNG+도/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.139.4.3
