# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.372
metadata : {}


# id : NWRW1800000030.372.1.1
[수도권II] 남한강(양평)은 봄… 북한강(가평)은 아직 겨울?

[수도권II]	[/SS+수도/NNG+권/XSN+II/SL+]/SS
남한강(양평)은	남한강/NNP+(/SS+양평/NNP+)/SS+은/JX
봄…	봄/NNG+…/SE
북한강(가평)은	북한강/NNP+(/SS+가평/NNP+)/SS+은/JX
아직	아직/MAG
겨울?	겨울/NNG+?/SF


# id : NWRW1800000030.372.1.2
•장관 2명이나 배출한 양평 푸짐한 정부 지원에 웃음 가평 이진용 군수 낙마에 현안사업 차질 우려 울상

•장관	•/SW+장관/NNG
2명이나	2/SN+명/NNB+이나/JX
배출한	배출/NNG+하/XSV+ㄴ/ETM
양평	양평/NNP
푸짐한	푸짐하/VA+ㄴ/ETM
정부	정부/NNG
지원에	지원/NNG+에/JKB
웃음	웃음/NNG
가평	가평/NNP
이진용	이진용/NNP
군수	군수/NNG
낙마에	낙마/NNG+에/JKB
현안사업	현안/NNG+사업/NNG
차질	차질/NNG
우려	우려/NNG
울상	울상/NNG


# id : NWRW1800000030.372.2.1
•장관 2명이나 배출한 양평 푸짐한 정부 지원에 웃음 가평 이진용 군수 낙마에 현안사업 차질 우려 울상

•장관	•/SW+장관/NNG
2명이나	2/SN+명/NNB+이나/JX
배출한	배출/NNG+하/XSV+ㄴ/ETM
양평	양평/NNP
푸짐한	푸짐하/VA+ㄴ/ETM
정부	정부/NNG
지원에	지원/NNG+에/JKB
웃음	웃음/NNG
가평	가평/NNP
이진용	이진용/NNP
군수	군수/NNG
낙마에	낙마/NNG+에/JKB
현안사업	현안/NNG+사업/NNG
차질	차질/NNG
우려	우려/NNG
울상	울상/NNG


# id : NWRW1800000030.372.3.1
남한강(양평)에는 봄이 왔지만, 북한강(가평)은 아직 추위가 매섭다.

남한강(양평)에는	남한강/NNP+(/SS+양평/NNP+)/SS+에/JKB+는/JX
봄이	봄/NNG+이/JKS
왔지만,	오/VV+았/EP+지만/EC+,/SP
북한강(가평)은	북한강/NNP+(/SS+가평/NNP+)/SS+은/JX
아직	아직/MAG
추위가	추위/NNG+가/JKS
매섭다.	매섭/VA+다/EF+./SF


# id : NWRW1800000030.372.3.2
국회의원 동일 선거구로 묶여 '양·가평'이라고도 불리는 이웃사촌 자치단체의 희비가 엇갈리고 있다.

국회의원	국회/NNG+의원/NNG
동일	동일/NNG
선거구로	선거구/NNG+로/JKB
묶여	묶이/VV+어/EC
'양·가평'이라고도	'/SS+양·가평/NNP+'/SS+이/VCP+라고/EC+도/JX
불리는	불리/VV+는/ETM
이웃사촌	이웃사촌/NNG
자치단체의	자치/NNG+단체/NNG+의/JKG
희비가	희비/NNG+가/JKS
엇갈리고	엇갈리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.372.3.3
가평군은 최근 기획부동산 비리에 연루돼 이진용 군수가 구속되고, 홍태석 전 군의회 의장 등 지역 인사들이 사법처리돼 부끄러운 멍에를 쓰고 있다.

가평군은	가평군/NNP+은/JX
최근	최근/NNG
기획부동산	기획/NNG+부동산/NNG
비리에	비리/NNG+에/JKB
연루돼	연루/NNG+되/XSV+어/EC
이진용	이진용/NNP
군수가	군수/NNG+가/JKS
구속되고,	구속/NNG+되/XSV+고/EC+,/SP
홍태석	홍태석/NNP
전	전/MMD
군의회	군/NNG+의회/NNG
의장	의장/NNG
등	등/NNB
지역	지역/NNG
인사들이	인사/NNG+들/XSN+이/JKS
사법처리돼	사법/NNG+처리/NNG+되/XSV+어/EC
부끄러운	부끄럽/VA+ㄴ/ETM
멍에를	멍에/NNG+를/JKO
쓰고	쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.372.3.4
그러나 양평군은 올 들어 현안이 술술 풀려 다른 자치단체의 부러움을 사고 있다.

그러나	그러나/MAJ
양평군은	양평군/NNP+은/JX
올	올/NNG
들어	들/VV+어/EC
현안이	현안/NNG+이/JKS
술술	술술/MAG
풀려	풀리/VV+어/EC
다른	다른/MMD
자치단체의	자치/NNG+단체/NNG+의/JKG
부러움을	부러움/NNG+을/JKO
사고	사/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.372.4.1
경기도 31개 시·군 가운데 면적이 1·2위인 양평과 가평은 수도권의 대표적인 농촌이다.

경기도	경기도/NNP
31개	31/SN+개/NNB
시·군	시/NNG+·/SP+군/NNG
가운데	가운데/NNG
면적이	면적/NNG+이/JKS
1·2위인	1/SN+·/SP+2/SN+위/NNB+이/VCP+ㄴ/ETM
양평과	양평/NNP+과/JC
가평은	가평/NNP+은/JX
수도권의	수도/NNG+권/XSN+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
농촌이다.	농촌/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.372.4.2
역사적으로 인연이 깊어 가평군 설악면은 1942년까지는 양평군 관할이었다.

역사적으로	역사/NNG+적/XSN+으로/JKB
인연이	인연/NNG+이/JKS
깊어	깊/VA+어/EC
가평군	가평군/NNP
설악면은	설악면/NNP+은/JX
1942년까지는	1942/SN+년/NNB+까지/JX+는/JX
양평군	양평군/NNP
관할이었다.	관할/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.372.4.3
특히 요즘은 군수들도 주목을 받는다.

특히	특히/MAG
요즘은	요즘/NNG+은/JX
군수들도	군수/NNG+들/XSN+도/JX
주목을	주목/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000030.372.4.4
김선교(51) 양평군수와 이진용(53) 가평군수는 2007년 4·25 재선거에서 한나라당 강세 지역에서 무소속으로 나란히 당선됐고, 작년 재선에 성공했다.

김선교(51)	김선교/NNP+(/SS+51/SN+)/SS
양평군수와	양평군수/NNG+와/JC
이진용(53)	이진용/NNP+(/SS+53/SN+)/SS
가평군수는	가평군수/NNG+는/JX
2007년	2007/SN+년/NNB
4·25	4/SN+·/SP+25/SN
재선거에서	재/XPN+선거/NNG+에서/JKB
한나라당	한나라당/NNP
강세	강세/NNG
지역에서	지역/NNG+에서/JKB
무소속으로	무/XPN+소속/NNG+으로/JKB
나란히	나란히/MAG
당선됐고,	당선/NNG+되/XSV+었/EP+고/EC+,/SP
작년	작년/NNG
재선에	재선/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.372.4.5
출신 배경이나 성향은 다르나 50대 초반에다 비전과 추진력을 두루 갖춘 인물로 지역사회의 신망을 쌓았다.

출신	출신/NNG
배경이나	배경/NNG+이나/JC
성향은	성향/NNG+은/JX
다르나	다르/VA+나/EC
50대	50/SN+대/NNB
초반에다	초반/NNG+에다/JKB
비전과	비전/NNG+과/JC
추진력을	추진력/NNG+을/JKO
두루	두루/MAG
갖춘	갖추/VV+ㄴ/ETM
인물로	인물/NNG+로/JKB
지역사회의	지역/NNG+사회/NNG+의/JKG
신망을	신망/NNG+을/JKO
쌓았다.	쌓/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.372.5.1
◆의기소침한 가평

◆의기소침한	◆/SW+의기소침/NNG+하/XSA+ㄴ/ETM
가평	가평/NNP


# id : NWRW1800000030.372.6.1
최근 가평군은 이 군수의 구속 수감이 주민들에게 적지 않은 허탈과 충격을 주고 있다.

최근	최근/NNG
가평군은	가평군/NNP+은/JX
이	이/NNP
군수의	군수/NNG+의/JKG
구속	구속/NNG
수감이	수감/NNG+이/JKS
주민들에게	주민/NNG+들/XSN+에게/JKB
적지	적/VA+지/EC
않은	않/VX+은/ETM
허탈과	허탈/NNG+과/JC
충격을	충격/NNG+을/JKO
주고	주/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.372.6.2
'똑똑하고 착한 군수', '열심히 일하는 군수'로 꼽혀왔기 때문이다.

'똑똑하고	'/SS+똑똑하/VA+고/EC
착한	착하/VA+ㄴ/ETM
군수',	군수/NNG+'/SS+,/SP
'열심히	'/SS+열심히/MAG
일하는	일/NNG+하/XSV+는/ETM
군수'로	군수/NNG+'/SS+로/JKB
꼽혀왔기	꼽히/VV+어/EC+오/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.372.6.3
