# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.111
metadata : {}


# id : NWRW1800000022.111.1.1
[이슈 앤 현장] 수원시의 '숨은 녹지 찾기' ;공공기관 담장 허물고 '시민공간' 만든다

[이슈	[/SS+이슈/NNG
앤	앤/NNG
현장]	현장/NNG+]/SS
수원시의	수원시/NNP+의/JKG
'숨은	'/SS+숨/VV+은/ETM
녹지	녹지/NNG
찾기'	찾/VV+기/ETN+'/SS
;공공기관	;/SP+공공/NNG+기관/NNG
담장	담장/NNG
허물고	허물/VV+고/EC
'시민공간'	'/SS+시민/NNG+공간/NNG+'/SS
만든다	만들/VV+ㄴ다/EF


# id : NWRW1800000022.111.2.1
경기도 수원시 장안구 영화동에 있는 보훈원 부지.

경기도	경기도/NNP
수원시	수원시/NNP
장안구	장안구/NNP
영화동에	영화동/NNP+에/JKB
있는	있/VA+는/ETM
보훈원	보훈원/NNG
부지.	부지/NNG+./SF


# id : NWRW1800000022.111.2.2
광교저수지에서 흘러내리는 수원천 자락을 따라 수원보훈지청, 보훈요양원, 보훈교육연구원 등이 자리 잡고 있는 '보훈 타운'이다.

광교저수지에서	광교/NNP+저수지/NNG+에서/JKB
흘러내리는	흘러내리/VV+는/ETM
수원천	수원천/NNP
자락을	자락/NNG+을/JKO
따라	따르/VV+아/EC
수원보훈지청,	수원/NNP+보훈/NNG+지청/NNG+,/SP
보훈요양원,	보훈/NNG+요양원/NNG+,/SP
보훈교육연구원	보훈/NNG+교육/NNG+연구원/NNG
등이	등/NNB+이/JKS
자리	자리/NNG
잡고	잡/VV+고/EC
있는	있/VX+는/ETM
'보훈	'/SS+보훈/NNG
타운'이다.	타운/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000022.111.2.3
특히 시민들이 즐겨 찾는 수원의 허파 광교산 등산로의 주요 입구이기도 하다.

특히	특히/MAG
시민들이	시민/NNG+들/XSN+이/JKS
즐겨	즐기/VV+어/EC
찾는	찾/VV+는/ETM
수원의	수원/NNP+의/JKG
허파	허파/NNG
광교산	광교산/NNP
등산로의	등산로/NNG+의/JKG
주요	주요/NNG
입구이기도	입구/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000022.111.2.4
요즘 이곳에서는 담장을 허물고 '개방형 그린타운' 조성 공사가 한창이다.

요즘	요즘/NNG
이곳에서는	이곳/NP+에서/JKB+는/JX
담장을	담장/NNG+을/JKO
허물고	허물/VV+고/EC
'개방형	'/SS+개방/NNG+형/XSN
그린타운'	그린타운/NNG+'/SS
조성	조성/NNG
공사가	공사/NNG+가/JKS
한창이다.	한창/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.111.2.5
길이 156m에 이르는 담장을 없애고 시민들이 쉽게 찾을 수 있는 공원으로 만들어 개방하게 된다.

길이	길이/NNG
156m에	156/SN+m/SW+에/JKB
이르는	이르/VV+는/ETM
담장을	담장/NNG+을/JKO
없애고	없애/VV+고/EC
시민들이	시민/NNG+들/XSN+이/JKS
쉽게	쉽/VA+게/EC
찾을	찾/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
공원으로	공원/NNG+으로/JKB
만들어	만들/VV+어/EC
개방하게	개방/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.111.3.1
수원시가 녹지 공간을 한 뼘이라도 만들어내기 위해 골몰하고 있다.

수원시가	수원시/NNP+가/JKS
녹지	녹지/NNG
공간을	공간/NNG+을/JKO
한	한/MMN
뼘이라도	뼘/NNB+이/VCP+라도/EC
만들어내기	만들/VV+어/EC+내/VX+기/ETN
위해	위하/VV+아/EC
골몰하고	골몰/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.111.3.2
보훈원 앞 그린타운 조성도 공공기관의 여유부지를 활용해 도심의 부족한 녹지를 확충하기 위한 시도이다.

보훈원	보훈원/NNG
앞	앞/NNG
그린타운	그린타운/NNG
조성도	조성/NNG+도/JX
공공기관의	공공/NNG+기관/NNG+의/JKG
여유부지를	여유/NNG+부지/NNG+를/JKO
활용해	활용/NNG+하/XSV+아/EC
도심의	도심/NNG+의/JKG
부족한	부족/NNG+하/XSA+ㄴ/ETM
녹지를	녹지/NNG+를/JKO
확충하기	확충/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
시도이다.	시도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.111.3.3
수원시는 작년에 실태조사를 거쳐 국가보훈처로부터 부지 4395㎡(약 1330평)에 대한 무상사용 허가를 얻었다.

수원시는	수원시/NNP+는/JX
작년에	작년/NNG+에/JKB
실태조사를	실태/NNG+조사/NNG+를/JKO
거쳐	거치/VV+어/EC
국가보훈처로부터	국가/NNG+보훈처/NNG+로부터/JKB
부지	부지/NNG
4395㎡(약	4395/SN+㎡/SW+(/SS+약/MMA
1330평)에	1330/SN+평/NNB+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
무상사용	무상/NNG+사용/NNG
허가를	허가/NNG+를/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.111.3.4
8억원의 예산을 확보해 올해 공사에 착수, 이미 콘크리트 담장 철거를 마치고 현재 부지 정리작업을 벌이고 있다.

8억원의	8/SN+억/NR+원/NNB+의/JKG
예산을	예산/NNG+을/JKO
확보해	확보/NNG+하/XSV+아/EC
올해	올해/NNG
공사에	공사/NNG+에/JKB
착수,	착수/NNG+,/SP
이미	이미/MAG
콘크리트	콘크리트/NNG
담장	담장/NNG
철거를	철거/NNG+를/JKO
마치고	마치/VV+고/EC
현재	현재/MAG
부지	부지/NNG
정리작업을	정리/NNG+작업/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.111.3.5
5월 중순까지는 공원 조성을 끝낼 계획이다.

5월	5/SN+월/NNB
중순까지는	중순/NNG+까지/JX+는/JX
공원	공원/NNG
조성을	조성/NNG+을/JKO
끝낼	끝내/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.111.4.1
수원시는 이곳에 보훈 요양원의 기능을 살려 '치료'를 테마로 공원을 만들게 된다.

수원시는	수원시/NNP+는/JX
이곳에	이곳/NP+에/JKB
보훈	보훈/NNG
요양원의	요양원/NNG+의/JKG
기능을	기능/NNG+을/JKO
살려	살리/VV+어/EC
'치료'를	'/SS+치료/NNG+'/SS+를/JKO
테마로	테마/NNG+로/JKB
공원을	공원/NNG+을/JKO
만들게	만들/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.111.4.2
산책로에다 소나무·느티나무 등 나무 8300여그루도 심는다.

산책로에다	산책로/NNG+에다/JKB
소나무·느티나무	소나무/NNG+·/SP+느티나무/NNG
등	등/NNB
나무	나무/NNG
8300여그루도	8300/SN+여/XSN+그루/NNB+도/JX
심는다.	심/VV+는다/EF+./SF


# id : NWRW1800000022.111.4.3
그동안 부지 안에 있어 접근이 어려웠던 연못에는 수경시설과 수생식물을 심어 좋은 볼거리로 자리 잡을 전망이다.

그동안	그동안/NNG
부지	부지/NNG
안에	안/NNG+에/JKB
있어	있/VA+어/EC
접근이	접근/NNG+이/JKS
어려웠던	어렵/VA+었/EP+던/ETM
연못에는	연못/NNG+에/JKB+는/JX
수경시설과	수경/NNG+시설/NNG+과/JC
수생식물을	수생/NNG+식물/NNG+을/JKO
심어	심/VV+어/EC
좋은	좋/VA+은/ETM
볼거리로	볼거리/NNG+로/JKB
자리	자리/NNG
잡을	잡/VV+을/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.111.4.4
특히 이미 조성한 수원교육청~수원농생명과학고~수원북중과 연결되는 1.2㎞의 녹지축을 형성하게 된다.

특히	특히/MAG
이미	이미/MAG
조성한	조성/NNG+하/XSV+ㄴ/ETM
수원교육청~수원농생명과학고~수원북중과	수원교육청/NNP+~/SO+수원농생명과학고/NNP+~/SO+수원북중/NNP+과/JKB
연결되는	연결/NNG+되/XSV+는/ETM
1.2㎞의	1/SN+./SP+2/SN+㎞/SW+의/JKG
녹지축을	녹지축/NNG+을/JKO
형성하게	형성/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.111.4.5
수원교육청부터 광교산 입구까지 도로 주변에 공원이 마련되는 셈이다.

수원교육청부터	수원교육청/NNP+부터/JX
광교산	광교산/NNP
입구까지	입구/NNG+까지/JX
도로	도로/NNG
주변에	주변/NNG+에/JKB
공원이	공원/NNG+이/JKS
마련되는	마련/NNG+되/XSV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.111.5.1
수원시는 2006년 수원교육청 등 3개 기관의 울타리를 없애고 11만5000㎡ 규모의 공원을 만들었다.

수원시는	수원시/NNP+는/JX
2006년	2006/SN+년/NNB
수원교육청	수원교육청/NNP
등	등/NNB
3개	3/SN+개/NNB
기관의	기관/NNG+의/JKG
울타리를	울타리/NNG+를/JKO
없애고	없애/VV+고/EC
11만5000㎡	11/SN+만/NR+5000/SN+㎡/SW
규모의	규모/NNG+의/JKG
공원을	공원/NNG+을/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.111.5.2
산책로, 벤치, 파고라, 개방형 옥외화장실을 마련하고 생활체육공간, 조명시설 등을 설치해 지역 주민과 광교산 이용객들의 휴식공간으로 만들었다.

산책로,	산책로/NNG+,/SP
벤치,	벤치/NNG+,/SP
파고라,	파고라/NNG+,/SP
개방형	개방/NNG+형/XSN
옥외화장실을	옥외/NNG+화장실/NNG+을/JKO
마련하고	마련/NNG+하/XSV+고/EC
생활체육공간,	생활/NNG+체육/NNG+공간/NNG+,/SP
조명시설	조명/NNG+시설/NNG
등을	등/NNB+을/JKO
설치해	설치/NNG+하/XSV+아/EC
지역	지역/NNG
주민과	주민/NNG+과/JC
광교산	광교산/NNP
이용객들의	이용객/NNG+들/XSN+의/JKG
휴식공간으로	휴식/NNG+공간/NNG+으로/JKB
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.111.5.3
녹지과 주영수 녹지조성팀장은 "보훈원이 개방되면 시민들이 많이 다니는 곳이기 때문에 소중한 휴식공간이 될 것으로 기대하고 있다"고 말했다.

녹지과	녹지과/NNG
주영수	주영수/NNP
녹지조성팀장은	녹지/NNG+조성/NNG+팀장/NNG+은/JX
"보훈원이	"/SS+보훈원/NNG+이/JKS
개방되면	개방/NNG+되/XSV+면/EC
시민들이	시민/NNG+들/XSN+이/JKS
많이	많이/MAG
다니는	다니/VV+는/ETM
곳이기	곳/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
소중한	소중하/VA+ㄴ/ETM
휴식공간이	휴식/NNG+공간/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대하고	기대/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.111.6.1
특히 보훈원처럼 공공기관이 보유하고 있는 부지는 수원시가 녹지 확보를 위해 눈독을 들이는 대상이다.

특히	특히/MAG
보훈원처럼	보훈원/NNG+처럼/JKB
공공기관이	공공/NNG+기관/NNG+이/JKS
보유하고	보유/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
부지는	부지/NNG+는/JX
수원시가	수원시/NNP+가/JKS
녹지	녹지/NNG
확보를	확보/NNG+를/JKO
위해	위하/VV+아/EC
눈독을	눈독/NNG+을/JKO
들이는	들이/VV+는/ETM
대상이다.	대상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.111.6.2
이미 작년에는 권선구 서둔동에 있는 농촌진흥청 소유의 부지를 공원으로 꾸몄다.

이미	이미/MAG
작년에는	작년/NNG+에/JKB+는/JX
권선구	권선구/NNP
서둔동에	서둔동/NNP+에/JKB
있는	있/VA+는/ETM
농촌진흥청	농촌/NNG+진흥청/NNG
소유의	소유/NNG+의/JKG
부지를	부지/NNG+를/JKO
공원으로	공원/NNG+으로/JKB
꾸몄다.	꾸미/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.111.6.3
이 땅은 면적이 4101㎡로, 방치돼 있던 땅을 발굴했다.

이	이/MMD
땅은	땅/NNG+은/JX
면적이	면적/NNG+이/JKS
4101㎡로,	4101/SN+㎡/SW+로/JKB+,/SP
방치돼	방치/NNG+되/XSV+어/EC
있던	있/VX+던/ETM
땅을	땅/NNG+을/JKO
발굴했다.	발굴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.111.6.4
농진청과 무상사용 계약을 맺고 나무 2100여그루, 야생화 5100여그루를 심었고 휴게와 체력단련시설, 토피어리 등도 만들었다.

농진청과	농진청/NNG+과/JKB
무상사용	무상/NNG+사용/NNG
계약을	계약/NNG+을/JKO
맺고	맺/VV+고/EC
나무	나무/NNG
2100여그루,	2100/SN+여/XSN+그루/NNB+,/SP
야생화	야생화/NNG
5100여그루를	5100/SN+여/XSN+그루/NNB+를/JKO
심었고	심/VV+었/EP+고/EC
휴게와	휴게/NNG+와/JC
체력단련시설,	체력/NNG+단련/NNG+시설/NNG+,/SP
토피어리	토피어리/NNG
등도	등/NNB+도/JX
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.111.7.1
담장 허물기뿐 아니라 담장 녹화사업도 한창이다.

담장	담장/NNG
허물기뿐	허물/VV+기/ETN+뿐/JX
아니라	아니/VCN+라/EC
녹화사업도	녹화/NNG+사업/NNG+도/JX
한창이다.	한창/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.111.7.2
콘크리트 옹벽과 방음벽을 녹색으로 꾸미게 된다.

콘크리트	콘크리트/NNG
옹벽과	옹벽/NNG+과/JC
방음벽을	방음벽/NNG+을/JKO
녹색으로	녹색/NNG+으로/JKB
꾸미게	꾸미/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.111.7.3
특히 소음을 막기 위해 담장을 설치할 수밖에 없는 학교가 주요 대상이다.

특히	특히/MAG
소음을	소음/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
담장을	담장/NNG+을/JKO
설치할	설치/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
학교가	학교/NNG+가/JKS
주요	주요/NNG
대상이다.	대상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.111.7.4
송악·담쟁이·인동초 등 덩굴 식물로 삭막한 콘크리트를 덮어 경관 향상은 물론 에너지 절감, 생태계 조성 등의 효과를 거두게 된다.

송악·담쟁이·인동초	송악/NNG+·/SP+담쟁이/NNG+·/SP+인동초/NNG
등	등/NNB
덩굴	덩굴/NNG
식물로	식물/NNG+로/JKB
삭막한	삭막하/VA+ㄴ/ETM
콘크리트를	콘크리트/NNG+를/JKO
덮어	덮/VV+어/EC
경관	경관/NNG
향상은	향상/NNG+은/JX
물론	물론/MAG
에너지	에너지/NNG
절감,	절감/NNG+,/SP
생태계	생태/NNG+계/XSN
조성	조성/NNG
등의	등/NNB+의/JKG
효과를	효과/NNG+를/JKO
거두게	거두/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.111.7.5
율전초, 상률초, 명인초, 정자초, 수성중, 구운중, 권선고, 유신고 등 학교는 물론 아파트 단지와 공장 건물도 대상이다.

율전초,	율전초/NNP+,/SP
상률초,	상률초/NNP+,/SP
명인초,	명인초/NNP+,/SP
정자초,	정자초/NNP+,/SP
수성중,	수성중/NNP+,/SP
구운중,	구운중/NNP+,/SP
권선고,	권선고/NNP+,/SP
유신고	유신고/NNP
등	등/NNB
학교는	학교/NNG+는/JX
물론	물론/MAG
아파트	아파트/NNG
단지와	단지/NNG+와/JC
공장	공장/NNG
건물도	건물/NNG+도/JX
대상이다.	대상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.111.8.1
또 단절된 녹지축을 연결하는 '그린 웨이' 조성도 추진되고 있다.

또	또/MAG
단절된	단절/NNG+되/XSV+ㄴ/ETM
녹지축을	녹지축/NNG+을/JKO
연결하는	연결/NNG+하/XSV+는/ETM
'그린	'/SS+그린/NNG
웨이'	웨이/NNG+'/SS
조성도	조성/NNG+도/JX
추진되고	추진/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.111.8.2
이미 서호천변 한마루교~대월교 구간 414m에는 매화나무·왕벚나무 등 각종 나무와 운동기구 등을 설치했다.

이미	이미/MAG
서호천변	서호천/NNP+변/NNG
한마루교~대월교	한마루교/NNP+~/SO+대월교/NNP
구간	구간/NNG
414m에는	414/SN+m/SW+에/JKB+는/JX
매화나무·왕벚나무	매화나무/NNG+·/SP+왕벚나무/NNG
등	등/NNB
각종	각종/NNG
나무와	나무/NNG+와/JC
운동기구	운동/NNG+기구/NNG
등을	등/NNB+을/JKO
설치했다.	설치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.111.8.3
경수산업도로 권선고 옆 완충녹지에는 감나무 287그루를 심어 '유실수 테마거리'도 만들었다.

경수산업도로	경수산업도로/NNP
권선고	권선고/NNP
옆	옆/NNG
완충녹지에는	완충/NNG+녹지/NNG+에/JKB+는/JX
감나무	감나무/NNG
287그루를	287/SN+그루/NNB+를/JKO
심어	심/VV+어/EC
'유실수	'/SS+유실수/NNG
테마거리'도	테마/NNG+거리/NNG+'/SS+도/JX
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.111.9.1
쌈지공원도 올해 21개(면적 18만2658㎡)를 새로 만든다.

쌈지공원도	쌈지/NNG+공원/NNG+도/JX
올해	올해/NNG
21개(면적	21/SN+개/NNB+(/SS+면적/NNG
18만2658㎡)를	18/SN+만/NR+2658/SN+㎡/SW+)/SS+를/JKO
새로	새로/MAG
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.111.9.2
건물과 건물 사이, 도심의 자투리땅에 꽃이나 나무를 심거나 교통섬·휴게시설·체력단련시설 등을 설치할 계획이다.

건물과	건물/NNG+과/JC
건물	건물/NNG
사이,	사이/NNG+,/SP
도심의	도심/NNG+의/JKG
자투리땅에	자투리땅/NNG+에/JKB
꽃이나	꽃/NNG+이나/JC
나무를	나무/NNG+를/JKO
심거나	심/VV+거나/EC
교통섬·휴게시설·체력단련시설	교통섬/NNG+·/SP+휴게/NNG+시설/NNG+·/SP+체력/NNG+단련/NNG+시설/NNG
등을	등/NNB+을/JKO
설치할	설치/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


