# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.332
metadata : {}


# id : NWRW1800000038.332.1.1
정부개편안 2월14일 국회처리, 총리 임명동의안 2월26일 의결

정부개편안	정부/NNG+개편안/NNG
2월14일	2/SN+월/NNB+14/SN+일/NNB
국회처리,	국회/NNG+처리/NNG+,/SP
총리	총리/NNG
임명동의안	임명/NNG+동의안/NNG
2월26일	2/SN+월/NNB+26/SN+일/NNB
의결	의결/NNG


# id : NWRW1800000038.332.2.1
여야, 임시국회 일정 합의… 朴당선인, 장관후보자 발표 나눠서 할 가능성도

여야,	여야/NNG+,/SP
임시국회	임시/NNG+국회/NNG
일정	일정/NNG
합의…	합의/NNG+…/SE
朴당선인,	朴/SH+당선인/NNG+,/SP
장관후보자	장관/NNG+후보자/NNG
발표	발표/NNG
나눠서	나누/VV+어서/EC
할	하/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX


# id : NWRW1800000038.332.3.1
여야는 31일 정부 조직 개편안을 2월 14일, 국무총리 후보자에 대한 임명동의안을 2월 26일 처리하기로 하는 등 2월 임시국회 일정을 합의했다.

여야는	여야/NNG+는/JX
31일	31/SN+일/NNB
정부	정부/NNG
조직	조직/NNG
개편안을	개편안/NNG+을/JKO
2월	2/SN+월/NNB
14일,	14/SN+일/NNB+,/SP
국무총리	국무총리/NNG
후보자에	후보자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
임명동의안을	임명/NNG+동의안/NNG+을/JKO
26일	26/SN+일/NNB
처리하기로	처리/NNG+하/XSV+기/ETN+로/JKB
하는	하/VV+는/ETM
등	등/NNB
임시국회	임시/NNG+국회/NNG
일정을	일정/NNG+을/JKO
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.332.3.2
이에 따라 박근혜 대통령 당선인은 조각(組閣) 일정을 놓고 '시간과의 싸움'에 돌입했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
박근혜	박근혜/NNP
대통령	대통령/NNG
당선인은	당선인/NNG+은/JX
조각(組閣)	조각/NNG+(/SS+組閣/SH+)/SS
일정을	일정/NNG+을/JKO
놓고	놓/VV+고/EC
'시간과의	'/SS+시간/NNG+과/JKB+의/JKG
싸움'에	싸움/NNG+'/SS+에/JKB
돌입했다.	돌입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.332.4.1
박 당선인의 총리 지명 스케줄은 김용준 전 총리 후보자의 자진사퇴로 5년 전(1월 28일)에 비해 일주일 안팎 늦어질 전망이다.

박	박/NNP
당선인의	당선인/NNG+의/JKG
총리	총리/NNG
지명	지명/NNG
스케줄은	스케줄/NNG+은/JX
김용준	김용준/NNP
전	전/MMD
후보자의	후보자/NNG+의/JKG
