# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.205
metadata : {}


# id : NWRW1800000041.205.1.1
“이사장 맡고있는 한국학술硏 통해 朴, 기업 30곳서 수십억 받은 정황”

“이사장	“/SS+이사장/NNG
맡고있는	맡/VV+고/EC+있/VX+는/ETM
한국학술硏	한국학술硏/NNP
통해	통하/VV+아/EC
朴,	朴/SH+,/SP
기업	기업/NNG
30곳서	30/SN+곳/NNG+서/JKB
수십억	수십억/NR
받은	받/VV+은/ETM
정황”	정황/NNG+”/SS


# id : NWRW1800000041.205.2.1
기금 일부 유용-정치자금 창구 의혹 檢, 政資法 위반-횡령혐의 영장검토… 朴의원 “돈 받고 공천한적 없다”

기금	기금/NNG
일부	일부/NNG
유용-정치자금	유용/NNG+-/SO+정치/NNG+자금/NNG
창구	창구/NNG
의혹	의혹/NNG
檢,	檢/SH+,/SP
政資法	政資法/SH
위반-횡령혐의	위반/NNG+-/SO+횡령/NNG+혐의/NNG
영장검토…	영장/NNG+검토/NNG+…/SE
朴의원	朴/SH+의원/NNG
“돈	“/SS+돈/NNG
받고	받/VV+고/EC
공천한적	공천/NNG+하/XSV+ㄴ/ETM+적/NNB
없다”	없/VA+다/EF+”/SS


# id : NWRW1800000041.205.3.1
세월호 참사 이후 해운업계의 비리를 수사해 온 검찰이 현역 국회의원의 불법 정치자금 수수 혐의를 포착하면서 세월호의 불똥이 여의도 정가로 튀고 있다.

세월호	세월호/NNP
참사	참사/NNG
이후	이후/NNG
해운업계의	해운업/NNG+계/XSN+의/JKG
비리를	비리/NNG+를/JKO
수사해	수사/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
검찰이	검찰/NNG+이/JKS
현역	현역/NNG
국회의원의	국회/NNG+의원/NNG+의/JKG
불법	불법/NNG
정치자금	정치/NNG+자금/NNG
수수	수수/NNG
혐의를	혐의/NNG+를/JKO
포착하면서	포착/NNG+하/XSV+면서/EC
세월호의	세월호/NNP+의/JKG
불똥이	불똥/NNG+이/JKS
여의도	여의도/NNP
정가로	정가/NNG+로/JKB
튀고	튀/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.205.3.2
인천지검 해운비리특별수사팀(팀장 송인택 1차장)은 새누리당 박상은 의원(사진)에게 정치자금법 위반과 횡령 혐의 등으로 구속영장을 청구하는 방안을 검토 중인 것으로 17일 알려졌다.

인천지검	인천지검/NNP
해운비리특별수사팀(팀장	해운/NNG+비리/NNG+특별/NNG+수사/NNG+팀/NNG+(/SS+팀장/NNG
송인택	송인택/NNP
1차장)은	1/SN+차장/NNG+)/SS+은/JX
새누리당	새누리당/NNP
박상은	박상은/NNP
의원(사진)에게	의원/NNG+(/SS+사진/NNG+)/SS+에게/JKB
정치자금법	정치/NNG+자금법/NNG
위반과	위반/NNG+과/JC
횡령	횡령/NNG
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
구속영장을	구속/NNG+영장/NNG+을/JKO
청구하는	청구/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토	검토/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
17일	17/SN+일/NNB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.205.3.3
구속영장이 청구되면 현역 의원으로는 올 들어 처음이다.

구속영장이	구속/NNG+영장/NNG+이/JKS
청구되면	청구/NNG+되/XSV+면/EC
현역	현역/NNG
의원으로는	의원/NNG+으로/JKB+는/JX
올	올/NNG
들어	들/VV+어/EC
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.205.4.1
검찰은 박 의원의 혐의를 해운업체를 압수수색하는 과정에서 포착했다.

검찰은	검찰/NNG+은/JX
박	박/NNP
의원의	의원/NNG+의/JKG
혐의를	혐의/NNG+를/JKO
해운업체를	해운업체/NNG+를/JKO
압수수색하는	압수/NNG+수색/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
포착했다.	포착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.205.4.2
해당 기업이 박 의원의 경제특별보좌관 월급을 대신 지급한 혐의를 잡은 것.

해당	해당/NNG
기업이	기업/NNG+이/JKS
박	박/NNP
의원의	의원/NNG+의/JKG
경제특별보좌관	경제/NNG+특별/NNG+보좌관/NNG
월급을	월급/NNG+을/JKO
대신	대신/NNG
지급한	지급/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
잡은	잡/VV+은/ETM
것.	것/NNB+./SF


# id : NWRW1800000041.205.4.3
이어 박 의원의 운전기사가 현금 3000만 원을 ‘불법 자금’이라며 검찰에 신고하면서 수사가 급진전됐다.

이어	이어/MAG
박	박/NNP
의원의	의원/NNG+의/JKG
운전기사가	운전기사/NNG+가/JKS
현금	현금/NNG
3000만	3000/SN+만/NR
원을	원/NNB+을/JKO
‘불법	‘/SS+불법/NNG
자금’이라며	자금/NNG+’/SS+이/VCP+라며/EC
검찰에	검찰/NNG+에/JKB
신고하면서	신고/NNG+하/XSV+면서/EC
수사가	수사/NNG+가/JKS
급진전됐다.	급진전/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.205.5.1
이날 검찰은 S기업 등 4, 5곳을 압수수색했다.

이날	이날/NNG
검찰은	검찰/NNG+은/JX
S기업	S/SL+기업/NNG
등	등/NNB
4,	4/SN+,/SP
5곳을	5/SN+곳/NNG+을/JKO
압수수색했다.	압수/NNG+수색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.205.5.2
이 기업들은 박 의원에게 고문료 명목으로 200만 원 이상씩 1억 원에 가까운 돈을 건넨 것으로 알려졌다.

이	이/MMD
기업들은	기업/NNG+들/XSN+은/JX
박	박/NNP
