# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.395
metadata : {}


# id : NWRW1800000032.395.1.1
MB정부 ‘패킷감청 장비 도입’ 매해 늘어

MB정부	MB/SL+정부/NNG
‘패킷감청	‘/SS+패킷/NNG+감청/NNG
장비	장비/NNG
도입’	도입/NNG+’/SS
매해	매해/MAG
늘어	늘/VV+어/EF


# id : NWRW1800000032.395.2.1
김재윤 의원 “대부분 국정원인듯”

김재윤	김재윤/NNP
의원	의원/NNG
“대부분	“/SS+대/XPN+부분/NNG
국정원인듯”	국정원/NNG+이/VCP+ㄴ/ETM+듯/NNB+”/SS


# id : NWRW1800000032.395.3.1
최근 국가정보원이 ‘패킷 감청’(인터넷 회선 감청)을 통해 미국 구글의 전자우편 서비스인 지메일의 수신·발신 내용을 엿보고 있다는 정황이 드러나(<한겨레> 9월16일치 1·8면) 논란을 빚고 있는 가운데, 이명박 정부 들어 패킷 감청 장비 도입이 해마다 늘고 있는 것으로 나타났다.

최근	최근/MAG
국가정보원이	국가/NNG+정보원/NNG+이/JKS
‘패킷	‘/SS+패킷/NNG
감청’(인터넷	감청/NNG+’/SS+(/SS+인터넷/NNG
회선	회선/NNG
감청)을	감청/NNG+)/SS+을/JKO
통해	통하/VV+아/EC
미국	미국/NNP
구글의	구글/NNP+의/JKG
전자우편	전자/NNG+우편/NNG
서비스인	서비스/NNG+이/VCP+ㄴ/ETM
지메일의	지메일/NNP+의/JKG
수신·발신	수신/NNG+·/SP+발신/NNG
내용을	내용/NNG+을/JKO
엿보고	엿보/VV+고/EC
있다는	있/VX+다는/ETM
정황이	정황/NNG+이/JKS
드러나(<한겨레>	드러나/VV+아/EC+(/SS+</SS+한겨레/NNP+>/SS
9월16일치	9/SN+월/NNB+16/SN+일/NNB+치/NNB
1·8면)	1/SN+·/SP+8/SN+면/NNG+)/SS
논란을	논란/NNG+을/JKO
빚고	빚/VV+고/EC
있는	있/VX+는/ETM
가운데,	가운데/NNG+,/SP
이명박	이명박/NNP
정부	정부/NNG
들어	들/VV+어/EC
패킷	패킷/NNG
감청	감청/NNG
장비	장비/NNG
도입이	도입/NNG+이/JKS
해마다	해마다/MAG
늘고	늘/VV+고/EC
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.395.4.1
