# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.81
metadata : {}


# id : NWRW1800000046.81.1.1
왜군 물리쳤던 그, 호랑이 사냥에 나서다

왜군	왜군/NNG
물리쳤던	물리치/VV+었/EP+던/ETM
그,	그/NP+,/SP
호랑이	호랑이/NNG
사냥에	사냥/NNG+에/JKB
나서다	나서/VV+다/EC


# id : NWRW1800000046.81.2.1
영화 '대호'로 돌아오는 최민식… 조선 제일의 명포수 천만덕 役

영화	영화/NNG
'대호'로	'/SS+대호/NNP+'/SS+로/JKB
돌아오는	돌아오/VV+는/ETM
최민식…	최민식/NNP+…/SE
조선	조선/NNP
제일의	제일/NNG+의/JKG
명포수	명포수/NNG
천만덕	천만덕/NNP
役	役/SH


# id : NWRW1800000046.81.3.1
이번에는 바다가 아니라 산이다.

이번에는	이번/NNG+에/JKB+는/JX
바다가	바다/NNG+가/JKC
아니라	아니/VCN+라/EC
산이다.	산/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.81.4.1
지난해 '명량'으로 1760만명을 모은 배우 최민식이 조선의 마지막 호랑이를 그린 영화 '대호(大虎)'로 돌아온다.

지난해	지난해/NNG
'명량'으로	'/SS+명량/NNP+'/SS+으로/JKB
1760만명을	1760/SN+만/NR+명/NNB+을/JKO
모은	모으/VV+ㄴ/ETM
배우	배우/NNG
최민식이	최민식/NNP+이/JKS
조선의	조선/NNP+의/JKG
마지막	마지막/NNG
호랑이를	호랑이/NNG+를/JKO
그린	그리/VV+ㄴ/ETM
영화	영화/NNG
'대호(大虎)'로	'/SS+대호/NNP+(/SS+大虎/SH+)/SS+'/SS+로/JKB
돌아온다.	돌아오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.81.4.2
1920년대 지리산.

1920년대	1920/SN+년대/NNB
지리산.	지리산/NNP+./SF


# id : NWRW1800000046.81.4.3
호랑이 가죽에 매료된 일본 고관 마에조노(오스기 렌)는 전리품으로 대호를 손에 넣기 위해 군사작전처럼 사냥에 나선다.

호랑이	호랑이/NNG
가죽에	가죽/NNG+에/JKB
매료된	매료/NNG+되/XSV+ㄴ/ETM
일본	일본/NNP
고관	고관/NNG
마에조노(오스기	마에조노/NNP+(/SS+오스기/NNP
렌)는	렌/NNP+)/SS+는/JX
전리품으로	전리품/NNG+으로/JKB
대호를	대호/NNG+를/JKO
손에	손/NNG+에/JKB
넣기	넣/VV+기/ETN
위해	위하/VV+아/EC
군사작전처럼	군사/NNG+작전/NNG+처럼/JKB
사냥에	사냥/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.81.4.4
생목숨을 끊으며 쌓인 업에 지쳐 총을 놓은 명포수 천만덕(최민식)이 10년 만에 다시 총을 들면서 펼쳐지는 이야기다.

생목숨을	생/XPN+목숨/NNG+을/JKO
끊으며	끊/VV+으며/EC
쌓인	쌓이/VV+ㄴ/ETM
업에	업/NNG+에/JKB
지쳐	지치/VV+어/EC
총을	총/NNG+을/JKO
놓은	놓/VV+은/ETM
명포수	명포수/NNG
천만덕(최민식)이	천만덕/NNP+(/SS+최민식/NNP+)/SS+이/JKS
10년	10/SN+년/NNB
만에	만/NNB+에/JKB
다시	다시/MAG
들면서	들/VV+면서/EC
펼쳐지는	펼쳐지/VV+는/ETM
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.81.5.1
'대호'와 '명량'은 닮아 있다.

'대호'와	'/SS+대호/NNP+'/SS+와/JC
'명량'은	'/SS+명량/NNP+'/SS+은/JX
닮아	닮/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.81.5.2
파면당했던 이순신 장군이 삼도수군통제사로 재임명돼 이기기 어려운 해전에 임했듯이, 천만덕은 일본에 맞서 지키고 싶은 것이 있어서 총을 잡는다.

파면당했던	파면/NNG+당하/XSV+았/EP+던/ETM
이순신	이순신/NNP
장군이	장군/NNG+이/JKS
삼도수군통제사로	삼도/NNG+수군통제사/NNG+로/JKB
재임명돼	재/XPN+임명/NNG+되/XSV+어/EC
이기기	이기/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
해전에	해전/NNG+에/JKB
임했듯이,	임하/VV+았/EP+듯이/EC+,/SP
천만덕은	천만덕/NNP+은/JX
일본에	일본/NNP+에/JKB
맞서	맞서/VV+어/EC
지키고	지키/VV+고/EC
싶은	싶/VX+은/ETM
것이	것/NNB+이/JKS
있어서	있/VA+어서/EC
총을	총/NNG+을/JKO
잡는다.	잡/VV+는다/EF+./SF


# id : NWRW1800000046.81.5.3
또 두 편 다 컴퓨터그래픽(CG)이 큰 비중을 차지한다.

또	또/MAG
두	두/MMN
편	편/NNB
다	다/MAG
컴퓨터그래픽(CG)이	컴퓨터/NNG+그래픽/NNG+(/SS+CG/SL+)/SS+이/JKS
큰	크/VA+ㄴ/ETM
비중을	비중/NNG+을/JKO
차지한다.	차지/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.81.5.4
'명량'이 실제 촬영에 투입한 배는 3척뿐이었다.

'명량'이	'/SS+명량/NNP+'/SS+이/JKS
실제	실제/NNG
촬영에	촬영/NNG+에/JKB
투입한	투입/NNG+하/XSV+ㄴ/ETM
배는	배/NNG+는/JX
3척뿐이었다.	3/SN+척/NNB+뿐/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.81.5.5
'대호'는 일제강점기에 멸종된 조선 호랑이를 컴퓨터그래픽으로 살려낸다.

'대호'는	'/SS+대호/NNP+'/SS+는/JX
일제강점기에	일제/NNG+강점기/NNG+에/JKB
멸종된	멸종/NNG+되/XSV+ㄴ/ETM
조선	조선/NNP
호랑이를	호랑이/NNG+를/JKO
컴퓨터그래픽으로	컴퓨터/NNG+그래픽/NNG+으로/JKB
살려낸다.	살리/VV+어/EC+내/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.81.5.6
무뚝뚝하지만 역경을 견딘 아버지, 영웅 이야기라는 점에서도 통한다.

무뚝뚝하지만	무뚝뚝/NNG+하/XSA+지만/EC
역경을	역경/NNG+을/JKO
견딘	견디/VV+ㄴ/ETM
아버지,	아버지/NNG+,/SP
영웅	영웅/NNG
이야기라는	이야기/NNG+이/VCP+라는/ETM
점에서도	점/NNG+에서/JKB+도/JX
통한다.	통하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.81.6.1
호랑이띠인 최민식은 제작보고회에서 "우리 민족이 암울했던 시기라는 것보다는 인간의 업을 다룬다는 점에 끌렸다"고 말했다.

호랑이띠인	호랑이띠/NNG+이/VCP+ㄴ/ETM
최민식은	최민식/NNP+은/JX
제작보고회에서	제작/NNG+보고회/NNG+에서/JKB
"우리	"/SS+우리/NP
민족이	민족/NNG+이/JKS
암울했던	암울/NNG+하/XSA+았/EP+던/ETM
시기라는	시기/NNG+이/VCP+라는/ETM
것보다는	것/NNB+보다/JKB+는/JX
인간의	인간/NNG+의/JKG
업을	업/NNG+을/JKO
다룬다는	다루/VV+ㄴ다는/ETM
점에	점/NNG+에/JKB
끌렸다"고	끌리/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.81.6.2
