# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.355
metadata : {}


# id : NWRW1800000038.355.1.1
朴대통령 외교스타일은 '경청외교'

朴대통령	朴/SH+대통령/NNG
외교스타일은	외교/NNG+스타일/NNG+은/JX
'경청외교'	'/SS+경청/NNG+외교/NNG+'/SS


# id : NWRW1800000038.355.2.1
①상대 말 먼저 안 끊는다 ②바빠도 먼저 안 일어선다

①상대	①/SN+상대/NNG
말	말/NNG
먼저	먼저/MAG
안	안/MAG
끊는다	끊/VV+는다/EF
②바빠도	②/SN+바쁘/VA+아도/EC
일어선다	일어서/VV+ㄴ다/EF


# id : NWRW1800000038.355.3.1
박근혜 대통령은 지난 2일 오전 10시 청와대 본관 백악실에서 열린 외교안보장관회의에 6분 지각했다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB
청와대	청와대/NNP
본관	본관/NNG
백악실에서	백악실/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
외교안보장관회의에	외교/NNG+안보/NNG+장관/NNG+회의/NNG+에/JKB
6분	6/SN+분/NNB
지각했다.	지각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.355.3.2
보통 예정 시각보다 1~2분 일찍 도착하는데 이날은 장관들을 기다리게 만들었다.

보통	보통/MAG
예정	예정/NNG
시각보다	시각/NNG+보다/JKB
1~2분	1/SN+~/SO+2/SN+분/NNB
일찍	일찍/MAG
도착하는데	도착/NNG+하/XSV+는데/EC
이날은	이날/NNG+은/JX
장관들을	장관/NNG+들/XSN+을/JKO
기다리게	기다리/VV+게/EC
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.355.3.3
박 대통령은 "조금 전에 페루 대통령과 통화가 있었다"며 "얘기가 길어져서…"라고 말했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
"조금	"/SS+조금/NNG
전에	전/NNG+에/JKB
페루	페루/NNP
대통령과	대통령/NNG+과/JKB
통화가	통화/NNG+가/JKS
있었다"며	있/VA+었/EP+다/EF+"/SS+며/EC
"얘기가	"/SS+얘기/NNG+가/JKS
길어져서…"라고	길어지/VV+어서/EC+…/SE+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.355.3.4
정상 간의 통화는 통역 시간을 포함해 10~15분쯤 하는 것이 외교 관례다.

정상	정상/NNG
간의	간/NNB+의/JKG
통화는	통화/NNG+는/JX
통역	통역/NNG
시간을	시간/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
10~15분쯤	10/SN+~/SO+15/SN+분/NNB+쯤/XSN
하는	하/VV+는/ETM
것이	것/NNB+이/JKS
외교	외교/NNG
관례다.	관례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.355.3.5
그런데 이날 오전 9시 45분에 시작한 오얀타 우말라(Humala) 페루 대통령과의 전화 통화가 20분으로 길어지면서 회의에 늦었다는 것이다.

그런데	그런데/MAJ
이날	이날/NNG
오전	오전/NNG
9시	9/SN+시/NNB
45분에	45/SN+분/NNB+에/JKB
시작한	시작/NNG+하/XSV+ㄴ/ETM
오얀타	오얀타/NNP
우말라(Humala)	우말라/NNP+(/SS+Humala/SL+)/SS
페루	페루/NNP
대통령과의	대통령/NNG+과/JKB+의/JKG
전화	전화/NNG
통화가	통화/NNG+가/JKS
20분으로	20/SN+분/NNB+으로/JKB
길어지면서	길어지/VV+면서/EC
회의에	회의/NNG+에/JKB
늦었다는	늦/VA+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.355.4.1
박 대통령의 외교 일정이 예정보다 늦게 끝난 것은 이번이 처음이 아니다.

박	박/NNP
대통령의	대통령/NNG+의/JKG
외교	외교/NNG
일정이	일정/NNG+이/JKS
예정보다	예정/NNG+보다/JKB
늦게	늦/VA+게/EC
끝난	끝나/VV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이	처음/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000038.355.4.2
지난 3월 29일 밥 코커(Corker) 미국 상원 외교위 간사를 만났을 때도 면담시간이 당초 예정한 30분보다 5분 더 길어졌다.

지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
29일	29/SN+일/NNB
밥	밥/NNP
코커(Corker)	코커/NNP+(/SS+Corker/SL+)/SS
미국	미국/NNP
상원	상원/NNG
외교위	외교위/NNG
간사를	간사/NNG+를/JKO
만났을	만나/VV+았/EP+을/ETM
때도	때/NNG+도/JX
면담시간이	면담/NNG+시간/NNG+이/JKS
당초	당초/NNG
예정한	예정/NNG+하/XSV+ㄴ/ETM
30분보다	30/SN+분/NNB+보다/JKB
5분	5/SN+분/NNB
더	더/MAG
길어졌다.	길어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.355.4.3
3월 20일 시진핑(習近平) 중국 국가주석과의 전화 통화도 예정한 15분을 넘겨 20분간 이뤄졌다.

3월	3/SN+월/NNB
20일	20/SN+일/NNB
시진핑(習近平)	시진핑/NNP+(/SS+習近平/SH+)/SS
중국	중국/NNP
국가주석과의	국가주석/NNG+과/JKB+의/JKG
전화	전화/NNG
통화도	통화/NNG+도/JX
예정한	예정/NNG+하/XSV+ㄴ/ETM
15분을	15/SN+분/NNB+을/JKO
넘겨	넘기/VV+어/EC
