# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.7
metadata : {}


# id : NWRW1800000053.7.1.1
[동행하는 한국 금융/NH농협은행]청소년 금융교육-소외계층 돕기 앞장

[동행하는	[/SS+동행/NNG+하/XSV+는/ETM
한국	한국/NNP
금융/NH농협은행]청소년	금융/NNG+//SP+NH농협은행/NNP+]/SS+청소년/NNG
금융교육-소외계층	금융/NNG+교육/NNG+-/SO+소외/NNG+계층/NNG
돕기	돕/VV+기/ETN
앞장	앞장/NNG


# id : NWRW1800000053.7.2.1
NH농협은행은 2011년부터 5년 연속으로 은행권에서 가장 많은 비용을 사회공헌 활동에 지원하고 있다.

NH농협은행은	NH농협은행/NNP+은/JX
2011년부터	2011/SN+년/NNB+부터/JX
5년	5/SN+년/NNB
연속으로	연속/NNG+으로/JKB
은행권에서	은행/NNG+권/XSN+에서/JKB
가장	가장/MAG
많은	많/VA+은/ETM
비용을	비용/NNG+을/JKO
사회공헌	사회/NNG+공헌/NNG
활동에	활동/NNG+에/JKB
지원하고	지원/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.7.2.2
전국은행연합회가 지난해 6월 발표한 ‘2015 은행 사회공헌활동 보고서’에 따르면 농협은행은 2015년에 1014억 원의 사회공헌활동비를 지출했다.

전국은행연합회가	전국은행연합회/NNP+가/JKS
지난해	지난해/NNG
6월	6/SN+월/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘2015	‘/SS+2015/SN
은행	은행/NNG
사회공헌활동	사회/NNG+공헌/NNG+활동/NNG
보고서’에	보고서/NNG+’/SS+에/JKB
따르면	따르/VV+면/EC
농협은행은	농협은행/NNP+은/JX
2015년에	2015/SN+년/NNB+에/JKB
1014억	1014/SN+억/NR
원의	원/NNB+의/JKG
사회공헌활동비를	사회/NNG+공헌/NNG+활동비/NNG+를/JKO
지출했다.	지출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.7.3.1
분야별로는 지역사회·공익(571억 원)에 가장 많은 금액을 지출했다.

분야별로는	분야/NNG+별/XSN+로/JKB+는/JX
지역사회·공익(571억	지역/NNG+사회/NNG+·/SP+공익/NNG+(/SS+571/SN+억/NR
원)에	원/NNB+)/SS+에/JKB
가장	가장/MAG
많은	많/VA+은/ETM
금액을	금액/NNG+을/JKO
지출했다.	지출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.7.3.2
학술·교육(202억 원), 서민금융(136억 원), 메세나·체육(102억 원), 환경(2억 원), 글로벌(1억 원) 등이 뒤를 이었다.

학술·교육(202억	학술/NNG+·/SP+교육/NNG+(/SS+202/SN+억/NR
원),	원/NNB+)/SS+,/SP
서민금융(136억	서민/NNG+금융/NNG+(/SS+136/SN+억/NR
메세나·체육(102억	메세나/NNG+·/SP+체육/NNG+(/SS+102/SN+억/NR
환경(2억	환경/NNG+(/SS+2/SN+억/NR
글로벌(1억	글로벌/NNG+(/SS+1/SN+억/NR
원)	원/NNB+)/SS
등이	등/NNB+이/JKS
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.7.3.3
농협은행은 각 지역의 소외계층에 힘을 보태고 있다.

농협은행은	농협은행/NNP+은/JX
각	각/MMD
지역의	지역/NNG+의/JKG
소외계층에	소외/NNG+계층/NNG+에/JKB
힘을	힘/NNG+을/JKO
보태고	보태/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.7.3.4
장학금 등 미래인재 육성을 위한 학술·교육 지원과 문화예술 및 지역축제 등 메세나 부문에도 지원을 아끼지 않고 있다.

장학금	장학금/NNG
등	등/NNB
미래인재	미래/NNG+인재/NNG
육성을	육성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
학술·교육	학술/NNG+·/SP+교육/NNG
지원과	지원/NNG+과/JC
문화예술	문화/NNG+예술/NNG
및	및/MAG
지역축제	지역/NNG+축제/NNG
메세나	메세나/NNG
부문에도	부문/NNG+에/JKB+도/JX
지원을	지원/NNG+을/JKO
아끼지	아끼/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.7.4.1
농협은행은 2012년부터 ‘행복채움금융교실’을 통해 청소년 금융교육에도 앞장서 왔다.

농협은행은	농협은행/NNP+은/JX
2012년부터	2012/SN+년/NNB+부터/JX
‘행복채움금융교실’을	‘/SS+행복/NNG+채움/NNG+금융/NNG+교실/NNG+’/SS+을/JKO
통해	통하/VV+아/EC
청소년	청소년/NNG
금융교육에도	금융/NNG+교육/NNG+에/JKB+도/JX
앞장서	앞장서/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.7.4.2
또 2015년 금융감독원의 ‘1사1교 결연학교 부응정책’에 맞춰 1사1교 결연에 적극 참여했다.

또	또/MAG
2015년	2015/SN+년/NNB
금융감독원의	금융/NNG+감독원/NNG+의/JKG
‘1사1교	‘/SS+1/SN+사/NNG+1/SN+교/NNG
결연학교	결연/NNG+학교/NNG
부응정책’에	부응/NNG+정책/NNG+’/SS+에/JKB
맞춰	맞추/VV+어/EC
1사1교	1/SN+사/NNG+1/SN+교/NNG
결연에	결연/NNG+에/JKB
적극	적극/NNG
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.7.4.3
그 결과 지난해 말 현재 890개 학교와 결연해 금융회사 중 최다 결연 실적을 거뒀고 올해 2월 ‘2016년 1사1교 금융교육 우수 금융회사’로 선정돼 금융감독원장상을 받았다.

그	그/MMD
결과	결과/NNG
지난해	지난해/NNG
말	말/NNB
현재	현재/MAG
890개	890/SN+개/NNB
학교와	학교/NNG+와/JKB
결연해	결연/NNG+하/XSV+아/EC
금융회사	금융/NNG+회사/NNG
중	중/NNB
최다	최다/NNG
결연	결연/NNG
실적을	실적/NNG+을/JKO
거뒀고	거두/VV+었/EP+고/EC
올해	올해/NNG
2월	2/SN+월/NNB
‘2016년	‘/SS+2016/SN+년/NNB
1사1교	1/SN+사/NNG+1/SN+교/NNG
금융교육	금융/NNG+교육/NNG
우수	우수/NNG
금융회사’로	금융/NNG+회사/NNG+’/SS+로/JKB
선정돼	선정/NNG+되/XSV+어/EC
금융감독원장상을	금융/NNG+감독원장/NNG+상/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.7.5.1
농협은행의 사회공헌 활동에서는 임직원들의 봉사활동도 빼놓을 수 없다.

농협은행의	농협은행/NNP+의/JKG
사회공헌	사회/NNG+공헌/NNG
활동에서는	활동/NNG+에서/JKB+는/JX
임직원들의	임직원/NNG+들/XSN+의/JKG
봉사활동도	봉사/NNG+활동/NNG+도/JX
빼놓을	빼놓/VV+을/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000053.7.5.2
농협은행은 NH행복채움회, NH농협카드봉사단, IT사랑봉사단 등 전국 157개 시군별로 봉사단을 조직해 전국 곳곳에서 활약하고 있다.

농협은행은	농협은행/NNP+은/JX
NH행복채움회,	NH행복채움회/NNP+,/SP
NH농협카드봉사단,	NH농협카드봉사단/NNP+,/SP
IT사랑봉사단	IT사랑봉사단/NNP
등	등/NNB
전국	전국/NNG
157개	157/SN+개/NNB
시군별로	시군/NNG+별/XSN+로/JKB
봉사단을	봉사단/NNG+을/JKO
조직해	조직/NNG+하/XSV+아/EC
곳곳에서	곳곳/NNG+에서/JKB
활약하고	활약/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.7.5.3
농협은행 임직원들은 농협의 뿌리인 농촌은 물론이고 소외계층을 찾아 다양한 봉사활동을 하고 있다.

농협은행	농협은행/NNP
임직원들은	임직원/NNG+들/XSN+은/JX
농협의	농협/NNP+의/JKG
뿌리인	뿌리/NNG+이/VCP+ㄴ/ETM
농촌은	농촌/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
소외계층을	소외/NNG+계층/NNG+을/JKO
찾아	찾/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
봉사활동을	봉사/NNG+활동/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.7.5.4
농촌 일손 돕기, 어려운 이웃에게 난방용품 보내기, 사랑의 쌀 지원, 사랑의 김장김치 나누기, 무료급식봉사, 외국인 농업근로자 지원, 사회복지시설 지원 등 활동도 다양하다.

농촌	농촌/NNG
일손	일손/NNG
돕기,	돕/VV+기/ETN+,/SP
어려운	어렵/VA+ㄴ/ETM
이웃에게	이웃/NNG+에게/JKB
난방용품	난방용품/NNG
보내기,	보내/VV+기/ETN+,/SP
사랑의	사랑/NNG+의/JKG
쌀	쌀/NNG
지원,	지원/NNG+,/SP
김장김치	김장/NNG+김치/NNG
나누기,	나누/VV+기/ETN+,/SP
무료급식봉사,	무료/NNG+급식/NNG+봉사/NNG+,/SP
외국인	외국인/NNG
농업근로자	농업/NNG+근로자/NNG
사회복지시설	사회/NNG+복지/NNG+시설/NNG
지원	지원/NNG
등	등/NNB
활동도	활동/NNG+도/JX
다양하다.	다양/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000053.7.5.5
농촌지역 홀몸 어르신을 위한 말벗서비스 역시 농협은행의 대표적인 임직원 봉사활동이다.

농촌지역	농촌/NNG+지역/NNG
홀몸	홀몸/NNG
어르신을	어르신/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
말벗서비스	말벗/NNG+서비스/NNG
역시	역시/MAG
농협은행의	농협은행/NNP+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
임직원	임직원/NNG
봉사활동이다.	봉사/NNG+활동/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.7.5.6
직원들의 재능기부도 함께 이뤄지고 있다.

직원들의	직원/NNG+들/XSN+의/JKG
재능기부도	재능/NNG+기부/NNG+도/JX
함께	함께/MAG
이뤄지고	이뤄지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.7.6.1
농협은행은 임직원 재능 나눔 봉사활동인 행복채움금융교실을 진행하고 있다.

농협은행은	농협은행/NNP+은/JX
임직원	임직원/NNG
재능	재능/NNG
나눔	나누/VV+ㅁ/ETN
봉사활동인	봉사/NNG+활동/NNG+이/VCP+ㄴ/ETM
행복채움금융교실을	행복/NNG+채움/NNG+금융/NNG+교실/NNG+을/JKO
진행하고	진행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.7.6.2
총 1373명의 내부 직원들로 구성된 임직원 교육기부자들이 금융소외계층인 다문화가정, 새터민, 청소년, 노인 등을 대상으로 맞춤형 금융교육을 해준다.

총	총/MMA
1373명의	1373/SN+명/NNB+의/JKG
내부	내부/NNG
직원들로	직원/NNG+들/XSN+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
임직원	임직원/NNG
교육기부자들이	교육/NNG+기부자/NNG+들/XSN+이/JKS
금융소외계층인	금융/NNG+소외/NNG+계층/NNG+이/VCP+ㄴ/ETM
다문화가정,	다문화/NNG+가정/NNG+,/SP
새터민,	새터민/NNG+,/SP
청소년,	청소년/NNG+,/SP
노인	노인/NNG
등을	등/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
맞춤형	맞춤/NNG+형/XSN
금융교육을	금융/NNG+교육/NNG+을/JKO
해준다.	하/VV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.7.6.3
지난해 총 2843회에 걸쳐 14만2000여 명에게 맞춤형 금융교육을 실시했다.

지난해	지난해/NNG
총	총/MMA
2843회에	2843/SN+회/NNB+에/JKB
걸쳐	걸치/VV+어/EC
14만2000여	14/SN+만/NR+2000/SN+여/XSN
명에게	명/NNB+에게/JKB
맞춤형	맞춤/NNG+형/XSN
금융교육을	금융/NNG+교육/NNG+을/JKO
실시했다.	실시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.7.7.1
이처럼 농협은행은 다양한 분야에서 봉사활동을 펼쳐 왔다.

이처럼	이/NP+처럼/JKB
농협은행은	농협은행/NNP+은/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
