# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.256
metadata : {}


# id : NWRW1800000041.256.1.1
[인천아시아경기]이종호 쓰러지자 이광종호 일어섰다

[인천아시아경기]이종호	[/SS+인천/NNP+아시아/NNP+경기/NNG+]/SS+이종호/NNP
쓰러지자	쓰러지/VV+자/EC
이광종호	이광종호/NNP
일어섰다	일어서/VV+었/EP+다/EF


# id : NWRW1800000041.256.2.1
남자축구 8강전 일본 꺾어 후반 종료 5분전 PK 얻어내고 주장 장현수 성공시켜 1-0 승리

남자축구	남자/NNG+축구/NNG
8강전	8/SN+강전/NNB
일본	일본/NNP
꺾어	꺾/VV+어/EC
후반	후반/NNG
종료	종료/NNG
5분전	5/SN+분/NNB+전/NNG
PK	PK/SL
얻어내고	얻/VV+어/EC+내/VX+고/EC
주장	주장/NNG
장현수	장현수/NNP
성공시켜	성공/NNG+시키/XSV+어/EC
1-0	1/SN+-/SO+0/SN
승리	승리/NNG


# id : NWRW1800000041.256.3.1
‘광양 루니’가 ‘인천 루니’가 됐다.

‘광양	‘/SS+광양/NNP
루니’가	루니/NNP+’/SS+가/JKC
‘인천	‘/SS+인천/NNP
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.256.3.2
인천 아시아경기 남자 축구 대표팀 공격수 이종호(22·전남·사진)는 힘 넘치는 플레이스타일이 프리미어리그 맨체스터 유나이티드의 웨인 루니와 닮았다고 해서 ‘광양 루니’로 불린다.

인천	인천/NNP
아시아경기	아시아/NNP+경기/NNG
남자	남자/NNG
축구	축구/NNG
대표팀	대표/NNG+팀/NNG
공격수	공격수/NNG
이종호(22·전남·사진)는	이종호/NNP+(/SS+22/SN+·/SP+전남/NNP+·/SP+사진/NNG+)/SS+는/JX
힘	힘/NNG
넘치는	넘치/VV+는/ETM
플레이스타일이	플레이/NNG+스타일/NNG+이/JKS
프리미어리그	프리미어리그/NNG
맨체스터	맨체스터/NNP
유나이티드의	유나이티드/NNP+의/JKG
웨인	웨인/NNP
루니와	루니/NNP+와/JKB
닮았다고	닮/VV+았/EP+다고/EC
해서	하/VV+아서/EC
‘광양	‘/SS+광양/NNP
루니’로	루니/NNP+’/SS+로/JKB
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.256.3.3
28일 인천 아시아경기 남자 축구 8강전에서 후반 종료 5분을 남기고 이종호가 일본 수비수와 부딪쳐 쓰러지자 인천 문학경기장에 모인 4만3222명의 관중이 모두 일어났다.

28일	28/SN+일/NNB
인천	인천/NNP
아시아경기	아시아/NNP+경기/NNG
남자	남자/NNG
축구	축구/NNG
8강전에서	8/SN+강전/NNB+에서/JKB
후반	후반/NNG
종료	종료/NNG
5분을	5/SN+분/NNB+을/JKO
남기고	남기/VV+고/EC
이종호가	이종호/NNP+가/JKS
일본	일본/NNP
수비수와	수비수/NNG+와/JKB
부딪쳐	부딪치/VV+어/EC
쓰러지자	쓰러지/VV+자/EC
문학경기장에	문학경기장/NNP+에/JKB
모인	모이/VV+ㄴ/ETM
4만3222명의	4/SN+만/NR+3222/SN+명/NNB+의/JKG
관중이	관중/NNG+이/JKS
모두	모두/MAG
일어났다.	일어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.256.3.4
사우디아라비아의 무함마드 알아와지 주심은 페널티 박스 안에서 이종호를 뒤에서 거칠게 쓰러뜨린 일본 수비의 파울을 선언했다.

사우디아라비아의	사우디아라비아/NNP+의/JKG
무함마드	무함마드/NNP
알아와지	알아와지/NNP
주심은	주심/NNG+은/JX
페널티	페널티/NNG
박스	박스/NNG
안에서	안/NNG+에서/JKB
이종호를	이종호/NNP+를/JKO
뒤에서	뒤/NNG+에서/JKB
거칠게	거칠/VA+게/EC
쓰러뜨린	쓰러뜨리/VV+ㄴ/ETM
일본	일본/NNP
수비의	수비/NNG+의/JKG
파울을	파울/NNG+을/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.256.3.5
쓰러지면서 얼굴을 땅에 부딪친 이종호는 코피를 쏟았다.

쓰러지면서	쓰러지/VV+면서/EC
얼굴을	얼굴/NNG+을/JKO
땅에	땅/NNG+에/JKB
부딪친	부딪치/VV+ㄴ/ETM
이종호는	이종호/NNP+는/JX
코피를	코피/NNG+를/JKO
쏟았다.	쏟/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.256.3.6
이종호가 얻은 천금같은 페널티킥을 주장 장현수(23·광저우 푸리)가 깔끔하게 성공시켰다.

이종호가	이종호/NNP+가/JKS
얻은	얻/VV+은/ETM
천금같은	천금/NNG+같/VA+은/ETM
페널티킥을	페널티/NNG+킥/NNG+을/JKO
주장	주장/NNG
장현수(23·광저우	장현수/NNP+(/SS+23/SN+·/SP+광저우/NNP
푸리)가	푸리/NNP+)/SS+가/JKS
깔끔하게	깔끔/NNG+하/XSA+게/EC
성공시켰다.	성공/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.256.4.1
28년 만에 아시아경기 금메달을 노리는 축구 대표팀이 일본을 1-0으로 꺾고 한일전을 기분 좋은 승리로 장식하며 준결승에 진출했다.

28년	28/SN+년/NNB
만에	만/NNB+에/JKB
아시아경기	아시아/NNP+경기/NNG
금메달을	금메달/NNG+을/JKO
노리는	노리/VV+는/ETM
축구	축구/NNG
대표팀이	대표/NNG+팀/NNG+이/JKS
일본을	일본/NNP+을/JKO
1-0으로	1/SN+-/SO+0/SN+으로/JKB
꺾고	꺾/VV+고/EC
한일전을	한일전/NNG+을/JKO
기분	기분/NNG
좋은	좋/VA+은/ETM
승리로	승리/NNG+로/JKB
장식하며	장식/NNG+하/XSV+며/EC
준결승에	준/XPN+결승/NNG+에/JKB
진출했다.	진출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.256.4.2
16강 홍콩전에 나선 선발 선수들이 그대로 출전한 대표팀은 선수 전원이 21세 이하 선수로 구성된 일본을 맞아 초반부터 강한 압박으로 경기를 주도하면서 선제골을 노렸다.

16강	16/SN+강/NNB
홍콩전에	홍콩전/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
선발	선발/NNG
선수들이	선수/NNG+들/XSN+이/JKS
그대로	그대로/MAG
출전한	출전/NNG+하/XSV+ㄴ/ETM
대표팀은	대표/NNG+팀/NNG+은/JX
선수	선수/NNG
전원이	전원/NNG+이/JKS
21세	21/SN+세/NNB
이하	이하/NNG
선수로	선수/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
일본을	일본/NNP+을/JKO
맞아	맞/VV+아/EC
초반부터	초반/NNG+부터/JX
강한	강하/VA+ㄴ/ETM
압박으로	압박/NNG+으로/JKB
경기를	경기/NNG+를/JKO
주도하면서	주도/NNG+하/XSV+면서/EC
선제골을	선제골/NNG+을/JKO
노렸다.	노리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.256.5.1
하지만 문전 크로스가 번번이 일본 수비에 걸렸고, 부정확한 마무리로 전반을 득점 없이 마쳤다.

하지만	하지만/MAJ
문전	문전/NNG
크로스가	크로스/NNG+가/JKS
번번이	번번이/MAG
일본	일본/NNP
수비에	수비/NNG+에/JKB
걸렸고,	걸리/VV+었/EP+고/EC+,/SP
부정확한	부/XPN+정확/NNG+하/XSA+ㄴ/ETM
마무리로	마무리/NNG+로/JKB
전반을	전반/NNG+을/JKO
득점	득점/NNG
없이	없이/MAG
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.256.5.2
후반에는 임창우(22·대전)와 김진수(22·호펜하임)가 과감한 오버래핑으로 상대의 측면을 파고들었다.

후반에는	후반/NNG+에/JKB+는/JX
임창우(22·대전)와	임창우/NNP+(/SS+22/SN+·/SP+대전/NNP+)/SS+와/JC
김진수(22·호펜하임)가	김진수/NNP+(/SS+22/SN+·/SP+호펜하임/NNP+)/SS+가/JKS
과감한	과감하/VA+ㄴ/ETM
오버래핑으로	오버래핑/NNG+으로/JKB
상대의	상대/NNG+의/JKG
측면을	측면/NNG+을/JKO
파고들었다.	파고들/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.256.5.3
그러나 몇 차례 결정적인 중거리 슛 기회를 놓쳤다.

그러나	그러나/MAJ
몇	몇/NR
차례	차례/NNG
결정적인	결정/NNG+적/XSN+이/VCP+ㄴ/ETM
중거리	중거리/NNG
