# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.219
metadata : {}


# id : NWRW1800000038.219.1.1
"홀인원하면 고급 외제車가 경품" 골프장 이벤트, 돈 내고 하면 도박

"홀인원하면	"/SS+홀인원/NNG+하/XSV+면/EC
고급	고급/NNG
외제車가	외제/NNG+車/SH+가/JKS
경품"	경품/NNG+"/SS
골프장	골프장/NNG
이벤트,	이벤트/NNG+,/SP
돈	돈/NNG
내고	내/VV+고/EC
하면	하/VX+면/EC
도박	도박/NNG


# id : NWRW1800000038.219.2.1
憲裁 "도박장 개장 해당" 결정… 비슷한 경품행사에 영향줄듯

憲裁	憲裁/SH
"도박장	"/SS+도박장/NNG
개장	개장/NNG
해당"	해당/NNG+"/SS
결정…	결정/NNG+…/SE
비슷한	비슷하/VA+ㄴ/ETM
경품행사에	경품/NNG+행사/NNG+에/JKB
영향줄듯	영향/NNG+주/VV+ㄹ/ETM+듯/NNB


# id : NWRW1800000038.219.3.1
골프장 주인이 이용객들을 대상으로 고급 외제차를 상품으로 걸고 진행한 홀인원 행사가 '도박장 개장' 혐의에 해당한다는 헌법재판소 결정이 나왔다.

골프장	골프장/NNG
주인이	주인/NNG+이/JKS
이용객들을	이용객/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
고급	고급/NNG
외제차를	외제/NNG+차/NNG+를/JKO
상품으로	상품/NNG+으로/JKB
걸고	걸/VV+고/EC
진행한	진행/NNG+하/XSV+ㄴ/ETM
홀인원	홀인원/NNG
행사가	행사/NNG+가/JKS
'도박장	'/SS+도박장/NNG
개장'	개장/NNG+'/SS
혐의에	혐의/NNG+에/JKB
해당한다는	해당/NNG+하/XSV+ㄴ다는/ETM
헌법재판소	헌법/NNG+재판소/NNG
결정이	결정/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.219.3.2
이번 결정은 골프장뿐 아니라 비슷한 형태로 진행되는 여러 경품 행사에도 영향을 줄 것으로 보인다.

이번	이번/NNG
결정은	결정/NNG+은/JX
골프장뿐	골프장/NNG+뿐/JX
아니라	아니/VCN+라/EC
비슷한	비슷하/VA+ㄴ/ETM
형태로	형태/NNG+로/JKB
진행되는	진행/NNG+되/XSV+는/ETM
여러	여러/MMN
경품	경품/NNG
행사에도	행사/NNG+에/JKB+도/JX
영향을	영향/NNG+을/JKO
줄	주/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.219.4.1
경북 문경에서 골프장을 운영하는 오모(65)씨는 지난 2009년 8월부터 12월까지 파3 홀에서 참가비 1만원을 내고 홀인원을 하면 시가 6000만원 상당 외제차를 주는 경품 행사를 열었다.

경북	경북/NNP
문경에서	문경/NNP+에서/JKB
골프장을	골프장/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
오모(65)씨는	오/NNP+모/NP+(/SS+65/SN+)/SS+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
2009년	2009/SN+년/NNB
8월부터	8/SN+월/NNB+부터/JX
12월까지	12/SN+월/NNB+까지/JX
파3	파/NNG+3/SN
홀에서	홀/NNG+에서/JKB
참가비	참가비/NNG
1만원을	1/SN+만/NR+원/NNB+을/JKO
내고	내/VV+고/EC
홀인원을	홀인원/NNG+을/JKO
하면	하/VV+면/EC
시가	시가/NNG
6000만원	6000/SN+만/NR+원/NNB
상당	상당/NNG
외제차를	외제/NNG+차/NNG+를/JKO
주는	주/VV+는/ETM
경품	경품/NNG
행사를	행사/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.219.4.2
이용객들 반응도 좋았다.

이용객들	이용객/NNG+들/XSN
반응도	반응/NNG+도/JX
좋았다.	좋/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.219.4.3
그러나 수차례 시도에서 연이어 홀인원에 실패한 한 이용객이 이 행사가 도박이나 마찬가지라며 오씨를 도박장 개장 혐의로 검찰에 고발했다.

그러나	그러나/MAJ
수차례	수차례/NNG
시도에서	시도/NNG+에서/JKB
연이어	연잇/VV+어/EC
홀인원에	홀인원/NNG+에/JKB
실패한	실패/NNG+하/XSV+ㄴ/ETM
한	한/MMN
이용객이	이용객/NNG+이/JKS
이	이/MMD
행사가	행사/NNG+가/JKS
도박이나	도박/NNG+이나/JC
마찬가지라며	마찬가지/NNG+이/VCP+라며/EC
오씨를	오/NNP+씨/NNB+를/JKO
도박장	도박장/NNG
개장	개장/NNG
혐의로	혐의/NNG+로/JKB
검찰에	검찰/NNG+에/JKB
고발했다.	고발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.219.5.1
오씨는 외제차를 내건 행사가 비단 자기 골프장뿐 아니라 어느 골프장에서나 흔하게 열리는 행사라며 항변했다.

오씨는	오/NNP+씨/NNB+는/JX
외제차를	외제/NNG+차/NNG+를/JKO
내건	내걸/VV+ㄴ/ETM
행사가	행사/NNG+가/JKS
비단	비단/NNG
자기	자기/NP
골프장뿐	골프장/NNG+뿐/JX
아니라	아니/VCN+라/EC
어느	어느/MMD
골프장에서나	골프장/NNG+에서/JKB+나/JX
흔하게	흔하/VA+게/EC
열리는	열리/VV+는/ETM
행사라며	행사/NNG+이/VCP+라며/EC
항변했다.	항변/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.219.5.2
그러나 2010년 12월 검찰은 오씨에게 기소유예 처분을 내렸다.

그러나	그러나/MAJ
2010년	2010/SN+년/NNB
12월	12/SN+월/NNB
검찰은	검찰/NNG+은/JX
오씨에게	오/NNP+씨/NNB+에게/JKB
기소유예	기소/NNG+유예/NNG
처분을	처분/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.219.5.3
오씨를 기소하지는 않았지만 사행성 도박장을 열었다는 혐의를 검찰이 인정한 셈이었다.

오씨를	오/NNP+씨/NNB+를/JKO
기소하지는	기소/NNG+하/XSV+지/EC+는/JX
않았지만	않/VX+았/EP+지만/EC
사행성	사행/NNG+성/XSN
도박장을	도박장/NNG+을/JKO
열었다는	열/VV+었/EP+다는/ETM
혐의를	혐의/NNG+를/JKO
검찰이	검찰/NNG+이/JKS
인정한	인정/NNG+하/XSV+ㄴ/ETM
셈이었다.	셈/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.219.6.1
오씨는 이에 불복해 '검찰의 기소유예 처분이 헌법에서 보장하는 평등권과 행복추구권을 침해한다'며 2011년 3월 헌재에 헌법소원을 냈다.

오씨는	오/NNP+씨/NNB+는/JX
이에	이/NP+에/JKB
불복해	불복/NNG+하/XSV+아/EC
'검찰의	'/SS+검찰/NNG+의/JKG
기소유예	기소/NNG+유예/NNG
처분이	처분/NNG+이/JKS
헌법에서	헌법/NNG+에서/JKB
보장하는	보장/NNG+하/XSV+는/ETM
평등권과	평등/NNG+권/XSN+과/JC
행복추구권을	행복/NNG+추구/NNG+권/XSN+을/JKO
침해한다'며	침해/NNG+하/XSV+ㄴ다/EF+'/SS+며/EC
2011년	2011/SN+년/NNB
3월	3/SN+월/NNB
헌재에	헌재/NNG+에/JKB
헌법소원을	헌법/NNG+소원/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.219.6.2
그러나 헌재는 지난달 26일 오씨의 청구를 기각했다.

그러나	그러나/MAJ
헌재는	헌재/NNG+는/JX
지난달	지난달/NNG
26일	26/SN+일/NNB
오씨의	오/NNP+씨/NNB+의/JKG
청구를	청구/NNG+를/JKO
기각했다.	기각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.219.7.1
박준희 헌법재판소 공보 담당 연구관은 "당장 비슷한 행사를 하고 있는 골프장이 모두 불법이 되는 것은 아니다"면서도 "헌법재판소가 골프장 행사에 사행성이 있다고 판단한 만큼 앞으로 비슷한 사건이 발생했을 때 법원에서 유죄판결이 나올 가능성은 높다"고 말했다.

박준희	박준희/NNP
헌법재판소	헌법/NNG+재판소/NNG
공보	공보/NNG
담당	담당/NNG
연구관은	연구관/NNG+은/JX
"당장	"/SS+당장/NNG
비슷한	비슷하/VA+ㄴ/ETM
행사를	행사/NNG+를/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
골프장이	골프장/NNG+이/JKS
모두	모두/MAG
불법이	불법/NNG+이/JKC
되는	되/VV+는/ETM
것은	것/NNB+은/JX
아니다"면서도	아니/VCN+다/EF+"/SS+면서/EC+도/JX
"헌법재판소가	"/SS+헌법/NNG+재판소/NNG+가/JKS
골프장	골프장/NNG
행사에	행사/NNG+에/JKB
사행성이	사행/NNG+성/XSN+이/JKS
있다고	있/VA+다고/EC
판단한	판단/NNG+하/XSV+ㄴ/ETM
만큼	만큼/NNB
앞으로	앞/NNG+으로/JKB
사건이	사건/NNG+이/JKS
발생했을	발생/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
법원에서	법원/NNG+에서/JKB
유죄판결이	유죄/NNG+판결/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
높다"고	높/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.219.8.1
전문가들은 도박과 도박장 개장 혐의 성립 여부는 도박 시간과 장소, 판돈, 영리 목적 등을 고려해 결정되는데, 이번 사건은 장기간 같은 장소에서 거액 판돈이 걸렸다는 점과, 오씨가 이익을 볼 여지가 있었다는 점 때문에 도박장 개장 혐의가 인정됐다고 말한다.

전문가들은	전문가/NNG+들/XSN+은/JX
도박과	도박/NNG+과/JC
도박장	도박장/NNG
개장	개장/NNG
혐의	혐의/NNG
성립	성립/NNG
여부는	여부/NNG+는/JX
도박	도박/NNG
시간과	시간/NNG+과/JC
장소,	장소/NNG+,/SP
판돈,	판돈/NNG+,/SP
영리	영리/NNG
목적	목적/NNG
등을	등/NNB+을/JKO
고려해	고려/NNG+하/XSV+아/EC
결정되는데,	결정/NNG+되/XSV+는데/EC+,/SP
이번	이번/NNG
사건은	사건/NNG+은/JX
장기간	장기간/NNG
같은	같/VA+은/ETM
장소에서	장소/NNG+에서/JKB
거액	거액/NNG
판돈이	판돈/NNG+이/JKS
걸렸다는	걸리/VV+었/EP+다는/ETM
점과,	점/NNG+과/JC+,/SP
오씨가	오/NNP+씨/NNB+가/JKS
이익을	이익/NNG+을/JKO
볼	보/VV+ㄹ/ETM
여지가	여지/NNB+가/JKS
있었다는	있/VA+었/EP+다는/ETM
점	점/NNG
때문에	때문/NNB+에/JKB
혐의가	혐의/NNG+가/JKS
인정됐다고	인정/NNG+되/XSV+었/EP+다고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


