# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.262
metadata : {}


# id : NWRW1800000041.262.1.1
팬 성화에… 모셔온 김성근

팬	팬/NNG
성화에…	성화/NNG+에/JKB+…/SE
모셔온	모시/VV+어/EC+오/VX+ㄴ/ETM
김성근	김성근/NNP


# id : NWRW1800000041.262.2.1
한화 새 사령탑 전격 낙점

한화	한화/NNP
새	새/MMA
사령탑	사령탑/NNG
전격	전격/NNG
낙점	낙점/NNG


# id : NWRW1800000041.262.3.1
그는 원래 팬들의 사랑을 받는 감독은 아니었다.

그는	그/NP+는/JX
원래	원래/MAG
팬들의	팬/NNG+들/XSN+의/JKG
사랑을	사랑/NNG+을/JKO
받는	받/VV+는/ETM
감독은	감독/NNG+은/JX
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000041.262.3.2
‘독한 야구’ ‘벌떼 야구’ ‘데이터 야구’ ‘관리 야구’ 등 갖은 수식어가 붙었지만 좋아하는 사람보다 싫어하는 쪽이 더 많았다.

‘독한	‘/SS+독/NNG+하/XSA+ㄴ/ETM
야구’	야구/NNG+’/SS
‘벌떼	‘/SS+벌/NNG+떼/NNG
‘데이터	‘/SS+데이터/NNG
‘관리	‘/SS+관리/NNG
등	등/NNB
갖은	갖은/MMN
수식어가	수식어/NNG+가/JKS
붙었지만	붙/VV+었/EP+지만/EC
좋아하는	좋아하/VV+는/ETM
사람보다	사람/NNG+보다/JKB
싫어하는	싫어하/VV+는/ETM
쪽이	쪽/NNB+이/JKS
더	더/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000041.262.3.3
1999년 쌍방울 감독 시절까지 그는 ‘지옥훈련’으로 악명 높은 감독일 뿐이었다.

1999년	1999/SN+년/NNB
쌍방울	쌍방울/NNP
감독	감독/NNG
시절까지	시절/NNG+까지/JX
그는	그/NP+는/JX
‘지옥훈련’으로	‘/SS+지옥/NNG+훈련/NNG+’/SS+으로/JKB
악명	악명/NNG
높은	높/VA+은/ETM
감독일	감독/NNG+이/VCP+ㄹ/ETM
뿐이었다.	뿐/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.262.3.4
그가 팬들로부터 제대로 인정받기 시작한 건 2002년 약체로 평가받던 LG를 한국시리즈에 올려놓은 이후다.
