# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.344
metadata : {}


# id : NWRW1800000046.344.1.1
[세월호 1주기] 유족 "특별조사委, 정부 하부조직 전락… 진상규명 어려워" 새누리 "정부와 협의해 특별법 시행령 수정 요구하겠다"

[세월호	[/SS+세월호/NNP
1주기]	1/SN+주기/NNB+]/SS
유족	유족/NNG
"특별조사委,	"/SS+특별/NNG+조사/NNG+委/SH+,/SP
정부	정부/NNG
하부조직	하부/NNG+조직/NNG
전락…	전락/NNG+…/SE
진상규명	진상/NNG+규명/NNG
어려워"	어렵/VA+어/EF+"/SS
새누리	새누리/NNP
"정부와	"/SS+정부/NNG+와/JKB
협의해	협의/NNG+하/XSV+아/EC
특별법	특별법/NNG
시행령	시행령/NNG
수정	수정/NNG
요구하겠다"	요구/NNG+하/XSV+겠/EP+다/EF+"/SS


# id : NWRW1800000046.344.2.1
유족 "세월호 인양 방침 정부가 공식 선언하라"

유족	유족/NNG
"세월호	"/SS+세월호/NNP
인양	인양/NNG
방침	방침/NNG
정부가	정부/NNG+가/JKS
공식	공식/NNG
선언하라"	선언/NNG+하/XSV+라/EF+"/SS


# id : NWRW1800000046.344.3.1
세월호 1주기를 맞은 16일 희생자 유족들은 세월호특별법 시행령안을 즉각 폐기하고 세월호 선체 인양 방침을 공식 발표하라고 했다.

세월호	세월호/NNP
1주기를	1/SN+주기/NNB+를/JKO
맞은	맞/VV+은/ETM
16일	16/SN+일/NNB
희생자	희생자/NNG
유족들은	유족/NNG+들/XSN+은/JX
세월호특별법	세월호/NNP+특별법/NNG
시행령안을	시행령안/NNG+을/JKO
즉각	즉각/MAG
폐기하고	폐기/NNG+하/XSV+고/EC
선체	선체/NNG
인양	인양/NNG
방침을	방침/NNG+을/JKO
공식	공식/NNG
발표하라고	발표/NNG+하/XSV+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.344.3.2
유족들은 지난달 27일 입법예고된 세월호특별법 시행령안의 조직 구성안을 문제 삼고 있다.

유족들은	유족/NNG+들/XSN+은/JX
지난달	지난달/NNG
27일	27/SN+일/NNB
입법예고된	입법/NNG+예고/NNG+되/XSV+ㄴ/ETM
세월호특별법	세월호/NNP+특별법/NNG
시행령안의	시행령안/NNG+의/JKG
조직	조직/NNG
구성안을	구성안/NNG+을/JKO
문제	문제/NNG
삼고	삼/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.344.3.3
지금 시행령안대로라면 세월호참사특별조사위원회(특조위)가 정부의 하부 조직으로 전락해 제대로 된 진상 규명이 어렵다는 것이다.

지금	지금/MAG
