# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.142
metadata : {}


# id : NWRW1800000028.142.1.1
호숫가는 반짝 /꽃향기가 솔솔

호숫가는	호숫가/NNG+는/JX
반짝	반짝/MAG
/꽃향기가	//SP+꽃향기/NNG+가/JKS
솔솔	솔솔/MAG


# id : NWRW1800000028.142.2.1
남쪽에서 시작돼 온 국토를 화사하게 물들였던 봄꽃들의 향연이 끝나가는 5월.

남쪽에서	남쪽/NNG+에서/JKB
시작돼	시작/NNG+되/XSV+어/EC
온	오/VX+ㄴ/ETM
국토를	국토/NNG+를/JKO
화사하게	화사하/VA+게/EC
물들였던	물들이/VV+었/EP+던/ETM
봄꽃들의	봄꽃/NNG+들/XSN+의/JKG
향연이	향연/NNG+이/JKS
끝나가는	끝나/VV+아/EC+가/VX+는/ETM
5월.	5/SN+월/NNB+./SF


# id : NWRW1800000028.142.2.2
봄의 정취를 만끽하고 싶은 사람들을 위해 ‘꽃의 도시’ 고양에서 싱그러운 꽃잔치가 한창이다.

봄의	봄/NNG+의/JKG
정취를	정취/NNG+를/JKO
만끽하고	만끽/NNG+하/XSV+고/EC
싶은	싶/VX+은/ETM
사람들을	사람/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
‘꽃의	‘/SS+꽃/NNG+의/JKG
도시’	도시/NNG+’/SS
고양에서	고양/NNP+에서/JKB
싱그러운	싱그럽/VA+ㄴ/ETM
꽃잔치가	꽃/NNG+잔치/NNG+가/JKS
한창이다.	한창/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.142.3.1
올해로 15년째를 맞은 한국고양꽃전시회는 지난달 23일 개막돼 오는 9일까지 17일 동안 경기 고양시 일산호수공원 안 꽃전시관과 야외전시장에서 열리고 있다.

올해로	올해/NNG+로/JKB
15년째를	15/SN+년/NNB+째/XSN+를/JKO
맞은	맞/VV+은/ETM
한국고양꽃전시회는	한국/NNP+고양/NNP+꽃/NNG+전시회/NNG+는/JX
지난달	지난달/NNG
23일	23/SN+일/NNB
개막돼	개막/NNG+되/XSV+어/EC
오는	오/VX+는/ETM
9일까지	9/SN+일/NNB+까지/JX
17일	17/SN+일/NNB
동안	동안/NNG
경기	경기/NNP
고양시	고양시/NNP
일산호수공원	일산호수공원/NNP
안	안/NNG
꽃전시관과	꽃/NNG+전시관/NNG+과/JC
야외전시장에서	야외/NNG+전시장/NNG+에서/JKB
열리고	열리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.142.3.2
‘향기 가득, 행복 가득’을 주제로 열린 올해 전시회는 역대 최대 규모인 14개 나라, 124개 업체가 참가해 절화, 분화, 난 등 5000여종 3000만송이의 꽃을 선보인다.

‘향기	‘/SS+향기/NNG
가득,	가득/MAG+,/SP
행복	행복/NNG
가득’을	가득/MAG+’/SS+을/JKO
주제로	주제/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
올해	올해/NNG
전시회는	전시회/NNG+는/JX
역대	역대/NNG
최대	최대/NNG
규모인	규모/NNG+이/VCP+ㄴ/ETM
14개	14/SN+개/NNB
나라,	나라/NNG+,/SP
124개	124/SN+개/NNB
업체가	업체/NNG+가/JKS
참가해	참가/NNG+하/XSV+아/EC
절화,	절화/NNG+,/SP
분화,	분화/NNG+,/SP
난	난/NNG
등	등/NNB
5000여종	5000/SN+여/XSN+종/NNG
3000만송이의	3000/SN+만/NR+송이/NNG+의/JKG
꽃을	꽃/NNG+을/JKO
선보인다.	선보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.142.3.3
특히 국내에 처음 공개된 180㎝ 크기의 인도네시아산 희귀난 덴드로비움과 손톱 크기의 분재, 남미의 고산에서만 서식하는 보석풍뎅이 등이 관람객의 눈길을 끈다.

특히	특히/MAG
국내에	국내/NNG+에/JKB
처음	처음/NNG
공개된	공개/NNG+되/XSV+ㄴ/ETM
180㎝	180/SN+㎝/SW
크기의	크기/NNG+의/JKG
인도네시아산	인도네시아/NNP+산/XSN
희귀난	희귀/NNG+난/NNG
덴드로비움과	덴드로비움/NNG+과/JC
손톱	손톱/NNG
분재,	분재/NNG+,/SP
남미의	남미/NNP+의/JKG
고산에서만	고산/NNG+에서/JKB+만/JX
서식하는	서식/NNG+하/XSV+는/ETM
