# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.437
metadata : {}


# id : NWRW1800000038.437.1.1
[서울보다 행복한 지방 强小도시들] (9) 경부선·호남선 분기점 'KTX 오송역'… 올 184만명 이용, 1년 만에 57% 급증

[서울보다	[/SS+서울/NNP+보다/JKB
행복한	행복/NNG+하/XSA+ㄴ/ETM
지방	지방/NNG
强小도시들]	强小/SH+도시/NNG+들/XSN+]/SS
(9)	(/SS+9/SN+)/SS
경부선·호남선	경부선/NNP+·/SP+호남선/NNP
분기점	분기점/NNG
'KTX	'/SS+KTX/SL
오송역'…	오송역/NNP+'/SS+…/SE
올	올/NNG
184만명	184/SN+만/NR+명/NNB
이용,	이용/NNG+,/SP
1년	1/SN+년/NNB
만에	만/NNB+에/JKB
57%	57/SN+%/SW
급증	급증/NNG


# id : NWRW1800000038.437.2.1
全國 사통팔달 최적의 입지

全國	全國/SH
사통팔달	사통팔달/NNG
최적의	최적/NNG+의/JKG
입지	입지/NNG


# id : NWRW1800000038.437.3.1
전문가들은 오송 바이오밸리가 갖고 있는 가장 큰 장점으로 사통팔달의 지리적 입지 요건을 꼽는다.

전문가들은	전문가/NNG+들/XSN+은/JX
오송	오송/NNP
바이오밸리가	바이오밸리/NNG+가/JKS
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
가장	가장/MAG
큰	크/VA+ㄴ/ETM
장점으로	장점/NNG+으로/JKB
사통팔달의	사통팔달/NNG+의/JKG
지리적	지리/NNG+적/XSN
입지	입지/NNG
요건을	요건/NNG+을/JKO
꼽는다.	꼽/VV+는다/EF+./SF


# id : NWRW1800000038.437.3.2
대전·청주·천안 등 중부권 핵심 도시들과 인접해 있고, 바로 옆에 지방 분권의 상징처럼 돼 있는 세종시가 자리 잡고 있다.

대전·청주·천안	대전/NNP+·/SP+청주/NNP+·/SP+천안/NNP
등	등/NNB
중부권	중부/NNG+권/XSN
핵심	핵심/NNG
도시들과	도시/NNG+들/XSN+과/JKB
인접해	인접/NNG+하/XSV+아/EC
있고,	있/VX+고/EC+,/SP
바로	바로/MAG
옆에	옆/NNG+에/JKB
지방	지방/NNG
분권의	분권/NNG+의/JKG
상징처럼	상징/NNG+처럼/JKB
돼	되/VV+어/EC
있는	있/VX+는/ETM
세종시가	세종시/NNP+가/JKS
자리	자리/NNG
잡고	잡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.437.3.3
국토의 중앙에 있고 경부·중부고속도로, 청주국제공항, KTX 오송역 등 우수한 교통 인프라도 갖췄다.

국토의	국토/NNG+의/JKG
중앙에	중앙/NNG+에/JKB
있고	있/VA+고/EC
경부·중부고속도로,	경부/NNP+·/SP+중부고속도로/NNP+,/SP
청주국제공항,	청주국제공항/NNP+,/SP
KTX	KTX/SL
오송역	오송역/NNP
등	등/NNB
우수한	우수/NNG+하/XSA+ㄴ/ETM
교통	교통/NNG
인프라도	인프라/NNG+도/JX
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.437.3.4
이 가운데 특히 주목받는 것은 경부고속철도와 호남고속철도의 분기역(分岐驛) 기능을 갖춘 KTX 오송역이다.

이	이/MMD
가운데	가운데/NNG
특히	특히/MAG
주목받는	주목/NNG+받/XSV+는/ETM
것은	것/NNB+은/JX
경부고속철도와	경부고속철도/NNP+와/JC
호남고속철도의	호남고속철도/NNP+의/JKG
분기역(分岐驛)	분기역/NNG+(/SS+分岐驛/SH+)/SS
기능을	기능/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
KTX	KTX/SL
오송역이다.	오송역/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000038.437.3.5
충북도, 청주시, 청원군 등 관련 자치단체와 지역 시민단체 등은 고속철도 분기역을 오송에 유치하기 위해 1989년부터 대책위원회를 만들어 활발하게 움직인 결과 2005년 분기역 유치에 성공했다.

충북도,	충북도/NNP+,/SP
청주시,	청주시/NNP+,/SP
청원군	청원군/NNP
등	등/NNB
관련	관련/NNG
자치단체와	자치/NNG+단체/NNG+와/JC
지역	지역/NNG
시민단체	시민/NNG+단체/NNG
등은	등/NNB+은/JX
고속철도	고속/NNG+철도/NNG
분기역을	분기역/NNG+을/JKO
오송에	오송/NNP+에/JKB
유치하기	유치/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
1989년부터	1989/SN+년/NNB+부터/JX
대책위원회를	대책/NNG+위원회/NNG+를/JKO
만들어	만들/VV+어/EC
활발하게	활발하/VA+게/EC
움직인	움직이/VV+ㄴ/ETM
결과	결과/NNG
2005년	2005/SN+년/NNB
분기역	분기역/NNG
유치에	유치/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.437.4.1
힘겹게 얻어낸 KTX 오송역은 최근 들어 승객이 크게 늘어나면서 바이오밸리의 교통 중심축으로 각광받고 있다.

힘겹게	힘겹/VA+게/EC
얻어낸	얻/VV+어/EC+내/VX+ㄴ/ETM
KTX	KTX/SL
오송역은	오송역/NNP+은/JX
최근	최근/MAG
들어	들/VV+어/EC
승객이	승객/NNG+이/JKS
크게	크/VA+게/EC
늘어나면서	늘어나/VV+면서/EC
바이오밸리의	바이오밸리/NNG+의/JKG
교통	교통/NNG
중심축으로	중심축/NNG+으로/JKB
각광받고	각광/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.437.4.2
2010년 11월 개통한 KTX 오송역 이용객 수는 2011년 120만326명→2012년 148만8064명으로 24% 늘었고, 올해는 10월 말까지 184만6661명으로 전년 동기 대비 56.8%나 증가했다.

2010년	2010/SN+년/NNB
11월	11/SN+월/NNB
개통한	개통/NNG+하/XSV+ㄴ/ETM
KTX	KTX/SL
오송역	오송역/NNP
이용객	이용객/NNG
수는	수/NNG+는/JX
2011년	2011/SN+년/NNB
120만326명→2012년	120/SN+만/NR+326/SN+명/NNB+→/SW+2012/SN+년/NNB
148만8064명으로	148/SN+만/NR+8064/SN+명/NNB+으로/JKB
24%	24/SN+%/SW
늘었고,	늘/VV+었/EP+고/EC+,/SP
올해는	올해/NNG+는/JX
10월	10/SN+월/NNB
말까지	말/NNB+까지/JX
184만6661명으로	184/SN+만/NR+6661/SN+명/NNB+으로/JKB
전년	전년/NNG
동기	동기/NNG
대비	대비/NNG
56.8%나	56/SN+./SP+8/SN+%/SW+나/JX
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.437.4.3
오송역에 정차하는 KTX 열차도 1년여 사이에 46회에서 77회로 늘어났다.

오송역에	오송역/NNP+에/JKB
정차하는	정차/NNG+하/XSV+는/ETM
KTX	KTX/SL
열차도	열차/NNG+도/JX
1년여	1/SN+년/NNB+여/XSN
사이에	사이/NNG+에/JKB
46회에서	46/SN+회/NNB+에서/JKB
77회로	77/SN+회/NNB+로/JKB
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.437.5.1
오송역 관계자는 "2014년 12월 호남고속철도가 개통되면 분기역 역할이 커지고 환승 승객이 많아지기 때문에 이용객은 더욱 증가할 것"이라고 말했다.

오송역	오송역/NNP
관계자는	관계자/NNG+는/JX
"2014년	"/SS+2014/SN+년/NNB
12월	12/SN+월/NNB
호남고속철도가	호남고속철도/NNP+가/JKS
개통되면	개통/NNG+되/XSV+면/EC
분기역	분기역/NNG
역할이	역할/NNG+이/JKS
커지고	커지/VV+고/EC
환승	환승/NNG
승객이	승객/NNG+이/JKS
많아지기	많아지/VV+기/ETN
때문에	때문/NNB+에/JKB
이용객은	이용객/NNG+은/JX
더욱	더욱/MAG
증가할	증가/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.437.5.2
다만 민간 사업자 공모에 실패해 위기에 놓인 오송역세권 개발사업은 장기적으로 해결해야 할 과제로 남아 있다.

다만	다만/MAG
민간	민간/NNG
사업자	사업자/NNG
공모에	공모/NNG+에/JKB
실패해	실패/NNG+하/XSV+아/EC
위기에	위기/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
오송역세권	오송/NNP+역세권/NNG
