# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.186
metadata : {}


# id : NWRW1800000041.186.1.1
헌재, 통진 정당해산 관련 憲訴 전원일치 기각

헌재,	헌재/NNG+,/SP
통진	통진/NNP
정당해산	정당/NNG+해산/NNG
관련	관련/NNG
憲訴	憲訴/SH
전원일치	전원일치/NNG
기각	기각/NNG


# id : NWRW1800000041.186.2.1
“민소법 준용-가처분 결정 합헌”

“민소법	“/SS+민소법/NNG
준용-가처분	준용/NNG+-/SO+가/XPN+처분/NNG
결정	결정/NNG
합헌”	합헌/NNG+”/SS


# id : NWRW1800000041.186.3.1
통합진보당이 정당해산 심판과 정당 활동 금지 가처분 사건의 심리 방법과 절차에 대해 제기한 헌법소원이 모두 기각됐다.

통합진보당이	통합진보당/NNP+이/JKS
정당해산	정당/NNG+해산/NNG
심판과	심판/NNG+과/JC
정당	정당/NNG
활동	활동/NNG
금지	금지/NNG
가처분	가/XPN+처분/NNG
사건의	사건/NNG+의/JKG
심리	심리/NNG
방법과	방법/NNG+과/JC
절차에	절차/NNG+에/JKB
대해	대하/VV+아/EC
제기한	제기/NNG+하/XSV+ㄴ/ETM
헌법소원이	헌법/NNG+소원/NNG+이/JKS
모두	모두/MAG
기각됐다.	기각/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.186.3.2
헌법재판소는 27일 정당해산 심판 절차에 민사소송법을 준용하고, 본안 사건 전에 헌재가 가처분 결정을 내릴 수 있도록 한 헌법재판소법 제40조 1항과 제57조에 대해 재판관 9명 전원 일치 의견으로 합헌 결정을 내렸다.

헌법재판소는	헌법/NNG+재판소/NNG+는/JX
27일	27/SN+일/NNB
정당해산	정당/NNG+해산/NNG
심판	심판/NNG
절차에	절차/NNG+에/JKB
민사소송법을	민사/NNG+소송법/NNG+을/JKO
준용하고,	준용/NNG+하/XSV+고/EC+,/SP
본안	본안/NNG
사건	사건/NNG
전에	전/NNG+에/JKB
헌재가	헌재/NNG+가/JKS
가처분	가/XPN+처분/NNG
결정을	결정/NNG+을/JKO
내릴	내리/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한	하/VX+ㄴ/ETM
헌법재판소법	헌법/NNG+재판소법/NNG
제40조	제/XPN+40/SN+조/NNB
1항과	1/SN+항/NNG+과/JC
제57조에	제/XPN+57/SN+조/NNB+에/JKB
대해	대하/VV+아/EC
재판관	재판관/NNG
9명	9/SN+명/NNB
전원	전원/NNG
일치	일치/NNG
의견으로	의견/NNG+으로/JKB
합헌	합헌/NNG
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.186.4.1
헌재는 가처분 조항이 헌법질서를 수호하기 위해 필요하다는 입장을 밝혔다.

헌재는	헌재/NNG+는/JX
가처분	가/XPN+처분/NNG
조항이	조항/NNG+이/JKS
헌법질서를	헌법/NNG+질서/NNG+를/JKO
수호하기	수호/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
필요하다는	필요/NNG+하/XSA+다는/ETM
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.186.4.2
재판부는 “가처분 제도를 두지 않으면 정당 해산 심판이 선고돼도 실효성이 없을 수 있다.

재판부는	재판부/NNG+는/JX
“가처분	“/SS+가/XPN+처분/NNG
제도를	제도/NNG+를/JKO
두지	두/VV+지/EC
않으면	않/VX+으면/EC
정당	정당/NNG
해산	해산/NNG
심판이	심판/NNG+이/JKS
선고돼도	선고/NNG+되/XSV+어도/EC
실효성이	실효/NNG+성/XSN+이/JKS
