# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.337
metadata : {}


# id : NWRW1800000046.337.1.1
[복지 재정 구조조정] 중앙부처 360가지·地自體 1만가지 '누더기 복지' 손본다

[복지	[/SS+복지/NNG
재정	재정/NNG
구조조정]	구조/NNG+조정/NNG+]/SS
중앙부처	중앙/NNG+부처/NNG
360가지·地自體	360/SN+가지/NNB+·/SP+地自體/SH
1만가지	1/SN+만/NR+가지/NNB
'누더기	'/SS+누더기/NNG
복지'	복지/NNG+'/SS
손본다	손보/VV+ㄴ다/EF


# id : NWRW1800000046.337.2.1
중복사업 정리, 不正수급·누수 막는 것부터 구조조정

중복사업	중복/NNG+사업/NNG
정리,	정리/NNG+,/SP
不正수급·누수	不正/SH+수급/NNG+·/SP+누수/NNG
막는	막/VV+는/ETM
것부터	것/NNB+부터/JX
구조조정	구조/NNG+조정/NNG


# id : NWRW1800000046.337.3.1
공무원이던 남편이 사망해 유족연금을 받던 김모씨는 지난 2007년 사망했다.

공무원이던	공무원/NNG+이/VCP+던/ETM
남편이	남편/NNG+이/JKS
사망해	사망/NNG+하/XSV+아/EC
유족연금을	유족/NNG+연금/NNG+을/JKO
받던	받/VV+던/ETM
김모씨는	김/NNP+모/NP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
2007년	2007/SN+년/NNB
사망했다.	사망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.337.3.2
그러나 김씨의 가족들은 사망신고를 하지 않고 2012년까지 5년간 유족연금 9400만원을 받았다.

그러나	그러나/MAJ
김씨의	김/NNP+씨/NNB+의/JKG
가족들은	가족/NNG+들/XSN+은/JX
사망신고를	사망/NNG+신고/NNG+를/JKO
하지	하/VV+지/EC
않고	않/VX+고/EC
2012년까지	2012/SN+년/NNB+까지/JX
5년간	5/SN+년/NNB+간/XSN
유족연금	유족/NNG+연금/NNG
9400만원을	9400/SN+만/NR+원/NNB+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.337.3.3
공무원연금공단은 복지부에서 사망자를 가려낼 수 있는 시스템을 연계해 뒤늦게 김씨의 사망 사실을 확인하고 잘못 나간 돈을 환수했다.

공무원연금공단은	공무원연금공단/NNP+은/JX
복지부에서	복지부/NNG+에서/JKB
사망자를	사망자/NNG+를/JKO
가려낼	가려내/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시스템을	시스템/NNG+을/JKO
연계해	연계/NNG+하/XSV+아/EC
뒤늦게	뒤늦/VA+게/EC
김씨의	김/NNP+씨/NNB+의/JKG
사망	사망/NNG
사실을	사실/NNG+을/JKO
확인하고	확인/NNG+하/XSV+고/EC
잘못	잘못/MAG
나간	나가/VV+ㄴ/ETM
돈을	돈/NNG+을/JKO
환수했다.	환수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.337.3.4
이처럼 공무원연금공단에서 2010년부터 2014년까지 4년간 연금 받을 자격이 없는데도 잘못 지급한 게 1018건, 35억원에 이른다.

이처럼	이/NP+처럼/JKB
공무원연금공단에서	공무원연금공단/NNP+에서/JKB
2010년부터	2010/SN+년/NNB+부터/JX
2014년까지	2014/SN+년/NNB+까지/JX
4년간	4/SN+년/NNB+간/XSN
연금	연금/NNG
받을	받/VV+을/ETM
자격이	자격/NNG+이/JKS
없는데도	없/VA+는데/EC+도/JX
잘못	잘못/MAG
지급한	지급/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
1018건,	1018/SN+건/NNB+,/SP
35억원에	35/SN+억/NR+원/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.337.4.1
무직자인 이모씨는 지난 2013년 울산의 한 건설 현장에 취업했다가 퇴사한 것처럼 재직증명서와 사용주 확인서를 발급받아 노동부에 실업급여를 신청했다.

무직자인	무직자/NNG+이/VCP+ㄴ/ETM
이모씨는	이/NNP+모/NP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
2013년	2013/SN+년/NNB
울산의	울산/NNP+의/JKG
한	한/MMN
건설	건설/NNG
현장에	현장/NNG+에/JKB
취업했다가	취업/NNG+하/XSV+았/EP+다가/EC
퇴사한	퇴사/NNG+하/XSV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
재직증명서와	재직/NNG+증명서/NNG+와/JC
사용주	사용주/NNG
확인서를	확인서/NNG+를/JKO
발급받아	발급/NNG+받/XSV+아/EC
노동부에	노동부/NNG+에/JKB
실업급여를	실업/NNG+급여/NNG+를/JKO
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.337.4.2
이씨는 인척관계인 현장 소장과 짜고 실업급여 300여만원을 챙겼다.

이씨는	이/NNP+씨/NNB+는/JX
인척관계인	인척/NNG+관계/NNG+이/VCP+ㄴ/ETM
현장	현장/NNG
소장과	소장/NNG+과/JKB
짜고	짜/VV+고/EC
실업급여	실업/NNG+급여/NNG
300여만원을	300/SN+여/XSN+만/NR+원/NNB+을/JKO
챙겼다.	챙기/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.337.4.3
이처럼 실업급여로 허투루 샌 돈은 2012년부터 지난해까지 3년간 360억원(6만5000명)에 달한다.

이처럼	이/NP+처럼/JKB
실업급여로	실업/NNG+급여/NNG+로/JKB
허투루	허투루/MAG
샌	새/VV+ㄴ/ETM
돈은	돈/NNG+은/JX
2012년부터	2012/SN+년/NNB+부터/JX
지난해까지	지난해/NNG+까지/JX
3년간	3/SN+년/NNB+간/XSN
360억원(6만5000명)에	360/SN+억/NR+원/NNB+(/SS+6/SN+만/NR+5000/SN+명/NNB+)/SS+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.337.4.4
정부의 복지예산이 115조원을 넘어서면서 복지 현장에서 누수되는 돈도 적지 않다.

정부의	정부/NNG+의/JKG
복지예산이	복지/NNG+예산/NNG+이/JKS
115조원을	115/SN+조/NR+원/NNB+을/JKO
넘어서면서	넘어서/VV+면서/EC
복지	복지/NNG
현장에서	현장/NNG+에서/JKB
누수되는	누수/NNG+되/XSV+는/ETM
돈도	돈/NNG+도/JX
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000046.337.4.5
보건복지는 물론 고용, 농수축산, 문화, 체육 등 정부의 보조금이 지원되는 모든 분야에서 '정부 돈은 눈먼 돈'처럼 여기는 경향도 있다.

보건복지는	보건/NNG+복지/NNG+는/JX
물론	물론/MAG
고용,	고용/NNG+,/SP
농수축산,	농수축산/NNG+,/SP
문화,	문화/NNG+,/SP
체육	체육/NNG
등	등/NNB
정부의	정부/NNG+의/JKG
보조금이	보조금/NNG+이/JKS
지원되는	지원/NNG+되/XSV+는/ETM
모든	모든/MMN
분야에서	분야/NNG+에서/JKB
'정부	'/SS+정부/NNG
돈은	돈/NNG+은/JX
눈먼	눈멀/VV+ㄴ/ETM
돈'처럼	돈/NNG+'/SS+처럼/JKB
여기는	여기/VV+는/ETM
경향도	경향/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.337.4.6
국민권익위는 허위 부정 청구로 나가는 국가보조금이 2조원에 달한다고 추산했다.

국민권익위는	국민/NNG+권익위/NNG+는/JX
허위	허위/NNG
부정	부정/NNG
청구로	청구/NNG+로/JKB
나가는	나가/VV+는/ETM
국가보조금이	국가/NNG+보조금/NNG+이/JKS
2조원에	2/SN+조/NR+원/NNB+에/JKB
달한다고	달하/VV+ㄴ다고/EC
추산했다.	추산/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.337.5.1
◇360개 복지 사업 중 유사·중복 48개 정리

◇360개	◇/SW+360/SN+개/NNB
복지	복지/NNG
사업	사업/NNG
중	중/NNB
유사·중복	유사/NNG+·/SP+중복/NNG
48개	48/SN+개/NNB
정리	정리/NNG


# id : NWRW1800000046.337.6.1
정부는 올해 복지 재정 115조원을 360개 복지 사업에 쓰고 있다.

