# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.409
metadata : {}


# id : NWRW1800000029.409.1.1
[수도권]파주시 “이화여대, 캠퍼스 계속 추진을”

[수도권]파주시	[/SS+수도/NNG+권/XSN+]/SS+파주시/NNP
“이화여대,	“/SS+이화여대/NNP+,/SP
캠퍼스	캠퍼스/NNG
계속	계속/MAG
추진을”	추진/NNG+을/JKO+”/SS


# id : NWRW1800000029.409.2.1
“내달 1일 신촌서 촉구대회”

“내달	“/SS+내달/NNG
1일	1/SN+일/NNB
신촌서	신촌/NNP+서/JKB
촉구대회”	촉구/NNG+대회/NNG+”/SS


# id : NWRW1800000029.409.3.1
이화여대 파주캠퍼스 무산에 따른 ‘후폭풍’이 거세다.

이화여대	이화여대/NNP
파주캠퍼스	파주/NNP+캠퍼스/NNG
무산에	무산/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
‘후폭풍’이	‘/SS+후폭풍/NNG+’/SS+이/JKS
거세다.	거세/VA+다/EF+./SF


# id : NWRW1800000029.409.3.2
경기 파주시는 2학기 개강일인 다음 달 1일 오전 서울 서대문구 신촌동 경의선 신촌역 광장에서 ‘이화여대 파주캠퍼스 조성 포기 철회 및 사업 추진 촉구 규탄대회’를 연다고 28일 밝혔다.

경기	경기/NNP
파주시는	파주시/NNP+는/JX
2학기	2/SN+학기/NNG
개강일인	개강일/NNG+이/VCP+ㄴ/ETM
다음	다음/NNG
달	달/NNG
1일	1/SN+일/NNB
오전	오전/NNG
서울	서울/NNP
서대문구	서대문구/NNP
신촌동	신촌동/NNP
경의선	경의선/NNP
신촌역	신촌역/NNP
광장에서	광장/NNG+에서/JKB
‘이화여대	‘/SS+이화여대/NNP
파주캠퍼스	파주/NNP+캠퍼스/NNG
조성	조성/NNG
포기	포기/NNG
철회	철회/NNG
및	및/MAG
사업	사업/NNG
추진	추진/NNG
촉구	촉구/NNG
규탄대회’를	규탄/NNG+대회/NNG+’/SS+를/JKO
연다고	열/VV+ㄴ다고/EC
28일	28/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.409.3.3
이번 집회에는 파주캠퍼스 예정지인 월롱면 영태리 주민 등 1000여 명이 참가한다.

이번	이번/NNG
집회에는	집회/NNG+에/JKB+는/JX
파주캠퍼스	파주/NNP+캠퍼스/NNG
예정지인	예정지/NNG+이/VCP+ㄴ/ETM
월롱면	월롱면/NNP
영태리	영태리/NNP
주민	주민/NNG
등	등/NNB
1000여	1000/SN+여/XSN
명이	명/NNB+이/JKS
참가한다.	참가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.409.3.4
이들은 신촌역 일대에서 거리행진과 집회를 연 뒤 캠퍼스 조성사업 백지화 철회 및 사업 재개를 이화여대 측에 촉구할 예정이다.

이들은	이/NP+들/XSN+은/JX
