# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.243
metadata : {}


# id : NWRW1800000021.243.1.1
박태환, 장린 추격 따돌려라…로마 세계수영선수권

박태환,	박태환/NNP+,/SP
장린	장린/NNP
추격	추격/NNG
따돌려라…로마	따돌리/VV+어라/EF+…/SE+로마/NNP
세계수영선수권	세계/NNG+수영/NNG+선수/NNG+권/XSN


# id : NWRW1800000021.243.2.1
2008년 베이징 올림픽 수영 자유형 남자 400m 결승.

2008년	2008/SN+년/NNB
베이징	베이징/NNP
올림픽	올림픽/NNG
수영	수영/NNG
자유형	자유/NNG+형/XSN
남자	남자/NNG
400m	400/SN+m/SW
결승.	결승/NNG+./SF


# id : NWRW1800000021.243.2.2
‘마린보이’ 박태환(20·단국대)이 한국 수영 사상 첫 금메달을 획득해 기뻐하는 순간 중국의 장린(22)은 눈물을 흘리며 아쉬워했다.

‘마린보이’	‘/SS+마린보이/NNG+’/SS
박태환(20·단국대)이	박태환/NNP+(/SS+20/SN+·/SP+단국대/NNP+)/SS+이/JKS
한국	한국/NNP
수영	수영/NNG
사상	사상/NNG
첫	첫/MMN
금메달을	금메달/NNG+을/JKO
획득해	획득/NNG+하/XSV+아/EC
기뻐하는	기뻐하/VV+는/ETM
순간	순간/NNG
중국의	중국/NNP+의/JKG
장린(22)은	장린/NNP+(/SS+22/SN+)/SS+은/JX
눈물을	눈물/NNG+을/JKO
흘리며	흘리/VV+며/EC
아쉬워했다.	아쉬워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.243.2.3
당시 박태환은 “메달을 못 땄나 보다”며 위로해 줬는데 나중에 알고 보니 장린은 은메달이었다.

당시	당시/NNG
박태환은	박태환/NNP+은/JX
“메달을	“/SS+메달/NNG+을/JKO
못	못/MAG
땄나	따/VV+았/EP+나/EC
보다”며	보/VX+다/EF+”/SS+며/EC
위로해	위로/NNG+하/XSV+아/EC
줬는데	주/VX+었/EP+는데/EC
나중에	나중/NNG+에/JKB
알고	알/VV+고/EC
보니	보/VX+니/EC
장린은	장린/NNP+은/JX
은메달이었다.	은메달/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.243.2.4
1등을 하지 못해 흘린 눈물이었다.

1등을	1/SN+등/NNB+을/JKO
하지	하/VV+지/EC
못해	못하/VX+아/EC
흘린	흘리/VV+ㄴ/ETM
눈물이었다.	눈물/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.243.2.5
그랬던 장린이 1년간 칼을 갈아 권토중래를 노리고 있다.

그랬던	그렇/VA+었/EP+던/ETM
장린이	장린/NNP+이/JKS
1년간	1/SN+년/NNB+간/XSN
칼을	칼/NNG+을/JKO
갈아	갈/VV+아/EC
권토중래를	권토중래/NNG+를/JKO
노리고	노리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.243.3.1
26일 예선이 시작되는 로마 수영선수권대회 자유형 400m의 최대 관심사는 박태환의 2연패 여부다.

26일	26/SN+일/NNB
예선이	예선/NNG+이/JKS
시작되는	시작/NNG+되/XSV+는/ETM
로마	로마/NNP
수영선수권대회	수영/NNG+선수/NNG+권/XSN+대회/NNG
자유형	자유/NNG+형/XSN
400m의	400/SN+m/SW+의/JKG
최대	최대/NNG
관심사는	관심사/NNG+는/JX
박태환의	박태환/NNP+의/JKG
2연패	2/SN+연패/NNG
여부다.	여부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.243.3.2
박태환은 2007년 멜버른 대회에 이어 2연패에 도전한다.

박태환은	박태환/NNP+은/JX
2007년	2007/SN+년/NNB
멜버른	멜버른/NNP
대회에	대회/NNG+에/JKB
이어	잇/VV+어/EC
2연패에	2/SN+연패/NNG+에/JKB
도전한다.	도전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.243.3.3
장린은 2006년 도하 아시아경기 직전까지만 해도 이 종목에서 아시아 최고였다.

장린은	장린/NNP+은/JX
2006년	2006/SN+년/NNB
도하	도하/NNP
아시아경기	아시아/NNP+경기/NNG
직전까지만	직전/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
이	이/MMD
종목에서	종목/NNG+에서/JKB
아시아	아시아/NNP
최고였다.	최고/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.243.3.4
하지만 도하에서 박태환에 밀려 자존심을 구겼다.

하지만	하지만/MAJ
도하에서	도하/NNP+에서/JKB
박태환에	박태환/NNP+에/JKB
밀려	밀리/VV+어/EC
자존심을	자존심/NNG+을/JKO
구겼다.	구기/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.243.3.5
지난해에도 ‘타도 박태환’을 외치며 호주 전지훈련을 떠나 ‘장거리 황제’ 그랜트 해킷의 스승 데니스 코터렐에게 특별 지도를 받았지만 졌다.

지난해에도	지난해/NNG+에/JKB+도/JX
‘타도	‘/SS+타도/NNG
박태환’을	박태환/NNP+’/SS+을/JKO
외치며	외치/VV+며/EC
호주	호주/NNP
전지훈련을	전지훈련/NNG+을/JKO
떠나	떠나/VV+아/EC
‘장거리	‘/SS+장거리/NNG
황제’	황제/NNG+’/SS
그랜트	그랜트/NNP
해킷의	해킷/NNP+의/JKG
스승	스승/NNG
데니스	데니스/NNP
코터렐에게	코터렐/NNP+에게/JKB
특별	특별/NNG
지도를	지도/NNG+를/JKO
받았지만	받/VV+았/EP+지만/EC
졌다.	지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.243.3.6
장린은 이번엔 자신의 방에 걸어놓은 박태환의 사진을 보며 날마다 설욕을 다짐했다고 알려졌다.

장린은	장린/NNP+은/JX
이번엔	이번/NNG+에/JKB+ㄴ/JX
자신의	자신/NNG+의/JKG
방에	방/NNG+에/JKB
걸어놓은	걸/VV+어/EC+놓/VX+은/ETM
박태환의	박태환/NNP+의/JKG
사진을	사진/NNG+을/JKO
보며	보/VV+며/EC
날마다	날/NNG+마다/JX
설욕을	설욕/NNG+을/JKO
다짐했다고	다짐/NNG+하/XSV+았/EP+다고/EC
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.243.4.1
장린은 4월 열린 중국선수권대회에서 3분42초63을 기록해 올 시즌 자유형 400m 세계 랭킹 1위로 올라섰다.

장린은	장린/NNP+은/JX
4월	4/SN+월/NNB
열린	열리/VV+ㄴ/ETM
중국선수권대회에서	중국/NNP+선수/NNG+권/XSN+대회/NNG+에서/JKB
3분42초63을	3/SN+분/NNB+42/SN+초/NNB+63/SN+을/JKO
기록해	기록/NNG+하/XSV+아/EC
올	올/NNG
시즌	시즌/NNG
자유형	자유/NNG+형/XSN
400m	400/SN+m/SW
세계	세계/NNG
랭킹	랭킹/NNG
1위로	1/SN+위/NNB+로/JKB
올라섰다.	올라서/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.243.4.2
박태환이 올림픽 때 세운 3분41초86에는 미치지 못하지만 무서운 상승세다.

박태환이	박태환/NNP+이/JKS
올림픽	올림픽/NNG
때	때/NNG
세운	세우/VV+ㄴ/ETM
3분41초86에는	3/SN+분/NNB+41/SN+초/NNB+86/SN+에/JKB+는/JX
미치지	미치/VV+지/EC
못하지만	못하/VX+지만/EC
무서운	무섭/VA+ㄴ/ETM
상승세다.	상승세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.243.4.3
반면 박태환은 5월 미국에서 열린 재닛 에번스 대회에서 세운 3분50초27이 올 시즌 개인 최고기록이다.

반면	반면/NNG
박태환은	박태환/NNP+은/JX
5월	5/SN+월/NNB
미국에서	미국/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
재닛	재닛/NNP
에번스	에번스/NNP
대회에서	대회/NNG+에서/JKB
세운	세우/VV+ㄴ/ETM
3분50초27이	3/SN+분/NNB+50/SN+초/NNB+27/SN+이/JKS
올	올/NNG
시즌	시즌/NNG
개인	개인/NNG
최고기록이다.	최고/NNG+기록/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.243.4.4
이는 올해 세계 랭킹 44위.

이는	이/NP+는/JX
올해	올해/NNG
세계	세계/NNG
랭킹	랭킹/NNG
44위.	44/SN+위/NNB+./SF


# id : NWRW1800000021.243.4.5
1500m에서도 14분57초06으로 장린에 10초 가까이 뒤진다.

1500m에서도	1500/SN+m/SW+에서/JKB+도/JX
14분57초06으로	14/SN+분/NNB+57/SN+초/NNB+06/SN+으로/JKB
장린에	장린/NNP+에/JKB
10초	10/SN+초/NNB
가까이	가까이/MAG
뒤진다.	뒤지/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.243.4.6
하지만 박태환은 미국 전지훈련에서 다듬은 턴과 잠영(턴한 뒤 물속에서 헤엄치는 동작)을 바탕으로 반드시 2연패를 이루겠다는 각오다.

하지만	하지만/MAJ
박태환은	박태환/NNP+은/JX
미국	미국/NNP
전지훈련에서	전지훈련/NNG+에서/JKB
다듬은	다듬/VV+은/ETM
턴과	턴/NNG+과/JC
잠영(턴한	잠영/NNG+(/SS+턴/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
물속에서	물속/NNG+에서/JKB
헤엄치는	헤엄치/VV+는/ETM
동작)을	동작/NNG+)/SS+을/JKO
바탕으로	바탕/NNG+으로/JKB
반드시	반드시/MAG
2연패를	2/SN+연패/NNG+를/JKO
이루겠다는	이루/VV+겠/EP+다는/ETM
각오다.	각오/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.243.4.7
박태환은 도하에서 금메달을 딴 뒤 훈련을 등한시했지만 2개월 반짝 훈련한 뒤 상승세를 타 멜버른에서 금메달을 땄다.

박태환은	박태환/NNP+은/JX
도하에서	도하/NNP+에서/JKB
금메달을	금메달/NNG+을/JKO
딴	따/VV+ㄴ/ETM
뒤	뒤/NNG
훈련을	훈련/NNG+을/JKO
등한시했지만	등한시/NNG+하/XSV+았/EP+지만/EC
2개월	2/SN+개월/NNB
반짝	반짝/MAG
훈련한	훈련/NNG+하/XSV+ㄴ/ETM
상승세를	상승세/NNG+를/JKO
타	타/VV+아/EC
멜버른에서	멜버른/NNP+에서/JKB
땄다.	따/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.243.4.8
지난해 올림픽 때도 5개월 특별 프로젝트로 금메달을 목에 걸었다.

지난해	지난해/NNG
올림픽	올림픽/NNG
때도	때/NNG+도/JX
5개월	5/SN+개월/NNB
특별	특별/NNG
프로젝트로	프로젝트/NNG+로/JKB
금메달을	금메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸었다.	걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.243.4.9
박태환은 26일 오후 4시 20분 시작되는 자유형 400m 예선에 출전한다.

박태환은	박태환/NNP+은/JX
26일	26/SN+일/NNB
오후	오후/NNG
4시	4/SN+시/NNB
20분	20/SN+분/NNB
시작되는	시작/NNG+되/XSV+는/ETM
자유형	자유/NNG+형/XSN
400m	400/SN+m/SW
예선에	예선/NNG+에/JKB
출전한다.	출전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.243.4.10
KBS2에서 생중계한다.

KBS2에서	KBS/SL+2/SN+에서/JKB
생중계한다.	생/XPN+중계/NNG+하/XSV+ㄴ다/EF+./SF


