# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.284
metadata : {}


# id : NWRW1800000025.284.1.1
“방송 언어, 재미보다 정확한 메시지가 핵심”

“방송	“/SS+방송/NNG
언어,	언어/NNG+,/SP
재미보다	재미/NNG+보다/JKB
정확한	정확/NNG+하/XSA+ㄴ/ETM
메시지가	메시지/NNG+가/JKS
핵심”	핵심/NNG+”/SS


# id : NWRW1800000025.284.2.1
전영우 수원과학대 초빙교수(76)는 6일 서울 종로구 세종로 동아미디어센터에서 열린 동아미디어아카데미 특강에서 “모든 방송 직군은 품위와 품격을 유지하면서 메시지를 정확히 전달하는 훈련을 끊임없이 해야 한다”고 말했다.

전영우	전영우/NNP
수원과학대	수원과학대/NNP
초빙교수(76)는	초빙/NNG+교수/NNG+(/SS+76/SN+)/SS+는/JX
6일	6/SN+일/NNB
서울	서울/NNP
종로구	종로구/NNP
세종로	세종로/NNP
동아미디어센터에서	동아미디어센터/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
동아미디어아카데미	동아미디어아카데미/NNP
특강에서	특강/NNG+에서/JKB
“모든	“/SS+모든/MMN
방송	방송/NNG
직군은	직군/NNG+은/JX
품위와	품위/NNG+와/JC
품격을	품격/NNG+을/JKO
유지하면서	유지/NNG+하/XSV+면서/EC
메시지를	메시지/NNG+를/JKO
정확히	정확히/MAG
전달하는	전달/NNG+하/XSV+는/ETM
훈련을	훈련/NNG+을/JKO
끊임없이	끊임없이/MAG
해야	하/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.284.3.1
‘올바른 방송언어와 사회적 책임’을 주제로 진행된 이날 특강에서 전 교수는 “요즘 방송에서 사용하는 언어가 재미만 추구하다 보니 가슴을 울려주는 메시지가 없다.

‘올바른	‘/SS+올바르/VA+ㄴ/ETM
방송언어와	방송/NNG+언어/NNG+와/JC
사회적	사회/NNG+적/XSN
책임’을	책임/NNG+’/SS+을/JKO
주제로	주제/NNG+로/JKB
진행된	진행/NNG+되/XSV+ㄴ/ETM
이날	이날/NNG
특강에서	특강/NNG+에서/JKB
전	전/NNP
교수는	교수/NNG+는/JX
“요즘	“/SS+요즘/NNG
방송에서	방송/NNG+에서/JKB
사용하는	사용/NNG+하/XSV+는/ETM
언어가	언어/NNG+가/JKS
재미만	재미/NNG+만/JX
추구하다	추구/NNG+하/XSV+다/EC
보니	보/VX+니/EC
가슴을	가슴/NNG+을/JKO
울려주는	울리/VV+어/EC+주/VX+는/ETM
메시지가	메시지/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000025.284.3.2
겉으로는 유창하게 말하는 것 같지만 다 들어보면 무슨 말을 했는지 기억이 나지 않는다”고 아쉬워했다.

겉으로는	겉/NNG+으로/JKB+는/JX
유창하게	유창하/VA+게/EC
말하는	말/NNG+하/XSV+는/ETM
것	것/NNB
같지만	같/VA+지만/EC
다	다/MAG
들어보면	듣/VV+어/EC+보/VX+면/EC
무슨	무슨/MMD
말을	말/NNG+을/JKO
했는지	하/VV+았/EP+는지/EC
기억이	기억/NNG+이/JKS
나지	나/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
아쉬워했다.	아쉬워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.284.4.1
전 교수는 “표준발음법보다 더 중요한 건 시청자들이 쉽게 알아듣도록 전달하는 것”이라며 “이를 위해서는 문자언어와 방송언어를 정확히 구분해야 하고, 짧은 문장을 사용해야 하며, 속도, 강약, 고저, 음세, 억양, 띄어 말하기에 신경을 써야 한다”고 말했다.

전	전/NNP
교수는	교수/NNG+는/JX
“표준발음법보다	“/SS+표준/NNG+발음법/NNG+보다/JKB
더	더/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
건	거/NNB+ㄴ/JX
시청자들이	시청자/NNG+들/XSN+이/JKS
쉽게	쉽/VA+게/EC
알아듣도록	알아듣/VV+도록/EC
전달하는	전달/NNG+하/XSV+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“이를	“/SS+이/NP+를/JKO
위해서는	위하/VV+아서/EC+는/JX
문자언어와	문자/NNG+언어/NNG+와/JC
방송언어를	방송/NNG+언어/NNG+를/JKO
정확히	정확히/MAG
구분해야	구분/NNG+하/XSV+아야/EC
하고,	하/VX+고/EC+,/SP
짧은	짧/VA+은/ETM
문장을	문장/NNG+을/JKO
사용해야	사용/NNG+하/XSV+아야/EC
하며,	하/VX+며/EC+,/SP
속도,	속도/NNG+,/SP
강약,	강약/NNG+,/SP
고저,	고저/NNG+,/SP
음세,	음세/NNG+,/SP
억양,	억양/NNG+,/SP
띄어	띄/VV+어/EC
말하기에	말/NNG+하/XSV+기/ETN+에/JKB
신경을	신경/NNG+을/JKO
써야	쓰/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.284.5.1
전 교수는 1963년 동아방송 아나운서실장으로 입사했으며 부국장을 거쳐 1980년 신군부가 동아방송을 강제 폐국한 이후 KBS로 옮겨 아나운서실장을 지냈다.

전	전/NNP
교수는	교수/NNG+는/JX
1963년	1963/SN+년/NNB
동아방송	동아방송/NNP
아나운서실장으로	아나운서실장/NNG+으로/JKB
입사했으며	입사/NNG+하/XSV+았/EP+으며/EC
부국장을	부국장/NNG+을/JKO
거쳐	거치/VV+어/EC
1980년	1980/SN+년/NNB
신군부가	신/XPN+군부/NNG+가/JKS
동아방송을	동아방송/NNP+을/JKO
강제	강제/NNG
폐국한	폐국/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
