# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.82
metadata : {}


# id : NWRW1800000032.82.1.1
기업들 ‘우울한 2012년’ 전망

기업들	기업/NNG+들/XSN
‘우울한	‘/SS+우울/NNG+하/XSA+ㄴ/ETM
2012년’	2012/SN+년/NNB+’/SS
전망	전망/NNG


# id : NWRW1800000032.82.2.1
12월 ‘업황 BSI’ 80…내년 1월 전망치도 79

12월	12/SN+월/NNB
‘업황	‘/SS+업황/NNG
BSI’	BSI/SL+’/SS
80…내년	80/SN+…/SE+내년/NNG
1월	1/SN+월/NNB
전망치도	전망/NNG+치/XSN+도/JX
79	79/SN


# id : NWRW1800000032.82.3.1
기업들이 내년에 미국발 금융위기 때를 연상케 하는 최악의 한해를 보낼 것이라는 우울한 전망이 쏟아지고 있다.

기업들이	기업/NNG+들/XSN+이/JKS
내년에	내년/NNG+에/JKB
미국발	미국/NNP+발/XSN
금융위기	금융/NNG+위기/NNG
때를	때/NNG+를/JKO
연상케	연상/NNG+하/XSV+게/EC
하는	하/VX+는/ETM
최악의	최악/NNG+의/JKG
한해를	한/MMN+해/NNB+를/JKO
보낼	보내/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
우울한	우울/NNG+하/XSA+ㄴ/ETM
전망이	전망/NNG+이/JKS
쏟아지고	쏟아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.82.4.1
28일 전국 2774개 법인 기업을 대상으로 조사한 한국은행의 ‘12월 업황 기업경기실사지수(BSI)’ 자료를 보면, 제조업의 내년 1월 업황 전망 기업경기실사지수는 전달보다 4포인트 떨어진 79로 집계됐다.

28일	28/SN+일/NNB
전국	전국/NNG
2774개	2774/SN+개/NNB
법인	법인/NNG
기업을	기업/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
조사한	조사/NNG+하/XSV+ㄴ/ETM
한국은행의	한국은행/NNP+의/JKG
‘12월	‘/SS+12/SN+월/NNB
업황	업황/NNG
기업경기실사지수(BSI)’	기업/NNG+경기/NNG+실사/NNG+지수/NNG+(/SS+BSI/SL+)/SS+’/SS
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
제조업의	제조업/NNG+의/JKG
내년	내년/NNG
1월	1/SN+월/NNB
전망	전망/NNG
기업경기실사지수는	기업/NNG+경기/NNG+실사/NNG+지수/NNG+는/JX
전달보다	전달/NNG+보다/JKB
4포인트	4/SN+포인트/NNG
떨어진	떨어지/VV+ㄴ/ETM
79로	79/SN+로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.82.4.2
이는 2009년 7월(78) 이후 2년5개월 만에 가장 낮은 수치다.

이는	이/NP+는/JX
2009년	2009/SN+년/NNB
7월(78)	7/SN+월/NNB+(/SS+78/SN+)/SS
이후	이후/NNG
2년5개월	2/SN+년/NNB+5/SN+개월/NNB
만에	만/NNB+에/JKB
가장	가장/MAG
낮은	낮/VA+은/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.82.4.3
업황 전망 기업실사지수는 기준치 100을 넘으면 경기를 좋게 보는 기업이 많다는 뜻이고, 100을 밑돌면 경기를 나쁘게 전망하는 기업이 많다는 뜻이다.

업황	업황/NNG
전망	전망/NNG
기업실사지수는	기업/NNG+실사/NNG+지수/NNG+는/JX
기준치	기준/NNG+치/XSN
100을	100/SN+을/JKO
넘으면	넘/VV+으면/EC
경기를	경기/NNG+를/JKO
좋게	좋/VA+게/EC
보는	보/VV+는/ETM
기업이	기업/NNG+이/JKS
많다는	많/VA+다는/ETM
뜻이고,	뜻/NNG+이/VCP+고/EC+,/SP
밑돌면	밑돌/VV+면/EC
나쁘게	나쁘/VA+게/EC
전망하는	전망/NNG+하/XSV+는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.82.5.1
제조업의 올해 12월 업황 기업경기실사지수 역시 지난달보다 3포인트 떨어진 80으로, 지난 8월 80 이후 4개월 만에 가장 낮았다.

제조업의	제조업/NNG+의/JKG
올해	올해/NNG
12월	12/SN+월/NNB
업황	업황/NNG
기업경기실사지수	기업/NNG+경기/NNG+실사/NNG+지수/NNG
역시	역시/MAG
지난달보다	지난달/NNG+보다/JKB
3포인트	3/SN+포인트/NNG
떨어진	떨어지/VV+ㄴ/ETM
80으로,	80/SN+으로/JKB+,/SP
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
80	80/SN
이후	이후/NNG
4개월	4/SN+개월/NNB
만에	만/NNB+에/JKB
가장	가장/MAG
낮았다.	낮/VA+았/EP+다/EF+./SF


# id : NWRW1800000032.82.5.2
특히 대기업의 내년 1월 업황 전망 지수가 88인 데 견줘, 중소기업은 75를 기록해 중소기업이 경기를 더 나쁘게 내다보는 것으로 나타났다.

특히	특히/MAG
대기업의	대/XPN+기업/NNG+의/JKG
내년	내년/NNG
1월	1/SN+월/NNB
업황	업황/NNG
전망	전망/NNG
지수가	지수/NNG+가/JKS
88인	88/SN+이/VCP+ㄴ/ETM
데	데/NNB
견줘,	견주/VV+어/EC+,/SP
중소기업은	중소기업/NNG+은/JX
75를	75/SN+를/JKO
기록해	기록/NNG+하/XSV+아/EC
중소기업이	중소기업/NNG+이/JKS
경기를	경기/NNG+를/JKO
더	더/MAG
나쁘게	나쁘/VA+게/EC
내다보는	내다보/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.82.5.3
제조업과 비제조업 모두 가장 큰 경영 어려움으로 내수부진과 불확실한 경제상황을 꼽았다.

제조업과	제조업/NNG+과/JC
비제조업	비/XPN+제조업/NNG
모두	모두/MAG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
경영	경영/NNG
어려움으로	어려움/NNG+으로/JKB
내수부진과	내수/NNG+부진/NNG+과/JC
불확실한	불확실/NNG+하/XSA+ㄴ/ETM
경제상황을	경제/NNG+상황/NNG+을/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.82.6.1
지식경제부와 산업연구원이 이날 발표한 601개 기업을 대상으로 한 온라인 설문조사에서도 내년 1분기 기업경기실사지수가 89로 2009년 1분기(61) 이후 3년 만에 최악으로 조사됐다.

지식경제부와	지식/NNG+경제부/NNG+와/JC
산업연구원이	산업/NNG+연구원/NNG+이/JKS
이날	이날/NNG
발표한	발표/NNG+하/XSV+ㄴ/ETM
601개	601/SN+개/NNB
기업을	기업/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
온라인	온라인/NNG
설문조사에서도	설문/NNG+조사/NNG+에서/JKB+도/JX
내년	내년/NNG
1분기	1/SN+분기/NNG
기업경기실사지수가	기업/NNG+경기/NNG+실사/NNG+지수/NNG+가/JKS
89로	89/SN+로/JKB
2009년	2009/SN+년/NNB
1분기(61)	1/SN+분기/NNG+(/SS+61/SN+)/SS
이후	이후/NNG
3년	3/SN+년/NNB
만에	만/NNB+에/JKB
최악으로	최악/NNG+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.82.6.2
업종별로도 반도체(128), 섬유(110)를 제외한 대부분 업종에서 전망치가 100을 밑돌았다.

업종별로도	업종/NNG+별/XSN+로/JKB+도/JX
반도체(128),	반도체/NNG+(/SS+128/SN+)/SS+,/SP
섬유(110)를	섬유/NNG+(/SS+110/SN+)/SS+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
대부분	대/XPN+부분/NNG
업종에서	업종/NNG+에서/JKB
전망치가	전망/NNG+치/XSN+가/JKS
100을	100/SN+을/JKO
밑돌았다.	밑돌/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.82.6.3
전국경제인연합회가 매출액 기준 600대 기업을 대상으로 조사한 기업경기실사지수의 내년 1월 전망치가 이달보다 6.5포인트 떨어진 88.3에 그쳤다.

전국경제인연합회가	전국경제인연합회/NNP+가/JKS
매출액	매출액/NNG
기준	기준/NNG
600대	600/SN+대/NNG
기업을	기업/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
조사한	조사/NNG+하/XSV+ㄴ/ETM
기업경기실사지수의	기업/NNG+경기/NNG+실사/NNG+지수/NNG+의/JKG
내년	내년/NNG
1월	1/SN+월/NNB
전망치가	전망/NNG+치/XSN+가/JKS
이달보다	이달/NNG+보다/JKB
6.5포인트	6/SN+./SP+5/SN+포인트/NNG
떨어진	떨어지/VV+ㄴ/ETM
88.3에	88/SN+./SP+3/SN+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.82.6.4
역시 2009년 4월(86.7) 이후 2년9개월 만의 최저치다.

역시	역시/MAG
2009년	2009/SN+년/NNB
4월(86.7)	4/SN+월/NNB+(/SS+86/SN+./SP+7/SN+)/SS
이후	이후/NNG
2년9개월	2/SN+년/NNB+9/SN+개월/NNB
만의	만/NNB+의/JKG
최저치다.	최저/NNG+치/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000032.82.7.1
