# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.400
metadata : {}


# id : NWRW1800000054.400.1.1
"MB때 국정원, 민간인 댓글부대 30개 팀 운영했다"

"MB때	"/SS+MB/SL+때/NNG
국정원,	국정원/NNG+,/SP
민간인	민간인/NNG
댓글부대	댓글/NNG+부대/NNG
30개	30/SN+개/NNB
팀	팀/NNG
운영했다"	운영/NNG+하/XSV+았/EP+다/EF+"/SS


# id : NWRW1800000054.400.2.1
국정원 적폐청산 TF 조사 결과

국정원	국정원/NNG
적폐청산	적폐/NNG+청산/NNG
TF	TF/SL
조사	조사/NNG
결과	결과/NNG


# id : NWRW1800000054.400.3.1
국가정보원이 3일 2012년 대선 댓글 개입 사건과 관련해 원세훈 전 원장 취임 이후 국정원 심리전단에서 2009년 5월부터 2012년 12월까지 '알파(α)팀' 등 민간인으로 구성된 사이버 '외곽팀'을 운영한 사실을 확인했다고 밝혔다.

국가정보원이	국가/NNG+정보원/NNG+이/JKS
3일	3/SN+일/NNB
2012년	2012/SN+년/NNB
대선	대선/NNG
댓글	댓글/NNG
개입	개입/NNG
사건과	사건/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
원세훈	원세훈/NNP
전	전/MMD
원장	원장/NNG
취임	취임/NNG
이후	이후/NNG
국정원	국정원/NNG
심리전단에서	심리전단/NNG+에서/JKB
2009년	2009/SN+년/NNB
5월부터	5/SN+월/NNB+부터/JX
12월까지	12/SN+월/NNB+까지/JX
'알파(α)팀'	'/SS+알파/NNG+(/SS+α/SW+)/SS+팀/NNG+'/SS
등	등/NNB
민간인으로	민간인/NNG+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
사이버	사이버/NNG
'외곽팀'을	'/SS+외곽/NNG+팀/NNG+'/SS+을/JKO
운영한	운영/NNG+하/XSV+ㄴ/ETM
사실을	사실/NNG+을/JKO
확인했다고	확인/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.400.4.1
문재인 정부 들어 국정원은 내부 개혁을 위해 내·외부 전문가 13명으로 이뤄진 개혁발전위원회를 설치하고 산하에 국정원 감찰실장을 팀장으로 하는 적폐청산TF를 꾸렸다.

문재인	문재인/NNP
정부	정부/NNG
들어	들/VV+어/EC
국정원은	국정원/NNG+은/JX
내부	내부/NNG
개혁을	개혁/NNG+을/JKO
위해	위하/VV+아/EC
내·외부	내·외부/NNG
전문가	전문가/NNG
13명으로	13/SN+명/NNB+으로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
개혁발전위원회를	개혁/NNG+발전/NNG+위원회/NNG+를/JKO
설치하고	설치/NNG+하/XSV+고/EC
산하에	산하/NNG+에/JKB
국정원	국정원/NNG
감찰실장을	감찰실장/NNG+을/JKO
팀장으로	팀장/NNG+으로/JKB
하는	하/VV+는/ETM
적폐청산TF를	적폐/NNG+청산/NNG+TF/SL+를/JKO
꾸렸다.	꾸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.400.4.2
적폐청산TF는 대선 댓글 사건을 비롯한 국정원의 13개 정치 개입 의혹 사건을 조사해왔고, 이날 개혁위에 중간 조사 결과를 보고했다.

적폐청산TF는	적폐/NNG+청산/NNG+TF/SL+는/JX
대선	대선/NNG
댓글	댓글/NNG
사건을	사건/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
국정원의	국정원/NNG+의/JKG
13개	13/SN+개/NNB
정치	정치/NNG
개입	개입/NNG
의혹	의혹/NNG
조사해왔고,	조사/NNG+하/XSV+아/EC+오/VX+았/EP+고/EC+,/SP
이날	이날/NNG
개혁위에	개혁위/NNG+에/JKB
중간	중간/NNG
조사	조사/NNG
결과를	결과/NNG+를/JKO
보고했다.	보고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.400.5.1
국정원은 이날 중간 조사 결과를 담은 보도자료에서 사이버 '외곽팀'의 운영 목적을 '4대 포털(네이버·다음·네이트·야후)과 소셜 미디어 등에 친정부 성향의 글을 게재해 국정 지지 여론을 확대하는 것'이라고 밝혔다.

국정원은	국정원/NNG+은/JX
이날	이날/NNG
중간	중간/NNG
조사	조사/NNG
결과를	결과/NNG+를/JKO
담은	담/VV+은/ETM
보도자료에서	보도/NNG+자료/NNG+에서/JKB
사이버	사이버/NNG
'외곽팀'의	'/SS+외곽/NNG+팀/NNG+'/SS+의/JKG
운영	운영/NNG
목적을	목적/NNG+을/JKO
'4대	'/SS+4/SN+대/NNG
포털(네이버·다음·네이트·야후)과	포털/NNG+(/SS+네이버/NNP+·/SP+다음/NNP+·/SP+네이트/NNP+·/SP+야후/NNP+)/SS+과/JC
소셜	소셜/NNG
미디어	미디어/NNG
등에	등/NNB+에/JKB
친정부	친/XPN+정부/NNG
성향의	성향/NNG+의/JKG
글을	글/NNG+을/JKO
게재해	게재/NNG+하/XSV+아/EC
국정	국정/NNG
지지	지지/NNG
여론을	여론/NNG+을/JKO
확대하는	확대/NNG+하/XSV+는/ETM
것'이라고	것/NNB+'/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.400.5.2
사이버 '외곽팀'은 보수·친여 성향의 예비역 군인, 회사원, 주부, 학생, 자영업자 등으로 구성된 것으로 나타났다.

사이버	사이버/NNG
'외곽팀'은	'/SS+외곽/NNG+팀/NNG+'/SS+은/JX
보수·친여	보수/NNG+·/SP+친여/NNG
성향의	성향/NNG+의/JKG
예비역	예비역/NNG
군인,	군인/NNG+,/SP
회사원,	회사원/NNG+,/SP
주부,	주부/NNG+,/SP
학생,	학생/NNG+,/SP
자영업자	자영업자/NNG
등으로	등/NNB+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.400.6.1
국정원은 "원 전 원장 취임 이후 심리전단은 2009년 5월 '(다음) 아고라' 대응 '외곽팀' 9개 팀을 신설하고 지속적으로 확대해 2011년 1월에는 ?팀 등 24개의 '외곽팀'을 운영했다고 밝혔다.

국정원은	국정원/NNG+은/JX
"원	"/SS+원/NNP
전	전/MMD
원장	원장/NNG
취임	취임/NNG
이후	이후/NNG
심리전단은	심리전단/NNG+은/JX
2009년	2009/SN+년/NNB
5월	5/SN+월/NNB
'(다음)	'/SS+(/SS+다음/NNP+)/SS
아고라'	아고라/NNP+'/SS
대응	대응/NNG
'외곽팀'	'/SS+외곽/NNG+팀/NNG+'/SS
9개	9/SN+개/NNB
팀을	팀/NNG+을/JKO
신설하고	신설/NNG+하/XSV+고/EC
지속적으로	지속/NNG+적/XSN+으로/JKB
확대해	확대/NNG+하/XSV+아/EC
2011년	2011/SN+년/NNB
1월에는	1/SN+월/NNB+에/JKB+는/JX
?팀	?/NA+팀/NNG
등	등/NNB
24개의	24/SN+개/NNB+의/JKG
'외곽팀'을	'/SS+외곽/NNG+팀/NNG+'/SS+을/JKO
운영했다고	운영/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.400.7.1
국정원은 또 2011년 3월에는 트위터를 전담하는 팀 4개를 신설했고 2012년 4월에 6개 팀으로 확대 운영했다고 밝혔다.

국정원은	국정원/NNG+은/JX
또	또/MAG
2011년	2011/SN+년/NNB
