# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.345
metadata : {}


# id : NWRW1800000030.345.1.1
李대통령, 차기 대통령실장에 맹형규 유력 검토

李대통령,	李/SH+대통령/NNG+,/SP
차기	차기/NNG
대통령실장에	대통령실장/NNG+에/JKB
맹형규	맹형규/NNP
유력	유력/NNG
검토	검토/NNG


# id : NWRW1800000030.345.2.1
•청와대 조만간 개편 단행… 임태희 실장은 총선 출마할 듯

•청와대	•/SW+청와대/NNP
조만간	조만간/MAG
개편	개편/NNG
단행…	단행/NNG+…/SE
임태희	임태희/NNP
실장은	실장/NNG+은/JX
총선	총선/NNG
출마할	출마/NNG+하/XSV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000030.345.3.1
이명박 대통령이 조만간 청와대 개편을 단행할 방침이다.

이명박	이명박/NNP
대통령이	대통령/NNG+이/JKS
조만간	조만간/MAG
청와대	청와대/NNP
개편을	개편/NNG+을/JKO
단행할	단행/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.345.3.2
최대 정국 현안인 한미 FTA가 마무리된 후 집권 말기를 책임질 청와대 진용을 다시 짤 필요성은 일찍부터 제기됐다.

최대	최대/NNG
정국	정국/NNG
현안인	현안/NNG+이/VCP+ㄴ/ETM
한미	한미/NNP
FTA가	FTA/SL+가/JKS
마무리된	마무리/NNG+되/XSV+ㄴ/ETM
후	후/NNG
집권	집권/NNG
말기를	말기/NNG+를/JKO
책임질	책임지/VV+ㄹ/ETM
청와대	청와대/NNP
진용을	진용/NNG+을/JKO
다시	다시/MAG
짤	짜/VV+ㄹ/ETM
필요성은	필요/NNG+성/XSN+은/JX
일찍부터	일찍/MAG+부터/JX
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.345.3.3
임태희 대통령실장과 백용호 정책실장은 여당의 10·26 서울시장 보궐선거 패배 직후 사의를 표명해둔 터였다.

임태희	임태희/NNP
대통령실장과	대통령실장/NNG+과/JC
백용호	백용호/NNP
정책실장은	정책실장/NNG+은/JX
여당의	여당/NNG+의/JKG
10·26	10/SN+·/SP+26/SN
서울시장	서울시장/NNG
보궐선거	보궐/NNG+선거/NNG
패배	패배/NNG
직후	직후/NNG
사의를	사의/NNG+를/JKO
표명해둔	표명/NNG+하/XSV+아/EC+두/VX+ㄴ/ETM
터였다.	터/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.345.4.1
청와대 개편이 이달 내에 이뤄질지 아니면 내년도 예산안 처리와 함께 18대국회가 종료된 직후에 단행될지는 아직 불투명하다.

청와대	청와대/NNP
개편이	개편/NNG+이/JKS
이달	이달/NNG
내에	내/NNB+에/JKB
이뤄질지	이뤄지/VV+ㄹ지/EC
아니면	아니/VCN+면/EC
내년도	내년도/NNG
예산안	예산안/NNG
처리와	처리/NNG+와/JKB
함께	함께/MAG
18대국회가	18/SN+대/NNB+국회/NNG+가/JKS
종료된	종료/NNG+되/XSV+ㄴ/ETM
직후에	직후/NNG+에/JKB
단행될지는	단행/NNG+되/XSV+ㄹ지/EC+는/JX
아직	아직/MAG
불투명하다.	불/XPN+투명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000030.345.4.2
하지만 후임 대통령실장은 상당히 좁혀진 분위기이다.

하지만	하지만/MAJ
후임	후임/NNG
대통령실장은	대통령실장/NNG+은/JX
상당히	상당히/MAG
좁혀진	좁히/VV+어/EC+지/VX+ㄴ/ETM
분위기이다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.345.4.3
이 대통령과 임기를 함께 할 대통령실장은 이 대통령과 호흡을 맞춰본 사람이어야 한다는 데 여권 내 이견이 없기 때문이다.

이	이/NNP
대통령과	대통령/NNG+과/JKB
임기를	임기/NNG+를/JKO
함께	함께/MAG
할	하/VV+ㄹ/ETM
대통령실장은	대통령실장/NNG+은/JX
호흡을	호흡/NNG+을/JKO
맞춰본	맞추/VV+어/EC+보/VX+ㄴ/ETM
사람이어야	사람/NNG+이/VCP+어야/EC
한다는	하/VX+ㄴ다는/ETM
데	데/NNB
여권	여권/NNG
내	내/NNB
이견이	이견/NNG+이/JKS
없기	없/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.345.4.4
가장 유력후보로 떠오른 사람은 맹형규 행정안전부 장관이다.

가장	가장/MAG
유력후보로	유력/NNG+후보/NNG+로/JKB
떠오른	떠오르/VV+ㄴ/ETM
사람은	사람/NNG+은/JX
맹형규	맹형규/NNP
행정안전부	행정/NNG+안전부/NNG
장관이다.	장관/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.345.4.5
맹 장관은 대통령직인수위 기획조정분과 간사와 청와대 정무수석을 지내 이 대통령을 잘 보필할 수 있는 데다, 박근혜 전 한나라당 대표와도 소통할 수 있다는 장점이 있다.

맹	맹/NNP
장관은	장관/NNG+은/JX
대통령직인수위	대통령직/NNG+인수위/NNG
기획조정분과	기획/NNG+조정/NNG+분과/NNG
간사와	간사/NNG+와/JC
청와대	청와대/NNP
정무수석을	정무/NNG+수석/NNG+을/JKO
지내	지내/VV+어/EC
이	이/NNP
대통령을	대통령/NNG+을/JKO
잘	잘/MAG
보필할	보필/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
데다,	데/NNB+다/JX+,/SP
박근혜	박근혜/NNP
전	전/MMD
한나라당	한나라당/NNP
대표와도	대표/NNG+와/JKB+도/JX
소통할	소통/NNG+하/XSV+ㄹ/ETM
있다는	있/VA+다는/ETM
장점이	장점/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.345.5.1
청와대 관계자는 "맹 장관이 제1순위 후보인 것은 사실"이라고 했다.

청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
"맹	"/SS+맹/NNP
장관이	장관/NNG+이/JKS
제1순위	제/XPN+1/SN+순위/NNG
후보인	후보/NNG+이/VCP+ㄴ/ETM
것은	것/NNB+은/JX
사실"이라고	사실/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.345.5.2
원세훈 국정원장도 이 대통령이 서울시장 시절 행정부시장으로 뒷받침한 경력이 있고, 누구 못지않게 충성도가 높다는 점에서 추천하는 사람들이 있으나 우선순위에선 다소 벗어난 것으로 알려졌다.

원세훈	원세훈/NNP
국정원장도	국정원장/NNG+도/JX
이	이/NNP
대통령이	대통령/NNG+이/JKS
서울시장	서울시장/NNG
시절	시절/NNG
행정부시장으로	행정부/NNG+시장/NNG+으로/JKB
뒷받침한	뒷받침/NNG+하/XSV+ㄴ/ETM
경력이	경력/NNG+이/JKS
있고,	있/VA+고/EC+,/SP
누구	누구/NP
못지않게	못지않/VA+게/EC
충성도가	충성도/NNG+가/JKS
높다는	높/VA+다는/ETM
점에서	점/NNG+에서/JKB
추천하는	추천/NNG+하/XSV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
있으나	있/VA+으나/EC
우선순위에선	우선순위/NNG+에서/JKB+ㄴ/JX
다소	다소/MAG
벗어난	벗어나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.345.6.1
한때 여권에선 박형준 대통령 사회특보도 유력하게 거론됐으나 홍준표 대표가 거부감을 비친 데다 본인도 내년 부산에서 총선 출마를 바라고 있는 것으로 알려졌다.

한때	한때/MAG
여권에선	여권/NNG+에서/JKB+ㄴ/JX
박형준	박형준/NNP
대통령	대통령/NNG
사회특보도	사회/NNG+특보/NNG+도/JX
유력하게	유력/NNG+하/XSA+게/EC
거론됐으나	거론/NNG+되/XSV+었/EP+으나/EC
홍준표	홍준표/NNP
대표가	대표/NNG+가/JKS
거부감을	거부감/NNG+을/JKO
비친	비치/VV+ㄴ/ETM
데다	데/NNB+다/JX
본인도	본인/NNG+도/JX
내년	내년/NNG
부산에서	부산/NNP+에서/JKB
총선	총선/NNG
출마를	출마/NNG+를/JKO
바라고	바라/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.345.6.2
임태희 실장은 물러나면 내년 총선 출마를 적극 검토하고 있다고 청와대 관계자는 전했다.

임태희	임태희/NNP
실장은	실장/NNG+은/JX
물러나면	물러나/VV+면/EC
내년	내년/NNG
총선	총선/NNG
출마를	출마/NNG+를/JKO
적극	적극/NNG
검토하고	검토/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.345.7.1
이 대통령은 백 정책실장 후임은 따로 임명하지 않을 방침인 것으로 알려졌다.

이	이/NNP
대통령은	대통령/NNG+은/JX
백	백/NNP
정책실장	정책실장/NNG
후임은	후임/NNG+은/JX
따로	따로/MAG
임명하지	임명/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
방침인	방침/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.345.7.2
이 대통령은 기존에 대통령실장과 정책실장으로 이원화(二元化)됐던 참모조직을 일원화해, 정책·홍보 등 기존 정책실장 주관 업무를 대통령 실장 휘하로 모을 방침이라고 한다.

이	이/NNP
대통령은	대통령/NNG+은/JX
기존에	기존/NNG+에/JKB
대통령실장과	대통령실장/NNG+과/JC
정책실장으로	정책실장/NNG+으로/JKB
이원화(二元化)됐던	이원/NNG+화/XSN+(/SS+二元化/SH+)/SS+되/XSV+었/EP+던/ETM
참모조직을	참모/NNG+조직/NNG+을/JKO
일원화해,	일원/NNG+화/XSN+하/XSV+아/EC+,/SP
정책·홍보	정책/NNG+·/SP+홍보/NNG
등	등/NNB
기존	기존/NNG
정책실장	정책실장/NNG
주관	주관/NNG
업무를	업무/NNG+를/JKO
대통령	대통령/NNG
실장	실장/NNG
휘하로	휘하/NNG+로/JKB
모을	모으/VV+ㄹ/ETM
방침이라고	방침/NNG+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.345.7.3
정책실장 자리는 현 정부 초기 경제정책의 틀을 잡은 윤진식 전 실장을 위한 위인설관(爲人設官)의 성격이 짙었다.

정책실장	정책실장/NNG
자리는	자리/NNG+는/JX
현	현/MMD
정부	정부/NNG
초기	초기/NNG
경제정책의	경제/NNG+정책/NNG+의/JKG
틀을	틀/NNG+을/JKO
잡은	잡/VV+은/ETM
윤진식	윤진식/NNP
전	전/MMD
실장을	실장/NNG+을/JKO
