# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.314
metadata : {}


# id : NWRW1800000024.314.1.1
도박 중독자들 “카지노 출입 막아주오”

도박	도박/NNG
중독자들	중독자/NNG+들/XSN
“카지노	“/SS+카지노/NNG
출입	출입/NNG
막아주오”	막/VV+아/EC+주/VX+오/EF+”/SS


# id : NWRW1800000024.314.2.1
강원 정선군 하이원리조트는 올해 7월 말까지 본인 요청으로 카지노 출입이 금지된 사람이 1740명이라고 27일 밝혔다.

강원	강원/NNP
정선군	정선군/NNP
하이원리조트는	하이원리조트/NNP+는/JX
올해	올해/NNG
7월	7/SN+월/NNB
말까지	말/NNB+까지/JX
본인	본인/NNG
요청으로	요청/NNG+으로/JKB
카지노	카지노/NNG
출입이	출입/NNG+이/JKS
금지된	금지/NNG+되/XSV+ㄴ/ETM
사람이	사람/NNG+이/JKS
1740명이라고	1740/SN+명/NNB+이/VCP+라고/EC
27일	27/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.314.2.2
이는 지난해 2209명의 78%가 넘는 수치로 이런 추세라면 올해는 3000명에 이를 것으로 보인다.

이는	이/NP+는/JX
지난해	지난해/NNG
2209명의	2209/SN+명/NNB+의/JKG
78%가	78/SN+%/SW+가/JKS
넘는	넘/VV+는/ETM
수치로	수치/NNG+로/JKB
이런	이런/MMD
추세라면	추세/NNG+이/VCP+라면/EC
올해는	올해/NNG+는/JX
3000명에	3000/SN+명/NNB+에/JKB
이를	이르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.314.3.1
2005년 806명에 불과했던 본인 요청 카지노 출입 제한자는 2006년 1005명, 2007년 1495명, 2008년 2209명 등으로 해마다 크게 늘어났다.

2005년	2005/SN+년/NNB
806명에	806/SN+명/NNB+에/JKB
불과했던	불과/MAG+하/XSA+았/EP+던/ETM
본인	본인/NNG
요청	요청/NNG
카지노	카지노/NNG
출입	출입/NNG
제한자는	제한자/NNG+는/JX
2006년	2006/SN+년/NNB
1005명,	1005/SN+명/NNB+,/SP
2007년	2007/SN+년/NNB
1495명,	1495/SN+명/NNB+,/SP
2008년	2008/SN+년/NNB
2209명	2209/SN+명/NNB
등으로	등/NNB+으로/JKB
해마다	해마다/MAG
크게	크/VA+게/EC
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.314.3.2
또 귀향 여비를 받고 집으로 돌아간 사람도 2005년 34명, 2006년 126명, 2007년 336명, 2008년 823명으로 큰 폭으로 증가했으며, 올해도 7월 말까지 813명이나 됐다.

또	또/MAG
귀향	귀향/NNG
여비를	여비/NNG+를/JKO
받고	받/VV+고/EC
집으로	집/NNG+으로/JKB
돌아간	돌아가/VV+ㄴ/ETM
사람도	사람/NNG+도/JX
2005년	2005/SN+년/NNB
34명,	34/SN+명/NNB+,/SP
2006년	2006/SN+년/NNB
126명,	126/SN+명/NNB+,/SP
2007년	2007/SN+년/NNB
336명,	336/SN+명/NNB+,/SP
2008년	2008/SN+년/NNB
823명으로	823/SN+명/NNB+으로/JKB
큰	크/VA+ㄴ/ETM
폭으로	폭/NNG+으로/JKB
증가했으며,	증가/NNG+하/XSV+았/EP+으며/EC+,/SP
올해도	올해/NNG+도/JX
7월	7/SN+월/NNB
말까지	말/NNB+까지/JX
813명이나	813/SN+명/NNB+이나/JX
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.314.3.3
하이원리조트는 본인 요청으로 출입을 제한받는 사람에 한해 귀향 여비를 지원하고 있으며, 이 경우 6개월 동안 카지노를 이용할 수 없다.

하이원리조트는	하이원리조트/NNP+는/JX
본인	본인/NNG
요청으로	요청/NNG+으로/JKB
출입을	출입/NNG+을/JKO
제한받는	제한/NNG+받/XSV+는/ETM
사람에	사람/NNG+에/JKB
한해	한/NNG+하/XSV+아/EC
귀향	귀향/NNG
여비를	여비/NNG+를/JKO
지원하고	지원/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
이	이/MMD
경우	경우/NNG
6개월	6/SN+개월/NNB
동안	동안/NNG
카지노를	카지노/NNG+를/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.314.4.1
이런 현상은 최근 지속되는 경제난으로 도박중독 문제가 공론화하면서 사채 등 불법 행위에 대한 단속이 강화돼 일명 ‘카지노 노숙자’가 버틸 수 없는 환경이 만들어지고 있기 때문인 것으로 보인다.

이런	이런/MMD
현상은	현상/NNG+은/JX
최근	최근/MAG
지속되는	지속/NNG+되/XSV+는/ETM
경제난으로	경제난/NNG+으로/JKB
도박중독	도박/NNG+중독/NNG
문제가	문제/NNG+가/JKS
공론화하면서	공론/NNG+화/XSN+하/XSV+면서/EC
사채	사채/NNG
등	등/NNB
불법	불법/NNG
행위에	행위/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
단속이	단속/NNG+이/JKS
강화돼	강화/NNG+되/XSV+어/EC
일명	일명/NNG
‘카지노	‘/SS+카지노/NNG
노숙자’가	노숙자/NNG+’/SS+가/JKS
버틸	버티/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
환경이	환경/NNG+이/JKS
만들어지고	만들/VV+어/EC+지/VX+고/EC
있기	있/VX+기/ETN
때문인	때문/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.314.4.2
최동열 한국도박중독 예방치유센터 센터장은 “경제가 어려우면 대박을 좇는다는 이야기도 옛말이 됐고, 도박중독은 사회악이라는 분위기가 조성되면서 스스로 도박을 끊어야겠다는 사람이 늘고 있다”고 말했다.

최동열	최동열/NNP
한국도박중독	한국/NNP+도박/NNG+중독/NNG
예방치유센터	예방/NNG+치유/NNG+센터/NNG
센터장은	센터장/NNG+은/JX
“경제가	“/SS+경제/NNG+가/JKS
어려우면	어렵/VA+으면/EC
대박을	대/XPN+박/NNG+을/JKO
좇는다는	좇/VV+는다는/ETM
이야기도	이야기/NNG+도/JX
옛말이	옛말/NNG+이/JKC
됐고,	되/VV+었/EP+고/EC+,/SP
도박중독은	도박/NNG+중독/NNG+은/JX
사회악이라는	사회악/NNG+이/VCP+라는/ETM
분위기가	분위기/NNG+가/JKS
조성되면서	조성/NNG+되/XSV+면서/EC
스스로	스스로/MAG
도박을	도박/NNG+을/JKO
끊어야겠다는	끊/VV+어야/EC+하/VX+겠/EP+다는/ETM
사람이	사람/NNG+이/JKS
늘고	늘/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


